"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","plx","pmRA","pmDE","fnames","UCC_ID","quad","dups_fnames","dups_probs","r_50","N_fixed","N_membs","fixed_cent","cent_flags","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","N_ex_cls"
"BICA19","182","Ryu 637",273.09686,-21.70765,9.28,-1.63,"nan","nan","nan","ryu637","UCC G009.2-01.6","Q1N","nan","nan",1.2,False,25.0,True,"000",0.24,0.31,"DC",0.0,9.286,-1.63,273.1,-21.702,0.278,-0.51,-2.216,21.921,1.0,0.0
"KHARCHENKO12;BICA19;CANTAT20;DIAS21;HUNT23","1193;183;987;873;4493","NGC 6583;Collinder 370;OCL 27;ESO 590 11;FSR 0032;MWSC 2860",273.962,-22.143,9.2804,-2.543,0.413,1.303,0.11,"ngc6583;collinder370;ocl27;eso59011;fsr0032;mwsc2860","UCC G009.2-02.5","Q1N","nan","nan",3.1,False,335.0,True,"000",1.0,1.0,"AA",321.0,9.281,-2.545,273.96,-22.145,0.404,1.319,0.091,-2.46,27.0,2.0
"HAO22","15","OC 0016",270.23385,-20.2055,9.2879,1.4366,0.383,0.195,-0.113,"oc0016","UCC G009.2+01.4b","Q1P","cwwdl9706","0.73",2.4,False,58.0,True,"010",0.9,1.0,"AA",36.0,9.275,1.427,270.234,-20.224,0.389,0.204,-0.147,20.493,2.0,2.0
"BICA19","184","Ryu 638",272.33592,-21.2727,9.32,-0.8,"nan","nan","nan","ryu638","UCC G009.3-00.8","Q1N","nan","nan",1.8,False,38.0,True,"000",0.12,0.32,"DC",26.0,9.323,-0.796,272.332,-21.274,0.295,-0.334,-1.705,12.652,1.0,0.0
"BICA19","185","Ryu 183",270.25686,-20.18089,9.32,1.43,"nan","nan","nan","ryu183","UCC G009.3+01.4","Q1P","nan","nan",2.0,False,25.0,True,"000",0.98,1.0,"AA",0.0,9.279,1.431,270.241,-20.211,0.384,0.195,-0.143,"nan",0.0,3.0
"BICA19","186","Ryu 639",271.77465,-20.95907,9.34,-0.19,"nan","nan","nan","ryu639","UCC G009.3-00.1","Q1N","nan","nan",2.4,False,56.0,True,"000",0.75,0.36,"BC",47.0,9.334,-0.176,271.753,-20.949,0.322,-0.056,-1.463,17.62,4.0,0.0
"BICA19","3268","Juchert J1738.5-1659",264.638,-16.98519,9.36,7.64,"nan","nan","nan","juchertj173851659","UCC G009.3+07.6","Q1P","nan","nan",2.9,False,25.0,True,"000",0.42,0.5,"CC",0.0,9.356,7.645,264.633,-16.986,0.247,-3.485,-3.851,91.061,1.0,1.0
"KHARCHENKO12;BICA19","1327;187","FSR 0033;MWSC 2609",262.43177,-15.6517,9.3787,10.1421,"nan","nan","nan","fsr0033;mwsc2609","UCC G009.3+10.1","Q1P","nan","nan",2.7,False,25.0,True,"000",0.22,0.32,"DC",0.0,9.375,10.136,262.426,-15.664,0.256,-3.147,-4.376,"nan",0.0,0.0
"BICA19","188","Ryu 640",268.9802,-19.42115,9.38,2.85,"nan","nan","nan","ryu640","UCC G009.3+02.8","Q1P","nan","nan",1.5,False,25.0,True,"000",0.13,0.24,"DD",0.0,9.382,2.848,268.979,-19.413,0.19,-4.043,-5.738,48.195,1.0,0.0
"BICA19","190","Ryu 641",266.98639,-18.28955,9.4,5.05,"nan","nan","nan","ryu641","UCC G009.4+05.0","Q1P","nan","nan",1.0,False,25.0,True,"000",0.66,0.25,"BD",0.0,9.401,5.05,266.988,-18.29,0.16,-2.195,-3.442,-2.873,2.0,0.0
"HE23;HUNT23","1554;1255","CWNU 2825",272.08731,-21.05148,9.4012,-0.49,0.34,0.513,-1.151,"cwnu2825","UCC G009.4-00.4","Q1N","nan","nan",2.4,False,29.0,False,"000",0.35,0.7,"CB",22.0,9.413,-0.482,272.075,-21.037,0.346,0.496,-1.156,20.258,6.0,10.0
"HE23;HUNT23","13;636","CWNU 1284",272.14482,-21.07727,9.4046,-0.5494,0.366,-1.239,-2.593,"cwnu1284","UCC G009.4-00.5","Q1N","nan","nan",2.0,False,31.0,False,"000",0.6,0.83,"BA",24.0,9.401,-0.553,272.152,-21.075,0.361,-1.242,-2.596,-28.968,7.0,10.0
"KHARCHENKO12;BICA19;CANTAT20;DIAS21;TARRICQ22;HE22_1;HUNT23","1205;189;986;872;222;338;4492","NGC 6568;Collinder 369;OCL 28;ESO 590 06;MWSC 2841",273.192,-21.612,9.4064,-1.6617,0.936,0.593,-1.377,"ngc6568;collinder369;ocl28;eso59006;mwsc2841","UCC G009.4-01.6","Q1N","nan","nan",8.0,False,166.0,False,"000",1.0,0.81,"AA",152.0,9.409,-1.672,273.198,-21.614,0.927,0.579,-1.407,-44.215,73.0,23.0
"KHARCHENKO12;BICA19","1105;191","FSR 0034;MWSC 3031",284.68614,-26.7927,9.4176,-13.348,"nan","nan","nan","fsr0034;mwsc3031","UCC G009.4-13.3","Q1N","nan","nan",7.3,False,30.0,True,"000",0.25,0.41,"CC",11.0,9.418,-13.318,284.69,-26.77,0.182,-3.695,-4.315,-30.049,1.0,0.0
"BICA19","192","Ryu 642",273.4979,-21.6717,9.49,-1.94,"nan","nan","nan","ryu642","UCC G009.4-01.9","Q1N","nan","nan",0.9,False,25.0,True,"000",0.26,0.27,"CC",0.0,9.487,-1.939,273.497,-21.674,0.424,0.061,-2.21,-6.825,1.0,0.0
"HE23;HUNT23","1326;1164","CWNU 2597",272.60814,-21.20649,9.5006,-0.9902,0.665,0.939,-1.149,"cwnu2597","UCC G009.5-00.9","Q1N","nan","nan",6.5,False,26.0,True,"000",0.48,0.58,"CB",14.0,9.508,-1.008,272.619,-21.194,0.664,0.948,-1.142,-464.508,1.0,17.0
"BICA19","193","Ryu 643",269.81094,-19.66495,9.56,2.05,"nan","nan","nan","ryu643","UCC G009.5+02.0","Q1P","nan","nan",2.2,False,110.0,True,"000",0.7,0.26,"BC",83.0,9.553,2.061,269.796,-19.665,0.284,-2.461,-6.684,"nan",0.0,0.0
"BICA19","194","Ryu 644",273.41698,-21.51701,9.59,-1.8,"nan","nan","nan","ryu644","UCC G009.5-01.8","Q1N","nan","nan",1.7,False,25.0,True,"000",0.14,0.32,"DC",0.0,9.59,-1.804,273.416,-21.517,0.253,-1.271,-2.353,"nan",0.0,0.0
"HUNT23","1862","HSC 125",264.86189,-16.81024,9.6233,7.5484,0.214,-0.806,-2.359,"hsc125","UCC G009.6+07.5","Q1P","nan","nan",2.0,False,25.0,True,"000",0.29,0.36,"CC",0.0,9.617,7.536,264.869,-16.822,0.203,-0.726,-2.369,-57.803,4.0,1.0
"BICA19","195","Ryu 184",274.60843,-22.05684,9.64,-3.03,"nan","nan","nan","ryu184","UCC G009.6-03.0","Q1N","nan","nan",2.0,False,51.0,True,"000",0.24,0.31,"DC",34.0,9.641,-3.034,274.615,-22.055,0.172,-1.114,-4.849,24.912,3.0,0.0
"KHARCHENKO12;BICA19","1233;196","FSR 0035;MWSC 2797",271.07212,-20.18365,9.6949,0.7629,"nan","nan","nan","fsr0035;mwsc2797","UCC G009.6+00.7","Q1P","nan","nan",2.5,False,25.0,True,"000",0.19,0.25,"DC",0.0,9.7,0.746,271.084,-20.194,0.356,-1.763,-3.958,-41.544,2.0,2.0
"HE23;HUNT23","1043;1039","CWNU 2314",273.38688,-21.37085,9.705,-1.7055,0.539,0.719,-0.176,"cwnu2314","UCC G009.7-01.7","Q1N","nan","nan",5.7,False,28.0,False,"000",0.39,0.76,"CA",21.0,9.661,-1.697,273.354,-21.388,0.547,0.745,-0.183,55.944,2.0,9.0
"BICA19","197","Ryu 645",273.42196,-21.38298,9.71,-1.74,"nan","nan","nan","ryu645","UCC G009.7-01.7a","Q1N","nan","nan",2.0,False,50.0,True,"000",0.3,0.36,"CC",43.0,9.711,-1.74,273.425,-21.388,0.309,-0.99,-3.785,-11.444,5.0,1.0
"HE22;HUNT23","182;403","CWNU 183",273.09337,-21.12646,9.7885,-1.3483,0.579,0.313,-1.6,"cwnu183","UCC G009.7-01.3","Q1N","nan","nan",3.0,False,25.0,True,"000",0.71,0.62,"BB",0.0,9.797,-1.345,273.09,-21.126,0.579,0.353,-1.672,-4.247,1.0,17.0
"BICA19","198","Ryu 646",270.98654,-20.00621,9.81,0.92,"nan","nan","nan","ryu646","UCC G009.8+00.9","Q1P","nan","nan",1.6,False,36.0,True,"000",0.09,0.35,"DC",26.0,9.811,0.915,270.988,-20.009,0.353,-0.432,-2.078,81.429,1.0,0.0
"BICA19","199","Ryu 647",272.11767,-20.58821,9.82,-0.29,"nan","nan","nan","ryu647","UCC G009.8-00.2","Q1N","nan","nan",1.7,False,44.0,True,"000",0.24,0.31,"DC",34.0,9.812,-0.287,272.11,-20.591,0.299,-0.416,-1.771,-3.846,2.0,0.0
"HUNT23","1863","HSC 127",271.94449,-20.47842,9.8372,-0.0949,0.821,1.222,-0.154,"hsc127","UCC G009.8+00.0","Q1P","nan","nan",3.7,False,25.0,False,"000",0.4,0.46,"CC",0.0,9.83,-0.123,271.955,-20.516,0.784,1.252,-0.168,5.191,2.0,26.0
"KHARCHENKO12;BICA19","1111;201","FSR 0037;MWSC 3037",285.35051,-26.56697,9.8766,-13.8,"nan","nan","nan","fsr0037;mwsc3037","UCC G009.8-13.8","Q1N","nan","nan",2.8,False,25.0,True,"000",0.15,0.3,"DC",0.0,9.885,-13.819,285.37,-26.576,0.127,-2.652,-1.607,"nan",0.0,0.0
"KHARCHENKO12;LOKTIN17;BICA19;CANTAT20;DIAS21;TARRICQ22;HE22_1;HUNT23","1267;745;200;981;866;221;336;4486","NGC 6494;M 23;Melotte 184;Collinder 356;OCL 30;ESO 589 22;MWSC 2757",269.237,-18.987,9.8779,2.8575,1.354,0.284,-1.809,"ngc6494;m23;melotte184;collinder356;ocl30;eso58922;mwsc2757","UCC G009.8+02.8","Q1P","nan","nan",15.8,False,871.0,False,"000",1.0,0.95,"AA",747.0,9.881,2.869,269.23,-18.988,1.367,0.314,-1.837,-9.702,331.0,5.0
"HE23","748","CWNU 2019",272.87999,-20.91079,9.882,-1.07,0.356,-0.191,-1.572,"cwnu2019","UCC G009.8-01.0","Q1N","nan","nan",3.1,False,25.0,False,"000",0.46,0.81,"CA",0.0,9.882,-1.065,272.873,-20.899,0.337,-0.176,-1.571,23.834,3.0,6.0
"HUNT23","1864","HSC 129",270.68263,-19.76123,9.8827,1.2893,0.355,0.712,-1.418,"hsc129","UCC G009.8+01.2","Q1P","nan","nan",2.4,False,53.0,False,"000",0.89,0.73,"AB",40.0,9.881,1.285,270.691,-19.762,0.36,0.69,-1.471,24.057,2.0,5.0
"BICA19","202","Ryu 648",276.70693,-22.77219,9.91,-5.08,"nan","nan","nan","ryu648","UCC G009.9-05.0","Q1N","nan","nan",0.9,False,25.0,True,"000",0.25,0.29,"CC",0.0,9.913,-5.082,276.706,-22.775,-0.013,-2.674,-4.61,18.103,2.0,0.0
"HE23;HUNT23","570;889","CWNU 1841",272.82098,-20.84106,9.9166,-0.9881,0.366,0.1,-1.417,"cwnu1841","UCC G009.9-00.9","Q1N","nan","nan",7.5,False,97.0,True,"000",0.91,0.78,"AA",68.0,9.923,-0.996,272.825,-20.819,0.368,0.121,-1.396,6.37,4.0,5.0
"BICA19","203","Ryu 649",276.55783,-22.6898,9.92,-4.92,"nan","nan","nan","ryu649","UCC G009.9-04.9","Q1N","nan","nan",1.0,False,25.0,True,"000",0.62,0.2,"BD",0.0,9.923,-4.922,276.558,-22.688,0.044,-3.548,-6.665,"nan",0.0,0.0
"BICA19","204","Ryu 186",272.67031,-20.74832,9.93,-0.82,"nan","nan","nan","ryu186","UCC G009.9-00.8","Q1N","nan","nan",2.4,False,56.0,True,"000",0.52,0.35,"BC",38.0,9.917,-0.815,272.657,-20.764,0.275,-0.754,-2.795,15.294,2.0,2.0
"HUNT23","1865","HSC 131",274.98732,-21.89476,9.9488,-3.2639,1.254,1.753,-0.058,"hsc131","UCC G009.9-03.2","Q1N","nan","nan",11.4,False,25.0,True,"010",0.89,0.45,"AC",0.0,9.958,-3.29,274.991,-21.895,1.248,1.825,-0.094,-15.122,5.0,11.0
"BICA19","206","Ryu 187",272.58698,-20.68255,9.95,-0.72,"nan","nan","nan","ryu187","UCC G009.9-00.7","Q1N","nan","nan",2.1,False,37.0,True,"000",0.63,0.37,"BC",28.0,9.94,-0.718,272.589,-20.689,0.208,-0.912,-3.092,13.797,3.0,1.0
"BICA19","205","Ryu 650",271.25435,-19.98722,9.95,0.71,"nan","nan","nan","ryu650","UCC G009.9+00.7","Q1P","nan","nan",1.5,False,25.0,True,"000",0.1,0.37,"DC",0.0,9.947,0.708,271.254,-19.991,0.29,-0.725,-2.491,"nan",0.0,0.0
"BICA19","207","Ryu 651",273.28648,-21.02957,9.96,-1.46,"nan","nan","nan","ryu651","UCC G009.9-01.4","Q1N","nan","nan",2.1,False,64.0,True,"000",0.29,0.31,"CC",56.0,9.964,-1.464,273.292,-21.03,0.3,-0.613,-2.168,-41.995,4.0,0.0
"CHI23_3","996","CWWDL 14149",273.4421,-21.0652,9.9982,-1.6046,0.789,0.85,-0.934,"cwwdl14149","UCC G009.9-01.6","Q1N","cwnu155","0.77",4.2,False,52.0,False,"000",0.91,0.79,"AA",38.0,10.0,-1.621,273.451,-21.079,0.777,0.796,-0.941,-14.971,5.0,20.0
"HE22;HUNT23","154;388","CWNU 155",273.45711,-21.07097,9.9999,-1.6196,0.774,0.824,-0.936,"cwnu155","UCC G009.9-01.6a","Q1N","cwwdl14149","0.77",4.1,False,55.0,False,"000",0.9,0.76,"AA",39.0,10.005,-1.624,273.452,-21.081,0.776,0.795,-0.946,-14.971,5.0,19.0
"BICA19","208","Ryu 652",272.64085,-20.65324,10.0,-0.75,"nan","nan","nan","ryu652","UCC G010.0-00.7","Q1N","nan","nan",2.9,False,40.0,True,"000",0.12,0.43,"DC",23.0,10.0,-0.744,272.635,-20.658,0.324,-0.336,-2.241,6.098,3.0,1.0
"HUNT23","1866","HSC 133",278.23392,-23.36693,10.0195,-6.6017,0.064,-2.215,-2.922,"hsc133","UCC G010.0-06.6","Q1N","nan","nan",1.0,False,25.0,True,"001",0.09,0.24,"DD",0.0,10.018,-6.603,278.237,-23.37,0.093,-2.24,-3.139,"nan",0.0,0.0
"BICA19","209","PannSTARS 1;PS1 1",289.16966,-27.82882,10.04,-17.42,"nan","nan","nan","pannstars1;ps11","UCC G010.0-17.4","Q1N","nan","nan",3.4,False,25.0,True,"000",0.11,0.24,"DD",0.0,10.04,-17.423,289.156,-27.844,0.246,-3.088,-3.577,"nan",0.0,0.0
"HE23","872","CWNU 2143",280.12582,-24.19146,10.05,-8.519,0.235,-2.442,-4.333,"cwnu2143","UCC G010.0-08.5","Q1N","nan","nan",1.7,False,25.0,True,"000",0.41,0.46,"CC",0.0,10.047,-8.513,280.122,-24.192,0.257,-2.425,-4.341,"nan",0.0,1.0
"HE23","1114","CWNU 2385",280.34246,-24.26998,10.066,-8.731,0.378,0.042,-2.667,"cwnu2385","UCC G010.0-08.7","Q1N","nan","nan",7.7,False,39.0,True,"010",0.73,0.44,"BC",12.0,10.086,-8.769,280.408,-24.256,0.345,0.024,-2.718,"nan",0.0,1.0
"BICA19","210","VVV 157;VVV-CL 157",271.02964,-19.73064,10.07,1.02,"nan","nan","nan","vvv157;vvvcl157","UCC G010.0+01.0","Q1P","nan","nan",5.6,False,42.0,True,"000",0.45,0.55,"CB",13.0,10.063,1.042,271.016,-19.722,0.337,-0.378,-2.322,16.885,2.0,3.0
"BICA19","2887","Bica 643",272.2439,-20.33364,10.1,-0.27,"nan","nan","nan","bica643","UCC G010.1-00.2","Q1N","nan","nan",4.1,False,39.0,True,"000",0.68,0.35,"BC",9.0,10.092,-0.237,272.188,-20.336,0.282,-1.241,-3.175,-4.912,1.0,3.0
"BICA19","211","Ryu 188",268.07203,-18.07664,10.11,4.27,"nan","nan","nan","ryu188","UCC G010.1+04.2","Q1P","nan","nan",1.0,False,25.0,True,"000",0.43,0.27,"CC",0.0,10.105,4.274,268.064,-18.079,0.188,-4.066,-5.328,7.239,1.0,0.0
"BICA19","212","VVV 160;VVV-CL 160",271.73903,-20.01298,10.15,0.3,"nan","nan","nan","vvv160;vvvcl160","UCC G010.1+00.3","Q1P","nan","nan",6.1,False,69.0,True,"100",0.79,0.52,"AB",44.0,10.062,0.315,271.673,-20.086,0.475,0.403,-0.767,-11.652,5.0,1.0
"BICA19","213","Ryu 653",273.62727,-20.8841,10.24,-1.67,"nan","nan","nan","ryu653","UCC G010.2-01.6","Q1N","nan","nan",1.9,False,32.0,True,"000",0.33,0.29,"CC",17.0,10.241,-1.671,273.621,-20.882,0.398,-0.311,-1.887,-16.451,3.0,0.0
"KHARCHENKO12;BICA19","1238;3269","FSR 0039;MWSC 2809",271.76714,-19.91296,10.2502,0.3257,"nan","nan","nan","fsr0039;mwsc2809","UCC G010.2+00.3","Q1P","nan","nan",7.9,False,26.0,True,"100",0.45,0.51,"CB",3.0,10.26,0.443,271.663,-19.874,0.348,-0.78,-2.661,18.341,2.0,1.0
"BICA19","3494","Patchick 97",264.32233,-15.75546,10.26,8.54,"nan","nan","nan","patchick97","UCC G010.2+08.5","Q1P","nan","nan",5.9,False,35.0,True,"000",0.24,0.41,"DC",15.0,10.229,8.548,264.299,-15.767,0.132,-4.933,-3.299,85.841,1.0,0.0
"BICA19","2888","Teutsch 264",276.24237,-22.14506,10.27,-4.41,"nan","nan","nan","teutsch264","UCC G010.2-04.4","Q1N","nan","nan",6.6,False,34.0,True,"000",0.1,0.62,"DB",3.0,10.287,-4.411,276.249,-22.157,0.13,-3.954,-4.287,108.984,1.0,1.0
"BICA19","214","Ryu 654",274.29873,-21.15455,10.3,-2.35,"nan","nan","nan","ryu654","UCC G010.3-02.3","Q1N","nan","nan",2.5,False,66.0,True,"000",0.73,0.45,"BC",44.0,10.301,-2.353,274.298,-21.155,0.136,-3.481,-6.36,7.873,1.0,0.0
"CHI23_3","1014","CWWDL 14200",270.8168,-19.3509,10.3022,1.3813,0.662,0.093,-1.108,"cwwdl14200","UCC G010.3+01.3","Q1P","ubc1007;cwnu179","0.81;0.7",4.2,False,101.0,True,"010",1.0,0.79,"AA",70.0,10.314,1.373,270.826,-19.346,0.658,0.054,-1.1,14.541,2.0,4.0
"CASTRO22;HUNT23","6;5598","UBC 1007",270.81549,-19.34166,10.3097,1.3869,0.657,0.042,-1.081,"ubc1007","UCC G010.3+01.3a","Q1P","cwwdl14200;cwnu179","0.81;0.64",5.5,False,25.0,False,"000",0.94,1.0,"AA",0.0,10.306,1.389,270.783,-19.361,0.652,0.039,-1.07,14.541,2.0,49.0
"HE22","178","CWNU 179",270.8407,-19.3501,10.314,1.3621,0.64,0.08,-1.11,"cwnu179","UCC G010.3+01.3b","Q1P","cwwdl14200;ubc1007","0.7;0.64",4.4,False,120.0,True,"010",1.0,0.81,"AA",72.0,10.314,1.384,270.82,-19.346,0.656,0.053,-1.1,14.541,2.0,4.0
"KHARCHENKO12","1237","BDSB 113",272.257,-20.08,10.3278,-0.1579,"nan","nan","nan","bdsb113","UCC G010.3-00.1","Q1N","nan","nan",2.6,False,25.0,True,"000",0.18,0.3,"DC",0.0,10.339,-0.146,272.262,-20.069,0.496,-0.693,-1.536,"nan",0.0,1.0
"BICA19","215","Ryu 189",276.5692,-22.23505,10.33,-4.72,"nan","nan","nan","ryu189","UCC G010.3-04.7","Q1N","nan","nan",1.2,False,25.0,True,"000",0.36,0.21,"CD",0.0,10.326,-4.717,276.567,-22.235,0.254,-4.742,-7.543,"nan",0.0,0.0
"BICA19","216","VVV 163;VVV-CL 163",273.49036,-20.70077,10.34,-1.47,"nan","nan","nan","vvv163;vvvcl163","UCC G010.3-01.4","Q1N","nan","nan",5.7,False,34.0,True,"000",0.32,0.47,"CC",10.0,10.362,-1.47,273.508,-20.679,0.325,-0.798,-0.56,-34.75,1.0,2.0
"HUNT23","1867","HSC 135",271.73915,-19.76358,10.3679,0.4214,0.743,2.781,-0.826,"hsc135","UCC G010.3+00.4","Q1P","nan","nan",6.1,False,47.0,False,"000",0.97,0.56,"AB",39.0,10.351,0.401,271.748,-19.788,0.751,2.775,-0.893,-49.915,3.0,7.0
"BICA19","217","Bica 644",272.30335,-19.96447,10.45,-0.14,"nan","nan","nan","bica644","UCC G010.4-00.1","Q1N","nan","nan",2.6,False,25.0,True,"000",0.11,0.29,"DC",0.0,10.442,-0.14,272.293,-19.967,0.371,-0.826,-1.883,13.482,1.0,0.0
"HUNT23","1868","HSC 137",281.57008,-24.35033,10.4839,-9.7741,1.873,-3.044,-8.029,"hsc137","UCC G010.4-09.7","Q1N","nan","nan",25.3,False,40.0,True,"100",0.86,0.4,"AC",18.0,10.531,-10.2,282.012,-24.453,1.841,-3.078,-7.995,10.137,7.0,4.0
"HE22","292","CWNU 293",273.2683,-20.4053,10.5,-1.146,0.83,-0.56,-0.21,"cwnu293","UCC G010.5-01.1","Q1N","nan","nan",5.7,False,56.0,True,"000",1.0,0.63,"AB",50.0,10.505,-1.119,273.259,-20.409,0.811,-0.524,-0.169,-22.431,3.0,28.0
"HUNT23","1869","HSC 138",273.20709,-20.22983,10.6265,-1.0115,0.309,0.458,-1.508,"hsc138","UCC G010.6-01.0","Q1N","nan","nan",4.9,False,36.0,True,"000",0.36,0.6,"CB",18.0,10.574,-1.044,273.229,-20.291,0.316,0.486,-1.471,"nan",0.0,3.0
"BICA19","218","Ryu 191",267.12543,-16.90957,10.66,5.64,"nan","nan","nan","ryu191","UCC G010.6+05.6","Q1P","nan","nan",1.9,False,33.0,True,"000",0.67,0.38,"BC",22.0,10.656,5.641,267.121,-16.91,0.091,-3.612,-5.586,"nan",0.0,0.0
"HE23;HUNT23","359;802","CWNU 1630",273.71726,-20.44501,10.6663,-1.5346,0.73,1.49,-1.182,"cwnu1630","UCC G010.6-01.5","Q1N","nan","nan",7.6,False,38.0,False,"000",0.8,0.73,"AB",30.0,10.685,-1.499,273.72,-20.427,0.726,1.505,-1.182,12.933,2.0,11.0
"HE23","809","CWNU 2080",273.51031,-20.30236,10.699,-1.296,0.582,1.084,-2.258,"cwnu2080","UCC G010.6-01.2","Q1N","nan","nan",4.5,False,31.0,False,"000",0.59,0.81,"BA",24.0,10.681,-1.3,273.517,-20.325,0.583,1.089,-2.257,"nan",0.0,8.0
"BICA19","219","Ryu 658",268.45243,-17.59518,10.71,4.2,"nan","nan","nan","ryu658","UCC G010.7+04.2","Q1P","nan","nan",2.4,False,32.0,True,"000",0.18,0.39,"DC",17.0,10.709,4.205,268.442,-17.593,0.112,-3.238,-6.095,1.14,2.0,0.0
"HAO22;HUNT23","16;4575","OC 0017",271.97826,-19.49505,10.7121,0.3553,0.346,-0.511,-1.979,"oc0017","UCC G010.7+00.3","Q1P","nan","nan",3.9,False,36.0,False,"000",0.35,0.72,"CB",24.0,10.734,0.343,272.013,-19.48,0.312,-0.424,-2.009,16.755,1.0,4.0
"BICA19","220","Ryu 659",271.88532,-19.4372,10.72,0.46,"nan","nan","nan","ryu659","UCC G010.7+00.4","Q1P","nan","nan",1.8,False,58.0,True,"000",0.45,0.39,"CC",50.0,10.721,0.466,271.884,-19.435,0.373,-0.49,-2.112,126.483,2.0,1.0
"HUNT23","1871","HSC 140",277.4739,-22.15558,10.7862,-5.4282,0.117,-3.948,-6.455,"hsc140","UCC G010.7-05.4","Q1N","nan","nan",2.3,False,25.0,False,"000",0.37,0.6,"CB",0.0,10.741,-5.449,277.471,-22.203,0.134,-3.882,-6.573,"nan",0.0,0.0
"HAO22;HUNT23","17;4576","OC 0018",272.02892,-19.4095,10.81,0.3551,0.542,0.954,-1.726,"oc0018","UCC G010.8+00.3","Q1P","nan","nan",5.6,False,25.0,False,"000",0.62,0.54,"BB",0.0,10.812,0.358,272.026,-19.405,0.517,0.85,-1.772,-92.274,1.0,9.0
"BICA19","221","Ryu 660",275.36034,-21.08288,10.83,-3.19,"nan","nan","nan","ryu660","UCC G010.8-03.1","Q1N","nan","nan",1.2,False,25.0,True,"000",0.24,0.21,"DD",0.0,10.83,-3.188,275.362,-21.08,0.214,-3.672,-7.128,-13.23,1.0,0.0
"BICA19","222","Ryu 661",276.4264,-21.51444,10.91,-4.27,"nan","nan","nan","ryu661","UCC G010.9-04.2","Q1N","nan","nan",2.6,False,31.0,True,"000",0.34,0.44,"CC",13.0,10.904,-4.267,276.423,-21.516,0.193,-1.841,-4.527,28.688,4.0,0.0
"HUNT23","1872","HSC 142",271.40459,-18.94525,10.9282,1.0963,0.567,1.439,0.624,"hsc142","UCC G010.9+01.0","Q1P","nan","nan",3.8,False,62.0,False,"000",0.92,0.66,"AB",48.0,10.93,1.101,271.402,-18.931,0.556,1.384,0.61,-113.119,1.0,5.0
"SIM19;CANTAT20;DIAS21;TARRICQ22;HE22_1;HUNT23","0;1928;1520;405;507;6075","UPK 4",281.361,-23.764,10.9369,-9.349,1.239,-2.009,-6.373,"upk4","UCC G010.9-09.3","Q1N","nan","nan",15.3,False,78.0,False,"000",1.0,0.82,"AA",70.0,10.956,-9.333,281.35,-23.753,1.261,-2.011,-6.429,12.214,41.0,3.0
"BICA19","223","Ryu 192",276.04688,-21.26224,10.97,-3.84,"nan","nan","nan","ryu192","UCC G010.9-03.8","Q1N","nan","nan",1.1,False,25.0,True,"000",0.33,0.29,"CC",0.0,10.967,-3.837,276.046,-21.265,0.173,-2.108,-3.804,-48.235,2.0,0.0
"HUNT23","1873","HSC 143",274.35177,-20.41499,10.9754,-2.0435,0.738,0.883,-1.149,"hsc143","UCC G010.9-02.0","Q1N","nan","nan",7.0,False,34.0,True,"000",0.41,0.59,"CB",22.0,10.972,-2.039,274.329,-20.412,0.74,0.874,-1.168,-11.804,3.0,6.0
"HUNT23","1874","HSC 144",274.18232,-20.32101,10.9828,-1.8591,0.611,0.319,1.685,"hsc144","UCC G010.9-01.8","Q1N","nan","nan",9.0,False,35.0,True,"000",0.76,0.61,"AB",22.0,10.966,-1.868,274.185,-20.336,0.61,0.363,1.737,9.009,2.0,9.0
"BICA19","224","Ryu 193",269.16229,-17.66416,10.99,3.58,"nan","nan","nan","ryu193","UCC G010.9+03.5","Q1P","nan","nan",1.0,False,25.0,True,"000",0.14,0.26,"DC",0.0,10.99,3.575,269.165,-17.664,0.163,-3.05,-5.599,116.049,1.0,0.0
"BICA19","225","Ryu 194",270.13415,-18.18248,11.0,2.52,"nan","nan","nan","ryu194","UCC G011.0+02.5","Q1P","nan","nan",1.3,False,25.0,True,"000",0.31,0.28,"CC",0.0,11.0,2.518,270.135,-18.181,0.096,-4.035,-6.709,"nan",0.0,0.0
"HE21;HUNT23","6;3995","HXHWL 7",274.28775,-20.3381,11.0147,-1.9542,0.785,-0.02,-1.626,"hxhwl7","UCC G011.0-01.9","Q1N","nan","nan",7.8,False,84.0,True,"010",1.0,0.8,"AA",74.0,11.018,-1.942,274.269,-20.33,0.78,-0.004,-1.623,-29.864,13.0,19.0
"HE22","190","CWNU 191",274.0788,-20.206,11.038,-1.719,0.52,1.16,-0.36,"cwnu191","UCC G011.0-01.7","Q1N","oc0019","0.64",6.7,False,60.0,True,"000",0.78,0.9,"AA",50.0,11.083,-1.71,274.094,-20.157,0.51,1.133,-0.369,"nan",0.0,10.0
"BICA19","226","Ryu 662",268.89533,-17.42504,11.07,3.92,"nan","nan","nan","ryu662","UCC G011.0+03.9","Q1P","nan","nan",2.2,False,56.0,True,"000",0.25,0.3,"CC",31.0,11.072,3.924,268.898,-17.419,0.148,-2.203,-5.34,-34.682,2.0,0.0
