"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","plx","pmRA","pmDE","fnames","UCC_ID","quad","dups_fnames","dups_probs","r_50","N_fixed","N_membs","fixed_cent","cent_flags","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","N_ex_cls"
"CASTRO19","34","UBC 69",84.77041,28.40374,179.6968,-1.4995,0.707,-0.133,-3.817,"ubc69","UCC G179.6-01.4","Q2N","coingaia21","0.86",8.6,False,85.0,True,"010",1.0,0.61,"AB",76.0,179.673,-1.504,84.763,28.418,0.703,-0.176,-3.832,1.675,6.0,29.0
"CHI23_3","709","CWWDL 12517",91.0633,31.6152,179.7112,4.8239,0.507,-0.763,-3.302,"cwwdl12517","UCC G179.7+04.8","Q2P","ubc70;coingaia22;kronberger6","0.72;0.72;0.8",4.9,False,163.0,False,"000",1.0,0.61,"AB",155.0,179.722,4.822,91.065,31.6,0.506,-0.764,-3.284,14.044,5.0,2.0
"CASTRO19","35","UBC 70",91.05659,31.60647,179.7161,4.8147,0.484,-0.722,-3.265,"ubc70","UCC G179.7+04.8a","Q2P","cwwdl12517;coingaia22;kronberger6","0.62;0.8;0.57",5.8,False,163.0,False,"000",1.0,0.69,"AB",155.0,179.721,4.821,91.06,31.602,0.506,-0.764,-3.287,13.458,6.0,13.0
"CANTAT20;DIAS21","234;199","COIN-Gaia 22",91.06,31.602,179.7214,4.815,0.49,-0.708,-3.309,"coingaia22","UCC G179.7+04.8b","Q2P","cwwdl12517;ubc70;kronberger6","0.63;0.8;0.61",4.0,False,128.0,False,"000",1.0,0.65,"AB",127.0,179.721,4.822,91.061,31.6,0.508,-0.768,-3.292,14.044,5.0,0.0
"BICA19;HUNT23","3070;1563","Kronberger 6;FSR 0827;Teutsch J0604.2+3136",91.08251,31.60691,179.7265,4.8342,0.501,-0.758,-3.288,"kronberger6;fsr0827;teutschj06042p3136","UCC G179.7+04.8c","Q2P","cwwdl12517;ubc70;coingaia22","0.8;0.68;0.7",4.9,False,164.0,False,"000",1.0,0.65,"AB",156.0,179.722,4.823,91.064,31.6,0.507,-0.763,-3.28,14.044,5.0,2.0
"BICA19;HUNT23","1264;5094","Teutsch 90;DSH J0530.4+2706",82.60826,27.10093,179.7597,-3.8134,0.245,0.323,-0.653,"teutsch90;dshj05304p2706","UCC G179.7-03.8","Q2N","nan","nan",1.3,False,28.0,False,"000",0.94,0.58,"AB",24.0,179.76,-3.824,82.604,27.099,0.214,0.31,-0.687,"nan",0.0,0.0
"HUNT23","2837","HSC 1417",87.34655,29.71093,179.762,1.1034,0.758,-0.843,-6.887,"hsc1417","UCC G179.7+01.1","Q2P","nan","nan",8.7,False,25.0,True,"010",0.23,0.12,"DD",0.0,179.749,1.079,87.343,29.712,0.743,-0.48,-6.436,13.795,3.0,10.0
"LOKTIN17","426","LP25",86.175,29.056,179.7928,-0.1091,"nan","nan","nan","lp25","UCC G179.7-00.1","Q2N","nan","nan",7.7,False,94.0,True,"000",0.31,0.36,"CC",49.0,179.749,-0.082,86.161,29.103,0.222,0.566,-1.727,-1.781,1.0,1.0
"LOKTIN17","273","LP13",71.07,19.4,179.8544,-16.9038,"nan","nan","nan","lp13","UCC G179.8-16.9","Q2N","nan","nan",7.1,False,30.0,True,"100",0.96,0.43,"AC",27.0,179.949,-16.894,71.125,19.305,1.693,-1.087,-1.47,-5.1,17.0,0.0
"HE22_1;HUNT23","807;618","CWNU 1242",65.66693,15.23365,179.8974,-23.533,3.441,3.131,-3.518,"cwnu1242","UCC G179.8-23.5","Q2N","nan","nan",46.3,False,32.0,False,"000",0.68,0.82,"BA",32.0,179.945,-23.522,65.653,15.242,3.326,3.114,-3.53,26.382,9.0,2.0
