"fname","N_clust","N_clust_max","Nbox","frame_limit"
cwnu116,"nan",49,"nan","nan"
cwnu1160,"nan",25,"nan","nan"
cwnu1161,"nan",30,"nan","nan"
cwnu1162,"nan",30,"nan","nan"
cwnu1163,"nan",25,"nan","nan"
cwnu1164,"nan",25,"nan","nan"
cwnu1165,"nan",25,"nan","nan"
cwnu1166,"nan",25,"nan","nan"
cwnu1167,"nan",33,"nan","nan"
cwnu1168,"nan",41,"nan","nan"
cwnu1169,"nan",30,"nan","nan"
cwnu117,"nan",60,"nan","nan"
cwnu1170,"nan",32,"nan","nan"
cwnu1171,"nan",25,"nan","nan"
cwnu1172,"nan",25,"nan","nan"
cwnu1173,"nan",27,"nan","nan"
cwnu1174,"nan",25,"nan","nan"
cwnu1175,"nan",32,"nan","nan"
cwnu1176,"nan",25,"nan","nan"
cwnu1177,"nan",25,"nan","nan"
cwnu1178,"nan",25,"nan","nan"
cwnu1179,"nan",28,"nan","nan"
cwnu118,"nan",67,"nan","nan"
cwnu1180,"nan",28,"nan","nan"
cwnu1181,"nan",27,"nan","nan"
cwnu1182,"nan",25,"nan","nan"
cwnu1183,"nan",27,"nan","nan"
cwnu1184,"nan",28,"nan","nan"
cwnu1185,"nan",30,"nan","nan"
cwnu1186,"nan",25,"nan","nan"
cwnu1187,"nan",25,"nan","nan"
cwnu1188,"nan",28,"nan","nan"
cwnu1189,"nan",25,"nan","nan"
cwnu119,"nan",62,"nan","nan"
cwnu1190,"nan",35,"nan","nan"
cwnu1191,"nan",54,"nan","nan"
cwnu1192,"nan",25,"nan","nan"
cwnu1193,"nan",25,"nan","nan"
cwnu1194,"nan",25,"nan","nan"
cwnu1195,"nan",30,"nan","nan"
cwnu1196,"nan",25,"nan","nan"
cwnu1197,"nan",25,"nan","nan"
cwnu1198,"nan",28,"nan","nan"
cwnu1199,"nan",32,"nan","nan"
cwnu12,"nan",110,"nan","nan"
cwnu120,"nan",99,"nan","nan"
cwnu1200,"nan",25,"nan","nan"
cwnu1201,"nan",32,"nan","nan"
cwnu1202,"nan",25,"nan","nan"
cwnu1203,"nan",46,"nan","nan"
cwnu1204,"nan",27,"nan","nan"
cwnu1205,"nan",27,"nan","nan"
cwnu1206,"nan",28,"nan","nan"
cwnu1207,"nan",32,"nan","nan"
cwnu1208,"nan",25,"nan","nan"
cwnu1209,"nan",25,"nan","nan"
cwnu121,"nan",54,"nan","nan"
cwnu1210,"nan",25,"nan","nan"
cwnu1211,"nan",28,"nan","nan"
cwnu1212,"nan",27,"nan","nan"
cwnu1213,"nan",28,"nan","nan"
cwnu1214,"nan",25,"nan","nan"
cwnu1215,"nan",54,"nan","nan"
cwnu1216,"nan",32,"nan","nan"
cwnu1217,"nan",64,"nan","nan"
cwnu1218,"nan",35,"nan","nan"
cwnu1219,"nan",57,"nan","nan"
cwnu122,"nan",120,"nan","nan"
cwnu1220,"nan",158,"nan","nan"
cwnu1221,"nan",57,"nan","nan"
cwnu1222,"nan",89,"nan","nan"
cwnu1223,"nan",33,"nan","nan"
cwnu1224,"nan",44,"nan","nan"
cwnu1225,"nan",49,"nan","nan"
cwnu1226,"nan",54,"nan","nan"
cwnu1227,"nan",33,"nan","nan"
cwnu1228,"nan",201,"nan","nan"
cwnu1229,"nan",155,"nan","nan"
cwnu123,"nan",59,"nan","nan"
cwnu1230,"nan",51,"nan","nan"
cwnu1231,"nan",25,"nan","nan"
cwnu1232,"nan",25,"nan","nan"
cwnu1233,"nan",25,"nan","nan"
cwnu1234,"nan",57,"nan","nan"
cwnu1235,"nan",36,"nan","nan"
cwnu1236,"nan",25,"nan","nan"
cwnu1237,"nan",35,"nan","nan"
cwnu1238,"nan",48,"nan","nan"
cwnu1239,"nan",54,"nan","nan"
cwnu124,"nan",56,"nan","nan"
cwnu1240,"nan",30,"nan","nan"
cwnu1241,"nan",49,"nan","nan"
cwnu1242,"nan",25,"nan","nan"
cwnu1243,"nan",54,"nan","nan"
cwnu1244,"nan",70,"nan","nan"
cwnu1245,"nan",70,"nan","nan"
cwnu1246,"nan",33,"nan","nan"
cwnu1247,"nan",25,"nan","nan"
cwnu1248,"nan",25,"nan","nan"
cwnu1249,"nan",28,"nan","nan"
cwnu125,"nan",49,"nan","nan"
cwnu1250,"nan",27,"nan","nan"
cwnu1251,"nan",32,"nan","nan"
cwnu1252,"nan",38,"nan","nan"
cwnu1253,"nan",54,"nan","nan"
cwnu1254,"nan",28,"nan","nan"
cwnu1255,"nan",25,"nan","nan"
cwnu1256,"nan",30,"nan","nan"
cwnu1257,"nan",25,"nan","nan"
cwnu1258,"nan",25,"nan","nan"
cwnu1259,"nan",25,"nan","nan"
cwnu126,"nan",48,"nan","nan"
cwnu1260,"nan",28,"nan","nan"
cwnu1261,"nan",27,"nan","nan"
cwnu1262,"nan",38,"nan","nan"
cwnu1263,"nan",28,"nan","nan"
cwnu1264,"nan",27,"nan","nan"
cwnu1265,"nan",30,"nan","nan"
cwnu1266,"nan",30,"nan","nan"
cwnu1267,"nan",25,"nan","nan"
cwnu1268,"nan",25,"nan","nan"
cwnu1269,"nan",25,"nan","nan"
cwnu127,"nan",60,"nan","nan"
cwnu1270,"nan",25,"nan","nan"
cwnu1271,"nan",72,"nan","nan"
cwnu1272,"nan",41,"nan","nan"
cwnu1273,"nan",72,"nan","nan"
cwnu1274,"nan",72,"nan","nan"
cwnu1275,"nan",72,"nan","nan"
cwnu1276,"nan",70,"nan","nan"
cwnu1277,"nan",40,"nan","nan"
cwnu1278,"nan",70,"nan","nan"
cwnu1279,"nan",40,"nan","nan"
cwnu128,"nan",105,"nan","nan"
cwnu1280,"nan",70,"nan","nan"
cwnu1281,"nan",70,"nan","nan"
cwnu1282,"nan",40,"nan","nan"
cwnu1283,"nan",40,"nan","nan"
cwnu1284,"nan",70,"nan","nan"
cwnu1285,"nan",68,"nan","nan"
cwnu1286,"nan",40,"nan","nan"
cwnu1287,"nan",68,"nan","nan"
cwnu1288,"nan",40,"nan","nan"
cwnu1289,"nan",40,"nan","nan"
cwnu129,"nan",56,"nan","nan"
cwnu1290,"nan",68,"nan","nan"
cwnu1291,"nan",40,"nan","nan"
cwnu1292,"nan",67,"nan","nan"
cwnu1293,"nan",67,"nan","nan"
cwnu1294,"nan",67,"nan","nan"
cwnu1295,"nan",67,"nan","nan"
cwnu1296,"nan",40,"nan","nan"
cwnu1297,"nan",67,"nan","nan"
cwnu1298,"nan",67,"nan","nan"
cwnu1299,"nan",67,"nan","nan"
cwnu13,"nan",174,"nan","nan"
cwnu130,"nan",56,"nan","nan"
cwnu1300,"nan",72,"nan","nan"
cwnu1301,"nan",40,"nan","nan"
cwnu1302,"nan",65,"nan","nan"
cwnu1303,"nan",65,"nan","nan"
cwnu1304,"nan",38,"nan","nan"
cwnu1305,"nan",65,"nan","nan"
cwnu1306,"nan",38,"nan","nan"
cwnu1307,"nan",38,"nan","nan"
cwnu1308,"nan",83,"nan","nan"
cwnu1309,"nan",38,"nan","nan"
cwnu131,"nan",84,"nan","nan"
cwnu1310,"nan",64,"nan","nan"
cwnu1311,"nan",38,"nan","nan"
cwnu1312,"nan",38,"nan","nan"
cwnu1313,"nan",64,"nan","nan"
cwnu1314,"nan",38,"nan","nan"
cwnu1315,"nan",38,"nan","nan"
cwnu1316,"nan",38,"nan","nan"
cwnu1317,"nan",51,"nan","nan"
cwnu1318,"nan",25,"nan","nan"
cwnu1319,"nan",38,"nan","nan"
cwnu132,"nan",112,"nan","nan"
cwnu1320,"nan",38,"nan","nan"
cwnu1321,"nan",88,"nan","nan"
cwnu1322,"nan",73,"nan","nan"
cwnu1323,"nan",38,"nan","nan"
cwnu1324,"nan",38,"nan","nan"
cwnu1325,"nan",62,"nan","nan"
cwnu1326,"nan",46,"nan","nan"
cwnu1327,"nan",62,"nan","nan"
cwnu1328,"nan",38,"nan","nan"
cwnu1329,"nan",62,"nan","nan"
cwnu133,"nan",68,"nan","nan"
cwnu1330,"nan",38,"nan","nan"
cwnu1331,"nan",62,"nan","nan"
cwnu1332,"nan",62,"nan","nan"
cwnu1333,"nan",62,"nan","nan"
cwnu1334,"nan",62,"nan","nan"
cwnu1335,"nan",38,"nan","nan"
cwnu1336,"nan",38,"nan","nan"
cwnu1337,"nan",62,"nan","nan"
cwnu1338,"nan",62,"nan","nan"
cwnu1339,"nan",38,"nan","nan"
cwnu134,"nan",57,"nan","nan"
cwnu1340,"nan",62,"nan","nan"
cwnu1341,"nan",38,"nan","nan"
cwnu1342,"nan",60,"nan","nan"
cwnu1343,"nan",38,"nan","nan"
cwnu1344,"nan",60,"nan","nan"
cwnu1345,"nan",46,"nan","nan"
cwnu1346,"nan",60,"nan","nan"
cwnu1347,"nan",60,"nan","nan"
cwnu1348,"nan",38,"nan","nan"
cwnu1349,"nan",60,"nan","nan"
cwnu135,"nan",49,"nan","nan"
cwnu1350,"nan",60,"nan","nan"
cwnu1351,"nan",25,"nan","nan"
cwnu1352,"nan",60,"nan","nan"
cwnu1353,"nan",60,"nan","nan"
cwnu1354,"nan",36,"nan","nan"
cwnu1355,"nan",59,"nan","nan"
cwnu1356,"nan",36,"nan","nan"
cwnu1357,"nan",67,"nan","nan"
cwnu1358,"nan",59,"nan","nan"
cwnu1359,"nan",36,"nan","nan"
cwnu136,"nan",67,"nan","nan"
cwnu1360,"nan",41,"nan","nan"
cwnu1361,"nan",36,"nan","nan"
cwnu1362,"nan",59,"nan","nan"
cwnu1363,"nan",36,"nan","nan"
cwnu1364,"nan",59,"nan","nan"
cwnu1365,"nan",57,"nan","nan"
cwnu1366,"nan",36,"nan","nan"
cwnu1367,"nan",57,"nan","nan"
cwnu1368,"nan",57,"nan","nan"
cwnu1369,"nan",36,"nan","nan"
cwnu137,"nan",171,"nan","nan"
cwnu1370,"nan",36,"nan","nan"
cwnu1371,"nan",36,"nan","nan"
cwnu1372,"nan",57,"nan","nan"
cwnu1373,"nan",65,"nan","nan"
