"Name","logAge","e_logAge","Dist","e_Dist","Z","e_Z","E(B-V)","e_E(B-V)","Rv","e_Rv","_RA","_DE","plx","e_plx","RV","e_RV","Nc","sigRA","e_sigRA","sigDE","e_sigDE","pmRA","e_pmRA","pmDE","e_pmDE"
"Gulliver 28",8.713,0.046,0.59,0.02,0.023,0.004,0.516,0.021,2.299,0.093,293.559,18.059,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 29",7.193,0.039,0.955,0.048,0.006,0.002,0.709,0.076,2.144,0.12,256.745,-35.205,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 30",7.526,0.105,1.974,0.33,0.007,0.014,0.54,0.025,2.775,0.092,313.673,45.996,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 31",7.704,0.166,2.995,0.167,0.049,0.01,0.598,0.061,2.212,0.167,301.912,38.232,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 32",8.853,0.105,1.394,0.064,0.032,0.012,0.256,0.053,2.439,0.359,98.383,7.478,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 33",7.405,0.074,1.206,0.07,0.011,0.004,0.428,0.106,2.511,0.606,318.159,46.345,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 34",8.711,0.514,4.313,0.473,0.028,0.008,0.338,0.11,2.553,0.112,167.722,-59.158,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 35",8.003,0.16,2.268,0.238,0.015,0.008,0.349,0.056,2.984,0.302,150.379,-58.198,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 36",8.813,0.04,1.351,0.121,0.04,0.01,0.181,0.037,2.864,0.339,123.185,-35.111,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 37",8.509,0.058,1.732,0.126,0.04,0.006,0.528,0.071,2.514,0.299,292.077,25.347,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 38",7.144,0.185,3.243,0.494,0.01,0.007,0.627,0.077,3.474,0.346,300.808,34.435,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 39",8.918,0.475,2.766,0.501,0.016,0.004,0.716,0.163,2.064,0.218,163.697,-58.05,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 40",8.244,0.125,1.47,0.091,0.01,0.004,0.255,0.024,2.342,0.099,163.095,-58.394,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 41",8.293,0.534,7.326,0.748,0.049,0.007,1.26,0.424,3.239,0.452,277.718,-12.429,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 42",6.748,0.035,9.944,0.13,0.023,0.005,0.979,0.115,3.063,0.419,303.935,37.851,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 43",7.145,0.008,3.536,0.23,0.025,0.006,0.856,0.07,2.852,0.257,296.283,24.558,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 44",8.866,0.04,1.209,0.056,0.051,0.011,0.391,0.029,2.21,0.16,127.249,-38.095,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 45",9.612,0.069,3.394,0.142,0.023,0.005,0.369,0.058,2.772,0.386,104.617,3.104,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 46",7.087,0.127,6.02,1.204,0.035,0.0,0.848,0.049,2.732,0.182,186.23375,-61.97306,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 47",8.59,0.105,1.823,0.147,0.011,0.006,0.168,0.016,2.401,0.291,107.932,0.827,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 48",8.323,0.194,0.888,0.033,0.015,0.003,0.773,0.074,2.624,0.309,316.334,50.733,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 49",8.825,0.215,1.397,0.015,0.002,0.001,0.871,0.101,2.439,0.293,350.704,61.988,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 50",7.826,0.222,1.64,0.163,0.011,0.008,0.387,0.02,2.149,0.13,181.362,-62.678,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
