"Cluster","Nall","Nflag1","RVmed","e_RVmed","RVmean","e_RVmean","s_RV","Nflag12","[Fe/H]med","e_[Fe/H]med","[Fe/H]mean","e_[Fe/H]mean","s_[Fe/H]","LX","LY","LZ","ULSR","VLSR","WLSR","ZGC","RGC","Peri","Apo","Energy","ecc","_RA","_DE"
"Berkeley_31",4,4,55.22639,3.195,59.49344069082909,2.1342114146249047,20.02678059830273,4,-0.35209,0.07145,-0.352378807010506,0.0595248387285979,0.1572502520337041,-136.59127753083396,-30.02320842596263,2897.0606550491275,-25.36737978107415,192.7844370018909,3.193916609640155,0.6561582337828,14.949486906070092,10.659,15.2894,-132237,0.1784600799287809,104.406,8.285
"Berkeley_32",17,16,101.64355,1.87598,100.83268835405848,1.854673213341512,10.179071119933992,16,-0.36063,0.03744,-0.372758245765346,0.0512171294273974,0.25303191044451,-45.38996984913143,15.813548561420816,2069.6245596396266,-70.66463048757672,180.47396413858348,0.1708192191703945,0.25014526019829,10.999640243873833,6.4196,12.229,-148517,0.3115200666645574,104.53,6.433
"Berkeley_34",2,2,55.34533,2.53846,55.345325748623466,2.538462155917665,29.36617370614141,2,-0.21051,0.05625,-0.210514808779112,0.0562485023843463,0.0460269686262183,69.81236537684384,461.8704511677438,3640.599764707309,-51.27228259975281,236.09739539865765,-30.936070191149028,0.263913000698828,15.108619433186623,13.497,19.2266,-121053,0.1751015331583306,105.097,-0.239
"Berkeley_37",3,3,74.71459,5.48756,73.3096975955277,6.254078649599549,8.758762976581426,1,-0.33115,0.04287,-0.33115255400989,0.0428674950751565,"nan",-101.57190610202376,8.567345479327994,2657.3443765306383,-62.64793921378654,217.0366116665332,1.6948661247204182,0.448373192669981,11.789355472079988,9.1764,13.8822,-138013,0.2040810839175699,110.075,-1.002
"Berkeley_39",4,4,55.73231,2.60184,49.83236061674992,3.0060299102921766,13.783987129831504,4,-0.15491,0.03845,-0.154126396085769,0.0370197694011593,0.0666433832469023,-68.01621793813875,302.53056668727834,2206.617249075068,-26.222846930877687,193.6190378126068,-25.73717684065491,0.708965939812793,11.35567082782604,8.0717,11.6625,-145905,0.1819600216274614,116.702,-4.665
"Berkeley_67",6,6,-4.88308,2.66264,-5.273380121099506,1.950882472033872,6.534751577394815,6,-0.33224,0.04959,-0.327716284624358,0.041041353772393,0.1118127028191186,-9.43740273564092,-158.4943718858067,2232.2285739103563,4.366566873108058,218.35617240900032,15.485428216092696,0.109942870292225,10.247345943001076,9.094,10.2661,-147174,0.0605431382514948,69.472,50.755
"Berkeley_68",4,4,-24.92251,2.58632,-24.52393953273825,2.1212884842211848,5.202398845607749,4,-0.23214,0.03733,-0.238858872088556,0.0373781235051989,0.0807032763502078,49.04127068818045,-255.06020170917623,2298.3112726758136,21.831840005037662,199.342567648004,22.58833140055522,-0.127909049358445,11.462789898490556,8.5493,11.6642,-144783,0.1541016955525201,71.053,42.134
"Berkeley_69",4,4,29.39609,3.33205,26.504673430851533,3.820018854935748,9.853572218175666,4,-0.34148,0.06387,-0.328457235706247,0.0628076401648251,0.1463203497059539,20.496585970181087,4.14337441305206,2482.777179910482,-21.142090890948943,214.7786230900143,-0.5329712813636966,-0.0962503156452076,11.59689407467438,9.8025,11.923,-141248,0.0976041978320406,81.09,32.607
"Berkeley_70",2,2,-18.86015,2.33278,-18.860146619389333,2.3327812699460813,2.19973459727692,2,-0.33426,0.07899,-0.334259656328197,0.0789853141976503,0.1259769809294763,-63.17638930240901,-7.601650785584983,2536.602772138104,17.980582087600745,193.35033774325743,0.1316065316240191,0.327510410191273,13.063128850263196,9.2789,13.2069,-139360,0.1746864580938305,81.457,41.951
"Berkeley_71",3,3,-12.89673,3.32403,-12.613363442213112,2.803799945438368,4.422139993368432,3,-0.27058,0.06074,-0.343376184017647,0.0448932718251885,0.168720432242331,-14.688921513111984,-23.65313474720489,2540.9396430768666,22.174041024105904,215.0943883460423,1.874087728002316,0.070132283081767,11.793241418092132,9.9846,12.163,-140277,0.0983563034255568,85.233,32.272
