"Cluster","RA_ICRS","DE_ICRS","kind","plx","e_plx","CMDclass","Quality","logAge16","logAge50","logAge84","[Fe/H]16","[Fe/H]50","[Fe/H]84","AV16","AV50","AV84","dMod16","dMod50","dMod84","X","Y","Z","Rgc"
"HSC 1979",113.97425936431,-31.33178707383,"o",0.243,0.031,1.0,0,7.67,7.86,8.0,-0.14,0.07,0.27,0.92,1.0,1.09,12.53,12.78,13.03,-1.47960214771528,-3.26327550023207,-0.280409460678846,10.141
"HSC 198",276.09939283282,-14.488567132,"o",0.283,0.037,0.07,1,8.09,8.31,8.49,-0.5,-0.3,-0.09,4.7,4.91,5.15,12.06,12.47,12.96,2.98243684716344,0.911309126692748,-0.0054875043412382,5.22
"HSC 1980",123.3564555255,-26.90257304851,"o",0.618,0.012,1.0,0,8.83,8.91,9.0,-0.31,-0.14,0.0,0.0,0.03,0.1,10.57,10.74,10.9,-0.568836953695117,-1.28177102964677,0.143712126625144,8.785
"HSC 1981",118.9480998866,-29.47395579314,"o",0.261,0.024,1.0,0,7.24,7.31,7.4,-0.12,0.05,0.22,2.08,2.14,2.2,12.36,12.55,12.77,-1.30804211166212,-2.95963950826814,0.0137500709297281,9.884
"HSC 1983",124.8726935403,-26.34658415061,"o",0.304,0.028,1.0,0,8.31,8.43,8.54,-0.78,-0.59,-0.39,0.74,0.84,0.94,11.62,11.87,12.1,-0.944127069235753,-2.15704427035115,0.27248918466123,9.319
"HSC 1984",122.08456027542,-28.09562966076,"o",0.25,0.016,1.0,0,8.74,8.84,8.95,0.15,0.32,0.5,0.92,1.01,1.11,12.52,12.76,12.98,-1.42272578650643,-3.26435535969847,0.201289348374875,10.088
"HSC 1985",118.91179363669,-30.32672754811,"o",0.743,0.014,0.18,0,9.22,9.31,9.39,-0.65,-0.51,-0.37,0.69,0.75,0.83,10.38,10.54,10.67,-0.503665096875741,-1.17906799315001,0.0200354199035808,8.706
"HSC 1987",123.34572370234,-27.44152315461,"o",0.737,0.02,0.99,0,7.46,7.57,7.68,-0.55,-0.37,-0.22,0.52,0.62,0.7,10.07,10.29,10.47,-0.454417639251659,-1.04581692453119,0.118530170387751,8.64
"HSC 1988",115.52494074976,-32.10578763069,"o",0.74,0.027,0.89,0,8.05,8.25,8.43,-0.28,-0.09,0.07,0.48,0.59,0.7,10.35,10.58,10.82,-0.510248587059472,-1.19826244379247,-0.0577413493824931,8.715
"HSC 1989",97.76958632107,-42.70766479293,"o",5.776,0.023,0.99,0,7.64,7.78,7.9,0.46,0.56,0.68,0.52,0.62,0.75,6.04,6.23,6.41,-0.0534059675885441,-0.154983704301959,-0.0229802166508905,8.177
"HSC 1990",119.81017011747,-30.06393689826,"o",0.383,0.024,1.0,0,8.26,8.36,8.48,0.53,0.68,0.83,0.76,0.84,0.95,12.09,12.27,12.5,-1.10908101817082,-2.61930765899942,0.0334393959661995,9.596
"HSC 1991",106.05030770337,-38.94837705646,"o",6.697,0.035,0.91,0,8.88,9.15,9.4,0.14,0.25,0.34,0.18,0.3,0.42,5.69,5.88,6.06,-0.0505863829593504,-0.136212841049609,0.0045199444687007,8.174
"HSC 1992",116.95943500019,-31.87184458731,"o",0.23,0.024,0.41,0,7.45,7.57,7.69,-0.03,0.17,0.38,2.2,2.28,2.36,12.9,13.12,13.39,-1.61844276692801,-3.87644243290308,-0.192580371120722,10.483
"HSC 1993",116.17480359837,-32.6242286321,"o",0.314,0.029,0.25,0,8.26,8.44,8.58,-0.1,0.15,0.4,2.94,3.13,3.29,12.47,12.9,13.31,-1.44143989418222,-3.507300809812,-0.233014248418078,10.186
"HSC 1995",121.76521886293,-29.91255818661,"o",0.597,0.024,0.99,0,8.15,8.27,8.38,-0.37,-0.23,-0.09,0.55,0.63,0.7,10.67,10.86,11.02,-0.560626064161621,-1.37566382847069,0.0765616395136678,8.791
"HSC 1998",101.5050242287,-36.25511049881,"o",5.53,0.017,0.99,0,7.18,7.32,7.45,-0.31,-0.22,-0.12,0.54,0.66,0.77,6.07,6.24,6.4,-0.0700619685871242,-0.154481288120748,-0.0089566678909701,8.194
"HSC 1999",116.78228861379,-33.21558450765,"o",0.252,0.028,0.69,0,8.8,8.93,9.06,-0.55,-0.36,-0.2,4.41,4.55,4.68,12.47,12.79,13.1,-1.32560593883445,-3.35275555264951,-0.210267758279709,10.025
"HSC 20",265.55247112139,-26.10173207541,"o",0.328,0.023,1.0,0,8.37,8.57,8.79,-0.9,-0.58,-0.36,3.58,3.88,4.11,11.97,12.5,13.05,3.15845082813064,0.111324929677527,0.150977187703671,4.965
"HSC 200",276.41393045241,-13.94372656562,"o",0.232,0.032,0.09,3,7.78,7.96,8.12,0.34,0.54,0.71,4.01,4.23,4.44,12.44,12.89,13.26,3.60657367443901,1.14512975572226,-0.0164971558114808,4.658
"HSC 2001",117.3907004191,-33.10366173826,"o",0.243,0.019,0.95,0,7.54,7.68,7.82,-0.02,0.15,0.35,3.58,3.66,3.74,12.79,13.02,13.27,-1.46409245067995,-3.73360089295737,-0.203686050575334,10.288
"HSC 2002",122.1294908361,-30.80133521555,"o",0.213,0.017,1.0,0,7.83,8.02,8.23,0.04,0.23,0.41,0.77,0.89,1.0,12.84,13.11,13.42,-1.51795892496413,-3.90226919949034,0.124183026550642,10.4
"HSC 2003",119.15267320636,-32.50227827191,"o",0.252,0.015,0.93,0,8.54,8.64,8.74,-0.23,-0.06,0.12,1.64,1.73,1.83,12.5,12.73,12.94,-1.26868470359502,-3.27657817955616,-0.0762189707549786,9.946
"HSC 2004",120.7626788553,-31.30138206894,"o",0.877,0.025,0.74,2,7.27,7.54,7.83,0.5,0.75,0.97,0.0,0.0,0.11,10.07,10.4,10.72,-0.439940187836625,-1.1188663843344,0.0389579282769099,8.635
"HSC 2006",121.44180805822,-31.58304112984,"o",0.251,0.02,1.0,0,7.84,7.92,8.03,-0.24,-0.04,0.1,1.36,1.42,1.48,12.42,12.59,12.78,-1.17674999693459,-3.07884787407839,0.0537969515738185,9.795
"HSC 2009",110.48613593592,-36.83760809662,"o",0.575,0.021,1.0,0,8.62,8.73,8.83,0.49,0.67,0.82,0.57,0.67,0.75,10.94,11.1,11.33,-0.580561428520397,-1.52640845444114,-0.253736139592838,8.835
"HSC 2010",122.71874121471,-31.1478044641,"o",0.617,0.029,0.92,0,8.21,8.46,8.63,-0.23,0.07,0.38,0.2,0.42,0.61,10.79,11.21,11.86,-0.616609022898931,-1.63276735212774,0.0831479270891323,8.89
"HSC 2012",110.36674496648,-37.3312776002,"o",1.636,0.037,0.5,0,7.01,7.13,7.25,-0.12,0.0,0.13,0.55,0.64,0.73,8.95,9.16,9.35,-0.232916964820081,-0.625759185908822,-0.0828198361871381,8.378
"HSC 2013",148.8458632225,-14.5319221228,"o",4.182,0.041,0.91,0,7.91,8.05,8.17,0.16,0.26,0.35,0.3,0.38,0.47,6.8,6.95,7.09,-0.0660673852346747,-0.201168353589687,0.165772592624232,8.191
"HSC 2015",118.59636166592,-35.27531692705,"o",1.355,0.026,0.96,0,7.82,7.99,8.14,0.49,0.69,0.86,0.0,0.14,0.26,9.3,9.55,9.79,-0.264457967231795,-0.766754160133885,-0.0115921206658226,8.421
"HSC 2017",121.29154578756,-33.74024885572,"o",0.195,0.021,0.54,1,8.23,8.35,8.51,0.04,0.25,0.41,2.38,2.5,2.62,13.04,13.43,13.71,-1.59306516576487,-4.58307248353475,-0.047831356572168,10.742
"HSC 2018",122.51389769774,-32.84377607212,"o",1.025,0.023,0.97,0,7.68,7.83,7.96,-0.2,-0.05,0.09,0.42,0.52,0.6,9.79,9.97,10.18,-0.327025655246445,-0.93046188712319,0.0465699664762809,8.5
"HSC 2019",121.12461548401,-33.97267091954,"o",0.293,0.023,1.0,0,8.31,8.41,8.52,0.15,0.29,0.45,2.04,2.11,2.2,12.07,12.28,12.46,-0.932241342610768,-2.70046516055786,-0.0231151467065735,9.448
"HSC 2020",126.22443911907,-31.27759928092,"o",0.564,0.023,0.98,0,8.4,8.5,8.58,-0.18,0.0,0.16,0.85,0.93,1.0,11.0,11.16,11.33,-0.551243591404122,-1.61066350742449,0.15376649515516,8.822
"HSC 2022",127.61122368522,-30.9484537413,"o",1.03,0.016,0.0,0,8.53,8.76,8.95,-0.62,-0.49,-0.33,0.69,0.8,0.91,9.93,10.14,10.37,-0.336636793433767,-1.00791543100014,0.133205166263298,8.518
"HSC 2026",126.7997533463,-32.32761681215,"o",3.894,0.034,0.6,0,8.62,8.97,9.33,0.15,0.26,0.38,0.17,0.28,0.41,6.9,7.06,7.25,-0.0785564050713105,-0.245455102372695,0.057636696358983,8.204
"HSC 2027",127.43801652497,-32.26395315372,"o",0.16,0.023,0.91,0,8.65,8.78,8.9,-0.35,-0.21,-0.01,0.62,0.73,0.84,12.65,12.87,13.11,-1.12403182391985,-3.56753784843317,0.305496807009383,9.91
"HSC 2030",123.81923140143,-34.71939482868,"o",0.708,0.023,0.96,0,8.01,8.16,8.32,-0.51,-0.32,-0.11,1.29,1.41,1.49,10.59,10.78,11.02,-0.42356733392764,-1.36810640164791,0.0454991068832282,8.654
"HSC 2031",126.06155476343,-33.43591131853,"o",0.162,0.023,1.0,0,8.06,8.23,8.41,-0.76,-0.57,-0.36,1.24,1.35,1.45,12.51,12.82,13.17,-1.08302540813134,-3.49726127354085,0.195909657086479,9.847
"HSC 2032",99.53092196945,-44.51141973417,"o",1.726,0.025,0.99,0,6.99,7.18,7.38,-0.45,-0.31,-0.13,0.15,0.26,0.36,8.73,8.95,9.17,-0.166145300115714,-0.551759517959497,-0.17780309709426,8.306
"HSC 2034",122.16078614535,-36.24833207948,"o",0.142,0.016,0.13,0,9.19,9.29,9.39,-0.76,-0.59,-0.4,1.72,1.83,1.95,12.76,13.0,13.22,-1.14154887596123,-3.81180612061864,-0.0843816604168168,10.017
"HSC 2039",123.68412735064,-36.15144538062,"o",0.702,0.021,0.96,1,6.51,6.7,6.85,-0.43,-0.24,-0.02,0.73,0.88,1.05,10.68,11.06,11.43,-0.451112735910701,-1.56545308658428,0.0207322088803235,8.715
"HSC 204",275.41580165864,-12.14502381564,"o",1.464,0.033,0.98,0,7.41,7.57,7.73,-0.72,-0.57,-0.41,1.53,1.66,1.78,8.74,8.92,9.13,0.575836518421882,0.195435066909693,0.0503344870190539,7.549
"HSC 2040",122.56741454134,-36.87220094978,"o",0.14,0.016,0.16,0,8.79,8.93,9.03,-0.35,-0.19,-0.03,2.04,2.13,2.27,13.25,13.49,13.73,-1.37189651772854,-4.79370527075594,-0.122075978803853,10.635
"HSC 2041",122.65123101098,-36.92438898124,"o",0.162,0.024,0.25,1,8.7,8.92,9.12,-0.2,0.06,0.32,1.16,1.37,1.55,12.35,12.75,13.19,-0.970932872911064,-3.41076740695232,-0.0731059274401998,9.712
"HSC 2042",130.10524292218,-32.73066550184,"o",0.503,0.023,1.0,0,8.94,9.03,9.1,-0.05,0.11,0.28,0.55,0.63,0.71,11.06,11.21,11.39,-0.472038123654025,-1.67225418524911,0.210762035461057,8.755
"HSC 2043",120.11562673045,-38.30733859863,"o",0.181,0.025,0.57,0,8.59,8.76,8.89,-0.38,-0.12,0.13,1.66,1.8,1.95,12.43,12.76,13.13,-0.96786233671817,-3.42021257821159,-0.225004412055555,9.712
"HSC 2046",112.70352583292,-42.84385049389,"o",2.036,0.031,0.94,0,7.02,7.14,7.26,-0.13,-0.01,0.14,1.12,1.22,1.33,8.37,8.6,8.78,-0.129474520064488,-0.497863543684229,-0.0622470670343641,8.266
"HSC 2047",66.66749748983,-49.98105603197,"o",2.955,0.022,0.6,0,7.33,7.51,7.66,-0.19,-0.04,0.11,0.13,0.24,0.35,7.5,7.67,7.85,-0.0550058038344882,-0.242418954956711,-0.193249782156887,8.181
"HSC 2050",128.04365189631,-36.27871854944,"o",0.911,0.022,1.0,0,7.56,7.67,7.82,0.43,0.59,0.73,0.42,0.52,0.6,10.07,10.28,10.49,-0.274003528883139,-1.10336588587906,0.0826735100226047,8.468
"HSC 2053",139.02063425176,-29.08127782819,"o",0.437,0.023,0.92,0,8.38,8.54,8.68,-0.99,-0.79,-0.59,1.43,1.55,1.71,11.48,11.79,12.06,-0.521253624721387,-2.15265934042468,0.584080065451614,8.907
"HSC 2054",120.68440957077,-40.56472396024,"o",0.244,0.021,0.06,0,9.16,9.27,9.36,-0.13,0.02,0.19,1.28,1.37,1.46,12.44,12.63,12.83,-0.788758084355184,-3.24970297842784,-0.257103501878755,9.485
"HSC 2055",130.18987489144,-35.63643556459,"o",0.136,0.015,0.82,0,9.03,9.13,9.23,-0.91,-0.77,-0.65,1.49,1.62,1.75,13.39,13.63,13.88,-1.23139785898801,-5.164337431391,0.398156546844946,10.684
"HSC 2056",114.39901547755,-43.49957235391,"o",2.284,0.026,0.98,0,7.13,7.21,7.32,-0.27,-0.15,-0.05,1.0,1.07,1.15,8.14,8.3,8.47,-0.104176497048581,-0.437019723827666,-0.0425729266222537,8.238
"HSC 2057",120.43314324231,-40.95445681887,"o",1.027,0.031,0.91,0,8.07,8.22,8.37,0.14,0.27,0.4,0.95,1.05,1.13,9.76,9.95,10.12,-0.22559796161703,-0.946258010681025,-0.0515767414715917,8.401
"HSC 2063",126.29198071493,-38.5549440213,"o",0.195,0.021,0.28,0,7.11,7.27,7.42,0.14,0.33,0.58,3.35,3.44,3.57,13.21,13.6,13.93,-1.17342705652331,-5.11507555550683,0.0056065100000538,10.61
"HSC 2066",126.7840057914,-38.80911736635,"o",0.188,0.025,0.44,1,7.45,7.59,7.75,0.2,0.43,0.63,3.1,3.25,3.38,13.52,13.85,14.25,-1.2735097832924,-5.74902077445518,0.0181442058864977,11.015
"HSC 2068",127.6531700228,-38.53920169726,"o",5.843,0.06,0.93,0,7.31,7.47,7.61,0.05,0.23,0.36,0.21,0.32,0.46,5.91,6.14,6.37,-0.0360137129610684,-0.165151438672458,0.0430146158164153,8.16
"HSC 2071",130.37946668669,-37.23258432141,"o",1.164,0.031,0.91,0,7.83,8.01,8.17,0.31,0.48,0.66,0.2,0.3,0.39,9.42,9.63,9.81,-0.175865106551178,-0.823619271850666,0.0854965185226414,8.339
"HSC 2072",119.72856536139,-43.60244636027,"o",0.835,0.023,0.99,0,7.56,7.64,7.73,0.07,0.22,0.37,0.17,0.24,0.32,10.24,10.4,10.56,-0.235846402708921,-1.16897745644245,-0.111028266342322,8.439
"HSC 2073",125.3823712695,-40.1628847847,"o",0.46,0.023,0.47,1,8.2,8.38,8.53,-0.71,-0.5,-0.28,4.84,4.95,5.08,11.25,11.52,11.85,-0.418744966328498,-1.96857591887448,-0.0249173133256812,8.765
"HSC 2075",122.98728139054,-41.53542697115,"o",0.4,0.024,0.88,1,6.97,7.12,7.28,-0.07,0.15,0.36,1.98,2.13,2.27,11.42,11.78,12.15,-0.466222629705269,-2.21534528295679,-0.123152381794606,8.869
"HSC 2076",123.05843327282,-41.59293956624,"o",0.758,0.028,0.98,0,8.17,8.43,8.66,0.1,0.31,0.54,0.52,0.64,0.76,10.4,10.7,10.97,-0.281698185032612,-1.34763345103081,-0.0582795576481039,8.511
"HSC 2077",122.4160159101,-42.14877899667,"o",0.066,0.014,0.18,3,7.83,8.04,8.27,0.04,0.3,0.55,0.56,0.8,1.03,14.17,14.67,15.15,-1.72136529289134,-8.38445069965716,-0.685186978682915,12.93
"HSC 2080",127.55147519285,-39.97044994594,"o",0.744,0.024,0.96,0,8.22,8.35,8.46,0.39,0.54,0.68,1.55,1.66,1.78,10.44,10.62,10.84,-0.258436070912616,-1.30506952106284,0.0316233401026767,8.481
"HSC 2081",127.03534591696,-40.31626147831,"o",0.403,0.023,1.0,0,7.84,7.96,8.09,1.09,1.21,1.35,2.79,2.88,2.96,11.79,12.03,12.29,-0.492601559538699,-2.49837363231396,-0.0007201121456083,8.97
"HSC 2082",124.49714569764,-41.85302500407,"o",1.225,0.021,0.88,0,8.33,8.49,8.62,0.14,0.27,0.38,0.61,0.69,0.76,9.41,9.55,9.71,-0.154705680512482,-0.796509110710004,-0.0066140586034071,8.315
"HSC 2083",130.12151274235,-38.76018160112,"o",0.12,0.018,0.43,0,8.67,8.76,8.87,0.07,0.26,0.43,1.75,1.89,2.05,13.27,13.53,13.79,-0.96670570137174,-4.98598828060956,0.208786614156986,10.367
"HSC 2084",120.90827315449,-43.78217679551,"o",0.067,0.019,0.14,2,9.42,9.61,9.76,-1.37,-1.09,-0.86,1.57,1.75,1.91,13.03,13.53,13.97,-0.946278312246092,-4.95781613550614,-0.5476096586128,10.335
"HSC 2085",124.24927573967,-42.23824246512,"o",1.202,0.028,0.43,1,6.52,6.71,6.89,-0.29,-0.1,0.11,1.0,1.18,1.34,9.65,9.96,10.31,-0.183153988343749,-0.962345805366488,-0.0229324271979535,8.361
"HSC 2086",131.33638489868,-39.28809879245,"o",1.723,0.032,0.62,0,7.16,7.31,7.43,-0.26,-0.1,0.08,0.49,0.62,0.74,8.79,9.03,9.25,-0.110682998192258,-0.629559109263299,0.0672781043020548,8.257
"HSC 2088",123.02100566487,-44.1187967939,"o",0.223,0.012,0.09,0,8.03,8.16,8.28,-0.12,0.03,0.18,2.43,2.51,2.59,12.91,13.13,13.36,-0.708846176046039,-4.14668705482202,-0.367498468883547,9.756
"HSC 2089",127.45538835025,-42.09986189428,"o",0.175,0.022,0.18,0,7.85,7.99,8.08,0.33,0.51,0.67,3.76,3.88,3.98,13.25,13.55,13.81,-0.8482400971352,-5.05556758899594,-0.114476343833099,10.297
"HSC 2090",131.57157842997,-39.78923098501,"o",0.239,0.018,0.53,0,8.44,8.53,8.61,-0.26,-0.11,0.03,4.2,4.31,4.43,12.56,12.82,13.07,-0.602383045175762,-3.6119561875907,0.177705432979812,9.443
"HSC 2091",126.74261860144,-42.64648204347,"o",0.656,0.023,1.0,0,8.18,8.37,8.5,0.14,0.29,0.49,0.61,0.71,0.83,10.68,10.93,11.16,-0.250115722698398,-1.51262353499426,-0.025094278045674,8.508
"HSC 2092",132.22287000519,-39.57998097856,"o",1.152,0.029,0.96,1,6.59,6.79,6.99,-0.05,0.14,0.34,0.48,0.63,0.77,9.63,9.99,10.25,-0.16093421949077,-0.981226663562358,0.0876193795041387,8.341
"HSC 2093",123.80062593456,-44.30537303367,"o",1.369,0.028,0.91,1,6.38,6.6,6.84,-0.36,-0.11,0.11,0.37,0.58,0.76,9.23,9.65,10.15,-0.136022495717949,-0.836659481795919,-0.035390297650039,8.3
"HSC 2094",131.08312062114,-40.63134556302,"o",0.66,0.029,0.09,0,8.17,8.29,8.4,0.28,0.42,0.57,2.79,2.9,2.99,10.54,10.75,10.98,-0.221947447016655,-1.39461272043724,0.0739292804531083,8.46
"HSC 2095",127.94857090944,-42.69277522489,"o",0.19,0.023,0.75,1,8.1,8.28,8.46,0.09,0.28,0.5,2.97,3.15,3.37,12.63,13.0,13.53,-0.610847931050465,-3.93193528598383,-0.0834963523458337,9.577
"HSC 2097",119.57961374595,-47.22963974317,"o",0.636,0.017,1.0,0,7.79,7.89,8.01,-0.35,-0.23,-0.11,0.51,0.57,0.63,10.71,10.85,11.01,-0.210983213471243,-1.44460485687502,-0.195788449096453,8.457
"HSC 2099",130.47297293489,-41.64999468208,"o",0.653,0.027,0.41,2,6.75,6.92,7.12,-0.27,-0.11,0.07,3.33,3.51,3.65,10.92,11.31,11.76,-0.271086077893395,-1.8078562662177,0.0517989447821668,8.586
"HSC 2102",126.60583986202,-43.89806382576,"o",0.155,0.025,0.13,1,8.12,8.29,8.44,-0.59,-0.35,-0.14,2.9,3.11,3.25,11.85,12.25,12.65,-0.4123743824361,-2.78332515225996,-0.120600017827469,8.977
"HSC 2103",128.03812147113,-43.33914703266,"o",0.527,0.021,0.99,0,6.69,6.8,6.92,-0.16,0.02,0.22,2.1,2.24,2.35,10.97,11.3,11.6,-0.261586700787809,-1.79952439497405,-0.0260877377697008,8.575
"HSC 2105",126.7278136204,-44.21835996594,"o",0.768,0.019,1.0,0,8.56,8.74,8.92,-0.36,-0.21,-0.06,0.58,0.67,0.76,10.28,10.49,10.71,-0.17657276022392,-1.23838893157471,-0.0330211262963686,8.39
"HSC 2106",130.81074844792,-41.63104992108,"o",1.209,0.023,1.0,0,8.01,8.13,8.26,0.34,0.52,0.66,0.13,0.23,0.31,9.49,9.69,9.91,-0.126429346684336,-0.85765233603109,0.0496155785014114,8.293
"HSC 2110",122.79866833276,-46.54109465439,"o",0.122,0.022,0.71,0,9.13,9.25,9.38,-0.51,-0.34,-0.18,1.03,1.18,1.32,13.36,13.66,13.9,-0.721135862283473,-5.30610055704729,-0.615965748270882,10.313
"HSC 2112",133.93926279224,-40.99482767967,"o",0.16,0.018,0.06,0,8.48,8.59,8.67,0.43,0.57,0.72,3.09,3.17,3.27,12.81,13.0,13.22,-0.511350077311047,-3.94346864442828,0.232599566166709,9.491
"HSC 2113",122.19313112408,-47.34754814572,"o",0.812,0.032,0.59,0,8.56,8.74,8.86,0.1,0.29,0.46,0.53,0.64,0.74,10.2,10.38,10.59,-0.149475984942919,-1.17076364137777,-0.119704013225723,8.354
"HSC 2114",127.56379469966,-45.28854160109,"o",0.569,0.018,0.99,0,7.58,7.83,8.03,0.16,0.34,0.49,1.39,1.52,1.62,11.05,11.28,11.52,-0.216113534034342,-1.78651524422626,-0.0702913929508098,8.527
"HSC 2115",129.96171906656,-43.90274276062,"o",0.153,0.021,0.2,0,7.83,7.93,8.01,0.36,0.53,0.68,3.18,3.25,3.33,13.08,13.31,13.56,-0.557995686097124,-4.55664393494425,-0.0674350396826935,9.803
"HSC 2116",137.37757936656,-39.18174524985,"o",0.159,0.021,0.82,0,9.07,9.19,9.28,-0.39,-0.2,0.02,0.93,1.07,1.21,13.34,13.57,13.91,-0.627451659612188,-5.11007583996528,0.57552803746617,10.132
"HSC 2118",130.16205525048,-43.94939559598,"o",0.476,0.019,1.0,0,8.41,8.51,8.61,0.18,0.32,0.48,1.63,1.72,1.81,11.21,11.39,11.57,-0.226353539332861,-1.88267462313104,-0.0006093846553194,8.558
"HSC 2120",140.62769761333,-37.91087809005,"o",2.251,0.026,0.96,0,8.29,8.46,8.63,0.09,0.23,0.34,0.15,0.25,0.36,8.11,8.27,8.48,-0.0477629559129901,-0.443136019388473,0.109292869061659,8.182
"HSC 2123",124.98524550162,-47.33962178638,"o",0.662,0.013,0.97,0,7.74,7.93,8.09,-0.23,-0.04,0.15,1.13,1.23,1.32,10.75,10.97,11.21,-0.168923826656128,-1.54481109518961,-0.12705638072267,8.434
"HSC 2126",134.11318063017,-44.85791250249,"o",1.9,0.025,1.0,0,7.36,7.49,7.6,-0.07,0.1,0.23,0.22,0.29,0.39,8.62,8.77,8.95,-0.0431972732512129,-0.565886413410072,0.0449376786453013,8.185
"HSC 2128",133.0508209219,-43.5948407212,"o",0.178,0.022,0.05,3,7.55,7.71,7.88,-0.23,-0.06,0.13,4.91,5.09,5.23,13.29,13.65,14.04,-0.544880446799732,-5.34233299060042,0.0951679217071867,10.181
"HSC 2129",131.39100160164,-44.5647731344,"o",0.509,0.024,0.75,0,7.68,7.8,7.89,-0.27,-0.09,0.11,3.38,3.46,3.53,11.1,11.3,11.54,-0.184724787315249,-1.81003812504218,0.0109387363784076,8.502
"HSC 2130",131.39532991509,-44.70706949749,"o",0.43,0.015,0.92,1,7.26,7.43,7.61,0.26,0.53,0.8,3.45,3.55,3.66,11.84,12.17,12.51,-0.27043281533852,-2.70248154759477,-0.0082745679723755,8.817
"HSC 2132",131.88492402752,-44.989080155,"o",0.508,0.012,0.18,2,7.35,7.55,7.81,-0.29,-0.05,0.25,2.18,2.38,2.61,11.63,12.13,12.54,-0.245238528457987,-2.65518151731951,-0.0030233880674012,8.778
"HSC 2133",157.9286511228,-21.68376561009,"o",2.59,0.041,0.99,0,7.84,7.96,8.07,0.15,0.27,0.38,0.23,0.33,0.44,7.8,7.99,8.17,-0.0307446010003999,-0.339537815681874,0.243598720935094,8.16
"HSC 2135",131.84763756218,-45.43211387773,"o",0.287,0.023,0.55,0,7.93,8.02,8.11,0.3,0.44,0.57,3.43,3.51,3.59,12.29,12.53,12.69,-0.276555705889006,-3.19354181741996,-0.0287978052490829,8.985
"HSC 2136",135.5676045006,-43.2424179457,"o",1.216,0.024,0.58,0,9.23,9.37,9.49,0.29,0.42,0.55,0.28,0.38,0.49,9.47,9.68,9.85,-0.0736010148420867,-0.859201207350976,0.0745276257359978,8.241
"HSC 2137",133.8254235188,-44.43854773213,"o",0.677,0.022,0.1,1,7.7,7.87,8.03,0.15,0.3,0.48,3.62,3.78,3.9,10.91,11.19,11.47,-0.145310740805154,-1.72364557889913,0.0552968051010997,8.445
"HSC 2139",127.31798875438,-49.91929175247,"o",5.294,0.032,0.99,0,7.12,7.24,7.35,-0.24,-0.14,-0.06,0.45,0.54,0.63,6.25,6.39,6.52,-0.0105786736076698,-0.188189423958131,0.0204528564807993,8.135
"HSC 2140",131.18147416722,-46.14091267123,"o",0.209,0.015,0.99,0,8.62,8.75,8.86,-0.4,-0.23,-0.03,1.41,1.52,1.62,12.25,12.44,12.69,-0.251215042859256,-3.06381690188674,-0.0691936155267573,8.916
"HSC 2141",132.86390570061,-45.84377420288,"o",0.212,0.024,0.51,2,7.86,8.01,8.15,-0.2,-0.04,0.15,3.78,3.91,4.05,12.91,13.24,13.53,-0.324080079196508,-4.43384571727749,-0.0336555316168548,9.539
"HSC 2142",127.69188840998,-48.6858714703,"o",0.647,0.027,1.0,0,7.7,7.83,7.95,-0.28,-0.11,0.05,1.1,1.17,1.25,10.77,10.95,11.13,-0.109909268682523,-1.53780475273367,-0.106398509511022,8.374
"HSC 2144",133.90234620524,-45.50292508373,"o",1.186,0.021,0.79,0,6.42,6.63,6.82,-0.53,-0.31,-0.07,0.96,1.13,1.29,9.64,9.99,10.37,-0.0689631157908863,-0.993005972211407,0.0382090582557887,8.251
"HSC 2145",131.55254155247,-46.97051300196,"o",0.599,0.021,1.0,0,8.61,8.75,8.89,-0.16,0.01,0.17,0.82,0.96,1.08,10.9,11.14,11.42,-0.114261665773428,-1.68510805862407,-0.0286819941238029,8.407
"HSC 2147",130.74227168924,-47.36648641172,"o",1.392,0.026,0.8,0,8.18,8.36,8.5,-0.64,-0.47,-0.32,0.72,0.85,1.0,8.63,8.85,9.05,-0.0400959327897716,-0.586633344499296,0.0101619781456259,8.183
"HSC 2148",136.53002781929,-44.64564925765,"o",1.071,0.024,0.92,0,6.96,7.12,7.29,0.21,0.36,0.57,0.73,0.84,0.94,9.99,10.22,10.45,-0.0653850062838987,-1.10416376867914,0.0756571362963395,8.262
"HSC 2149",134.22428331956,-45.99648592192,"o",0.458,0.024,0.91,1,6.98,7.15,7.35,0.87,1.11,1.32,3.47,3.61,3.77,11.88,12.28,12.7,-0.172095081016252,-2.85235004779096,0.0243653339224187,8.771
"HSC 215",277.08043327429,-11.45326370248,"o",0.318,0.028,0.8,2,8.0,8.15,8.31,0.07,0.24,0.4,4.53,4.66,4.83,12.36,12.73,13.02,3.30100862916111,1.20940840000486,0.0236132477206717,4.97
"HSC 2151",131.16578155171,-47.66959141446,"o",0.119,0.021,0.95,0,8.31,8.51,8.7,0.13,0.37,0.6,1.16,1.35,1.53,13.08,13.59,14.05,-0.318162717211781,-5.2069750827841,-0.233979121486379,9.917
"HSC 2153",133.53674517354,-46.56716308114,"o",0.428,0.018,0.07,2,6.96,7.1,7.24,0.47,0.63,0.83,2.52,2.67,2.82,12.09,12.42,12.71,-0.17683076367625,-3.04221976995236,-0.0157079404690355,8.839
"HSC 2155",132.37806280134,-47.75588044091,"o",0.488,0.017,0.99,0,7.27,7.37,7.44,-0.12,0.06,0.22,1.43,1.53,1.61,11.07,11.28,11.52,-0.0916431505843551,-1.79904473109201,-0.0352614337694627,8.408
