"Cluster","RA_ICRS","DE_ICRS","kind","plx","e_plx","CMDclass","Quality","logAge16","logAge50","logAge84","[Fe/H]16","[Fe/H]50","[Fe/H]84","AV16","AV50","AV84","dMod16","dMod50","dMod84","X","Y","Z","Rgc"
"HSC 1398",82.26050662386,28.9275091147,"o",0.151,0.036,0.74,0,8.8,8.91,9.03,-0.72,-0.56,-0.4,1.85,1.96,2.11,13.5,13.79,14.08,-5.71722569721384,0.19345946635823,-0.250167936580831,13.841
"HSC 1399",89.68033946287,32.48101641465,"o",1.29,0.022,0.88,0,8.05,8.15,8.29,-0.4,-0.26,-0.11,0.61,0.7,0.81,9.21,9.36,9.59,-0.742239410420897,0.0210251559431627,0.0983871046698793,8.864
"HSC 14",267.28969094054,-27.98097369817,"o",0.424,0.03,0.85,0,7.6,7.82,8.01,-0.8,-0.57,-0.31,3.53,3.72,3.91,10.65,11.09,11.48,1.65158869540802,0.0351688404537379,0.0324516458905121,6.471
"HSC 1400",73.73209506553,23.223095544,"o",0.762,0.034,1.0,0,8.52,8.61,8.69,0.19,0.33,0.49,1.29,1.35,1.43,10.45,10.61,10.77,-1.29252487640056,0.0388349599498963,-0.244202276066594,9.415
"HSC 1401",79.75704111353,27.21352690817,"o",0.964,0.026,0.98,0,7.84,7.98,8.13,0.26,0.47,0.67,1.77,1.9,2.02,10.01,10.21,10.42,-1.0955345132631,0.0335461195593967,-0.0679868660151639,9.218
"HSC 1403",75.44095977767,24.60438048665,"o",2.013,0.037,0.82,0,7.08,7.18,7.3,-0.17,-0.03,0.09,1.6,1.7,1.8,8.4,8.56,8.77,-0.506486331476268,0.0167365600695413,-0.0512711994265328,8.629
"HSC 1404",83.86020284722,29.19912984783,"o",1.06,0.033,1.0,0,8.17,8.25,8.33,0.15,0.26,0.38,1.8,1.86,1.94,9.76,9.9,10.05,-0.954307749011793,0.0233666773951704,0.0149406043138894,9.076
"HSC 1407",90.03376395523,32.01571347174,"o",0.977,0.046,0.84,2,6.02,6.27,6.52,-0.58,-0.31,-0.08,1.81,2.07,2.36,9.94,10.51,10.97,-1.26075728502508,0.0235185645087364,0.138702088413552,9.383
"HSC 1408",81.9847238763,27.79973354921,"o",0.177,0.03,0.88,0,8.83,8.92,9.03,-0.31,-0.15,0.02,1.85,1.98,2.12,13.75,14.0,14.27,-6.2948520460942,0.12417816529358,-0.370467037081652,14.417
"HSC 1409",73.38238964236,22.25937511624,"o",0.537,0.033,1.0,0,7.38,7.46,7.54,-0.19,-0.05,0.09,1.79,1.85,1.92,11.08,11.25,11.41,-1.73020229609472,0.0342286475467051,-0.367562449085952,9.852
"HSC 1410",91.38297557152,32.60236650008,"o",0.28,0.023,0.16,0,7.89,8.06,8.27,-0.75,-0.52,-0.32,2.02,2.15,2.27,12.32,12.6,12.93,-3.29447094071892,0.058954030491261,0.369612369732688,11.417
"HSC 1413",90.25944822142,32.03320560926,"o",0.176,0.032,0.07,0,8.41,8.51,8.63,-0.07,0.13,0.31,2.0,2.13,2.25,12.93,13.2,13.48,-4.35055306817063,0.0751458023557893,0.390048768322937,12.473
"HSC 1414",82.20763585268,27.35060669128,"o",0.221,0.035,0.42,0,8.34,8.46,8.61,0.35,0.53,0.67,1.91,2.02,2.15,12.9,13.16,13.45,-4.27562906017061,0.0481675957562164,-0.244462409545189,12.398
"HSC 1416",83.80176667114,28.05495324519,"o",0.213,0.033,0.97,0,8.99,9.06,9.16,-0.41,-0.25,-0.11,2.03,2.14,2.24,12.88,13.1,13.35,-4.16528600496138,0.033908167103398,-0.122805426993306,12.287
"HSC 1417",86.87995885209,29.74882623239,"o",0.758,0.03,0.99,0,9.65,9.77,9.88,-0.47,-0.23,-0.05,0.88,1.03,1.16,10.17,10.4,10.63,-1.20203987215251,0.0100616842013764,0.0609558347089159,9.324
"HSC 1419",84.36127133747,27.56399486261,"o",0.157,0.036,0.07,1,8.72,8.86,8.99,-0.93,-0.72,-0.5,2.29,2.47,2.62,13.09,13.4,13.72,-4.78300575132614,-0.0178708447909072,-0.134349886830061,12.905
"HSC 142",271.44043988471,-18.92110363936,"o",0.565,0.035,0.71,2,7.41,7.56,7.72,0.66,0.85,1.0,4.72,4.86,5.0,11.32,11.66,11.91,2.10836294893818,0.408493111029531,0.0766300791094938,6.027
"HSC 1421",85.1082847452,27.30059205096,"o",0.616,0.019,1.0,0,7.24,7.35,7.46,-0.47,-0.35,-0.22,1.38,1.46,1.55,10.79,10.98,11.15,-1.56950704227226,-0.0216548333413056,-0.0046000525810164,9.692
"HSC 1426",58.23501466637,5.1995388549,"o",5.397,0.035,0.99,0,7.6,7.69,7.8,-0.04,0.06,0.14,0.84,0.93,1.01,6.27,6.39,6.54,-0.154299860327837,-0.0094647744556807,-0.068257565721735,8.276
"HSC 1427",81.26418678943,24.53287438887,"o",1.332,0.024,0.99,0,8.12,8.25,8.41,0.13,0.27,0.45,1.93,2.03,2.14,9.1,9.29,9.47,-0.716841225447523,-0.015538414844171,-0.0349181446724745,8.839
"HSC 143",274.32610816298,-20.40235263155,"o",0.739,0.032,0.97,3,7.39,7.74,8.07,-0.39,-0.13,0.17,0.58,0.76,1.01,10.69,11.17,11.66,1.68143423824421,0.326104313504118,-0.0230072492372751,6.449
"HSC 1430",93.39531646589,31.82724794835,"o",1.648,0.043,0.99,0,8.08,8.18,8.27,0.06,0.16,0.27,0.51,0.57,0.63,8.83,8.95,9.06,-0.612190273374502,-0.0050664948416931,0.114772299575243,8.734
"HSC 1432",86.17806549596,26.85979757262,"o",0.366,0.037,0.95,0,8.39,8.48,8.6,0.58,0.72,0.89,2.07,2.18,2.3,11.94,12.24,12.52,-2.80369590791078,-0.0815831519422829,-0.012640159820135,10.926
"HSC 1435",88.94862774458,28.06378576316,"o",0.216,0.029,0.16,0,9.08,9.14,9.22,-0.29,-0.13,-0.01,1.33,1.41,1.5,12.77,12.98,13.13,-3.94081532733956,-0.130329959381079,0.15311257529001,12.064
"HSC 1436",90.96011021299,28.9719440648,"o",1.025,0.024,0.96,0,7.96,8.1,8.32,-0.48,-0.34,-0.2,0.57,0.68,0.77,9.74,9.94,10.13,-0.970214609060422,-0.0335851258705734,0.102764787156799,9.092
