"COCD","Name","GLON","GLAT","Dist","E(B-V)","logt","DM(B)","I(M.B)","DM(V)","I(M.V)","DM(J)","I(M.J)","DM(H)","I(M.H)","DM(Ks)","I(M.Ks)","_RA.icrs","_DE.icrs"
1021,"ASCC 21",199.86,-16.49,500,0.03,7.11,8.618,-4.158,8.588,-4.002,8.521,-4.13,8.513,-4.056,8.506,-4.031,82.2361,3.6455
1022,"ASCC 22",208.12,-7.92,1500,0.2,8.42,11.7,-3.518,11.5,-4.14,11.055,-4.888,10.998,-5.43,10.954,-5.533,93.622,0.6368
1023,"ASCC 23",167.52,14.42,600,0.07,8.45,9.178,-1.636,9.108,-1.98,8.952,-3.194,8.932,-3.505,8.917,-3.554,95.0807,46.6697
1024,"ASCC 24",216.64,-8.23,400,0.14,6.96,8.584,-4.585,8.444,-4.353,8.132,-4.537,8.092,-4.684,8.062,-4.527,97.1805,-7.0213
1025,"ASCC 25",190.18,9.72,1400,0.16,8.86,11.387,-3.268,11.227,-4.61,10.871,-6.846,10.825,-7.56,10.791,-7.286,101.3749,24.5974
1026,"ASCC 26",206.35,3.06,800,0.13,8.09,10.048,-2.172,9.918,-2.711,9.629,-4.087,9.592,-4.614,9.563,-4.764,102.589,7.2506
1027,"ASCC 27",217.11,-1.46,1200,0.09,8.75,10.765,-2.632,10.675,-3.811,10.475,-5.919,10.449,-6.537,10.429,-6.792,103.4649,-4.3839
1028,"ASCC 28",213.38,0.5,800,0.05,8.34,9.72,-2.668,9.67,-2.667,9.559,-2.7,9.544,-2.736,9.534,-2.735,103.5088,-0.1708
1029,"ASCC 29",214.72,-0.12,750,0.05,8.06,9.58,-1.925,9.53,-1.884,9.419,-1.965,9.404,-2.21,9.394,-2.184,103.5682,-1.6461
1030,"ASCC 30",219.09,-1.6,800,0.15,8.2,10.13,-2.505,9.98,-2.474,9.646,-2.449,9.603,-2.534,9.571,-2.623,104.2454,-6.2096
1031,"ASCC 31",210.89,3.69,600,0.15,8.63,9.506,-1.287,9.356,-1.607,9.022,-2.316,8.979,-2.776,8.947,-2.794,105.2174,3.4967
1032,"ASCC 32",237.88,-9.61,750,0.08,8.18,9.703,-3.271,9.623,-3.211,9.445,-3.073,9.422,-3.127,9.405,-3.163,105.4891,-26.5032
1033,"ASCC 33",236.67,-8.73,800,0.05,7.26,9.72,-5.02,9.67,-4.857,9.559,-4.566,9.544,-4.502,9.534,-4.484,105.7921,-25.0449
1034,"ASCC 34",209.67,6.99,550,0.04,8.55,8.866,-1.967,8.826,-1.955,8.737,-1.979,8.726,-1.996,8.717,-2.021,107.6217,6.0707
1035,"ASCC 35",213.46,5.68,800,0.06,8.49,9.761,-1.891,9.701,-1.979,9.567,-2.413,9.55,-2.563,9.537,-2.598,108.1571,2.1186
1036,"ASCC 36",234.31,-4.64,750,0.0,8.51,9.375,-1.324,9.375,-1.693,9.375,-2.895,9.375,-3.141,9.375,-3.202,108.6227,-21.1151
1037,"ASCC 37",237.69,-5.46,1600,0.0,8.73,11.021,-2.32,11.021,-2.575,11.021,-3.306,11.021,-3.766,11.021,-3.872,109.5107,-24.4823
1038,"ASCC 38",221.97,5.36,500,0.07,8.6,8.782,-0.834,8.712,-0.955,8.556,-1.182,8.536,-1.264,8.521,-1.291,111.7867,-5.5436
1039,"ASCC 39",237.95,-1.72,1500,0.0,8.71,10.88,-2.859,10.88,-3.468,10.88,-5.517,10.88,-6.193,10.88,-6.411,113.2471,-22.9481
1040,"ASCC 40",229.97,2.84,700,0.11,8.58,9.676,-1.248,9.566,-1.488,9.321,-2.158,9.29,-2.458,9.266,-2.639,113.3915,-13.7603
1041,"ASCC 41",219.35,12.35,370,0.02,8.44,7.923,-0.762,7.903,-0.953,7.858,-1.685,7.853,-1.818,7.848,-1.847,116.7546,0.0197
1042,"ASCC 42",266.41,-12.85,800,0.1,8.57,9.925,-3.081,9.825,-3.095,9.602,-3.424,9.574,-3.49,9.552,-3.518,118.2146,-53.0079
1043,"ASCC 43",244.73,-0.39,1000,0.1,8.28,10.41,-2.9,10.31,-3.353,10.087,-4.808,10.059,-5.343,10.037,-5.527,118.2662,-28.1676
1044,"ASCC 44",264.92,-10.47,1100,0.18,7.89,10.945,-4.593,10.765,-4.464,10.364,-4.429,10.313,-4.464,10.274,-4.455,120.4124,-50.5693
1045,"ASCC 45",253.63,-0.31,3000,0.6,7.12,14.847,-6.851,14.246,-6.572,12.911,-6.723,12.739,-6.865,12.609,-6.839,123.9576,-35.6474
1046,"ASCC 46",264.44,-7.33,900,0.1,7.71,10.181,-2.959,10.081,-2.879,9.858,-2.905,9.83,-2.933,9.808,-2.923,124.1393,-48.5102
1047,"ASCC 47",258.26,0.31,900,0.1,7.88,10.181,-3.9,10.081,-3.814,9.858,-3.726,9.83,-3.745,9.808,-3.748,127.9431,-39.0821
1048,"ASCC 48",257.39,1.61,400,0.0,9.09,8.01,-0.539,8.01,-1.892,8.01,-5.45,8.01,-6.4,8.01,-6.628,128.6161,-37.6097
1049,"ASCC 49",259.31,3.47,900,0.02,8.14,9.853,-2.498,9.833,-2.901,9.788,-4.954,9.783,-5.976,9.778,-6.109,131.9636,-37.9875
1050,"ASCC 50",262.5,1.48,850,0.2,7.48,10.467,-5.017,10.267,-4.769,9.822,-4.298,9.765,-4.266,9.721,-4.199,132.5699,-41.7157
1051,"ASCC 51",286.24,-14.08,500,0.05,8.53,8.7,-1.851,8.65,-1.934,8.539,-2.322,8.524,-2.484,8.514,-2.55,139.4901,-69.6862
1052,"ASCC 52",275.96,-2.41,1500,0.04,8.75,11.044,-3.073,11.004,-3.763,10.915,-6.312,10.904,-7.269,10.895,-7.447,141.985,-54.258
1053,"ASCC 53",280.56,-5.36,2500,0.15,8.12,12.605,-4.947,12.455,-5.441,12.121,-7.244,12.078,-7.905,12.046,-8.118,144.4791,-59.5416
1054,"ASCC 54",277.9,-0.9,1200,0.05,8.84,10.601,-2.612,10.551,-3.472,10.44,-5.585,10.425,-6.203,10.415,-6.449,146.1912,-54.435
1055,"ASCC 55",280.61,-2.09,1100,0.19,8.45,10.986,-3.014,10.796,-3.549,10.373,-5.778,10.319,-6.578,10.278,-6.712,148.569,-57.0745
1056,"ASCC 56",286.39,-6.87,800,0.11,8.08,9.966,-2.76,9.856,-2.705,9.611,-2.913,9.58,-3.027,9.556,-3.154,152.0626,-64.3653
1057,"ASCC 57",287.97,-8.59,1500,0.13,8.7,11.413,-3.323,11.283,-4.239,10.994,-6.581,10.957,-7.345,10.928,-7.552,152.7125,-66.6755
1058,"ASCC 58",281.71,1.33,600,0.09,7.04,9.26,-3.812,9.17,-3.656,8.97,-3.486,8.944,-3.45,8.924,-3.416,153.7788,-54.9675
1059,"ASCC 59",283.78,-0.51,550,0.05,8.6,8.907,-2.128,8.857,-2.363,8.746,-3.111,8.731,-3.232,8.721,-3.333,155.0512,-57.6456
1060,"ASCC 60",285.67,-0.32,800,0.1,8.36,9.925,-2.371,9.825,-2.575,9.602,-3.423,9.574,-3.607,9.552,-3.616,158.2797,-58.4775
1061,"ASCC 61",286.41,1.94,1700,0.23,7.96,12.095,-4.814,11.865,-4.817,11.353,-5.318,11.287,-5.65,11.238,-5.744,161.5364,-56.8578
1062,"ASCC 62",288.43,-0.66,3000,0.24,7.5,13.37,-6.431,13.13,-6.63,12.596,-9.484,12.527,-10.298,12.475,-10.599,162.7145,-60.0921
1063,"ASCC 63",289.12,-0.67,3500,0.45,7.24,14.566,-7.391,14.115,-7.712,13.113,-8.821,12.985,-9.387,12.887,-9.866,163.9551,-60.4037
1064,"ASCC 64",290.14,-0.77,1500,0.15,7.92,11.495,-4.412,11.345,-5.371,11.011,-8.394,10.968,-9.082,10.936,-9.391,165.7611,-60.9208
1065,"ASCC 65",291.11,-0.57,3500,0.4,7.09,14.361,-7.6,13.96,-7.364,13.07,-7.107,12.956,-7.059,12.869,-7.168,167.7648,-61.1165
1066,"ASCC 66",289.29,4.84,1000,0.1,7.76,10.41,-2.368,10.31,-2.318,10.087,-2.488,10.059,-2.752,10.037,-2.798,168.399,-55.4189
1067,"ASCC 67",294.56,0.71,1500,0.3,7.67,12.11,-4.485,11.81,-5.502,11.142,-7.645,11.057,-8.56,10.992,-8.736,175.3728,-61.0197
1068,"ASCC 68",297.07,1.4,650,0.1,8.65,9.475,-2.207,9.375,-2.382,9.152,-3.072,9.124,-3.5,9.102,-3.538,180.7335,-60.9185
1069,"ASCC 69",299.04,-7.23,1000,0.17,7.91,10.697,-4.041,10.527,-4.392,10.149,-5.946,10.1,-6.738,10.063,-6.806,181.6351,-69.7618
1070,"ASCC 70",299.01,-1.83,2700,0.35,6.92,13.592,-7.648,13.242,-7.374,12.463,-7.068,12.363,-7.405,12.287,-8.051,183.7482,-64.4239
1071,"ASCC 71",299.99,-4.82,1300,0.25,7.88,11.595,-4.133,11.345,-4.521,10.789,-5.742,10.717,-6.156,10.663,-6.282,185.1742,-67.516
1072,"ASCC 72",300.69,1.84,1100,0.16,8.13,10.863,-3.597,10.703,-3.523,10.347,-3.58,10.301,-3.593,10.267,-3.617,188.2408,-60.9513
1073,"ASCC 73",301.49,-4.46,650,0.05,8.19,9.27,-1.848,9.22,-1.864,9.109,-2.439,9.094,-2.56,9.084,-2.721,189.1337,-67.29
1074,"ASCC 74",308.66,3.57,550,0.05,8.5,8.907,-1.187,8.857,-1.213,8.746,-1.435,8.731,-1.51,8.721,-1.539,203.9486,-58.8076
1075,"ASCC 75",309.33,-0.24,3000,0.3,6.65,13.616,-7.283,13.316,-7.054,12.648,-6.628,12.563,-6.606,12.498,-6.523,206.7855,-62.4178
1076,"ASCC 76",308.97,-4.24,600,0.27,7.45,9.998,-3.352,9.728,-3.21,9.127,-3.109,9.05,-3.07,8.991,-3.013,208.0478,-66.3969
1077,"ASCC 77",312.0,-0.86,2200,0.3,6.99,12.942,-6.112,12.642,-5.913,11.974,-5.75,11.889,-5.904,11.824,-5.875,212.6949,-62.3267
1078,"ASCC 78",314.77,-8.64,2400,0.0,8.48,11.901,-2.899,11.901,-3.671,11.901,-5.7,11.901,-6.406,11.901,-6.546,226.2653,-68.3841
1079,"ASCC 79",320.04,-2.86,800,0.16,6.86,10.171,-6.157,10.011,-5.922,9.655,-5.748,9.609,-5.721,9.575,-5.731,229.7918,-60.727
1080,"ASCC 80",320.92,-2.73,1500,0.17,7.93,11.577,-4.108,11.407,-3.963,11.029,-4.301,10.98,-4.303,10.943,-4.318,231.1435,-60.1399
1081,"ASCC 81",328.83,2.85,700,0.15,8.38,9.84,-2.27,9.69,-2.386,9.356,-3.204,9.313,-3.508,9.281,-3.523,236.7202,-50.9818
1082,"ASCC 82",320.55,-7.74,800,0.0,8.67,9.515,-2.031,9.515,-2.247,9.515,-3.259,9.515,-3.744,9.515,-3.854,236.8405,-64.4124
1083,"ASCC 83",328.1,1.11,600,0.15,8.4,9.506,-1.976,9.356,-2.158,9.022,-3.637,8.979,-4.19,8.947,-4.421,237.5471,-52.7983
1084,"ASCC 84",323.56,-5.44,900,0.15,7.68,10.386,-4.458,10.236,-4.375,9.902,-5.053,9.859,-5.061,9.827,-5.094,238.71,-60.7394
1085,"ASCC 85",339.89,-0.21,1200,0.2,7.42,11.216,-5.145,11.016,-5.021,10.571,-4.933,10.514,-4.984,10.47,-5.026,251.8701,-45.466
