"COCD","Name","GLON","GLAT","Dist","E(B-V)","logt","r1","r2","Sol","Sam","N2","rc","e_rc","rt","e_rt","k","e_k","logM","e_logM","_RA.icrs","_DE.icrs"
120,"NGC 2335",223.6,-1.18,1417,0.39,8.08,0.09,0.25,2,4,17,1.7,0.9,7.9,1.6,1.5,0.7,2.135,0.266,106.7064,-10.0268
124,"Haffner 23",230.0,-3.81,1000,0.1,8.84,0.1,0.2,2,3,11,2.5,1.9,3.7,0.9,6.5,5.6,1.199,0.305,107.3196,-16.9143
125,"Alessi 21",223.44,0.0,500,0.07,7.47,0.1,0.5,3,1,10,0.8,0.5,7.3,5.3,2.6,1.4,2.126,0.945,107.6939,-9.3411
128,"NGC 2353",224.69,0.38,1119,0.07,7.05,0.1,0.25,4,1,12,1.4,1.2,6.0,3.9,2.2,1.3,1.811,0.842,108.6235,-10.2727
129,"Alessi 3",257.84,-15.37,288,0.11,8.87,0.15,0.55,3,1,10,0.3,0.2,4.4,2.2,13.3,9.0,1.496,0.642,109.0858,-46.6099
130,"NGC 2358",231.05,-2.3,630,0.02,8.72,0.08,0.27,3,4,25,1.7,0.5,5.4,1.1,5.9,1.6,1.734,0.264,109.2266,-17.148
132,"NGC 2360",229.8,-1.43,1887,0.11,8.59,0.1,0.25,4,1,22,1.4,0.6,9.9,2.3,2.4,1.1,2.406,0.3,109.4222,-15.6373
133,"Collinder 135",249.12,-11.19,319,0.04,7.54,0.2,1.1,3,1,26,3.3,0.7,9.8,1.4,1.7,0.3,2.537,0.189,109.4445,-37.1556
134,"NGC 2362",238.2,-5.57,1389,0.1,6.64,0.06,0.25,4,4,28,0.6,0.4,6.2,0.9,11.3,8.8,1.852,0.2,109.6602,-24.9837
137,"NGC 2374",228.41,1.02,1468,0.09,8.68,0.1,0.27,4,1,13,6.8,3.1,11.6,2.0,0.7,0.4,2.643,0.223,110.9813,-13.2592
141,"NGC 2396",227.52,2.63,588,0.05,8.52,0.09,0.22,3,3,15,0.6,0.3,2.1,0.4,19.6,8.8,0.477,0.246,112.001,-11.7125
147,"NGC 2422",230.95,3.13,491,0.07,8.12,0.13,0.51,2,1,31,1.2,0.3,6.1,0.7,6.5,1.4,1.889,0.156,114.1416,-14.4764
148,"NGC 2423",230.48,3.53,766,0.1,8.98,0.11,0.46,4,2,73,1.4,0.3,9.6,1.3,7.9,1.3,2.458,0.182,114.2671,-13.8719
149,"Ruprecht 26",232.05,2.69,1440,0.1,7.49,0.1,0.2,2,4,12,4.1,2.1,6.6,0.9,2.3,0.6,1.915,0.182,114.2969,-15.6502
155,"Haffner 13",245.0,-3.73,714,0.05,7.51,0.1,0.48,2,2,11,0.5,0.3,5.5,1.3,6.0,5.6,1.755,0.299,115.1147,-30.0782
159,"NGC 2451A",252.5,-7.69,188,0.0,7.76,0.75,1.65,3,2,40,3.1,0.6,8.9,1.1,3.1,0.6,2.411,0.168,115.3162,-38.5235
160,"NGC 2437",231.85,4.05,1375,0.15,8.16,0.12,0.38,4,3,108,2.6,0.4,11.6,1.4,5.9,0.8,2.656,0.168,115.4248,-14.8105
162,"NGC 2451B",252.05,-6.73,430,0.05,7.88,0.2,0.4,2,2,11,2.5,1.2,4.2,0.6,4.0,1.6,1.415,0.19,116.1081,-37.6676
163,"NGC 2447",240.05,0.15,1037,0.05,8.76,0.1,0.32,4,1,50,1.3,0.3,9.4,1.5,6.0,1.5,2.422,0.219,116.1458,-23.8588
167,"NGC 2477",253.56,-5.84,1222,0.28,8.61,0.1,0.22,4,1,10,1.9,1.0,6.5,1.2,1.6,0.5,1.953,0.251,118.037,-38.5283
168,"ESO 123-26",273.11,-16.32,550,0.13,8.33,0.1,0.22,3,3,16,0.8,0.4,3.5,0.9,8.6,3.1,1.201,0.35,118.0485,-60.3603
171,"NGC 2482",241.62,2.03,1343,0.09,8.48,0.08,0.22,4,3,26,1.0,0.4,7.9,2.2,5.0,2.3,2.188,0.356,118.7925,-24.2558
175,"NGC 2516",273.81,-15.85,346,0.07,8.08,0.2,0.7,4,1,31,1.9,0.4,7.1,0.9,4.3,0.7,2.126,0.174,119.522,-60.7457
180,"NGC 2527",246.09,1.85,601,0.04,8.85,0.12,0.5,4,2,47,0.5,0.2,9.6,4.2,20.6,8.4,2.488,0.57,121.2385,-28.1516
181,"ESO 430-18",248.57,0.75,830,0.0,9.05,0.08,0.2,2,4,11,0.4,0.4,2.4,0.8,18.8,18.0,0.672,0.444,121.7015,-30.8339
182,"Vel OB2",263.28,-7.99,411,0.03,7.26,0.5,1.2,1,1,28,8.7,2.0,13.7,1.3,1.1,0.5,2.973,0.129,122.3743,-47.8989
183,"NGC 2547",264.46,-8.6,457,0.04,7.7,0.13,0.3,4,3,28,0.9,0.5,3.2,1.3,18.6,8.8,1.076,0.54,122.5303,-49.2122
184,"NGC 2539",233.73,11.11,1363,0.08,8.75,0.15,0.5,4,2,73,2.0,0.4,18.2,3.6,3.0,0.6,3.252,0.26,122.6658,-12.8398
186,"NGC 2546",254.83,-2.05,919,0.13,7.92,0.25,0.61,4,1,49,3.8,0.6,16.8,1.8,1.2,0.2,3.218,0.147,122.9775,-37.6092
187,"Ruprecht 55",250.69,0.81,4892,0.56,6.97,0.07,0.2,2,3,12,9.0,4.8,22.3,3.9,0.1,0.0,3.281,0.232,123.1175,-32.5792
188,"Ruprecht 56",257.29,-3.52,410,0.12,8.7,0.11,0.36,1,4,13,0.5,0.2,2.2,0.3,20.3,8.7,0.602,0.174,123.1292,-40.4699
189,"NGC 2548",227.87,15.39,769,0.03,8.75,0.25,0.73,4,2,84,1.5,0.2,14.5,1.8,5.9,0.9,2.994,0.165,123.4254,-5.7494
193,"NGC 2571",249.1,3.53,1339,0.14,7.22,0.1,0.3,4,1,11,1.3,0.7,9.2,2.3,1.4,0.9,2.403,0.326,124.7274,-29.7463
196,"Pismis 4",262.91,-2.47,593,0.01,8.11,0.1,0.4,3,2,22,3.4,0.9,6.9,0.7,2.7,0.5,2.081,0.135,128.654,-44.4727
198,"Ruprecht 64",259.75,0.53,800,0.06,8.45,0.18,0.62,4,4,61,3.7,0.6,12.7,1.4,2.4,0.3,2.859,0.148,129.3287,-40.1447
201,"NGC 2632",205.89,32.48,187,0.01,8.9,0.6,3.0,4,3,154,0.8,0.1,17.1,1.2,21.7,1.8,3.257,0.103,130.0866,19.6886
202,"IC 2391",270.36,-6.83,176,0.01,7.88,0.35,1.25,3,2,33,1.2,0.4,7.8,2.5,5.6,0.8,2.244,0.413,130.1427,-53.0264
205,"IC 2395",266.63,-3.59,709,0.07,7.08,0.1,0.35,2,1,10,0.5,0.3,5.9,2.6,6.1,5.4,1.877,0.583,130.6213,-48.107
209,"NGC 2669",270.82,-6.07,1046,0.18,7.97,0.08,0.25,3,2,13,0.7,0.5,4.0,1.2,6.6,4.9,1.354,0.382,131.6054,-52.9225
210,"Trumpler 10",262.76,0.64,417,0.03,7.38,0.2,0.75,2,1,17,2.2,0.6,10.4,2.2,1.3,0.3,2.608,0.274,131.9131,-42.4476
212,"NGC 2682",215.7,31.92,908,0.06,9.41,0.12,0.31,4,2,31,0.9,0.3,6.4,1.4,8.0,2.6,1.919,0.291,132.8485,11.8069
213,"VDBH 56, vdBergh-Hagen 56",264.48,1.46,680,0.2,7.24,0.09,0.3,4,1,10,1.8,1.0,4.7,1.4,2.8,1.3,1.587,0.383,134.2725,-43.246
216,"Platais 8",277.54,-7.79,150,0.0,7.75,0.6,3.0,1,1,20,3.5,0.7,11.4,1.5,0.9,0.1,2.737,0.172,136.9461,-59.1371
218,"Platais 9",267.21,3.15,200,0.0,8.09,1.0,3.3,2,1,19,7.0,2.9,14.7,3.1,0.6,0.3,3.072,0.279,138.5358,-44.1387
220,"IC 2488",277.83,-4.42,1134,0.23,8.53,0.1,0.3,4,3,35,1.2,0.4,6.1,0.9,8.0,2.3,1.94,0.201,141.9076,-57.0007
