"Seq","GLON","GLAT","RAJ2000","DEJ2000","D","d","Neb","n_Neb","Type","Com","n_Com","RA","DEC"
"DBSB_151, DBSB2003_151",329.47,0.22,"16 00 56","-52 36 17",0.6,0.6,"in G329.489+0.207","nan","IRCC","R=8.6  LD=1.5 deeply embedded","nan",240.224,-52.60429
"DBSB_152, DBSB2003_152",330.13,0.97,"16 00 55","-51 36 16",0.9,0.7,"in G330.2+1.0","nan","IRGr","rel? radio SNR G330.2+1.0","nan",240.23642,-51.6053
"DBSB_153, DBSB2003_153",330.29,-0.4,"16 07 38","-52 31 11",0.6,0.6,"in G330.305-0.385","nan","IRCC","Rn=5.5 Rf=11.9","nan",241.91003,-52.52404
"DBSB_154, DBSB2003_154",330.68,-0.4,"16 09 30","-52 15 44",1.1,0.7,"in G330.7-0.4=G330.627-0.396","nan","IRCC","Rn=4.4 Rf=13.0","nan",242.38177,-52.26095
"DBSB_155, DBSB2003_155",330.84,-0.39,"16 10 15","-52 08 31",0.9,0.7,"in G330.9-0.4=G330.856-0.371","nan","IRC","R=4.1 LD=1.1 loose","nan",242.56263,-52.14513
"DBSB_156, DBSB2003_156",331.13,-0.53,"16 12 15","-52 02 47",3.0,2.4,"in G331.1-0.5=G331.110-0.506","nan","IRC","Rn=5.0 Rf=12.5 loose","nan",243.06343,-52.05003
"DBSB_157, DBSB2003_157",331.33,-0.33,"16 12 20","-51 46 14",2.1,1.5,"in G331.3-0.3=G331.314-0.336","nan","IRCC","R=4.7 LD=2.9","nan",243.07824,-51.76734
"DBSB_158, DBSB2003_158",331.36,-0.02,"16 11 05","-51 31 03",2.1,2.1,"in G331.4-0.0=G331.353-0.013","nan","IRCC","Rn=5.9 Rf=11.7","nan",242.77266,-51.52027
"DBSB_159, DBSB2003_159",331.36,1.07,"16 06 25","-50 43 14",1.4,1.2,"in G331.354+1.072","nan","IRC","Rn=5.8 Rf=11.8","nan",241.60047,-50.71606
"DBSB_160, DBSB2003_160",332.53,-0.12,"16 16 56","-50 47 26",0.9,0.9,"in G332.5-0.1=G332.541-0.111","nan","IRCC","Rn=3.7 Rf=14.0 mP","nan",244.23583,-50.78765
"DBSB_161, DBSB2003_161",332.55,-0.14,"16 17 05","-50 47 19",2.1,1.7,"in G332.5-0.1=G332.541-0.111","nan","IRC","Rn=3.7 Rf=14.0 mP","nan",244.28056,-50.78811
"DBSB_162, DBSB2003_162",333.01,-0.45,"16 20 35","-50 41 23",1.6,1.4,"in MHR51=G333.0-0.4","nan","IRC","Rn=3.7 Rf=13.6 deeply embedded,loose","nan",245.14253,-50.68756
"DBSB_163, DBSB2003_163",333.05,0.03,"16 18 37","-50 18 58",0.9,0.7,"in G333.0+0.0=PMNJ1618-50","nan","IRC","nan","nan",244.65778,-50.31751
"DBSB_164, DBSB2003_164",333.25,0.06,"16 19 23","-50 09 27",1.2,1.0,"in G333.3+0.1=IRAS16156-5002","nan","IRC","nan","nan",244.84814,-50.15604
"DBSB_165, DBSB2003_165",333.31,-0.36,"16 21 31","-50 25 04",1.7,1.1,"in G333.3-0.4=G333.2-0.371","nan","IRC","Rn=3.8 Rf=14.0","nan",245.37742,-50.41221
"DBSB_166, DBSB2003_166",333.59,-0.07,"16 21 27","-50 00 43",2.0,1.5,"in G333.6-0.1","nan","IRGr","Rn=4.0 Rf=14.0","nan",245.36718,-50.00915
"DBSB_167, DBSB2003_167",334.14,0.04,"16 23 24","-49 32 28",3.0,2.0,"in G334.173+0.068","nan","IROC","Rn=5.3 Rf=12.7","nan",245.84762,-49.54188
"DBSB_168, DBSB2003_168",337.13,-0.18,"16 36 45","-47 31 26",1.0,0.6,"in G337.1-0.2=G337.147-0.181","nan","IRCC","R=12.7 LD=3.7","nan",249.19452,-47.52207
"DBSB_169, DBSB2003_169",337.53,-0.28,"16 38 50","-47 17 34",1.2,1.0,"in G337.548-0.304","nan","IRC","Rn=7.4 Rf=11.1 loose","nan",249.69992,-47.29185
"DBSB_170, DBSB2003_170",334.72,-0.65,"16 28 58","-49 36 27",0.5,0.3,"in G334.714-0.665","nan","IRCC","R=20.0 LD=2.9","nan",247.23406,-49.60688
"DBSB_171, DBSB2003_171",337.63,-0.05,"16 38 11","-47 04 08",0.7,0.5,"in G337.6-0.0=G337.665-0.048","nan","IRGr","Rn=4.6 Rf=13.9","nan",249.54627,-47.06383
"DBSB_172, DBSB2003_172",337.92,-0.47,"16 41 10","-47 07 27",2.2,2.0,"in G337.9-0.5=G337.949-0.476","nan","IRC","R=3.4 LD=2.2","nan",250.29031,-47.1265
"DBSB_173, DBSB2003_173",338.92,0.61,"16 40 17","-45 39 39",1.9,1.6,"in G338.9+0.6=G338.943+0.604","nan","IRC","R=5.2  LD=2.9 loose","nan",250.07761,-45.66197
"DBSB_174, DBSB2003_174",340.05,-0.23,"16 48 10","-45 21 29",1.1,0.9,"in G340.1-0.2=G340.041-0.253","nan","IRCC","Rn=4.6 Rf=14.2","nan",252.03904,-45.35672
"DBSB_175, DBSB2003_175",342.07,0.42,"16 52 36","-43 23 28",1.7,1.3,"in G324.085+0.423","nan","IRCC","Rn=5.7 Rf=13.3","nan",253.14768,-43.3882
"DBSB_176, DBSB2003_176",343.48,-0.04,"16 59 23","-42 34 25",1.2,0.9,"in G343.5+0.0=G343.490-0.033","nan","IRC","Rn=7.2 Rf=15.9  loose","nan",254.84532,-42.57737
"DBSB_177, DBSB2003_177",344.22,-0.6,"17 04 13","-42 20 02",0.9,0.7,"in G344.226-0.588","nan","IRCC","Rn=3.1 Rf=16.2","nan",256.05984,-42.33597
"DBSB_178, DBSB2003_178",344.43,0.04,"17 02 10","-41 46 48",2.4,1.7,"in G344.439+0.048","nan","IRC","Rn=6.2 Rf=13.1","nan",255.54907,-41.77929
"DBSB_179, DBSB2003_179",347.58,0.19,"17 11 32","-39 10 38",2.7,2.5,"in G347.6+0.2=G347.600+0.211","nan","IRC","Rn=8.0 Rf=11.6 core,loose","nan",257.88245,-39.1723
