"Cluster","GLON","GLAT","RAdeg","DEdeg","Radius","Age","Rgc","RGuide","pmRA","e_pmRA","pmDE","e_pmDE","RV","e_RV","[FeH]","e_[FeH]","Qual","Nstars","[OH]","e_[OH]","[NaH]","e_[NaH]","[MgH]","e_[MgH]","[AlH]","e_[AlH]","[SiH]","e_[SiH]","[SH]","e_[SH]","[KH]","e_[KH]","[CaH]","e_[CaH]","[TiH]","e_[TiH]","[CrH]","e_[CrH]","[MnH]","e_[MnH]","[CoH]","e_[CoH]","[NiH]","e_[NiH]","[CeH]","e_[CeH]","[NdH]","e_[NdH]"
"NGC_2204",226.019,-16.11,93.885,-18.671,0.1,2.089,11.34,11.36,-0.56,0.12,1.96,0.13,92.1,0.5,-0.27,0.03,4,18,-0.24,0.04,-0.25,0.08,-0.3,0.03,-0.28,0.05,-0.27,0.03,-0.26,0.12,-0.27,0.06,-0.3,0.03,-0.39,0.03,-0.3,0.07,-0.31,0.03,-0.21,0.13,-0.34,0.03,0.06,0.18,-0.59,0.36
"NGC_2232",214.519,-7.401,96.978,-4.772,0.52,0.018,8.6,8.79,-4.75,0.29,-1.84,0.25,26.7,0.0,-0.1,0.02,1,1,-0.2,0.02,-0.27,0.02,-0.11,0.02,0.0,0.05,-0.14,0.02,0.08,0.02,0.05,0.02,0.03,0.02,0.07,0.02,-0.01,0.02,-0.16,0.02,0.67,0.13,-0.21,0.02,-0.19,0.05,-0.22,0.05
"NGC_2236",204.368,-1.7,97.411,6.831,0.07,1.148,10.6,10.82,-0.75,0.13,0.01,0.14,59.6,0.2,-0.15,0.02,2,4,-0.26,0.07,-0.43,0.59,-0.21,0.03,-0.23,0.05,-0.17,0.03,-0.13,0.12,-0.25,0.03,-0.2,0.07,-0.25,0.03,-0.25,0.03,-0.19,0.04,-0.36,0.58,-0.23,0.02,0.3,0.12,-0.17,0.23
"NGC_2243",239.48,-18.01,97.396,-31.283,0.05,4.365,10.58,12.55,-1.28,0.13,5.49,0.13,59.9,0.4,-0.46,0.02,4,9,-0.3,0.03,-0.48,0.34,-0.41,0.03,-0.39,0.05,-0.39,0.03,-0.32,0.05,-0.4,0.05,-0.46,0.05,-0.57,0.05,-0.52,0.1,-0.54,0.03,-0.48,0.38,-0.47,0.03,-0.25,0.05,-0.72,0.14
"NGC_2244",206.322,-2.073,97.985,4.927,0.23,0.013,9.69,10.2,-1.6,0.3,0.18,0.35,34.3,0.1,0.02,0.02,1,1,0.08,0.03,-0.65,0.02,-0.16,0.05,0.04,0.06,-0.11,0.04,-0.04,0.02,0.01,0.02,0.18,0.04,0.18,0.04,0.54,0.02,0.1,0.02,0.16,0.14,-0.14,0.02,0.25,0.05,-0.21,0.06
"NGC_2304",197.213,8.901,103.803,17.985,0.04,0.912,12.02,11.21,-0.02,0.11,-1.51,0.11,58.0,0.0,-0.2,0.02,2,1,-0.22,0.02,-0.24,0.02,-0.28,0.02,-0.26,0.05,-0.09,0.02,-0.27,0.02,-0.28,0.02,-0.17,0.03,-0.24,0.02,-0.17,0.02,-0.19,0.02,-0.77,0.13,-0.3,0.02,-0.3,0.05,-0.32,0.05
"NGC_2318",226.107,-4.478,104.873,-13.759,0.17,0.437,9.36,9.64,-1.78,0.11,-2.2,0.11,8.4,0.0,-0.05,0.02,1,1,-0.14,0.02,-0.01,0.02,-0.18,0.02,-0.13,0.05,-0.08,0.02,0.09,0.02,-0.11,0.02,-0.09,0.02,-0.13,0.02,-0.14,0.02,-0.02,0.02,-0.07,0.13,-0.1,0.02,0.22,0.05,-0.02,0.05
"NGC_2324",213.448,3.304,106.035,1.047,0.07,0.537,12.07,12.25,-0.31,0.11,-0.09,0.09,42.4,0.2,-0.2,0.02,2,4,-0.22,0.03,-0.1,0.1,-0.26,0.03,-0.26,0.05,-0.23,0.02,-0.06,0.06,-0.18,0.04,-0.22,0.02,-0.18,0.1,-0.23,0.03,-0.21,0.02,-0.45,0.29,-0.27,0.02,0.32,0.06,-0.44,0.22
"NGC_2355",203.38,11.81,109.251,13.763,0.08,1.0,10.11,10.67,-3.8,0.14,-1.09,0.13,35.6,0.0,-0.15,0.02,1,1,-0.17,0.02,-0.24,0.02,-0.23,0.02,-0.22,0.05,-0.18,0.02,-0.11,0.02,-0.15,0.02,-0.17,0.02,-0.21,0.02,-0.2,0.02,-0.19,0.02,-0.17,0.13,-0.22,0.02,0.07,0.05,-0.23,0.05
"NGC_2420",198.109,19.64,114.602,21.574,0.05,1.738,10.68,10.01,-1.19,0.14,-2.12,0.13,74.4,0.5,-0.18,0.03,4,21,-0.09,0.12,-0.11,0.19,-0.21,0.05,-0.18,0.05,-0.18,0.03,-0.1,0.09,-0.15,0.07,-0.16,0.05,-0.23,0.14,-0.2,0.14,-0.23,0.07,-0.26,0.24,-0.21,0.06,0.06,0.22,-0.43,0.49
"NGC_2423",230.496,3.577,114.317,-13.863,0.27,1.096,8.97,8.75,-0.73,0.12,-3.63,0.15,19.4,0.8,-0.01,0.05,2,4,-0.07,0.18,-0.07,0.16,-0.1,0.09,-0.24,0.19,0.01,0.07,-0.09,0.1,0.03,0.19,-0.02,0.08,-0.06,0.04,-0.19,0.49,-0.17,0.24,0.14,0.13,-0.15,0.19,0.1,0.28,0.29,0.06
"NGC_2447",240.036,0.146,116.135,-23.849,0.2,0.575,8.89,9.48,-3.55,0.16,5.07,0.17,23.5,0.6,-0.1,0.02,2,3,-0.15,0.02,-0.01,0.02,-0.18,0.02,-0.09,0.05,-0.09,0.02,-0.03,0.02,-0.22,0.03,-0.14,0.02,-0.23,0.03,-0.17,0.05,-0.13,0.02,-0.11,0.13,-0.17,0.02,0.3,0.05,-0.17,0.05
"NGC_2479",236.004,5.366,118.772,-17.734,0.07,0.977,9.3,9.26,-4.32,0.1,1.05,0.08,41.6,0.0,-0.03,0.02,1,1,-0.1,0.02,-0.02,0.02,-0.13,0.02,-0.08,0.05,-0.04,0.02,0.05,0.02,-0.19,0.02,-0.07,0.02,-0.08,0.02,-0.09,0.02,0.0,0.02,-0.05,0.13,-0.08,0.02,0.07,0.05,-0.1,0.05
"NGC_2632",205.916,32.47,130.088,19.666,0.98,0.676,8.48,8.42,-36.09,1.11,-12.92,1.0,35.2,0.6,0.16,0.05,3,61,0.14,0.09,0.21,0.18,0.07,0.07,0.06,0.15,0.14,0.08,0.13,0.08,0.13,0.09,0.16,0.06,0.18,0.13,0.18,0.09,0.22,0.07,0.17,0.24,0.16,0.05,0.21,0.14,0.15,0.13
"NGC_2682",215.689,31.93,132.85,11.817,0.17,4.266,8.96,8.84,-10.99,0.19,-2.96,0.2,34.3,0.7,0.01,0.04,4,190,0.02,0.09,-0.02,0.34,-0.02,0.06,0.0,0.08,0.03,0.07,0.04,0.13,-0.02,0.1,-0.01,0.06,0.0,0.17,-0.01,0.19,0.02,0.06,0.11,0.35,0.01,0.05,-0.04,0.27,-0.05,0.23
"NGC_4337",299.316,4.558,186.022,-58.122,0.06,1.445,7.45,7.41,-8.84,0.08,1.47,0.09,-17.7,0.6,0.21,0.02,2,4,0.19,0.02,0.5,0.03,0.17,0.02,0.22,0.05,0.23,0.03,0.23,0.03,0.17,0.06,0.17,0.04,0.22,0.02,0.16,0.05,0.33,0.05,0.33,0.13,0.22,0.02,0.2,0.09,0.33,0.16
"NGC_559",127.198,0.749,22.389,63.304,0.08,0.257,10.34,10.96,-4.26,0.11,0.25,0.13,-77.5,0.0,-0.15,0.02,1,1,-0.19,0.02,-0.07,0.02,-0.23,0.02,-0.2,0.05,-0.17,0.02,-0.09,0.02,-0.56,0.02,-0.2,0.02,-0.29,0.02,-0.16,0.02,-0.14,0.02,-0.19,0.13,-0.24,0.02,0.27,0.05,-0.35,0.05
"NGC_609",127.744,2.086,24.103,64.537,0.03,0.224,12.08,12.3,-0.67,0.12,-0.07,0.12,-44.4,0.0,-0.22,0.02,2,2,-0.27,0.02,-0.1,0.04,-0.29,0.02,-0.34,0.05,-0.23,0.02,-0.04,0.08,-0.33,0.02,-0.25,0.02,-0.27,0.02,-0.29,0.02,-0.24,0.05,-0.21,0.13,-0.28,0.02,0.39,0.05,-0.48,0.14
"NGC_6705",27.3,-2.774,282.766,-6.275,0.07,0.309,6.46,6.47,-1.57,0.16,-4.14,0.16,35.1,1.0,0.11,0.03,4,12,0.0,0.04,0.31,0.06,0.0,0.03,-0.04,0.07,0.09,0.04,0.16,0.03,-0.05,0.08,0.04,0.04,0.08,0.05,0.09,0.06,0.21,0.04,0.15,0.13,0.14,0.03,0.3,0.12,0.28,0.22
"NGC_6756",39.097,-1.684,287.181,4.711,0.03,0.048,6.21,6.68,-1.58,0.17,-3.63,0.18,47.1,0.0,-0.06,0.02,1,1,-0.13,0.02,-0.06,0.02,-0.2,0.02,-0.19,0.05,-0.1,0.02,-0.05,0.02,-0.24,0.02,-0.15,0.02,-0.17,0.02,-0.17,0.02,-0.01,0.02,-0.03,0.13,-0.13,0.02,0.24,0.05,-0.33,0.05
"NGC_6791",69.961,10.91,290.22,37.774,0.07,6.31,7.94,6.52,-0.42,0.17,-2.27,0.19,-47.0,1.1,0.3,0.03,4,59,0.33,0.03,0.48,0.06,0.32,0.05,0.28,0.08,0.31,0.04,0.29,0.06,0.34,0.11,0.28,0.06,0.38,0.06,0.33,0.09,0.39,0.11,0.47,0.13,0.33,0.03,0.27,0.12,0.36,0.13
"NGC_6811",79.196,11.99,294.344,46.364,0.19,1.072,8.2,9.06,-3.4,0.12,-8.81,0.12,7.4,0.3,-0.05,0.02,4,5,-0.08,0.03,0.03,0.02,-0.11,0.02,-0.13,0.05,-0.06,0.02,-0.05,0.04,-0.1,0.06,-0.06,0.02,-0.1,0.03,-0.04,0.04,-0.06,0.02,-0.12,0.13,-0.1,0.02,0.17,0.06,-0.14,0.1
"NGC_6819",73.979,8.485,295.322,40.19,0.1,2.239,8.03,8.53,-2.92,0.13,-3.86,0.14,2.6,1.2,0.04,0.03,4,40,0.0,0.03,0.13,0.09,-0.01,0.03,-0.01,0.06,0.03,0.04,0.04,0.04,0.02,0.08,0.02,0.04,0.02,0.04,0.03,0.04,0.08,0.04,0.07,0.13,0.02,0.03,0.12,0.09,-0.02,0.12
"NGC_6866",79.568,6.841,300.982,44.166,0.1,0.646,8.2,9.3,-1.36,0.08,-5.74,0.09,12.6,0.4,0.02,0.02,2,2,-0.07,0.02,-0.02,0.05,-0.06,0.02,-0.09,0.05,-0.01,0.02,0.11,0.02,-0.04,0.03,-0.01,0.02,-0.02,0.02,0.02,0.02,0.02,0.02,-0.11,0.13,-0.02,0.02,0.17,0.05,-0.04,0.05
"NGC_7062",89.965,-2.739,320.859,46.39,0.05,0.427,8.7,8.87,-1.91,0.13,-4.04,0.09,-22.3,0.0,-0.01,0.02,1,1,-0.11,0.02,0.15,0.02,-0.12,0.02,-0.07,0.05,-0.03,0.02,-0.02,0.02,-0.05,0.02,-0.06,0.02,-0.1,0.02,-0.09,0.02,-0.01,0.02,0.0,0.13,-0.06,0.02,0.26,0.05,0.01,0.05
"NGC_7423",107.616,-2.274,343.788,57.099,0.03,1.585,10.27,10.4,-1.25,0.15,-1.25,0.13,-33.5,0.0,-0.18,0.02,1,1,-0.21,0.02,0.02,0.02,-0.24,0.02,-0.23,0.05,-0.2,0.02,-0.07,0.02,-0.36,0.02,-0.19,0.02,-0.26,0.02,-0.34,0.02,-0.1,0.02,-0.17,0.13,-0.22,0.02,0.29,0.05,-0.13,0.05
"NGC_752",136.907,-23.3,29.16,37.793,0.48,1.175,8.67,8.53,9.81,0.27,-11.71,0.27,6.1,0.5,0.0,0.04,4,53,-0.05,0.1,0.11,0.43,-0.08,0.06,-0.1,0.08,-0.04,0.07,0.0,0.12,-0.08,0.11,-0.02,0.08,0.01,0.17,-0.08,0.2,-0.05,0.1,-0.03,0.46,-0.06,0.07,-0.03,0.4,-0.04,0.24
"NGC_7789",115.524,-5.367,359.329,56.724,0.21,1.549,9.43,8.67,-0.92,0.14,-1.93,0.14,-53.2,0.0,0.03,0.02,4,1,-0.11,0.02,0.35,0.02,-0.06,0.02,0.06,0.05,0.04,0.02,0.04,0.02,0.05,0.02,-0.01,0.02,-0.06,0.02,-0.03,0.02,0.08,0.02,0.11,0.13,-0.05,0.02,0.44,0.05,0.08,0.05
"Platais_3",138.721,15.82,68.406,71.489,1.72,0.178,8.47,8.99,3.62,1.27,-20.93,0.63,8.7,0.3,-0.03,0.02,2,3,-0.08,0.03,-0.12,0.65,-0.09,0.02,-0.11,0.05,-0.03,0.02,-0.04,0.07,-0.01,0.08,-0.07,0.06,0.16,0.18,-0.17,0.05,-0.08,0.05,-0.06,0.61,-0.08,0.02,-0.05,0.53,0.05,0.05
"RSG_8",109.425,-0.457,345.453,59.509,1.01,0.027,8.49,8.71,5.34,0.48,-1.65,0.54,-10.7,0.0,0.0,0.02,1,1,0.3,0.02,0.21,0.02,-0.02,0.04,-0.15,0.05,-0.01,0.03,0.17,0.02,-0.18,0.02,0.0,0.04,0.13,0.04,0.02,0.02,0.02,0.02,-0.37,0.14,0.01,0.02,-0.5,0.05,0.12,0.05
"Ruprecht_128",354.78,-2.854,266.066,-34.877,0.06,0.955,6.58,7.19,1.89,0.17,-1.26,0.14,-39.8,0.0,0.13,0.02,1,1,0.01,0.02,0.33,0.02,0.01,0.02,0.11,0.05,0.13,0.02,0.15,0.02,0.04,0.02,0.04,0.02,-0.05,0.02,0.11,0.02,0.16,0.02,0.15,0.13,0.07,0.02,0.24,0.05,0.3,0.05
"Ruprecht_145",16.452,-8.056,282.658,-18.293,0.33,0.813,7.74,7.77,8.33,0.32,-4.08,0.28,-53.5,0.1,0.08,0.02,1,1,0.06,0.02,0.02,0.02,0.04,0.03,-0.01,0.05,0.05,0.02,0.05,0.02,-0.14,0.02,0.12,0.03,0.31,0.03,-0.3,0.02,-0.01,0.02,0.37,0.13,0.07,0.02,0.24,0.05,0.18,0.05
"Ruprecht_147",21.012,-12.78,289.141,-16.269,0.65,3.02,8.05,7.95,-0.94,0.45,-26.58,0.58,42.2,0.4,0.11,0.03,4,32,0.11,0.05,0.06,0.35,0.04,0.04,0.13,0.07,0.12,0.06,0.12,0.06,0.06,0.09,0.05,0.05,0.0,0.14,0.07,0.13,0.14,0.04,0.17,0.31,0.12,0.05,0.11,0.34,0.15,0.12
"Ruprecht_18",239.92,-4.936,111.164,-26.207,0.09,0.129,9.93,9.9,-0.49,0.08,1.13,0.1,31.7,0.0,-0.12,0.02,1,1,-0.17,0.02,0.12,0.02,-0.19,0.02,-0.17,0.05,-0.12,0.02,-0.03,0.02,-0.18,0.02,-0.19,0.02,-0.21,0.02,-0.17,0.02,-0.05,0.02,-0.08,0.13,-0.17,0.02,0.31,0.05,-0.88,0.05
"Ruprecht_82",277.728,-0.479,146.431,-54.002,0.06,0.457,8.33,8.88,-6.44,0.08,4.35,0.09,2.0,0.0,-0.03,0.02,1,1,-0.1,0.02,0.15,0.02,-0.09,0.02,-0.05,0.05,-0.01,0.02,0.07,0.02,-0.15,0.02,-0.07,0.02,-0.14,0.02,-0.08,0.02,-0.02,0.02,0.04,0.13,-0.08,0.02,0.33,0.05,-0.13,0.05
