"Name","Type","Type?","GLON","GLAT","d","E(B-V)","logt","DM(J)","I(M.J)","DM(H)","I(M.H)","DM(Ks)","I(M.Ks)","_RA.icrs","_DE.icrs"
"Berkeley_27, MWSC_999","nan","nan",207.786,2.601,5042.0,0.271,9.3,13.73,-5.031,13.643,-5.505,13.6,-5.62,102.8325,5.7643
"NGC_2301, MWSC_1000","nan","nan",212.552,0.283,805.0,0.062,8.35,9.58,-3.143,9.56,-3.426,9.55,-3.479,102.9381,0.4672
"NGC_2302, MWSC_1001","nan","nan",219.284,-3.131,1310.0,0.2,8.35,10.746,-2.995,10.682,-3.19,10.65,-3.232,102.9613,-7.0782
"Berkeley_28, MWSC_1002","nan","nan",210.417,1.477,1964.0,0.729,7.535,12.05,-3.129,11.817,-3.27,11.7,-3.277,103.0281,2.9115
"FSR_1051, MWSC_1003","nan","nan",209.753,1.816,1180.0,0.437,8.79,10.71,-4.82,10.57,-5.422,10.5,-5.7,103.0277,3.6567
"Alessi_59, MWSC_1004","nan","nan",211.082,1.196,3511.0,0.77,7.0,13.345,-3.911,13.098,-4.1,12.975,-4.109,103.0808,2.1916
"FSR_1191, MWSC_1005","nan","nan",224.864,-5.77,3361.0,0.521,9.1,13.05,-5.976,12.883,-6.718,12.8,-7.069,103.1139,-13.2333
"Ruprecht_149, MWSC_1006","nan","nan",234.332,-10.331,3969.0,0.021,9.3,13.01,-4.155,13.003,-4.643,13.0,-4.763,103.1144,-23.6561
"FSR_1085, MWSC_1007","nan","nan",213.301,0.308,1429.0,0.079,8.735,10.838,-2.341,10.813,-2.536,10.8,-2.61,103.3019,-0.188
"Berkeley_29, MWSC_1008","nan","nan",197.939,7.969,10797.0,0.104,9.1,15.25,-6.647,15.217,-7.409,15.2,-7.593,103.2525,16.9318
"ASCC_27, MWSC_1009","nan","nan",217.12,-1.45,1159.0,0.09,8.7,10.393,-6.283,10.364,-7.069,10.35,-7.363,103.4783,-4.3882
"DC_4, MWSC_1010","nan","nan",225.328,-5.563,2304.0,0.583,8.7,12.28,-2.787,12.093,-3.093,12.0,-3.156,103.5166,-13.5537
"ASCC_28, MWSC_1011","nan","nan",213.387,0.563,946.0,0.062,8.49,9.93,-3.094,9.91,-3.279,9.9,-3.323,103.5681,-0.1483
"FSR_1029, MWSC_1012","nan","nan",207.232,3.636,1905.0,0.312,8.93,11.65,-3.29,11.55,-3.614,11.5,-3.663,103.5082,6.7266
"ASCC_29, MWSC_1013","nan","nan",214.761,-0.133,826.0,0.05,8.06,9.624,-1.813,9.608,-2.033,9.6,-2.095,103.5753,-1.6885
"FSR_1197, MWSC_1015","nan","nan",225.465,-5.521,1634.0,0.416,9.0,11.4,-2.289,11.267,-2.643,11.2,-2.694,103.618,-13.6568
"BDSB_88, MWSC_1016","nan","nan",217.316,-1.374,1791.0,0.416,7.4,11.6,-1.809,11.467,-2.089,11.4,-2.164,103.6357,-4.528
"FSR_1279, MWSC_1017","nan","nan",237.439,-11.209,2237.0,0.781,8.75,12.375,-5.349,12.125,-5.889,12.0,-5.956,103.664,-26.793
"NGC_2304, MWSC_1019","nan","nan",197.211,8.89,3896.0,0.146,8.835,13.07,-4.789,13.023,-5.147,13.0,-5.214,103.7915,17.9817
"Ruprecht_5, MWSC_1020","nan","nan",230.0,-7.558,4712.0,0.416,9.15,13.7,-3.943,13.567,-4.383,13.5,-4.461,103.8033,-18.5979
"FSR_0866, MWSC_1022","nan","nan",186.329,13.822,1664.0,0.291,9.2,11.34,-3.649,11.247,-3.985,11.2,-4.029,103.806,29.7316
"FSR_1172, MWSC_1023","nan","nan",223.234,-4.091,2290.0,0.625,8.8,12.3,-3.303,12.1,-3.469,12.0,-3.493,103.9013,-11.028
"SAI_72, MWSC_1024","nan","nan",213.227,1.066,3239.0,0.77,8.485,13.17,-3.844,12.923,-3.994,12.8,-4.03,103.9428,0.2235
"NGC_2309, MWSC_1026","nan","nan",219.844,-2.244,2384.0,0.354,8.735,12.17,-4.457,12.057,-4.695,12.0,-4.748,104.0137,-7.1737
"FSR_0860, MWSC_1027","nan","nan",185.745,14.396,2695.0,0.146,9.3,12.27,-4.526,12.223,-5.279,12.2,-5.508,104.1544,30.4795
"ASCC_30, MWSC_1028","nan","nan",219.096,-1.597,814.0,0.146,8.245,9.67,-1.796,9.623,-1.959,9.6,-2.0,104.2509,-6.2135
"BDSB_93, MWSC_1030","nan","nan",220.872,-2.463,2173.0,0.666,6.5,12.22,-3.07,12.007,-3.402,11.9,-3.374,104.2885,-8.1881
"FSR_1144, MWSC_1031","nan","nan",219.498,-1.737,1737.0,0.312,8.18,11.45,-3.406,11.35,-3.538,11.3,-3.568,104.3098,-6.635
"Berkeley_31, MWSC_1032","nan","nan",206.219,5.124,6242.0,0.073,9.3,14.035,-6.13,14.012,-6.871,14.0,-7.086,104.3881,8.2993
"Berkeley_33, MWSC_1033","nan","nan",225.439,-4.598,4785.0,0.312,9.04,13.65,-5.107,13.55,-5.513,13.5,-5.625,104.4538,-13.2187
"Berkeley_30, MWSC_1034","nan","nan",210.786,2.874,4983.0,0.521,8.495,13.905,-7.236,13.738,-7.949,13.655,-8.197,104.4419,3.2186
"NGC_2311, MWSC_1035","nan","nan",217.752,-0.699,2221.0,0.208,8.815,11.9,-4.386,11.833,-4.576,11.8,-4.618,104.4378,-4.6081
"FSR_1159, MWSC_1036","nan","nan",221.449,-2.554,1296.0,0.583,7.45,11.03,-2.076,10.843,-2.206,10.75,-2.212,104.4717,-8.7428
"Berkeley_32, MWSC_1037","nan","nan",207.947,4.402,4996.0,0.021,9.45,13.51,-5.324,13.503,-5.808,13.5,-5.918,104.5206,6.4366
"FSR_1080, MWSC_1038","nan","nan",212.918,1.915,1753.0,0.562,8.37,11.67,-3.477,11.49,-3.747,11.4,-3.834,104.5576,0.8855
"FSR_1164, MWSC_1040","nan","nan",221.91,-2.577,1614.0,0.5,8.87,11.44,-2.545,11.28,-2.841,11.2,-2.896,104.6631,-9.1634
"IRAS_06562-0337, MWSC_1041","nan","nan",217.038,-0.065,6091.0,0.937,7.7,14.675,-5.89,14.375,-6.169,14.225,-6.264,104.6764,-3.6834
"FSR_1129, MWSC_1042","nan","nan",218.15,-0.625,1881.0,0.708,8.385,11.94,-3.498,11.713,-3.645,11.6,-3.661,104.6862,-4.9284
"NGC_2312, MWSC_1043","nan","nan",204.573,6.281,2436.0,0.208,8.81,12.1,-3.247,12.033,-3.596,12.0,-3.647,104.6928,10.2819
"FSR_1195, MWSC_1044","nan","nan",225.356,-4.163,3150.0,0.958,8.2,13.26,-6.147,12.953,-6.783,12.8,-6.964,104.8138,-12.9484
"IRAS_06567-0355, MWSC_1047","nan","nan",217.354,-0.074,1943.0,0.645,7.35,11.96,-3.433,11.753,-3.661,11.65,-3.682,104.8131,-3.9686
"FSR_1163, MWSC_1048","nan","nan",221.911,-2.394,1706.0,0.437,9.15,11.51,-3.436,11.37,-3.925,11.3,-4.034,104.8286,-9.0809
"NGC_2318, MWSC_1050","nan","nan",226.014,-4.442,1713.0,0.437,8.75,11.52,-3.608,11.38,-3.996,11.31,-4.093,104.8629,-13.6598
"Sh2_287C, MWSC_1052","nan","nan",218.011,-0.319,3344.0,1.145,6.9,13.54,-2.82,13.173,-2.971,12.99,-2.93,104.8957,-4.6649
"BDSB_90, MWSC_1053","nan","nan",218.186,-0.401,2661.0,0.854,7.2,12.81,-3.146,12.537,-3.24,12.4,-3.222,104.9027,-4.8581
"Ivanov_9, MWSC_1055","nan","nan",217.491,-0.018,2839.0,0.729,6.5,12.85,-4.154,12.617,-4.342,12.5,-4.323,104.9258,-4.0649
"FSR_1171, MWSC_1056","nan","nan",223.111,-2.774,4933.0,0.729,9.2,14.05,-4.491,13.817,-4.948,13.7,-5.036,105.0391,-10.3213
"Wit_1, MWSC_1057","nan","nan",219.133,-0.681,1952.0,0.458,6.35,11.82,-4.891,11.673,-4.89,11.6,-4.793,105.0874,-5.8283
"Berkeley_34, MWSC_1058","nan","nan",214.154,1.872,7279.0,0.45,9.45,14.671,-5.705,14.527,-6.459,14.455,-6.642,105.0827,-0.2335
"Tombaugh_1, MWSC_1060","nan","nan",232.33,-7.314,2642.0,0.281,9.065,12.335,-6.997,12.245,-7.706,12.2,-8.06,105.1189,-20.5629
"Ivanov_4, MWSC_1061","nan","nan",221.84,-2.0,2025.0,0.521,8.3,11.95,-3.782,11.783,-4.111,11.7,-4.166,105.1508,-8.8382
"NGC_2319, MWSC_1064","nan","nan",211.276,3.434,985.0,0.104,9.035,10.05,-1.978,10.017,-2.276,10.0,-2.325,105.1641,3.0372
"ASCC_31, MWSC_1066","nan","nan",210.879,3.746,747.0,0.104,8.4,9.45,-0.974,9.417,-1.337,9.4,-1.385,105.2624,3.5319
"Wit_2, MWSC_1067","nan","nan",216.833,0.778,2830.0,0.437,8.785,12.61,-4.666,12.47,-4.878,12.4,-4.922,105.3336,-3.1157
"Ruprecht_8, MWSC_1068","nan","nan",226.174,-3.903,2190.0,0.458,8.845,12.07,-3.966,11.923,-4.294,11.85,-4.365,105.4317,-13.5581
"ASCC_32, MWSC_1069","nan","nan",237.942,-9.609,767.0,0.079,8.215,9.488,-2.21,9.463,-2.529,9.45,-2.568,105.5197,-26.5579
"Ruprecht_9, MWSC_1070","nan","nan",233.721,-7.574,3434.0,0.687,8.795,13.23,-5.002,13.01,-5.454,12.9,-5.507,105.5237,-21.9148
"Alessi_60, MWSC_1071","nan","nan",215.184,1.946,2610.0,0.208,8.64,12.25,-3.625,12.183,-3.806,12.15,-3.854,105.6187,-1.1156
"NGC_2323, MWSC_1072","nan","nan",221.658,-1.326,902.0,0.229,8.255,9.96,-5.546,9.887,-6.093,9.85,-6.204,105.6731,-8.3684
"FSR_1169, MWSC_1074","nan","nan",222.46,-1.702,1905.0,0.625,8.675,11.9,-4.258,11.7,-4.536,11.6,-4.602,105.7059,-9.2533
"Tombaugh_2, MWSC_1076","nan","nan",232.827,-6.883,6565.0,0.354,9.01,14.37,-5.507,14.257,-6.045,14.2,-6.162,105.7658,-20.8134
"Bochum_3, MWSC_1079","nan","nan",218.753,0.384,2151.0,0.271,8.095,11.88,-3.446,11.793,-3.638,11.75,-3.664,105.8637,-5.0029
"Haffner_3, MWSC_1081","nan","nan",219.825,0.007,1925.0,0.396,8.6,11.74,-3.772,11.613,-4.109,11.55,-4.18,106.0209,-6.1285
"FSR_1149, MWSC_1083","nan","nan",220.038,-0.136,2972.0,0.729,8.265,12.95,-4.338,12.717,-4.542,12.6,-4.603,105.9914,-6.3833
"NGC_2324, MWSC_1084","nan","nan",213.455,3.301,3842.0,0.239,8.68,13.115,-7.845,13.038,-8.561,13.0,-8.838,106.036,1.0397
"FSR_1100, MWSC_1085","nan","nan",214.431,2.742,1923.0,0.25,8.685,11.62,-3.159,11.54,-3.387,11.5,-3.448,105.9831,-0.0827
"Auner_1, MWSC_1087","nan","nan",231.984,-6.162,7154.0,0.396,9.35,14.59,-6.832,14.463,-7.408,14.4,-7.541,106.0542,-19.7419
"FSR_1194, MWSC_1088","nan","nan",225.08,-2.625,1184.0,0.416,7.815,10.7,-2.691,10.567,-2.856,10.5,-2.909,106.0885,-12.0037
"FSR_1150, MWSC_1089","nan","nan",220.3,-0.097,5664.0,0.729,8.8,14.35,-6.275,14.117,-6.721,14.0,-6.778,106.1472,-6.5982
"FSR_1178, MWSC_1091","nan","nan",224.015,-1.796,2375.0,0.999,6.65,12.68,-3.771,12.36,-4.052,12.2,-4.079,106.3435,-10.6781
"FSR_1192, MWSC_1092","nan","nan",224.904,-2.135,2821.0,0.77,8.55,12.87,-5.501,12.623,-5.87,12.5,-5.964,106.4514,-11.6232
"Ruprecht_150, MWSC_1093","nan","nan",240.01,-9.637,1789.0,0.271,8.7,11.48,-3.437,11.393,-3.893,11.35,-3.945,106.4868,-28.4078
"Haffner_4, MWSC_1094","nan","nan",227.934,-3.62,4458.0,0.479,9.115,13.63,-5.338,13.477,-5.726,13.4,-5.82,106.5161,-14.9934
"ESO_427-32, MWSC_1095","nan","nan",241.647,-10.322,1786.0,0.125,9.105,11.36,-2.809,11.32,-3.1,11.3,-3.152,106.5773,-30.1577
"FSR_1199, MWSC_1097","nan","nan",225.797,-2.466,1188.0,0.312,8.645,10.625,-2.105,10.525,-2.376,10.475,-2.431,106.5686,-12.5679
"Ruprecht_10, MWSC_1098","nan","nan",232.535,-5.853,2345.0,0.625,8.8,12.352,-5.404,12.152,-5.946,12.052,-6.085,106.6098,-20.0925
"Berkeley_76, MWSC_1099","nan","nan",225.09,-2.003,2360.0,0.731,8.87,12.451,-4.547,12.217,-4.881,12.1,-4.947,106.6582,-11.7278
"NGC_2335, MWSC_1100","nan","nan",223.6,-1.183,1411.0,0.416,8.2,11.082,-4.733,10.949,-5.084,10.882,-5.186,106.7037,-10.0282
"Collinder_466, MWSC_1102","nan","nan",224.224,-1.479,1037.0,0.062,8.405,10.13,-0.863,10.11,-1.122,10.1,-1.214,106.7277,-10.7183
"NGC_2331, MWSC_1103","nan","nan",189.706,15.155,1946.0,0.479,8.6,11.83,-4.076,11.677,-4.541,11.6,-4.671,106.6717,27.2566
"FSR_1209, MWSC_1105","nan","nan",226.995,-2.872,2964.0,0.437,9.12,12.71,-5.298,12.57,-5.797,12.5,-5.908,106.7607,-13.8177
"Ruprecht_12, MWSC_1107","nan","nan",239.955,-9.317,2221.0,0.521,8.695,12.15,-5.497,11.983,-5.934,11.9,-6.029,106.7872,-28.2197
"Ruprecht_11, MWSC_1108","nan","nan",233.26,-5.979,1958.0,0.437,8.8,11.81,-2.52,11.67,-2.744,11.6,-2.748,106.8366,-20.793
"FSR_1223, MWSC_1109","nan","nan",228.953,-3.795,2255.0,0.416,8.95,12.1,-4.99,11.967,-5.606,11.9,-5.802,106.8358,-15.9781
"FSR_1202, MWSC_1110","nan","nan",226.108,-2.329,2436.0,0.208,9.225,12.1,-3.506,12.033,-3.892,12.0,-4.002,106.8393,-12.7813
"FSR_1170, MWSC_1111","nan","nan",222.64,-0.503,2276.0,0.666,8.755,12.32,-3.573,12.107,-3.851,12.0,-3.939,106.8683,-8.8631
"FSR_1207, MWSC_1112","nan","nan",226.611,-2.548,1928.0,0.541,8.335,11.86,-3.95,11.687,-4.077,11.6,-4.111,106.8762,-13.3283
"NGC_2338, MWSC_1114","nan","nan",219.879,1.012,1671.0,0.312,8.62,11.365,-3.252,11.265,-3.593,11.215,-3.658,106.9433,-5.7148
"FSR_1212, MWSC_1115","nan","nan",227.353,-2.9,1780.0,0.77,8.65,11.87,-3.868,11.623,-4.224,11.5,-4.273,106.9038,-14.1484
"Ruprecht_13, MWSC_1116","nan","nan",237.91,-8.12,2276.0,0.354,8.89,12.07,-6.177,11.957,-6.882,11.9,-7.134,106.9967,-25.8779
"FSR_1200, MWSC_1117","nan","nan",225.891,-2.053,1297.0,0.562,8.715,11.015,-2.647,10.835,-2.916,10.745,-2.95,106.9886,-12.462
"FSR_1111, MWSC_1118","nan","nan",216.19,3.002,1544.0,0.146,8.875,11.06,-2.365,11.013,-2.646,10.99,-2.701,107.0179,-1.5261
"NGC_2343, MWSC_1119","nan","nan",224.245,-1.176,1029.0,0.121,8.135,10.158,-4.248,10.119,-4.647,10.1,-4.805,107.0114,-10.5976
"NGC_2345, MWSC_1120","nan","nan",226.576,-2.333,2605.0,0.687,7.9,12.63,-7.033,12.41,-7.432,12.3,-7.575,107.056,-13.1986
"FSR_1219, MWSC_1122","nan","nan",228.525,-3.28,1721.0,0.375,8.755,11.48,-3.811,11.36,-4.06,11.3,-4.106,107.1087,-15.3628
"FSR_1289, MWSC_1123","nan","nan",238.216,-8.134,1791.0,0.416,8.605,11.6,-4.017,11.467,-4.496,11.4,-4.619,107.132,-26.1557
"FSR_1173, MWSC_1125","nan","nan",223.281,-0.488,2883.0,0.625,8.64,12.8,-3.713,12.6,-3.925,12.5,-3.976,107.1808,-9.4252
"FSR_1113, MWSC_1126","nan","nan",216.286,3.248,5805.0,0.562,8.3,14.27,-4.52,14.09,-4.744,14.0,-4.776,107.2806,-1.4985
"Haffner_23, MWSC_1127","nan","nan",230.024,-3.771,1000.0,0.1,8.825,10.08,-3.045,10.048,-3.481,10.032,-3.54,107.3673,-16.9177
"Berkeley_35, MWSC_1129","nan","nan",212.598,5.355,5012.0,0.0,9.065,13.5,-5.435,13.5,-5.885,13.5,-5.981,107.4771,2.7352
"DBSB_3, MWSC_1133","nan","nan",231.51,-4.313,3360.0,1.145,7.0,13.55,-3.668,13.183,-3.762,13.0,-3.747,107.5728,-18.4838
"ASCC_34, MWSC_1134","nan","nan",209.672,7.018,477.0,0.021,8.53,8.41,-1.064,8.403,-1.137,8.4,-1.206,107.6478,6.0815
"Dias_3, MWSC_1135","nan","nan",222.551,0.346,7241.0,0.625,8.485,14.8,-5.998,14.6,-6.261,14.5,-6.308,107.5889,-8.3928
"FSR_1158, MWSC_1136","nan","nan",221.166,1.184,1864.0,0.458,8.555,11.72,-3.752,11.573,-4.01,11.5,-4.059,107.6935,-6.7774
"Alessi_21, MWSC_1137","nan","nan",223.388,-0.007,596.0,0.073,7.7,8.935,-2.314,8.912,-2.417,8.9,-2.467,107.6633,-9.2982
"FSR_1160, MWSC_1139","nan","nan",221.507,1.107,1031.0,0.104,8.505,10.15,-1.65,10.117,-1.894,10.1,-1.953,107.7834,-7.1154
"FSR_1091, MWSC_1140","nan","nan",213.798,5.214,1952.0,0.458,8.865,11.82,-4.51,11.673,-4.981,11.6,-5.09,107.8952,1.6068
"ASCC_35, MWSC_1141","nan","nan",213.474,5.682,787.0,0.062,8.48,9.53,-1.148,9.51,-1.385,9.5,-1.432,108.1652,2.1071
"FSR_1281, MWSC_1142","nan","nan",237.82,-6.847,1847.0,0.521,8.68,11.75,-4.088,11.583,-4.306,11.5,-4.339,108.2147,-25.2291
"NGC_2352, MWSC_1143","nan","nan",236.762,-6.262,3000.0,0.666,8.775,12.92,-6.865,12.707,-7.505,12.6,-7.716,108.2658,-24.0271
"FSR_1183, MWSC_1144","nan","nan",224.218,0.304,1634.0,0.416,8.585,11.4,-3.897,11.267,-4.092,11.2,-4.153,108.3325,-9.8899
"FSR_1076, MWSC_1145","nan","nan",212.625,6.323,1031.0,0.416,8.96,10.4,-3.175,10.267,-3.729,10.2,-3.853,108.3531,3.1504
"NGC_2351, MWSC_1146","nan","nan",224.759,0.069,5841.0,0.521,9.0,14.25,-5.396,14.083,-5.843,14.0,-5.932,108.376,-10.4782
"Collinder_132, MWSC_1147","nan","nan",243.068,-9.299,330.0,0.021,7.51,7.61,-1.419,7.603,-1.499,7.6,-1.505,108.3549,-30.9729
"NGC_2354, MWSC_1148","nan","nan",238.364,-6.802,2865.0,0.666,8.61,12.82,-5.131,12.607,-5.355,12.5,-5.422,108.5294,-25.6907
"FSR_1153, MWSC_1149","nan","nan",220.583,2.488,3095.0,0.146,8.065,12.57,-3.273,12.523,-3.38,12.5,-3.381,108.5856,-5.6578
"FSR_1326, MWSC_1150","nan","nan",246.204,-10.563,1298.0,0.416,8.78,10.9,-2.188,10.767,-2.457,10.7,-2.483,108.6101,-34.3035
"ASCC_36, MWSC_1151","nan","nan",234.314,-4.645,813.0,0.0,8.33,9.55,-2.92,9.55,-3.294,9.55,-3.367,108.6199,-21.1209
"NGC_2353, MWSC_1152","nan","nan",224.667,0.389,1180.0,0.125,7.2,10.46,-4.517,10.42,-4.529,10.4,-4.471,108.6207,-10.2482
"FSR_1332, MWSC_1153","nan","nan",246.761,-10.744,2173.0,0.666,8.42,12.22,-2.422,12.007,-2.567,11.9,-2.569,108.7005,-34.8752
"Ruprecht_14, MWSC_1154","nan","nan",243.554,-9.196,4023.0,0.396,9.06,13.34,-4.81,13.213,-5.316,13.15,-5.407,108.7104,-31.3578
"FSR_1180, MWSC_1155","nan","nan",224.058,1.037,1000.0,0.0,8.675,10.0,-2.035,10.0,-2.339,10.0,-2.433,108.9156,-9.4077
"Berkeley_36, MWSC_1156","nan","nan",227.466,-0.578,5041.0,0.583,9.4,13.98,-6.267,13.793,-6.857,13.7,-6.997,109.0767,-13.1756
"Alessi_3, MWSC_1157","nan","nan",257.834,-15.397,311.0,0.11,8.87,7.553,-1.75,7.518,-2.08,7.5,-2.162,109.0464,-46.6153
"NGC_2355, MWSC_1160","nan","nan",203.385,11.797,2128.0,0.187,8.9,11.79,-3.98,11.73,-4.267,11.7,-4.316,109.2387,13.7517
"ESO_367-10, MWSC_1161","nan","nan",247.34,-10.515,3027.0,0.916,8.315,13.14,-2.818,12.847,-2.868,12.7,-2.872,109.2551,-35.2879
"Basel_11A, MWSC_1162","nan","nan",228.266,-0.785,1537.0,0.208,7.42,11.1,-4.027,11.033,-4.103,11.0,-4.131,109.2721,-13.9798
"FSR_1228, MWSC_1163","nan","nan",229.879,-1.614,4186.0,0.687,6.75,13.66,-4.945,13.44,-5.11,13.33,-5.093,109.2914,-15.7929
"NGC_2360, MWSC_1165","nan","nan",229.799,-1.433,1560.0,0.416,8.65,11.3,-5.475,11.167,-5.641,11.1,-5.676,109.419,-15.6378
"Collinder_135, MWSC_1166","nan","nan",249.02,-11.111,361.0,0.042,7.6,7.82,-2.838,7.807,-2.894,7.8,-2.849,109.4804,-37.033
"FSR_1306, MWSC_1167","nan","nan",241.722,-7.523,3066.0,0.208,9.09,12.6,-3.509,12.533,-3.782,12.5,-3.808,109.5026,-28.9882
"Haffner_5, MWSC_1168","nan","nan",236.061,-4.642,2069.0,0.687,8.6,12.13,-5.198,11.91,-5.562,11.8,-5.623,109.4868,-22.6653
"ASCC_37, MWSC_1169","nan","nan",237.703,-5.468,1571.0,0.125,8.73,11.081,-5.967,11.041,-5.95,11.021,-5.991,109.5094,-24.4975
"FSR_1377, MWSC_1171","nan","nan",256.144,-14.275,4640.0,0.521,8.845,13.75,-5.069,13.583,-5.508,13.5,-5.621,109.5714,-44.6678
"Teutsch_49, MWSC_1172","nan","nan",231.594,-2.18,3369.0,1.749,8.9,14.04,-4.38,13.48,-4.892,13.2,-5.052,109.6032,-17.5731
"NGC_2362, MWSC_1173","nan","nan",238.183,-5.547,1375.0,0.167,6.64,10.825,-6.3,10.772,-6.259,10.745,-6.23,109.6741,-24.9581
"Bica_4, MWSC_1174","nan","nan",235.609,-4.107,3930.0,1.02,8.125,13.79,-6.179,13.463,-6.646,13.3,-6.789,109.7739,-22.0181
"Ruprecht_15, MWSC_1175","nan","nan",233.534,-2.91,2362.0,0.416,8.75,12.2,-4.467,12.067,-4.821,12.0,-4.898,109.8762,-19.6279
"FSR_1284, MWSC_1176","nan","nan",237.932,-5.095,1935.0,0.208,9.145,11.6,-2.797,11.533,-3.044,11.5,-3.099,109.9887,-24.5278
"Haffner_6, MWSC_1177","nan","nan",227.866,0.237,3320.0,0.604,8.865,13.09,-5.234,12.897,-5.63,12.8,-5.744,110.0087,-13.1481
"NGC_2367, MWSC_1178","nan","nan",235.59,-3.809,1772.0,0.333,7.425,11.51,-3.807,11.403,-3.987,11.35,-4.012,110.0489,-21.8628
"DBSB_12, MWSC_1179","nan","nan",240.849,-6.539,3497.0,0.874,8.47,13.42,-5.176,13.14,-5.597,13.0,-5.733,110.0496,-27.7687
"Berkeley_37, MWSC_1180","nan","nan",217.12,5.958,4815.0,0.271,8.8,13.63,-7.144,13.543,-7.859,13.5,-8.095,110.0703,-0.9921
"FSR_1118, MWSC_1182","nan","nan",217.049,6.147,2089.0,0.468,8.9,11.975,-3.488,11.825,-3.716,11.75,-3.736,110.2056,-0.8424
"FSR_1255, MWSC_1183","nan","nan",233.681,-2.636,1023.0,0.0,8.495,10.05,-1.352,10.05,-1.683,10.05,-1.755,110.2062,-19.6296
"Saurer_1, MWSC_1184","nan","nan",214.691,7.377,13719.0,0.042,9.6,15.72,-3.846,15.707,-4.41,15.7,-4.479,110.2261,1.8024
"NGC_2368, MWSC_1186","nan","nan",225.498,1.781,4889.0,0.479,8.975,13.83,-5.485,13.677,-5.95,13.6,-6.048,110.266,-10.3328
"FSR_1258, MWSC_1187","nan","nan",234.248,-2.824,2928.0,0.521,9.1,12.75,-4.648,12.583,-5.061,12.5,-5.121,110.3116,-20.2181
"Berkeley_77, MWSC_1189","nan","nan",219.247,5.177,4699.0,0.125,8.835,13.46,-6.174,13.42,-6.711,13.4,-6.831,110.356,-3.2304
"King_23, MWSC_1190","nan","nan",217.281,6.291,3211.0,0.208,8.95,12.7,-4.666,12.633,-5.058,12.6,-5.125,110.4396,-0.9808
"FSR_0944, MWSC_1191","nan","nan",195.645,16.442,4755.0,0.666,8.7,13.92,-4.375,13.707,-4.458,13.6,-4.495,110.4445,22.502
"FSR_1083, MWSC_1192","nan","nan",213.218,8.434,1775.0,0.791,8.81,11.88,-3.415,11.627,-3.692,11.5,-3.716,110.5052,3.5824
"FSR_1157, MWSC_1194","nan","nan",221.056,4.56,926.0,0.833,7.7,10.5,-0.994,10.233,-1.207,10.1,-1.184,110.6488,-5.113
"FSR_1252, MWSC_1195","nan","nan",233.048,-1.842,1899.0,0.333,8.995,11.66,-4.658,11.553,-5.106,11.5,-5.216,110.634,-18.6984
"FSR_1470, MWSC_1196","nan","nan",270.431,-19.239,1055.0,0.416,8.63,10.45,-2.336,10.317,-2.722,10.25,-2.808,110.6972,-59.1969
"Haffner_7, MWSC_1197","nan","nan",242.662,-6.8,1893.0,0.354,9.0,11.67,-8.023,11.557,-8.886,11.5,-9.281,110.7276,-29.4882
"Ruprecht_16, MWSC_1198","nan","nan",233.797,-2.081,1701.0,0.271,8.65,11.37,-2.386,11.283,-2.642,11.24,-2.71,110.7839,-19.4713
"Collinder_140, MWSC_1199","nan","nan",244.929,-7.675,386.0,0.052,7.7,7.975,-1.894,7.958,-2.008,7.95,-1.998,111.0244,-31.8878
"FSR_1440, MWSC_1201","nan","nan",265.343,-17.178,1631.0,0.521,8.76,11.48,-4.341,11.313,-4.931,11.23,-5.092,110.9031,-53.9443
"Ruprecht_17, MWSC_1202","nan","nan",237.128,-3.73,1263.0,0.291,8.325,10.74,-1.878,10.647,-2.151,10.6,-2.179,110.901,-23.1826
"Berkeley_78, MWSC_1203","nan","nan",211.792,9.606,4670.0,0.01,9.45,13.355,-5.049,13.352,-5.639,13.35,-5.763,110.918,5.3678
"FSR_1293, MWSC_1205","nan","nan",239.087,-4.686,962.0,1.197,9.005,10.875,-1.671,10.491,-1.894,10.3,-1.881,110.9782,-25.3565
"NGC_2374, MWSC_1206","nan","nan",228.423,1.027,1394.0,0.09,8.75,10.793,-4.129,10.764,-4.499,10.75,-4.609,110.9939,-13.2673
"FSR_1297, MWSC_1207","nan","nan",239.571,-4.932,3654.0,1.666,6.7,14.15,-6.182,13.616,-6.215,13.35,-6.128,110.9869,-25.8978
"Ivanov_6, MWSC_1208","nan","nan",238.476,-4.287,2434.0,1.145,6.6,12.85,-3.334,12.483,-3.508,12.3,-3.49,111.0527,-24.6315
"FSR_1139, MWSC_1210","nan","nan",219.298,6.024,1964.0,0.416,8.855,11.8,-3.715,11.667,-4.11,11.6,-4.189,111.1309,-2.8823
"Ruprecht_18, MWSC_1211","nan","nan",239.925,-4.928,1499.0,0.687,8.455,11.43,-3.389,11.21,-3.628,11.1,-3.648,111.1742,-26.2078
"NGC_2383, MWSC_1213","nan","nan",235.261,-2.456,1655.0,0.21,8.69,11.263,-5.085,11.196,-5.772,11.162,-5.972,111.1669,-20.9381
"Haffner_9, MWSC_1214","nan","nan",231.789,-0.59,1797.0,0.552,8.15,11.715,-2.416,11.538,-2.572,11.45,-2.607,111.1689,-16.9976
"FSR_1283, MWSC_1215","nan","nan",237.873,-3.795,4192.0,0.895,6.8,13.83,-4.965,13.543,-5.082,13.4,-5.075,111.2193,-23.8694
