"Name","Type","Type?","GLON","GLAT","d","E(B-V)","logt","DM(J)","I(M.J)","DM(H)","I(M.H)","DM(Ks)","I(M.Ks)","_RA.icrs","_DE.icrs"
"ESO_332-13, MWSC_2494","nan","nan",344.728,1.609,2910.0,0.562,6.82,12.77,-5.309,12.59,-5.287,12.5,-5.242,254.1557,-40.5748
"NGC_6249, MWSC_2499","nan","nan",341.533,-1.161,1113.0,0.521,8.09,10.65,-3.511,10.483,-3.749,10.4,-3.772,254.3899,-44.7996
"NGC_6253, MWSC_2502","nan","nan",335.462,-6.24,1511.0,0.2,9.7,11.056,-5.079,10.992,-5.773,10.96,-5.978,254.7591,-52.7
"DBSB_115, MWSC_2504","nan","nan",345.391,1.506,2628.0,1.249,7.38,13.1,-3.536,12.7,-3.553,12.5,-3.526,254.8021,-40.1197
"DBSB_176, MWSC_2505","nan","nan",343.483,-0.04,7693.0,1.77,7.795,15.85,-7.354,15.283,-7.583,15.0,-7.698,254.8478,-42.575
"NGC_6259, MWSC_2511","nan","nan",341.982,-1.553,1855.0,0.645,8.475,11.86,-5.523,11.653,-5.755,11.55,-5.839,255.2145,-44.6895
"FSR_1778, MWSC_2515","nan","nan",356.379,9.171,4627.0,0.229,9.3,13.51,-5.376,13.437,-6.049,13.4,-6.196,255.5238,-26.7819
"NGC_6268, MWSC_2516","nan","nan",346.05,1.32,1105.0,0.416,8.65,10.55,-4.385,10.417,-4.622,10.35,-4.741,255.5219,-39.7148
"DBSB_178, MWSC_2517","nan","nan",344.423,0.039,7506.0,1.874,7.955,15.88,-8.923,15.28,-9.342,14.98,-9.539,255.5444,-41.7854
"VDBH_211, vdBergh-Hagen_211, MWSC_2518","nan","nan",344.953,0.458,1820.0,1.072,8.52,12.16,-4.706,11.816,-4.968,11.645,-5.016,255.5352,-41.1099
"ASCC_87, MWSC_2520","nan","nan",355.145,8.017,838.0,0.26,8.55,9.825,-3.37,9.742,-3.612,9.7,-3.669,255.7406,-28.4502
"FSR_1739, MWSC_2521","nan","nan",340.284,-3.385,1054.0,1.041,7.7,10.95,-2.027,10.617,-2.297,10.45,-2.369,255.8073,-47.152
"Harvard_13, MWSC_2523","nan","nan",339.602,-4.027,3612.0,0.656,9.285,13.315,-4.499,13.105,-4.898,13.0,-4.981,255.9516,-48.0826
"Teutsch_84, MWSC_2526","nan","nan",344.436,-0.444,3411.0,1.353,8.995,13.75,-7.081,13.316,-7.573,13.1,-7.673,256.0696,-42.0696
"ESO_587-04, MWSC_2527","nan","nan",2.725,13.078,5271.0,0.437,9.175,13.96,-5.449,13.82,-6.0,13.75,-6.06,256.0797,-19.4499
"NGC_6281, MWSC_2530","nan","nan",347.729,1.982,512.0,0.192,8.5,8.702,-4.046,8.641,-4.409,8.61,-4.462,256.16,-37.9805
"FSR_1769, MWSC_2531","nan","nan",353.305,6.126,5409.0,0.729,9.19,14.25,-6.94,14.017,-7.571,13.9,-7.729,256.221,-31.0456
"ESO_332-20, MWSC_2532","nan","nan",347.489,1.741,1695.0,0.791,8.05,11.78,-5.79,11.527,-6.219,11.4,-6.333,256.2191,-38.3173
"VDBH_214, vdBergh-Hagen_214, MWSC_2534","nan","nan",348.895,2.619,1579.0,0.645,8.71,11.51,-2.913,11.303,-3.198,11.2,-3.259,256.4075,-36.6673
"ASCC_88, MWSC_2536","nan","nan",349.907,3.084,1297.0,0.729,7.0,11.15,-6.772,10.917,-6.846,10.8,-6.848,256.7004,-35.5802
"ESO_332-22, MWSC_2537","nan","nan",345.784,-0.15,1422.0,1.041,7.995,11.6,-5.427,11.267,-5.57,11.1,-5.697,256.8427,-40.8175
"FSR_1786, MWSC_2540","nan","nan",358.905,8.646,7130.0,0.729,9.4,14.85,-8.133,14.617,-8.894,14.5,-9.163,257.6313,-25.0756
"DBSB_108, MWSC_2543","nan","nan",342.118,-3.743,1620.0,1.249,7.6,12.05,-1.433,11.65,-1.62,11.45,-1.629,257.8166,-45.8998
"DBSB_179, MWSC_2544","nan","nan",347.555,0.212,7908.0,1.895,7.38,16.01,-7.666,15.403,-7.759,15.1,-7.837,257.8405,-39.1795
"Teutsch_85, MWSC_2547","nan","nan",347.371,-0.352,1569.0,2.863,6.6,13.275,-4.802,12.358,-4.852,11.9,-4.747,258.29,-39.6605
"FSR_1754, MWSC_2551","nan","nan",348.038,-0.293,1400.0,1.457,7.15,11.9,-4.427,11.433,-4.462,11.2,-4.461,258.7331,-39.0851
"NGC_6318, MWSC_2552","nan","nan",347.904,-0.677,1841.0,1.166,7.8,12.26,-4.41,11.886,-4.407,11.7,-4.408,259.0357,-39.4175
"VDBH_217, vdBergh-Hagen_217, MWSC_2553","nan","nan",346.785,-1.506,1723.0,1.301,7.7,12.225,-3.685,11.808,-3.769,11.6,-3.772,259.0696,-40.8097
"Bochum_13, MWSC_2559","nan","nan",351.188,1.379,1340.0,0.822,7.25,11.295,-5.733,11.032,-5.708,10.9,-5.691,259.3211,-35.5498
"VDBH_221, vdBergh-Hagen_221, MWSC_2563","nan","nan",353.982,3.006,807.0,0.2,7.8,9.696,-2.326,9.632,-2.443,9.6,-2.447,259.6554,-32.3304
"VDBH_222, vdBergh-Hagen_222, MWSC_2564","nan","nan",349.109,-0.437,7813.0,1.666,7.9,15.8,-9.388,15.266,-9.869,15.0,-10.006,259.6782,-38.2954
"Havlen-Moffat_1, MWSC_2565","nan","nan",348.698,-0.761,4854.0,1.77,6.95,14.85,-8.657,14.283,-8.58,14.0,-8.571,259.7151,-38.8179
"DBSB_120, MWSC_2581","nan","nan",350.051,-0.853,5483.0,1.103,6.0,14.58,-6.022,14.226,-6.149,14.05,-6.118,260.7938,-37.7587
"Ruprecht_123, MWSC_2584","nan","nan",349.948,-0.997,929.0,0.187,8.1,9.99,-2.171,9.93,-2.512,9.9,-2.591,260.8706,-37.925
