"RA_ICRS","DE_ICRS","Cluster","N","logAge","AV","MOD","r","Mass","Density","Nrelax","NBSS","NpBS","Reffcl","ReffBSS","_RA.icrs","_DE.icrs"
254.778,-52.712,"NGC_6253","*",9.51,0.78,11.09,1.73,2623.8,175.557,68.25,6,7,0.053,0.036,254.778,-52.712
255.999,-48.09,"Harvard_13","nan",8.93,1.43,10.58,1.78,191.9,12.187,39.89,0,0,0.068,"nan",255.999,-48.09
253.687,-48.459,"UBC_546","nan",8.53,2.17,11.27,3.26,181.3,1.898,6.46,0,0,0.097,"nan",253.687,-48.459
248.751,-47.992,"UBC_316","nan",8.73,2.2,11.15,1.93,283.0,14.307,19.85,0,0,0.08,"nan",248.751,-47.992
246.953,-49.161,"NGC_6134","*",8.99,0.87,10.36,3.22,4092.8,43.924,6.73,3,3,0.175,0.024,246.953,-49.161
246.376,-47.935,"UBC_315","nan",8.57,2.29,11.76,3.54,866.5,7.091,3.82,0,0,0.106,"nan",246.376,-47.935
245.17,-48.523,"Lynga_9","*",8.8,2.5,12.01,2.69,4788.0,88.718,5.33,1,0,0.064,0.071,245.17,-48.523
250.674,-48.01,"UBC_668","nan",8.71,2.71,12.15,4.32,282.6,1.262,5.63,0,0,0.089,"nan",250.674,-48.01
250.65,-47.894,"UBC_317","nan",8.51,2.02,11.69,1.86,326.6,18.302,11.96,0,0,0.081,"nan",250.65,-47.894
250.353,-46.11,"UBC_548","nan",8.62,2.27,11.88,2.86,344.0,5.291,7.97,0,0,0.087,"nan",250.353,-46.11
261.212,-49.917,"IC_4651","*",9.22,0.42,9.96,3.94,3628.6,20.983,8.89,2,1,0.234,0.048,261.212,-49.917
259.305,-41.523,"UBC_556","nan",8.68,2.28,11.2,1.46,280.0,32.649,26.9,0,0,0.054,"nan",259.305,-41.523
261.768,-39.405,"FoF_866, LP_866","*",9.28,2.3,11.96,3.01,3345.9,43.202,15.83,5,3,0.087,0.088,261.768,-39.405
256.976,-44.157,"FoF_145, LP_145","*",9.0,3.0,11.49,4.22,6546.0,31.14,3.84,1,1,0.131,0.3,256.976,-44.157
256.09,-42.07,"Teutsch_84","*",9.02,3.48,11.94,1.49,3175.7,340.213,25.04,0,1,0.041,"nan",256.09,-42.07
256.582,-41.582,"UBC_555","nan",8.72,2.54,11.11,0.99,221.6,82.635,56.65,0,0,0.068,"nan",256.582,-41.582
