"Name","GLON","GLAT","RAJ2000","DEJ2000","Daxis","daxis","Names","Class","Comm","Ref","RA","DEC"
"Gy2-7, IRAS07069-1045",224.61,-1.01,"07 09 21","-10 50 30",2.3,2.3,"Gy2-7 IR Cluster,Gy3-7 IR Cl,IRAS07069-1045 Cl","IRC","inc Gy2-7  d>1.4 inc 9 YSO  eFIR=2.8","040",107.33238,-10.84509
"IRAS07255-2012",235.05,-1.54,"07 27 41","-20 18 51",1.1,0.6,"IRAS07255-2012 Cluster,SYCA1","IRC","mP d=10.2 eFIR=1.9 LD=3.3","031",111.92159,-20.3179
"NGC 2467-East",243.16,0.49,"07 52 36","-26 25 55",2.4,2.9,"NGC2467-East IR Cluster","IRC","in NGC2467,in Gum 9,in Sh2-311  eFIR=6.9","039",118.20895,-26.3685
"RCW36",265.14,1.45,"08 59 26","-43 45 08",6.0,4.0,"RCW36 IR Cluster","IRC","in RCW36 loose   eFIR=105.8","039",134.85598,-43.75227
"DB2001-36, vdBH-RN26",267.72,-1.09,"08 58 05","-47 22 40",1.2,1.2,"vdBH-RN26 IR Cluster","IRC","in vdB-RN26,in RCW38 Local arm  d=1.7 eFIR=7.1 LD=0.6","078",134.5235,-47.36513
"RCW38,Gum22,RCW38-IRS2",267.92,-1.06,"08 59 00","-47 30 35",2.0,1.5,"RCW38 IR Cluster,Gum22 IR Cl,RCW38-IRS2 Cl","IRC","in Gum22,in RCW38  d=1.7 t=2 eFIR=64.9 LD=1.0","033",134.7503,-47.49683
"Gum25, RCW40",269.18,-1.46,"09 02 11","-48 42 18",3.5,3.0,"Gum25 IR Cluster,RCW40 IR Cl","IRC","in Gum25       eFIR=34.1","039, 041",135.54173,-48.70826
"DB2001-37, vdBH-RN43",287.81,-0.82,"10 45 54","-59 56 58",1.5,1.5,"vdBH-RN43 IR Cluster","IRC","in vdBH-RN43,in Eta Car Neb  eFIR=9.6","078",161.46402,-59.95221
"NGC3576",291.27,-0.7,"11 11 55","-61 18 29",2.0,1.5,"NGC3576 IR Cluster","IRC","in Gum38a,RCW57a,NGC3576 St Gr d=2.4 eFIR=58.1 LD=1.4","012",167.9711,-61.29712
"RCW87, IRAS15015-5720",320.15,0.79,"15 05 18","-57 31 40",2.5,2.5,"RCW87 IR Cluster,IRAS15015-5720 Cl","IRC","in RCW87,Sct Arm d=2.6 eFIR=24.7 LD=1.9","039",226.32416,-57.53671
"G333.6-0.2",333.6,-0.21,"16 22 10","-50 05 49",1.5,1.5,"G333.6-0.2 IR Cluster","IRC","in Nor Complex,G333.6-0.2 d=14.1 eFIR=104.8 LD=6.5","070",245.53234,-50.1011
"RCW108",336.48,-1.48,"16 40 01","-48 52 03",0.9,0.9,"RCW108 IR Cluster,G336.5-1.5 IR Cl","IRC","in G336.5-1.5,RCW108,trigg. by Cl NGC6193,AraOB1? d=1.3 t=0.5 eFIR=36.5 LD=0.34","034",249.99485,-48.87406
