"Name","ID","AllNames","Type","CST","N","CSTt","Nt","RA_ICRS","DE_ICRS","GLON","GLAT","r50","rc","rt","rtot","r50pc","rcpc","rtpc","rtotpc","pmRA","s_pmRA","e_pmRA","pmDE","s_pmDE","e_pmDE","Plx","s_Plx","e_Plx","dist16","dist50","dist84","Ndist","globalPlx","X","Y","Z","RV","s_RV","e_RV","n_RV","CMDCl2.5","CMDCl16","CMDCl50","CMDCl84","CMDCl97.5","CMDClHuman","logAge16","logAge50","logAge84","AV16","AV50","AV84","diffAV16","diffAV50","diffAV84","MOD16","MOD50","MOD84","minClSize","isMerged","isGMMMemb","NXmatches","XmatchType","recno"
"OCSN 59",5101,"LISC-III_3613,OCSN_59","o",9.09415,60,9.24461,59,76.84404,-3.33568,203.57206,-24.6,0.57387,0.99902,1.55664,2.25362,3.81354,6.63931,10.34658,14.98334,1.19715,0.23089,0.03006,-0.85936,0.25886,0.0337,2.58413,0.03604,0.00469,380.10976,380.73744,381.36721,53,0,-8439.68024,-138.44116,-136.86227,17.39164,15.49322,4.29705,13,0.7068,0.938,0.96525,0.99898,0.99966,"nan",6.513,6.768,6.903,0.238,0.452,0.676,0.78,1.302,1.828,7.721,7.897,8.046,40,0,0,2,"1:m",5102
"OCSN 61",5102,"Collinder_70,OCSN_61","o",10.06945,147,10.06945,147,84.08365,-0.40217,204.4899,-16.84,0.52019,0.76834,1.51034,1.51034,3.42858,5.06427,9.95663,9.95663,-1.04468,0.21169,0.01746,-0.63025,0.20203,0.01666,2.59027,0.07116,0.00587,377.18462,377.6249,378.06621,132,0,-8451.17251,-149.82704,-87.73729,26.82268,16.99,2.79314,37,0.9396,0.9863,0.99214,0.99985,0.99988,"nan",6.869,7.069,7.31,0.06,0.19,0.285,0.091,0.655,0.947,7.689,7.855,7.999,80,0,0,2,"m:m",5103
"OCSN 64",5103,"OCSN_64","o",9.88342,67,9.88342,67,78.46737,-4.84942,205.87124,-23.88,1.94658,2.66522,5.86495,5.86495,11.01607,15.08806,33.29442,33.29442,0.33837,0.57618,0.07039,5.17543,0.39498,0.04825,3.07061,0.10385,0.01269,323.64555,324.12247,324.6008,53,0,-8388.98646,-129.32607,-109.71495,27.485,15.50825,3.7613,17,0.3455,0.7874,0.89233,0.99741,0.99741,"nan",7.097,7.322,7.567,0.289,0.532,0.711,0.08,0.62,0.903,7.364,7.525,7.68,10,0,0,1,"1:1",5104
"OCSN 65",5104,"Collinder_70,OCSN_65,Theia_13","o",6.20927,70,6.57718,68,83.76421,-2.15506,205.95276,-17.94,0.49739,0.61179,1.5894,1.62272,3.61703,4.44908,11.56098,11.80341,-1.25774,0.2917,0.03537,0.92965,0.20839,0.02527,2.36485,0.0396,0.0048,415.87452,416.64995,417.42827,57,0,-8478.71051,-173.46842,-106.6539,33.16098,22.55214,5.31559,18,0.9451,0.9874,0.99345,0.99983,0.99997,"nan",6.781,7.117,7.3,0.151,0.365,0.524,0.067,0.58,0.873,7.878,8.068,8.217,40,0,0,3,"m:m",5105
"OCSN 68",5105,"OCSN_68","o",4.97009,51,5.23942,46,84.49072,-4.91076,208.88003,-18.57,0.84653,1.54559,1.54559,2.09557,6.18087,11.28692,11.28692,15.30633,-1.70475,0.15084,0.02224,1.29608,0.18809,0.02773,2.35236,0.04637,0.00684,417.42939,418.3103,419.19493,43,0,-8469.52845,-191.51466,-111.52952,28.0475,4.76587,1.68499,8,0.8987,0.9799,0.99008,0.99997,0.99997,"nan",6.735,7.044,7.253,0.124,0.386,0.531,0.004,0.515,0.767,7.882,8.071,8.216,40,0,0,1,"1:1",5106
"OCSN 69",5106,"OCSN_69","o",8.14639,39,8.14639,39,93.64742,-4.61709,212.86668,-10.3,0.92402,2.05703,2.05703,2.05703,5.66658,12.61912,12.61912,12.61912,-6.59782,0.24445,0.03914,2.57099,0.31868,0.05103,2.83761,0.10495,0.01681,350.60108,351.33687,352.07576,33,0,-8412.48254,-187.59553,-41.24781,20.44486,10.53072,3.3301,10,0.4532,0.8962,0.95502,0.99984,0.99984,"nan",7.053,7.354,7.561,0.0,0.11,0.175,0.0,0.441,0.653,7.502,7.697,7.878,20,0,0,1,"1:1",5107
"OCSN 70",5107,"OCSN_70,OC_0356","o",4.47034,18,4.55369,17,85.24348,-9.28738,213.38535,-19.84,0.1189,0.24409,0.30579,0.46308,0.88366,1.81409,2.27268,3.44178,0.65212,0.15934,0.03865,-1.10677,0.12512,0.03035,2.30681,0.02191,0.00531,424.40608,425.82992,427.26335,17,0,-8456.79989,-220.41089,-122.87102,17.95062,1.96533,1.3897,2,0.3466,0.7294,0.8333,0.99009,0.99685,"nan",6.46,6.784,6.965,2.575,2.969,3.429,0.344,1.086,1.63,7.915,8.097,8.221,10,0,0,2,"m:m",5108
"OCSN 76",5108,"OCSN_76","o",13.44446,119,13.44446,119,99.63809,-16.76476,226.58283,-10.34,1.396,1.23052,5.63263,5.63263,11.08388,9.76959,44.85735,44.85735,-4.29529,0.28387,0.02602,5.01656,0.28955,0.02654,2.1618,0.08506,0.0078,454.22941,454.82355,455.41926,96,0,-8429.71182,-325.00867,-60.01383,24.22306,7.68329,1.28055,36,0.6881,0.9467,0.97462,0.99927,0.99977,"nan",7.297,7.568,7.844,0.03,0.18,0.286,0.227,0.752,1.095,8.065,8.253,8.427,80,0,0,1,"1:1",5109
"OCSN 77",5109,"OCSN_77","o",20.7552,236,20.7552,236,112.66116,-12.53968,228.55613,2.803,0.74672,0.96214,2.3239,2.3239,6.92125,8.91825,21.55045,21.55045,-5.76718,0.25779,0.01678,-1.02223,0.3443,0.02241,1.82485,0.13666,0.0089,530.47197,531.03532,531.59986,205,0,-8472.97055,-397.59009,47.6627,15.40721,10.31705,1.20752,73,0.8935,0.9822,0.98976,0.99989,0.99989,"nan",7.852,8.119,8.399,0.001,0.128,0.2,0.356,0.79,1.212,8.365,8.561,8.71,20,0,0,1,"1:1",5110
"OCSN 82",5110,"OCSN_82","o",17.58158,157,17.62319,154,108.53136,-35.06059,246.87012,-10.95,1.59354,3.18952,4.12848,4.94707,11.40655,22.84823,29.59519,35.49011,-5.44023,0.27039,0.02179,6.4569,0.23909,0.01927,2.42163,0.06143,0.00495,409.67653,410.01633,410.3567,111,0,-8280.30187,-370.19368,-56.67334,15.46702,10.46901,1.63498,41,0.5949,0.914,0.9562,0.99864,0.999,"nan",7.098,7.372,7.594,0.008,0.16,0.236,0.142,0.63,0.976,7.904,8.041,8.253,80,0,0,1,"1:1",5111
"OCSN 86",5111,"LISC-III_3783,OCSN_86","o",11.54947,78,12.69567,68,138.25822,-29.74672,256.40224,12.79,1.22115,2.74119,2.74119,7.0817,5.52872,12.41833,12.41833,32.22173,-20.76323,0.8847,0.10729,16.37282,0.584,0.07082,3.83255,0.1502,0.01821,259.16898,259.36688,259.56508,60,0,-8181.29196,-245.84294,78.365,25.36604,2.18706,0.44643,24,0.9275,0.9858,0.99309,0.99999,0.99999,"nan",7.805,8.079,8.352,0.009,0.157,0.249,0.128,0.602,0.856,6.933,7.05,7.244,40,0,0,2,"1:m",5112
"OCSN 89",5113,"OCSN_89,Theia_246","o",12.73818,161,14.6966,145,186.45012,-65.88347,300.31371,-3.142,1.00618,1.68373,2.77031,4.83172,7.241,12.11924,19.95006,34.85062,-13.75103,0.71014,0.05897,-2.68489,0.74784,0.0621,2.4097,0.11812,0.00981,411.98779,412.28784,412.58832,130,0,-7914.24927,-355.38278,-2.33103,1.39221,10.8319,1.58,47,0.6888,0.9285,0.96079,0.99777,0.99819,"nan",7.332,7.572,7.767,0.553,0.727,0.944,1.237,1.623,2.164,7.844,8.003,8.143,20,0,0,2,"m:m",5114
"OCSN 91",5114,"OCSN_91","o",7.01846,21,7.01846,21,229.68314,-37.65243,332.6106,16.59,0.31871,0.1667,2.11112,2.11112,0.73748,0.38573,4.88728,4.88728,-18.97056,0.50136,0.10941,-26.96973,0.34911,0.07618,7.48042,0.09021,0.01969,132.46247,132.58074,132.69921,20,0,-8009.05796,-58.45346,58.36271,5.16603,10.46477,3.02092,12,0.939,0.9927,0.99755,1.0,1.0,"nan",8.825,9.323,10.0,3.068,3.694,4.252,0.334,1.126,1.57,5.44,5.578,5.717,20,0,0,1,"1:1",5115
"OCSN 92",5115,"OCSN_92","o",10.38301,103,10.38301,103,231.55516,-36.06206,334.84284,17.04,2.81902,4.7047,7.76959,7.76959,6.80355,11.37097,18.85207,18.85207,-20.49808,2.36356,0.23289,-24.57593,0.91215,0.08988,7.24564,0.34891,0.03438,138.11363,138.16885,138.22411,100,0,-8002.29958,-56.15665,60.99012,1.62321,18.55075,2.33717,63,0.9811,0.997,0.99852,1.0,1.0,"nan",6.76,6.966,7.214,0.091,0.262,0.377,0.002,0.585,0.874,5.532,5.664,5.791,40,0,0,1,"1:1",5116
"OCSN 96",5116,"OCSN_96","o",13.94974,223,14.13728,220,240.42965,-22.70921,350.27382,22.2,1.62371,2.97295,2.97295,3.96406,3.98578,7.30241,7.30241,9.74369,-11.54068,1.29916,0.08759,-23.88757,0.83123,0.05604,7.06489,0.1145,0.00772,140.56725,140.6085,140.64976,211,0,-7993.52589,-21.99331,73.60427,-11.80342,17.68562,1.83391,93,0.9812,0.9948,0.9974,0.99997,0.99999,"nan",6.506,6.671,6.79,0.198,0.396,0.528,0.582,1.16,1.742,5.546,5.679,5.816,20,0,0,1,"1:1",5117
"OCSN 98",5117,"OCSN_98","o",5.78031,75,6.54839,56,241.30084,-19.74287,353.20134,23.68,0.47336,0.79766,1.29975,2.12633,1.25037,2.1071,3.43378,5.61912,-9.98646,0.47632,0.06365,-21.69771,0.4297,0.05742,6.5643,0.10247,0.01369,151.25484,151.34267,151.4306,74,0,-7984.19552,-16.40748,81.23725,-10.86534,15.03166,2.89284,27,0.9249,0.979,0.98883,0.99988,0.99988,"nan",6.418,6.649,6.753,0.284,0.556,0.791,0.159,0.745,1.159,5.721,5.854,5.992,40,0,0,1,"1:1",5118
"OCSN 100",5119,"OCSN_100","o",7.46116,87,8.0952,69,242.72133,-19.38334,354.47966,22.95,0.44046,0.98541,1.10747,2.10065,1.05852,2.36834,2.66178,5.05048,-8.6407,0.54427,0.06552,-24.32894,0.46525,0.05601,7.1934,0.1115,0.01342,137.61934,137.69147,137.76368,79,0,-7995.62805,-12.1979,74.15741,-11.05589,14.67076,2.63495,31,0.9963,0.9996,0.99987,1.0,1.0,"nan",6.401,6.558,6.641,0.151,0.408,0.584,0.198,0.919,1.386,5.507,5.639,5.771,80,0,0,1,"1:1",5120
"PHOC 1",5120,"PHOC_1","o",10.41829,42,10.41829,42,126.97829,-42.7624,260.81152,-2.441,0.12755,0.20322,0.35819,0.35819,3.04625,4.85344,8.55456,8.55456,-5.70744,0.08286,0.01279,4.81353,0.08682,0.0134,0.69918,0.03489,0.00538,1361.39942,1368.37346,1375.41932,41,0,-8340.43028,-1349.58892,-36.92566,26.11807,21.04801,12.15207,3,0.959,0.9941,0.9975,1.0,1.0,"nan",7.882,8.105,8.354,0.603,0.792,0.989,0.398,0.894,1.244,10.546,10.683,10.845,20,0,0,1,"1:1",5121
"PHOC 2",5121,"PHOC_2","o",14.0741,95,14.40238,90,280.09108,-3.71811,28.36072,0.7635,0.07047,0.16988,0.16988,0.28043,2.87952,6.94119,6.94119,11.45837,0.53964,0.07758,0.00818,-1.59886,0.10117,0.01066,0.39003,0.04525,0.00477,2317.74036,2341.11192,2364.95964,93,0,-6061.96353,1111.97679,46.72537,"nan","nan","nan",0,0.9654,0.9916,0.99539,0.99995,0.99999,"nan",7.407,7.593,7.761,3.316,3.475,3.663,1.102,1.526,1.878,11.665,11.827,11.941,10,0,0,1,"1:1",5122
