"Name","RAJ2000","DEJ2000","Nsini","Ns","NOut","NM1","NM2","NM3","percM1","percM2","percM3","pxcM1","s_pxcM1","pxcM2","s_pxcM2","pxcM3","s_pxcM3","pycM1","s_pycM1","pycM2","s_pycM2","pycM3","s_pycM3","cccM1","cccM2","cccM3","Dist","E(B-V)","logAge","Radius","pxfM1","s_pxfM1","pxfM2","s_pxfM2","pxfM3","s_pxfM3","pyfM1","s_pyfM1","pyfM2","s_pyfM2","pyfM3","s_pyfM3","ccfM1","ccfM2","ccfM3","File"
"Majaess_50",71.3625,41.97583,429,387,19,305,334,306,78.81,86.31,79.07,-1.64,4.29,-1.71,4.99,-1.65,4.11,0.09,4.37,-0.03,5.24,0.13,4.51,-0.03,-0.01,-0.04,"nan","nan","nan",9.0,1.09,16.73,5.15,22.55,1.0,16.56,-1.38,13.38,-2.11,17.19,-1.47,12.94,-0.26,-0.32,-0.25,"Majaess_50.dat"
"Majaess_58",81.46667,34.875,348,299,8,250,262,248,83.61,87.62,82.94,-1.93,3.86,-1.65,4.42,-1.93,3.99,-3.91,4.27,-3.94,4.57,-3.87,4.06,-0.08,-0.04,-0.13,"nan","nan","nan",9.14,-0.53,11.04,-1.78,13.25,-0.65,10.34,-8.47,14.71,-12.13,18.31,-8.14,14.24,0.2,0.2,0.22,"Majaess_58.dat"
"Majaess_65",87.43333,27.10833,169,156,10,114,67,8,73.08,42.95,5.13,-3.42,3.83,-3.65,3.5,-19.96,4.38,3.64,4.92,2.48,3.98,9.99,10.09,-0.07,-0.01,0.85,"nan","nan","nan",7.5,-4.99,9.54,-4.1,7.84,-2.97,4.82,6.45,9.46,6.34,8.09,4.15,6.32,-0.06,-0.09,-0.01,"Majaess_65.dat"
"Majaess_68",88.05417,26.9925,284,268,8,212,235,218,79.1,87.69,81.34,-0.17,3.94,-0.09,4.83,-0.27,4.2,2.34,4.65,2.06,5.4,2.3,4.65,0.08,0.08,0.16,"nan","nan","nan",11.5,2.02,11.14,4.35,14.01,2.34,10.74,1.4,14.77,2.72,20.73,1.54,14.78,-0.1,-0.18,-0.14,"Majaess_68.dat"
"Majaess_69",89.55833,16.55944,253,218,9,150,156,148,68.81,71.56,67.89,-0.17,4.29,0.94,5.78,-0.03,4.29,-2.56,4.31,-3.04,5.92,-2.23,4.62,-0.02,-0.13,0.02,"nan","nan","nan",8.0,0.52,12.47,-2.39,12.07,0.21,11.63,-6.18,11.12,-5.88,10.65,-6.12,10.1,0.05,0.09,0.03,"Majaess_69.dat"
"Majaess_70",90.24167,-9.90333,379,351,7,245,266,240,69.8,75.78,68.38,-1.55,3.87,-1.67,4.83,-1.66,3.85,-2.74,4.87,-2.69,5.32,-2.65,5.03,-0.16,-0.12,-0.28,"nan","nan","nan",20.5,0.77,11.6,2.53,12.87,0.77,11.2,-6.73,13.89,-9.2,16.04,-6.58,13.33,-0.24,-0.23,-0.21,"Majaess_70.dat"
"Majaess_79",96.96667,5.52778,33,31,3,0,0,3,0.0,0.0,9.68,"nan","nan","nan","nan",-8.3,0.96,"nan","nan","nan","nan",-4.13,0.42,-99.99,-99.99,1.0,"nan","nan","nan",4.5,"nan","nan","nan","nan",-0.89,6.11,"nan","nan","nan","nan",-1.93,5.88,-99.99,-99.99,-0.43,"Majaess_79.dat"
"Majaess_86",109.62917,-18.37083,177,157,4,96,147,108,61.15,93.63,68.79,0.17,2.33,0.27,4.19,0.15,2.77,0.97,3.05,0.98,5.03,0.97,3.49,-0.1,-0.09,-0.22,"nan","nan","nan",6.0,0.95,6.46,7.9,9.73,1.09,6.58,1.16,7.93,3.29,16.37,1.19,8.13,0.03,0.31,0.07,"Majaess_86.dat"
"Majaess_89",111.15833,-24.58306,24,24,1,13,7,6,54.17,29.17,25.0,-2.38,3.73,-2.26,7.71,-3.7,2.5,0.71,5.16,-2.81,5.62,-4.27,2.95,0.04,-0.24,-0.85,"nan","nan","nan",3.0,0.46,10.91,-0.34,8.52,-0.24,9.1,1.71,13.33,3.06,11.21,2.61,10.86,-0.65,-0.7,-0.63,"Majaess_89.dat"
"Majaess_9",5.30417,63.32444,128,112,4,95,64,90,84.82,57.14,80.36,-2.32,4.66,-2.49,3.73,-2.32,4.09,2.51,3.53,1.63,2.94,2.54,3.55,0.01,-0.14,0.01,"nan","nan","nan",4.3,-2.63,15.5,-2.19,10.79,-2.52,13.57,3.14,9.72,4.04,6.78,2.84,8.17,-0.13,-0.07,-0.12,"Majaess_9.dat"
"Majaess_95",124.47083,-35.88,39,34,2,16,0,0,47.06,0.0,0.0,-2.22,2.29,"nan","nan","nan","nan",1.3,2.14,"nan","nan","nan","nan",-0.09,-99.99,-99.99,"nan","nan","nan",2.0,-5.36,7.26,"nan","nan","nan","nan",1.5,7.57,"nan","nan","nan","nan",-0.35,-99.99,-99.99,"Majaess_95.dat"
"Majaess_99",125.4375,-42.08194,92,85,5,50,64,31,58.82,75.29,36.47,-4.22,2.77,-4.41,3.84,-3.81,1.9,1.92,2.98,1.97,5.24,2.13,1.65,-0.09,-0.08,-0.17,"nan","nan","nan",5.5,-6.16,10.19,-7.98,14.06,-5.81,8.8,-0.06,10.18,-2.91,11.75,0.41,8.9,-0.28,-0.44,-0.26,"Majaess_99.dat"
"Mamajek_1",130.525,-79.02722,855,751,21,12,632,12,1.6,84.15,1.6,-28.94,1.33,-4.54,6.54,-29.03,1.33,26.12,1.32,4.73,7.56,26.13,1.31,-0.18,-0.3,-0.21,97.0,0.0,6.9,20.5,-4.83,9.76,-9.27,21.27,-4.85,9.77,5.35,11.31,11.47,23.63,5.36,11.32,-0.38,-0.47,-0.39,"Mamajek_1.dat"
"Mamajek_2",264.5,-8.11167,76,56,3,45,44,11,80.36,78.57,19.64,-2.79,6.25,-3.61,7.7,-9.3,1.47,-7.83,7.08,-9.98,9.61,-8.28,5.49,0.3,0.45,-0.48,161.0,0.8,8.1,5.5,-2.36,16.35,2.01,14.01,-1.39,9.58,-10.55,20.58,-0.05,15.08,-8.4,12.11,-0.03,-0.8,0.09,"Mamajek_2.dat"
"Mamajek_4",276.5,-51.0,10210,9366,81,7749,4100,7871,82.73,43.77,84.04,-1.19,5.58,-1.09,3.25,-1.13,5.62,-4.28,6.18,-3.98,3.66,-4.23,6.42,0.01,0.01,0.01,385.0,0.05,8.8,42.5,-3.76,18.73,-2.13,12.4,-4.1,18.93,-8.1,19.31,-5.75,13.03,-8.42,19.25,-0.02,0.0,-0.02,"Mamajek_4.dat"
"Markarian_38",273.82083,-19.0,497,301,18,200,251,195,66.44,83.39,64.78,0.22,6.49,0.04,10.09,0.33,6.29,-0.39,7.09,0.62,9.78,-0.33,6.95,0.07,-0.01,0.11,1471.0,0.41,6.88,3.7,-1.17,20.42,-2.84,27.82,-1.17,19.37,-1.51,22.32,-12.51,31.52,-1.47,21.14,0.22,0.38,0.21,"Markarian_38.dat"
"Markarian_50",348.825,60.46667,67,57,3,27,47,19,47.37,82.46,33.33,-2.95,2.31,-3.37,5.76,-3.54,1.03,0.91,1.93,0.07,4.11,0.75,2.09,0.18,-0.16,0.25,2114.0,0.81,7.09,3.0,-2.28,8.29,2.93,8.65,-2.14,7.74,-0.21,5.83,1.46,7.35,0.03,5.4,-0.1,-0.06,-0.09,"Markarian_50.dat"
"Markarian_6",37.41667,60.70667,44,38,3,19,12,4,50.0,31.58,10.53,-3.09,2.01,-3.67,1.91,-5.62,1.49,-0.76,2.0,-0.03,1.79,0.41,0.47,-0.52,-0.43,-0.97,698.0,0.61,7.21,3.5,2.9,6.23,1.96,5.83,0.45,5.41,-5.25,4.22,-4.73,3.87,-3.33,4.01,-0.1,-0.16,-0.35,"Markarian_6.dat"
"Mayer_1",5.475,61.75,96,81,4,67,71,32,82.72,87.65,39.51,-1.2,5.83,-1.1,6.11,-2.99,2.57,-1.76,2.79,-2.13,3.94,-0.98,1.62,0.01,0.01,-0.59,1430.0,0.5,7.74,3.64,8.08,17.09,15.13,19.44,1.98,10.85,-1.56,10.29,3.0,8.82,-2.16,5.75,0.2,-0.05,0.2,"Mayer_1.dat"
"Mayer_2",64.9375,53.16667,22,22,2,12,0,7,54.55,0.0,31.82,-2.02,2.98,"nan","nan",-1.87,2.12,-7.48,2.83,"nan","nan",-9.58,3.77,-0.3,-99.99,-0.96,1589.0,1.06,7.4,2.0,-0.77,9.69,"nan","nan",-1.35,7.83,-5.42,7.14,"nan","nan",-5.3,5.11,0.34,-99.99,0.38,"Mayer_2.dat"
"Mayer_3",112.525,-18.53333,39,29,4,6,0,9,20.69,0.0,31.03,1.16,0.21,"nan","nan",0.59,0.88,1.15,0.45,"nan","nan",1.1,0.4,-0.15,-99.99,0.13,2494.0,1.0,7.1,2.5,-0.12,3.58,"nan","nan",-0.04,3.83,1.8,4.24,"nan","nan",1.92,4.53,-0.23,-99.99,-0.24,"Mayer_3.dat"
"Melotte_101",160.55,-65.1,1317,1148,26,771,944,781,67.16,82.23,68.03,-4.41,4.58,-4.43,6.26,-4.45,4.86,0.29,5.06,0.55,6.25,0.3,5.05,-0.03,-0.04,-0.07,1995.0,0.48,7.89,9.64,-4.29,14.6,-4.03,18.7,-4.22,14.36,1.53,16.89,1.72,22.94,1.5,16.8,-0.03,-0.02,-0.02,"Melotte_101.dat"
"Melotte_105",169.925,-63.48333,308,212,13,149,176,143,70.28,83.02,67.45,-6.08,5.88,-6.95,10.78,-6.29,5.7,-0.09,6.79,1.06,9.49,-0.07,6.94,-0.05,0.03,-0.12,1715.0,0.83,8.55,3.56,-2.36,23.29,12.03,22.87,-2.14,22.71,1.88,25.09,-4.09,36.73,1.73,24.34,-0.01,0.05,-0.01,"Melotte_105.dat"
"Melotte_111",186.275,26.1,1262,1115,16,848,859,827,76.05,77.04,74.17,-7.25,9.84,-7.04,9.8,-6.71,9.82,-3.91,7.26,-4.21,7.89,-3.37,7.31,-0.1,-0.13,-0.2,96.0,0.01,8.65,60.5,-14.78,30.3,-17.91,33.81,-15.57,29.23,-13.0,21.21,-14.8,23.07,-13.67,20.17,-0.36,-0.41,-0.38,"Melotte_111.dat"
"Melotte_22",56.75,24.11667,4137,3711,65,271,2702,2861,7.3,72.81,77.09,18.87,3.5,2.84,5.24,2.66,5.77,-44.76,4.06,-4.22,4.97,-4.14,5.27,-0.21,-0.09,-0.05,133.0,0.03,8.13,60.5,3.7,10.58,9.77,17.88,11.11,17.96,-5.88,9.12,-20.07,19.85,-22.21,19.67,-0.07,-0.22,-0.18,"Melotte_22.dat"
"Melotte_31",79.54167,33.37361,9999,9215,172,7496,5268,7595,81.35,57.17,82.42,0.42,4.37,0.38,2.81,0.42,4.4,-3.03,4.72,-2.77,3.33,-3.01,4.88,-0.02,-0.01,-0.02,"nan","nan","nan",50.0,1.45,19.21,0.92,13.69,1.54,19.89,-5.57,19.21,-4.45,13.78,-5.83,19.74,-0.11,-0.1,-0.1,"Melotte_31.dat"
"Melotte_66",111.59583,-47.66667,509,473,18,316,213,314,66.81,45.03,66.39,-2.59,3.64,-3.5,4.31,-2.6,3.81,3.61,4.54,3.72,4.17,3.65,4.54,-0.11,0.05,-0.2,4313.0,0.14,9.45,10.18,-1.96,10.89,-1.32,8.9,-1.96,10.55,2.99,14.34,3.08,12.31,2.94,14.0,-0.1,-0.12,-0.08,"Melotte_66.dat"
"Melotte_71",114.375,-12.06667,620,496,16,346,305,362,69.76,61.49,72.98,-4.74,4.29,-4.73,5.09,-4.79,4.28,3.78,4.92,5.95,5.59,3.81,5.44,0.05,-0.04,0.12,3154.0,0.11,8.37,7.0,-3.69,17.1,-3.79,15.97,-3.5,17.66,2.87,17.2,-0.95,15.13,2.74,17.4,-0.17,-0.16,-0.19,"Melotte_71.dat"
"Melotte_72",114.6,-10.68333,198,138,5,81,93,78,58.7,67.39,56.52,-3.22,3.26,-2.84,5.13,-3.33,3.47,-0.75,3.22,-1.19,4.82,-0.75,3.09,0.04,0.28,0.1,3981.0,0.2,8.78,4.32,-2.28,12.71,-2.64,14.56,-2.15,12.64,-2.68,13.47,-2.76,15.85,-2.69,13.51,0.38,0.37,0.38,"Melotte_72.dat"
"Miller_1",141.425,-53.23333,74,70,5,50,0,45,71.43,0.0,64.29,0.34,4.99,"nan","nan",0.11,5.05,-1.58,4.07,"nan","nan",-1.98,3.62,-0.12,-99.99,-0.19,3910.0,0.38,9.3,2.38,2.32,14.78,"nan","nan",2.24,13.06,3.96,12.32,"nan","nan",3.31,11.16,-0.28,-99.99,-0.27,"Miller_1.dat"
"Moffat_1",240.375,-54.11667,691,602,21,411,521,421,68.27,86.55,69.93,-3.04,4.35,-3.36,6.51,-3.02,4.83,-4.28,4.91,-4.53,6.55,-4.24,5.01,0.04,-0.02,0.07,2100.0,1.0,7.0,8.0,-5.01,13.04,-6.92,17.92,-5.16,12.99,-6.56,15.7,-9.7,24.33,-6.74,15.97,0.02,0.04,0.01,"Moffat_1.dat"
"Moitinho_1",124.82083,-45.20833,66,62,2,32,42,8,51.61,67.74,12.9,0.09,2.61,0.04,5.42,-3.44,1.38,0.53,3.39,-0.12,6.38,2.69,3.63,-0.01,-0.22,-0.99,1394.0,1.49,6.5,2.72,-2.52,9.27,-5.46,9.5,-0.95,7.4,-0.45,13.99,0.51,17.89,-0.33,10.86,-0.17,-0.1,-0.13,"Moitinho_1.dat"
"Muzzio_1",134.3,-47.76667,110,93,10,59,56,56,63.44,60.22,60.22,-4.2,2.48,-4.52,3.44,-3.9,2.53,4.57,2.77,4.16,3.62,4.43,2.72,0.01,0.05,-0.06,1300.0,1.03,6.7,5.5,-7.9,6.34,-7.18,5.69,-7.81,5.73,7.19,8.08,7.96,6.93,7.01,7.53,-0.14,-0.2,-0.11,"Muzzio_1.dat"
"NGC_1027",40.67917,61.63361,118,92,5,60,71,78,65.22,77.17,84.78,-2.75,3.25,-3.87,5.74,-1.93,7.43,-0.33,3.78,-0.97,4.53,-0.72,4.46,-0.16,-0.07,-0.28,1030.0,0.41,8.4,3.6,-3.29,14.85,1.44,18.03,-11.89,16.84,-7.42,16.31,-12.29,21.87,-22.44,23.68,-0.3,-0.24,-0.93,"NGC_1027.dat"
"NGC_103",6.31667,61.32333,201,166,9,115,140,115,69.28,84.34,69.28,-2.29,3.52,-1.74,5.4,-2.29,3.52,-0.16,3.14,-0.08,5.58,-0.1,3.18,0.01,-0.04,0.02,3026.0,0.41,8.13,4.0,-5.33,15.3,-16.05,19.07,-5.36,15.36,-2.78,13.41,-8.62,16.81,-2.94,13.41,-0.04,-0.33,-0.04,"NGC_103.dat"
"NGC_1039",40.52083,42.76167,718,642,18,514,554,500,80.06,86.29,77.88,0.54,4.33,0.64,4.96,0.49,4.13,-3.92,4.08,-3.7,4.63,-3.99,4.08,0.0,-0.01,0.0,499.0,0.07,8.25,15.0,1.51,15.44,1.69,19.81,1.59,14.85,-2.46,13.43,-2.87,17.16,-2.42,12.77,-0.13,-0.14,-0.13,"NGC_1039.dat"
"NGC_110",6.85417,71.38333,475,441,18,316,339,327,71.66,76.87,74.15,0.23,4.11,0.4,5.13,0.22,4.47,-3.54,3.32,-3.72,4.26,-3.51,3.33,-0.07,-0.13,-0.1,1600.0,0.65,8.97,10.5,1.66,13.96,1.52,14.82,1.79,14.07,-5.06,12.89,-4.91,13.86,-5.23,13.26,0.04,0.08,0.05,"NGC_110.dat"
"NGC_1245",48.675,47.23667,816,669,28,495,526,494,73.99,78.62,73.84,2.25,4.27,1.99,4.95,2.21,4.42,-1.4,3.94,-1.4,4.32,-1.39,3.82,-0.01,-0.01,-0.02,2818.0,0.24,9.03,10.32,2.08,16.67,3.17,19.5,2.17,16.68,-1.75,17.97,-1.97,21.56,-1.79,18.17,-0.03,-0.03,-0.03,"NGC_1245.dat"
"NGC_129",7.5,60.21833,1150,1002,40,756,819,729,75.45,81.74,72.75,-0.64,4.0,-0.43,4.45,-0.74,3.76,-0.44,2.86,-0.43,3.35,-0.42,2.85,0.05,0.04,0.09,1625.0,0.55,7.89,12.08,-0.11,15.51,-0.87,19.52,0.11,15.29,-0.48,10.39,-0.59,12.77,-0.54,10.15,0.14,0.16,0.14,"NGC_129.dat"
"NGC_133",7.82917,63.35,141,122,8,94,60,96,77.05,49.18,78.69,-2.9,4.48,-1.3,4.46,-2.86,4.38,0.42,3.12,0.4,3.61,0.44,3.27,0.03,-0.23,0.04,630.0,0.6,7.0,4.0,-6.52,20.71,-6.03,13.32,-6.66,20.68,-3.33,11.23,-1.06,7.53,-3.37,11.0,-0.29,-0.21,-0.3,"NGC_133.dat"
"NGC_1342",52.90833,37.37667,245,224,10,134,182,130,59.82,81.25,58.04,-3.27,2.93,-2.83,4.7,-3.18,2.89,-1.41,2.61,-1.55,4.91,-1.4,2.59,-0.12,-0.07,-0.19,665.0,0.32,8.65,10.0,-2.93,11.02,-5.14,17.36,-3.05,10.95,-4.09,9.9,-9.73,12.57,-4.06,9.83,-0.35,-0.65,-0.34,"NGC_1342.dat"
"NGC_1348",53.525,51.40833,47,45,3,35,21,22,77.78,46.67,48.89,0.77,2.32,1.29,3.22,0.46,1.5,-0.52,3.13,-1.24,3.11,-1.88,2.32,-0.19,-0.02,-0.76,1820.0,1.02,8.11,3.31,10.97,5.53,3.84,6.02,4.34,6.09,-6.63,10.29,-1.91,7.41,-1.28,7.38,0.65,-0.14,-0.12,"NGC_1348.dat"
"NGC_136",7.8875,61.50833,98,83,7,33,70,13,39.76,84.34,15.66,0.48,2.87,0.24,6.16,-0.12,3.04,1.01,2.02,0.99,5.6,-0.3,0.92,-0.05,-0.14,-0.95,5220.0,0.7,8.4,2.5,-1.02,8.44,-10.73,9.91,-0.56,7.51,0.88,7.79,-0.06,13.03,1.14,6.88,0.08,0.81,0.08,"NGC_136.dat"
"NGC_146",8.24167,63.33417,132,107,11,74,58,75,69.16,54.21,70.09,-2.64,3.63,-1.92,4.74,-2.63,3.61,0.0,3.45,-0.43,4.62,0.26,3.51,0.01,-0.03,0.07,3470.0,0.55,7.11,3.3,-4.33,15.14,-4.89,11.95,-4.36,15.12,-7.44,11.04,-4.42,9.53,-8.09,10.48,0.17,0.17,0.15,"NGC_146.dat"
"NGC_1496",61.13333,52.66167,114,103,10,52,60,26,50.48,58.25,25.24,-0.2,2.21,0.03,3.38,-0.67,1.1,1.33,2.29,1.61,3.68,0.88,2.07,-0.04,-0.27,0.71,1230.0,0.45,8.8,4.11,0.99,6.02,1.08,6.12,0.66,4.99,2.29,6.88,2.16,7.09,2.04,5.57,-0.35,-0.32,-0.33,"NGC_1496.dat"
"NGC_1502",61.95833,62.33167,96,65,4,41,59,6,63.08,90.77,9.23,-1.09,2.02,-0.49,4.94,-3.03,2.26,-0.97,1.16,-1.17,2.96,-0.79,0.86,-0.06,-0.28,1.0,1000.0,0.7,7.0,3.92,0.89,10.86,2.73,24.37,-0.12,7.07,-1.67,4.98,-2.7,6.43,-1.26,3.3,0.06,0.81,0.04,"NGC_1502.dat"
"NGC_1513",62.4875,49.515,480,440,18,307,376,310,69.77,85.45,70.45,1.28,3.43,0.91,4.58,1.29,3.45,-4.04,3.27,-3.97,4.76,-4.0,3.39,-0.01,-0.07,-0.04,1320.0,0.67,8.11,10.56,-0.01,12.42,0.48,19.21,-0.07,12.62,-4.07,11.57,-4.67,16.84,-4.17,11.7,-0.09,-0.09,-0.09,"NGC_1513.dat"
"NGC_1520",59.4625,-76.795,22,20,1,5,8,3,25.0,40.0,15.0,3.78,1.97,6.86,9.71,0.54,2.74,-1.05,3.38,1.91,9.02,-20.3,7.66,-0.05,-0.01,-0.98,775.0,0.06,9.3,4.1,7.63,9.57,6.74,7.73,7.86,8.87,5.32,17.97,5.52,19.96,8.07,13.4,0.42,0.71,0.38,"NGC_1520.dat"
"NGC_1528",63.84583,51.215,491,407,15,285,351,270,70.03,86.24,66.34,0.46,3.93,0.83,5.44,0.49,3.87,-0.61,3.58,-1.2,5.1,-0.56,3.32,-0.08,-0.18,-0.18,1090.0,0.26,8.6,8.5,0.61,13.32,-2.15,19.3,0.55,12.7,-1.3,13.08,2.26,19.12,-1.31,12.56,-0.2,-0.17,-0.19,"NGC_1528.dat"
"NGC_1545",65.2375,50.25333,154,134,6,90,85,95,67.16,63.43,70.9,-0.23,3.0,-0.85,4.3,-0.27,3.27,-1.35,2.93,-0.84,3.75,-1.33,3.21,-0.03,-0.19,-0.15,711.0,0.3,8.45,5.33,2.33,10.65,3.56,9.26,2.64,10.86,-3.03,10.41,-4.04,9.61,-3.23,10.64,-0.17,-0.07,-0.14,"NGC_1545.dat"
"NGC_1548",65.33333,36.91667,250,226,8,182,186,179,80.53,82.3,79.2,3.43,4.51,3.6,4.83,3.42,4.27,-3.11,4.78,-3.37,5.24,-3.02,4.93,-0.04,-0.14,-0.02,2501.0,1.1,9.02,11.51,9.65,22.27,11.04,25.72,9.64,22.43,-10.81,19.52,-12.3,22.2,-11.12,19.21,-0.56,-0.56,-0.56,"NGC_1548.dat"
"NGC_1557",63.29583,-70.47167,59,54,3,34,26,35,62.96,48.15,64.81,3.07,4.69,3.83,6.78,2.71,5.51,4.87,8.22,1.46,9.05,3.46,7.99,0.07,0.18,0.14,1055.0,0.11,9.48,7.61,7.83,14.09,5.95,11.92,7.93,12.97,12.56,25.39,14.54,21.01,13.93,23.87,0.03,0.02,-0.02,"NGC_1557.dat"
"NGC_1582",67.9125,43.74333,1178,1074,36,791,850,788,73.65,79.14,73.37,-0.32,3.6,-0.32,4.14,-0.35,3.59,0.76,4.03,0.66,4.36,0.77,4.08,-0.08,-0.05,-0.14,1100.0,0.35,8.47,16.41,0.99,14.14,1.65,16.66,1.06,14.2,-1.1,15.31,-1.65,18.3,-1.13,15.33,-0.1,-0.1,-0.09,"NGC_1582.dat"
"NGC_1605",68.72083,45.27,57,53,3,42,31,45,79.25,58.49,84.91,-1.63,4.56,-3.65,4.83,-2.01,5.6,-0.94,3.19,-0.5,3.19,-0.88,3.12,-0.23,-0.05,-0.23,2559.0,0.97,7.61,2.0,-3.89,11.02,1.0,7.65,-2.35,9.81,-7.88,9.41,-5.54,7.55,-10.7,9.43,0.49,0.75,0.96,"NGC_1605.dat"
"NGC_1624",70.15,50.46167,49,42,1,25,22,26,59.52,52.38,61.91,1.04,2.21,1.46,5.62,1.06,2.12,-0.95,4.12,0.69,5.17,-0.65,4.39,-0.13,-0.17,-0.2,4585.0,0.9,7.35,2.84,1.0,14.38,0.52,12.91,0.97,14.49,-1.16,12.59,-3.0,11.56,-1.54,12.53,0.44,0.53,0.45,"NGC_1624.dat"
"NGC_1641",68.88333,-65.75,35,34,1,24,0,5,70.59,0.0,14.71,5.48,7.42,"nan","nan",9.49,7.99,6.38,6.29,"nan","nan",2.7,5.45,-0.04,-99.99,1.0,572.0,0.35,8.3,6.0,14.11,13.81,"nan","nan",7.77,10.84,12.56,13.43,"nan","nan",9.1,9.63,-0.06,-99.99,0.01,"NGC_1641.dat"
"NGC_1647",71.47917,19.115,819,737,12,575,628,542,78.02,85.21,73.54,0.5,4.2,0.92,4.84,0.2,3.96,0.49,4.06,0.34,4.61,0.65,3.84,-0.01,-0.01,0.02,540.0,0.37,8.16,20.5,6.52,14.42,8.46,17.68,6.52,13.57,-4.74,14.75,-7.75,17.81,-4.48,13.98,0.03,0.07,0.03,"NGC_1647.dat"
"NGC_1662",72.1125,10.93667,109,94,6,55,42,22,58.51,44.68,23.4,-0.09,3.13,-1.44,3.41,-1.41,1.04,-2.44,2.55,-1.76,3.97,-1.11,0.85,-0.15,-0.02,0.5,437.0,0.3,8.62,8.32,3.25,7.45,4.0,6.14,2.11,6.19,-5.63,6.86,-5.77,5.39,-4.56,5.58,0.02,0.16,-0.03,"NGC_1662.dat"
"NGC_1663",72.24167,13.14833,51,51,6,0,0,5,0.0,0.0,9.8,"nan","nan","nan","nan",-0.1,2.5,"nan","nan","nan","nan",-3.75,0.96,-99.99,-99.99,1.0,700.0,0.2,9.3,6.5,"nan","nan","nan","nan",1.91,5.06,"nan","nan","nan","nan",-2.44,4.82,-99.99,-99.99,-0.18,"NGC_1663.dat"
"NGC_1664",72.775,43.675,262,209,10,97,102,134,46.41,48.8,64.11,-1.61,2.2,-1.36,3.89,-1.82,2.48,-4.66,3.07,-5.96,3.64,-3.26,4.88,-0.03,-0.2,-0.32,1199.0,0.25,8.46,5.0,-2.1,8.11,-2.48,8.11,-1.99,9.35,0.25,8.06,2.65,6.72,0.12,8.57,-0.03,0.09,0.03,"NGC_1664.dat"
"NGC_1708",75.8625,52.83333,383,361,13,291,307,278,80.61,85.04,77.01,-3.05,3.88,-2.92,4.12,-3.2,3.61,0.34,3.82,-0.03,4.44,0.44,3.59,-0.04,-0.02,-0.06,630.0,0.3,8.76,10.5,0.59,14.14,2.12,17.56,0.29,12.95,-0.53,13.55,1.64,16.14,-0.64,12.41,0.01,-0.03,0.02,"NGC_1708.dat"
"NGC_1746",75.95833,23.77,1505,1335,37,1015,1072,1023,76.03,80.3,76.63,-1.16,4.29,-1.1,4.79,-1.16,4.5,-2.65,4.12,-2.63,4.35,-2.56,4.06,-0.04,0.0,-0.06,800.0,0.3,8.64,21.5,-0.34,15.45,-0.23,17.88,-0.32,15.43,-6.94,15.76,-8.99,18.25,-7.29,15.88,-0.12,-0.14,-0.12,"NGC_1746.dat"
"NGC_1750",75.97917,23.65833,356,318,13,234,274,242,73.58,86.16,76.1,-1.65,3.94,-1.57,5.51,-1.56,4.31,-2.55,3.88,-2.79,5.47,-2.5,3.91,0.0,0.11,0.0,630.0,0.34,8.3,10.5,-0.82,15.16,0.01,22.23,-1.0,15.75,-6.61,16.18,-12.01,23.35,-7.3,16.98,-0.15,-0.25,-0.15,"NGC_1750.dat"
"NGC_1758",76.14583,23.79833,129,109,8,79,56,56,72.48,51.38,51.38,-0.72,4.8,-0.77,4.57,-0.61,3.38,-2.61,3.31,-2.59,3.94,-3.09,2.3,-0.06,-0.17,-0.45,760.0,0.34,8.6,5.0,-2.78,13.82,-1.97,11.57,-1.95,11.24,-4.59,10.46,-3.91,8.28,-3.24,8.45,-0.01,0.02,0.03,"NGC_1758.dat"
"NGC_1778",77.01667,37.02333,167,148,12,94,113,88,63.51,76.35,59.46,-0.82,3.21,-0.7,4.53,-0.77,3.02,-3.41,3.09,-3.65,4.48,-3.46,2.84,-0.06,-0.03,-0.15,1469.0,0.34,8.15,5.0,0.24,12.67,1.02,17.43,0.07,12.22,-1.44,12.28,2.48,15.97,-1.54,11.86,-0.16,-0.22,-0.14,"NGC_1778.dat"
"NGC_1785",74.64583,-68.84444,105,87,3,43,40,41,49.42,45.98,47.13,3.6,3.73,3.95,5.92,3.37,3.29,-1.02,4.86,0.06,6.62,-0.94,5.42,-0.07,-0.16,0.04,3080.0,0.06,8.7,3.5,4.22,15.39,3.94,15.34,4.36,15.16,-5.45,15.26,-6.82,14.73,-5.32,14.84,-0.05,-0.04,-0.05,"NGC_1785.dat"
"NGC_1790",77.75833,52.11833,227,207,9,137,153,135,66.18,73.91,65.22,0.15,3.89,0.02,4.77,-0.01,3.81,0.39,3.77,0.09,5.53,0.38,3.83,0.08,-0.02,0.14,"nan","nan","nan",8.0,2.3,13.49,3.9,15.56,2.36,12.97,-0.1,13.2,0.59,14.46,-0.05,12.66,-0.23,-0.27,-0.23,"NGC_1790.dat"
"NGC_1798",77.9125,47.69167,112,97,6,66,77,66,68.04,79.38,68.04,0.55,6.79,0.01,9.35,0.67,7.33,0.16,5.88,-0.04,8.88,-0.16,5.38,-0.07,0.15,-0.08,4571.0,0.51,8.9,3.21,2.23,21.31,8.29,27.25,1.98,20.89,3.95,24.01,10.91,31.93,4.55,24.02,-0.18,-0.46,-0.19,"NGC_1798.dat"
