"Name","RAJ2000","DEJ2000","Nsini","Ns","NOut","NM1","NM2","NM3","percM1","percM2","percM3","pxcM1","s_pxcM1","pxcM2","s_pxcM2","pxcM3","s_pxcM3","pycM1","s_pycM1","pycM2","s_pycM2","pycM3","s_pycM3","cccM1","cccM2","cccM3","Dist","E(B-V)","logAge","Radius","pxfM1","s_pxfM1","pxfM2","s_pxfM2","pxfM3","s_pxfM3","pyfM1","s_pyfM1","pyfM2","s_pyfM2","pyfM3","s_pyfM3","ccfM1","ccfM2","ccfM3","File"
"Alessi_Teutsch_11",304.13333,52.075,1294,1108,30,810,911,821,73.11,82.22,74.1,0.31,4.82,0.49,5.6,0.31,4.93,-1.49,5.21,-1.45,6.16,-1.47,5.51,0.09,0.19,0.18,550.0,0.08,8.15,13.7,1.12,16.66,0.88,20.97,1.14,16.86,-0.84,17.36,-0.55,21.56,-0.88,17.43,0.13,0.1,0.11,"Alessi_Teutsch_11.dat"
"Alessi_Teutsch_12",255.44583,-58.95833,9443,8406,78,6940,5201,7031,82.56,61.87,83.64,-2.74,5.71,-2.7,4.08,-2.72,5.73,-5.31,6.4,-5.2,4.6,-5.29,6.67,0.08,0.09,0.13,700.0,0.12,7.07,33.5,-3.64,19.56,-3.25,15.21,-3.75,19.89,-6.9,20.28,-6.28,15.99,-7.06,20.3,-0.01,0.01,-0.03,"Alessi_Teutsch_12.dat"
"Alessi_Teutsch_3",118.25417,-53.045,367,332,16,236,258,233,71.08,77.71,70.18,-4.42,3.69,-4.14,4.6,-4.4,3.79,5.63,4.57,5.25,5.51,5.57,4.57,-0.17,-0.25,-0.29,800.0,0.1,8.57,10.0,-4.53,11.69,-5.84,13.42,-4.56,11.22,6.09,15.72,8.12,18.57,6.19,15.17,-0.36,-0.35,-0.33,"Alessi_Teutsch_3.dat"
"Alessi_Teutsch_5",332.1125,61.02833,598,499,23,377,410,366,75.55,82.16,73.35,-0.76,4.65,-0.4,5.49,-0.84,4.62,-2.51,4.42,-2.53,5.1,-2.47,4.2,0.16,0.15,0.25,900.0,0.3,7.02,9.13,0.46,16.13,-0.76,19.95,0.55,15.3,-3.29,16.66,-3.77,21.01,-3.31,15.95,0.14,0.13,0.12,"Alessi_Teutsch_5.dat"
"Alessi_Teutsch_7",127.93333,-39.13167,2571,2335,58,1967,1760,1963,84.24,75.38,84.07,-2.53,4.87,-2.44,4.32,-2.45,4.93,2.52,4.9,2.45,4.32,2.52,4.91,-0.18,-0.25,-0.27,900.0,0.1,7.88,30.5,-4.09,16.12,-3.86,14.25,-4.37,15.71,2.35,16.66,2.6,14.71,2.36,16.34,-0.4,-0.36,-0.37,"Alessi_Teutsch_7.dat"
"Alessi_Teutsch_8",180.72917,-60.925,1856,1598,41,1160,1181,1161,72.59,73.91,72.65,-4.61,5.6,-4.64,5.62,-4.65,5.74,-0.53,5.33,-0.41,5.32,-0.55,5.28,-0.02,-0.01,-0.03,650.0,0.1,8.65,10.0,-3.94,21.64,-3.74,23.25,-3.86,21.66,1.04,21.71,0.96,23.37,1.09,21.84,-0.03,-0.03,-0.03,"Alessi_Teutsch_8.dat"
"Alessi_Teutsch_9",51.8625,34.95333,1171,1092,36,849,921,866,77.75,84.34,79.3,1.4,4.41,1.7,4.98,1.27,4.58,-1.93,4.03,-2.19,4.59,-1.83,4.17,-0.07,-0.07,-0.1,700.0,0.1,8.65,25.71,6.18,13.46,8.19,16.53,6.91,13.43,-6.58,11.96,-8.76,14.4,-7.2,11.94,0.0,0.04,0.04,"Alessi_Teutsch_9.dat"
"Andrews_Lindsay_5",281.07917,-4.93,169,68,4,49,46,14,72.06,67.65,20.59,0.5,4.55,1.86,5.86,-1.74,5.07,-1.26,4.76,-0.84,8.31,-3.46,0.77,0.01,-0.08,-0.78,2289.0,2.42,6.0,2.0,2.33,11.79,-1.39,9.35,1.62,7.43,-1.29,13.36,-2.39,6.46,-0.74,8.69,0.06,0.25,0.03,"Andrews_Lindsay_5.dat"
"Antalova_1",262.225,-31.55,2532,2048,43,1633,1603,1649,79.74,78.27,80.52,0.11,4.86,0.01,4.7,0.12,4.94,-3.04,5.01,-3.14,4.85,-3.02,5.2,0.11,0.19,0.2,850.0,0.25,8.5,17.2,-1.16,15.28,-0.95,16.26,-1.23,15.52,-5.18,15.07,-5.08,16.05,-5.35,15.16,0.08,0.06,0.05,"Antalova_1.dat"
"Antalova_3",262.64167,-32.20833,878,732,19,532,614,518,72.68,83.88,70.77,-0.38,3.85,-0.55,4.79,-0.43,3.98,-2.15,4.33,-2.32,5.04,-2.18,4.06,0.12,0.11,0.22,2588.0,1.35,8.41,11.0,-0.73,11.48,-0.15,14.34,-0.6,11.02,-2.6,14.59,-2.11,19.31,-2.49,14.27,-0.05,-0.08,-0.07,"Antalova_3.dat"
"Auner_1",106.06667,-19.75,39,29,4,21,0,22,72.41,0.0,75.86,-3.62,3.74,"nan","nan",-3.62,3.89,0.39,3.27,"nan","nan",-0.1,4.03,-0.15,-99.99,-0.23,8900.0,0.32,9.51,2.0,7.0,13.12,"nan","nan",13.39,12.27,8.99,14.03,"nan","nan",17.76,9.13,0.28,-99.99,-0.47,"Auner_1.dat"
