"Cluster","logAge","Nmemb","RAJ2000","s_RAJ2000","DEJ2000","s_DEJ2000","plx","s_plx","pmRA","s_pmRA","pmDE","s_pmDE","dist","s_dist","[Fe/H]","e_[Fe/H]","o_[Fe/H]","[O/Fe]","e_[O/Fe]","o_[O/Fe]","[Na/Fe]","e_[Na/Fe]","o_[Na/Fe]","[Mg/Fe]","e_[Mg/Fe]","o_[Mg/Fe]","[Al/Fe]","e_[Al/Fe]","o_[Al/Fe]","[Si/Fe]","e_[Si/Fe]","o_[Si/Fe]","[Ca/Fe]","e_[Ca/Fe]","o_[Ca/Fe]","[Ti/Fe]","e_[Ti/Fe]","o_[Ti/Fe]","[V/Fe]","e_[V/Fe]","o_[V/Fe]","[Cr/Fe]","e_[Cr/Fe]","o_[Cr/Fe]","[Mn/Fe]","e_[Mn/Fe]","o_[Mn/Fe]","[Co/Fe]","e_[Co/Fe]","o_[Co/Fe]","[Ni/Fe]","e_[Ni/Fe]","o_[Ni/Fe]","[Cu/Fe]","e_[Cu/Fe]","o_[Cu/Fe]","[Zn/Fe]","e_[Zn/Fe]","o_[Zn/Fe]","[Y/Fe]","e_[Y/Fe]","o_[Y/Fe]","[Zr/Fe]","e_[Zr/Fe]","o_[Zr/Fe]","[Ba/Fe]","e_[Ba/Fe]","o_[Ba/Fe]","[La/Fe]","e_[La/Fe]","o_[La/Fe]","[Nd/Fe]","e_[Nd/Fe]","o_[Nd/Fe]","[Eu/Fe]","e_[Eu/Fe]","o_[Eu/Fe]"
"Mamajek_4",8.57,256,276.669067,1.468034,-50.772545,1.447392,2.227,0.092,4.621,0.591,-21.033,0.873,0.45,0.019,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Melotte_101",8.22,512,160.542969,0.290852,-65.112259,0.116572,0.443,0.048,-6.316,0.125,3.482,0.112,2.267,0.24,-0.015,0.043,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Melotte_111",8.81,166,186.034546,4.09146,25.70122,2.83422,11.595,0.671,-12.027,0.819,-8.979,1.012,0.087,0.006,-0.002,0.036,13.0,0.406,0.099,4.0,"nan","nan","nan",-0.04,0.076,12.0,-0.058,0.032,12.0,-0.076,0.043,12.0,0.074,0.048,12.0,0.082,0.083,9.0,0.022,0.022,3.0,"nan","nan","nan",-0.064,0.044,12.0,0.267,0.28,11.0,-0.118,0.015,12.0,-0.146,0.08,9.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Melotte_20",7.71,920,51.616974,3.178261,48.963959,2.286023,5.69,0.244,22.863,1.282,-25.49,1.363,0.177,0.008,-0.013,0.055,34.0,0.413,0.105,11.0,"nan","nan","nan",-0.04,0.067,27.0,-0.001,0.073,27.0,-0.017,0.081,27.0,0.064,0.091,27.0,0.009,0.18,22.0,0.058,0.083,10.0,"nan","nan","nan",-0.053,0.078,27.0,0.06,0.191,22.0,-0.102,0.025,27.0,-0.073,0.129,24.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Melotte_22",7.89,1077,56.589062,1.212658,24.114119,1.20972,7.353,0.2,19.998,1.076,-45.53,1.148,0.135,0.004,-0.01,0.049,168.0,0.194,0.189,69.0,-0.012,0.095,41.0,-0.028,0.068,105.0,-0.043,0.054,104.0,-0.05,0.065,105.0,0.093,0.088,103.0,0.046,0.105,93.0,0.074,0.119,45.0,0.02,0.074,31.0,-0.024,0.073,105.0,0.079,0.325,98.0,-0.096,0.046,103.0,-0.06,0.158,97.0,-0.07,0.146,38.0,0.179,0.124,36.0,0.124,0.134,7.0,0.131,0.166,41.0,0.456,0.229,3.0,0.641,0.05,2.0,"nan","nan","nan"
"Melotte_25",8.9,673,67.640602,5.584486,16.72147,5.174131,20.94,2.584,101.611,25.358,-26.684,15.766,0.048,0.006,0.145,0.063,34.0,-0.026,0.157,20.0,-0.068,0.106,21.0,-0.046,0.071,26.0,-0.015,0.047,25.0,-0.078,0.086,26.0,0.093,0.091,25.0,-0.034,0.118,26.0,0.0,0.209,20.0,-0.027,0.07,20.0,0.031,0.05,26.0,-0.058,0.13,24.0,-0.069,0.032,26.0,-0.107,0.054,25.0,-0.115,0.077,13.0,0.088,0.266,21.0,0.045,0.203,15.0,0.052,0.06,20.0,0.203,0.277,11.0,0.422,0.525,4.0,"nan","nan","nan"
"Melotte_71",8.99,540,114.383942,0.073651,-12.064095,0.077215,0.435,0.057,-2.454,0.125,4.206,0.129,2.307,0.294,-0.137,0.019,5.0,-0.006,0.013,1.0,0.083,0.092,5.0,-0.056,0.01,5.0,0.018,0.024,5.0,-0.027,0.018,5.0,0.066,0.016,5.0,-0.004,0.019,5.0,0.207,0.047,1.0,"nan","nan","nan",0.02,0.016,5.0,-0.007,0.087,5.0,-0.008,0.012,5.0,-0.024,0.095,5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_1027",8.29,387,40.676502,0.412318,61.61639,0.184763,0.882,0.057,-1.748,0.161,2.117,0.2,1.14,0.082,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_1193",9.71,215,46.486046,0.039845,44.383205,0.029552,0.174,0.135,-0.105,0.339,-0.355,0.275,4.065,1.209,-0.32,0.012,1.0,0.181,0.021,1.0,-0.036,0.065,1.0,0.069,0.017,1.0,0.284,0.03,1.0,0.067,0.016,1.0,0.129,0.022,1.0,0.171,0.029,1.0,0.051,0.082,1.0,"nan","nan","nan",-0.032,0.027,1.0,-0.03,0.064,1.0,0.067,0.022,1.0,0.099,0.058,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC_1245",9.08,452,48.68924,0.173375,47.235226,0.104617,0.286,0.05,0.502,0.11,-1.576,0.088,3.441,0.55,-0.079,0.021,24.0,0.087,0.011,1.0,0.117,0.136,24.0,-0.035,0.026,24.0,0.01,0.04,23.0,-0.062,0.015,23.0,0.033,0.032,24.0,-0.02,0.043,24.0,0.222,0.042,1.0,"nan","nan","nan",0.031,0.023,24.0,0.105,0.163,21.0,0.001,0.017,24.0,-0.116,0.102,24.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
