"Name","ID","AllNames","Type","CST","N","CSTt","Nt","RA_ICRS","DE_ICRS","GLON","GLAT","r50","rc","rt","rtot","r50pc","rcpc","rtpc","rtotpc","pmRA","s_pmRA","e_pmRA","pmDE","s_pmDE","e_pmDE","Plx","s_Plx","e_Plx","dist16","dist50","dist84","Ndist","globalPlx","X","Y","Z","RV","s_RV","e_RV","n_RV","CMDCl2.5","CMDCl16","CMDCl50","CMDCl84","CMDCl97.5","CMDClHuman","logAge16","logAge50","logAge84","AV16","AV50","AV84","diffAV16","diffAV50","diffAV84","MOD16","MOD50","MOD84","r50J","rJ","r50Jpc","rJpc","probJ","NJ","MassJ","e_MassJ","MassTot","e_MassTot","minClSize","isMerged","isGMMMemb","NXmatches","XmatchType","Note"
"CWNU_2676",1215,"CWNU_2676","o",3.91103663,78,7.47894452,26,260.61684,-31.31764,355.28143,2.911,0.13298,0.2396,0.2396,1.40217,3.11602,5.61451,5.61451,32.86262,1.80542,0.13688,0.02684,-0.54371,0.16005,0.03139,0.69563,0.03877,0.0076,1335.45835,1342.57263,1349.7631,75,0,-6785.50787,-110.30096,85.56833,-41.45361,74.08997,52.38952,2,0.3936,0.7859,0.87653,0.98659,0.9957,"nan",7.24172,7.43146,7.66259,1.391,1.59454,1.77052,2.237,2.57974,2.8506,10.47303,10.60582,10.75334,0.18982,0.33857,4.44802,7.9335,1.0,39.0,275.34582,48.62073,356.24641,67.56784,40,0,0,1,"1:1","nan"
"CWNU_2677",1216,"CWNU_2677","o",7.99913135,61,8.18842678,60,108.4149,-14.88157,228.67871,-1.939,0.1694,0.37417,0.37417,0.42932,6.38331,14.09984,14.09984,16.17807,-1.01326,0.06372,0.00823,0.03056,0.09189,0.01186,0.42261,0.04128,0.00533,2141.16394,2159.05463,2177.24682,61,0,-9546.92318,-1620.56061,-48.6135,55.94558,0.34852,0.15586,1,0.9901,0.9977,0.99877,0.99999,1.0,"nan",8.37236,8.50832,8.7283,0.7917,0.9748,1.15743,0.2356,0.65734,0.89408,11.51353,11.66183,11.81628,0.14967,0.25803,5.64015,9.72319,1.0,53.0,236.88513,38.96582,294.90053,25.40077,40,0,0,1,"1:1","nan"
"CWNU_2678",1217,"CWNU_2678","o",3.17683095,22,5.14533091,18,149.93725,-58.12425,281.83429,-2.468,0.03576,0.03425,0.13524,0.34024,1.69147,1.62029,6.39744,16.09449,-6.80567,0.07546,0.01779,4.77536,0.07845,0.01849,0.34731,0.02181,0.00514,2660.0116,2710.28222,2762.48953,22,0,-7566.96218,-2650.21464,-97.32973,"nan","nan","nan",0,0.7991,0.9616,0.98085,0.99988,0.99988,"nan",7.55642,7.77704,7.99604,1.365,1.62344,1.81923,0.1056,0.5898,0.81972,11.99339,12.15738,12.34988,0.03576,0.14744,1.69147,6.97428,1.0,18.0,132.97425,30.85241,144.31762,39.79579,20,0,0,1,"1:1","nan"
"CWNU_2682",1218,"CWNU_2682","o",10.36345093,67,11.18926903,57,299.76384,26.21937,63.75528,-1.759,0.04928,0.0559,0.16553,0.27899,3.59506,4.07804,12.07504,20.35204,-2.2372,0.05816,0.0077,-4.38356,0.09122,0.01208,0.19772,0.04658,0.00617,4057.74048,4179.57472,4308.95161,63,0,-6274.94261,3746.94835,-112.24246,-4.50097,7.83958,3.2005,6,0.00418,0.00702,0.04711,0.07249,0.17499,"nan",8.13039,8.43084,8.79299,4.727,4.98517,5.3187,2.393,2.65028,3.10087,12.93851,13.1122,13.27113,0.06224,0.23531,4.54045,17.16561,1.0,64.0,2368.01371,393.43004,2179.75829,439.67367,40,0,0,1,"1:1","nan"
"CWNU_2683",1219,"CWNU_2683","o",5.26949978,21,5.74386486,19,99.9131,7.33269,205.06647,0.7348,0.05949,0.12206,0.15303,0.39358,2.27208,4.66184,5.84488,15.03241,-0.69591,0.07437,0.01706,-0.68998,0.08877,0.02037,0.42394,0.02462,0.00565,2149.08473,2188.30362,2228.98053,21,0,-10103.93524,-927.03927,53.93665,"nan","nan","nan",0,0.9167,0.9858,0.99357,0.99999,0.99999,"TP",8.13343,8.3823,8.64319,1.127,1.3742,1.62802,0.3944,0.92807,1.25487,11.53839,11.71191,11.84908,0.05949,0.2286,2.27208,8.73095,1.0,19.0,154.52927,27.62648,165.56394,30.96231,20,0,0,1,"1:1","nan"
"CWNU_2684",1220,"CWNU_2684","o",9.01482521,30,9.01482521,30,64.62812,44.15469,157.35366,-4.446,0.14542,0.34496,0.34496,0.34496,4.01142,9.51603,9.51603,9.51603,1.09228,0.1114,0.02034,-2.08599,0.0733,0.01338,0.58917,0.0293,0.00535,1564.34231,1580.55007,1597.0972,29,0,-9576.5814,606.74855,-97.98633,-5.29644,29.2085,16.86354,1,0.8506,0.9556,0.97668,0.99946,0.99975,"nan",8.04927,8.25845,8.46717,1.4,1.62627,1.80062,0.7856,1.20999,1.58655,10.88628,11.01311,11.15992,0.13881,0.29583,3.8292,8.16072,1.0,28.0,143.37855,28.54691,146.84232,30.85369,20,0,0,1,"1:1","nan"
"CWNU_2689",1221,"CWNU_2689","o",4.34244624,16,4.8671945,12,77.97827,37.92236,168.63313,-0.8675,0.11012,0.17794,0.17794,0.31695,3.78231,6.11147,6.11147,10.88583,1.81699,0.08952,0.02584,-3.19037,0.09074,0.02619,0.46429,0.02534,0.00732,1937.00169,1967.85567,1999.7085,16,0,-10051.07863,387.80288,-4.05508,-35.33878,19.30359,6.82485,1,0.6121,0.9268,0.97031,0.99996,0.99996,"TP?",8.05834,8.22994,8.47781,1.653,1.85174,2.05811,0.8427,1.28254,1.66945,11.34959,11.50963,11.65232,0.11136,0.26284,3.82461,9.02754,0.9991,15.0,176.55614,17.33106,183.75054,18.63187,10,0,0,1,"1:1","nan"
"CWNU_2690",1222,"CWNU_2690","o",9.72654757,83,11.27282322,71,186.84763,-62.66184,300.17504,0.08111,0.06393,0.14182,0.16108,0.29272,3.38984,7.52001,8.54113,15.52104,-5.3821,0.07667,0.0091,-0.68059,0.07829,0.00929,0.29899,0.03598,0.00427,3007.03606,3038.02964,3069.66877,81,0,-6594.92602,-2626.35686,21.1885,-22.16064,0.71856,0.5081,2,0.8439,0.9423,0.96396,0.99688,0.99813,"nan",7.73804,7.96869,8.14986,3.057,3.26137,3.4989,2.045,2.3374,2.70937,12.30801,12.45876,12.60466,0.07564,0.24038,4.01065,12.74607,1.0,78.0,1025.11977,155.13972,1103.18157,156.05131,80,0,0,1,"1:1","nan"
"CWNU_2692",1223,"CWNU_2692","o",5.86422076,32,7.03814797,24,194.08005,-60.44607,303.53446,2.42,0.08817,0.14011,0.14011,0.31056,3.13949,4.9888,4.9888,11.05787,-5.64389,0.06347,0.01296,-0.32325,0.07236,0.01477,0.45013,0.01772,0.00362,2022.63773,2040.05525,2057.77536,31,0,-6995.75824,-1698.98018,104.05426,"nan","nan","nan",0,0.9994,1.0,0.99999,1.0,1.0,"nan",7.72082,7.92028,8.16902,0.5608,0.77891,0.92545,0.00117,0.27717,0.43398,11.36349,11.53255,11.69313,0.09731,0.19355,3.46487,6.89162,1.0,28.0,157.78804,31.76114,177.72036,36.38505,20,0,0,1,"1:1","nan"
"CWNU_2693",1224,"CWNU_2693,Theia_2045","o",4.43636331,23,4.79711977,20,273.5514,-18.88629,11.9615,-0.6531,0.0695,0.15626,0.15626,0.28469,1.75323,3.94206,3.94206,7.18212,0.94678,0.12236,0.02736,-2.64504,0.08427,0.01884,0.64673,0.02012,0.0045,1430.98858,1445.43976,1460.18581,23,0,-6708.0567,299.55301,0.7058,-69.8144,16.97593,7.59187,1,0.5199,0.9106,0.95399,0.99987,0.99987,"nan",7.52361,7.75445,7.98308,0.9813,1.21792,1.38865,0.7622,1.19759,1.59166,10.6847,10.82857,11.02855,0.07653,0.24587,1.93074,6.20274,1.0,22.0,130.22582,29.50387,146.86144,24.73189,20,0,0,2,"m:m","nan"
