"A","BDS2003","n_[BDS2003]","GLON","GLAT","RAJ2000","DEJ2000","Dmaj","Dmin","Neb","n_Neb","Class","Rem","RA","DEC"
"R","BDSB_129, BDS2003_129","nan",35.2,-0.74,"18 58 13","+01 40 37",1.3,1.0,"in G35.2-0.74 IR Neb., in G35.2-0.74 Molec. Cloud","i","IRCC","R=2.3 LD = 1.3",284.55287,1.68069
"R","BDSB_130, BDS2003_130","nan",35.65,-0.04,"18 56 32","+02 24 03",2.0,1.7,"in G35.663-0.030","nan","IRC","R=3.5 LD = 2.0 loose",284.13524,2.40061
"R","BDSB_131, BDS2003_131","nan",42.12,-0.62,"19 10 31","+07 52 57",1.7,1.3,"in G42.108-0.623","nan","IRC","Rn=5.1 Rf=9.8",287.63329,7.88395
"R","BDSB_132, BDS2003_132","e",43.17,0.03,"19 10 11","+09 07 03",1.0,0.9,"in W49A = G43.2+0.0, in W49","nan","IRGr","R=13.9 LD = 4.0",287.54063,9.11544
"R","BDSB_133, BDS2003_133","nan",43.22,-0.05,"19 10 33","+09 07 37",1.1,1.1,"in G43.231-0.054","nan","IRGr","Rn=0.6 Rf=13.9",287.63588,9.12284
"R","BDSB_134, BDS2003_134","nan",45.13,0.14,"19 13 27","+10 54 27",1.2,1.2,"in G45.125+0.136","nan","IRCC","R=9.7 LD = 3.4 mP",288.36273,10.90382
"R","BDSB_135, BDS2003_135","nan",45.12,0.13,"19 13 28","+10 53 35",0.7,0.7,"in G45.125+0.136","nan","IRCC","R=9.7 LD = 2.0 mP compact",288.36702,10.89032
"R","BDSB_136, BDS2003_136","nan",45.48,0.13,"19 14 09","+11 12 32",1.3,1.0,"in G45.475+0.130","nan","IRCC","R=9.7 LD = 3.7 deeply embedded",288.53728,11.20919
"R","BDSB_137, BDS2003_137","nan",45.82,-0.29,"19 16 19","+11 19 08",1.6,1.4,"in G45.8-0.3 = G45.824-0.290","nan","IRCC","nan",289.07764,11.31477
"R","BDSB_138, BDS2003_138","nan",48.92,-0.28,"19 22 15","+14 03 32",1.9,1.6,"in G48.9-0.3 = G48.930-0.286, in W51","nan","IRC","R=7.5 LD = 4.1 mP deeply emb.",290.55765,14.05804
"R","BDSB_139, BDS2003_139","nan",48.99,-0.3,"19 22 26","+14 06 54",2.2,2.0,"in W51B = G49.0-0.3, in W51","nan","IRC","R=7.5 LD = 4.8 mP loose",290.60986,14.11034
"R","BDSB_140, BDS2003_140","nan",49.06,-0.28,"19 22 30","+14 11 03",2.1,2.1,"in G49.1-0.3 = G49.060-0.260, in W51","nan","IRCC","R=7.5 LD = 4.6",290.62571,14.1815
"R","BDSB_141, BDS2003_141","nan",49.08,-0.37,"19 22 53","+14 09 22",1.5,1.3,"in G49.1-0.4 = G49.076-0.377, in W51","nan","IRGr","R=7.5 LD = 3.3 deeply embedded",290.71729,14.15668
"R","BDSB_142, BDS2003_142","nan",49.38,-0.27,"19 23 04","+14 28 05",1.0,1.0,"in G49.4-0.3 = G49.384-0.298, in W51","nan","IRCC","R=7.5 LD = 2.2",290.77244,14.46836
