"Name","Rc","e_Rc","E_Rc","Rk","e_Rk","E_Rk","MassRk","e_MassRk","Mflag","Pflag","Rflag","RA_ICRS","DE_ICRS","logAge","e_logAge","Dist","e_Dist","AV","e_AV","c","e_c","E_c","n0","e_n0","E_n0","Sample"
"NGC_6664",2.92,-0.45,0.77,11.35,-3.51,7.59,1544.9,38.7,"1",1,1,279.1246,-8.1879,7.106,0.334,1944,211,2.441,0.094,0.0998,-0.0568,0.0887,9.75,-2.3,6.21,2
"NGC_6694",1.91,-0.33,0.5,3.62,-0.52,0.85,710.1,17.2,"1",1,1,281.3169,-9.3847,8.003,0.175,1658,65,1.872,0.025,0.3569,-0.1977,0.2291,70.28,-24.07,61.24,2
"NGC_6704",0.74,-0.14,0.18,4.24,-1.65,16.39,729.9,19.7,"1",1,1,282.6861,-5.1997,8.082,0.38,1761,81,2.45,0.077,0.4202,-0.2867,0.4211,52.52,-11.93,25.89,2
"NGC_6705",2.32,-0.23,0.29,6.59,-1.05,1.69,5738.2,58.2,"1",1,1,282.7653,-6.2694,8.469,0.085,1888,65,1.457,0.051,1.525,-0.8509,0.8306,145.05,-29.1,46.73,2
"NGC_6709",0.89,-0.09,0.1,58.1,-30.34,28.1,787.9,13.9,"1",1,4,282.8377,10.3419,8.206,0.105,1031,21,1.039,0.042,0.4265,-0.2515,0.3093,21.6,-1.33,1.47,0
"NGC_6716",1.46,-0.45,0.63,4.98,-2.33,54.83,189.9,6.8,"2",1,2,283.6002,-19.8956,8.168,0.077,686,14,0.65,0.044,1.1027,-0.7841,1.1292,21.68,-9.75,47.42,1
"NGC_6728",1.49,-0.08,0.1,38.84,-19.14,35.2,756.9,16.9,"1",1,4,284.7179,-8.9463,8.796,0.027,1561,49,0.871,0.055,0.0655,-0.0331,0.0611,9.63,-0.42,0.73,0
"NGC_6735",2.09,-0.23,0.37,23.5,-12.17,39.4,776.2,24.3,"2",2,1,285.156,-0.5129,8.466,0.58,1983,188,2.346,0.173,0.0717,-0.0377,0.0681,5.32,-0.59,1.52,1
"NGC_6755",1.17,-0.04,0.04,20.29,-4.89,9.26,1536.2,26.8,"1",1,1,286.9366,4.215,8.275,0.222,1891,114,2.4,0.04,0.0568,-0.0265,0.0434,19.21,-0.64,0.73,2
"NGC_6756",0.79,-0.08,0.08,6.96,-2.36,9.5,2380.3,41.3,"X",3,1,287.1843,4.7108,7.424,0.442,2814,385,3.151,0.048,0.3586,-0.2437,0.366,60.78,-7.34,9.98,0
"NGC_6791",3.73,-0.12,0.13,18.46,-1.61,1.87,24428.6,446.6,"1",2,1,290.2238,37.7763,9.859,0.037,4447,103,0.313,0.028,0.1026,-0.0517,0.0637,32.51,-1.63,1.9,1
"NGC_6793",0.56,-0.03,0.03,63.32,-28.96,24.72,408.0,9.6,"1",1,4,290.801,22.1726,8.661,0.069,589,7,1.013,0.071,0.2055,-0.1102,0.1319,30.98,-0.94,1.02,0
"NGC_6800",2.1,-0.64,1.7,19.86,-14.14,50.53,116.7,5.6,"2",1,2,291.6769,25.0342,8.496,0.146,1060,40,1.147,0.127,0.0683,-0.034,0.0525,1.31,-0.3,3.38,1
"NGC_6802",0.97,-0.05,0.05,16.89,-5.9,20.45,2877.9,46.9,"1",1,2,292.6554,20.2607,8.81,0.039,2294,95,2.857,0.045,0.1654,-0.1096,0.2342,47.23,-2.7,3.23,1
"NGC_6811",1.5,-0.06,0.07,38.68,-14.33,29.18,699.1,12.6,"1",1,4,294.3488,46.3729,9.003,0.021,1102,13,0.213,0.033,0.045,-0.0185,0.0373,12.6,-0.41,0.59,0
"NGC_6819",1.7,-0.03,0.03,26.2,-3.57,4.24,7277.3,61.3,"1",1,1,295.3291,40.1903,9.42,0.029,2444,54,0.487,0.051,0.1132,-0.0647,0.0952,59.23,-1.09,1.27,2
"NGC_6823",3.56,-1.33,1.19,6.45,-1.33,16.48,1160.9,62.5,"2",2,2,295.7956,23.3315,6.835,0.086,2081,142,2.516,0.135,0.2598,-0.1676,0.238,19.22,-12.86,22.96,1
"NGC_6827",1.73,-0.2,0.31,4.1,-0.61,0.8,1632.5,100.6,"1",2,1,297.2204,21.2136,8.931,0.057,6471,681,2.362,0.123,0.1557,-0.0595,0.0613,27.64,-6.32,13.74,1
"NGC_6830",4.74,-1.03,0.62,6.13,-0.6,1.27,642.4,19.5,"1",1,2,297.7236,23.1012,8.029,0.088,2045,82,1.754,0.035,0.2052,-0.131,0.2055,27.03,-13.06,11.6,1
"NGC_6834",1.61,-0.1,0.11,9.7,-2.08,3.58,1829.4,51.2,"2",2,1,298.0526,29.4004,7.144,0.378,2958,248,2.228,0.047,0.2073,-0.1271,0.1499,20.77,-2.04,2.69,1
"NGC_6866",0.8,-0.1,0.12,44.61,-31.92,36.74,283.6,9.1,"2",1,4,300.9826,44.1596,8.861,0.046,1347,49,0.498,0.074,0.2726,-0.1694,0.2515,11.75,-0.98,1.39,0
"NGC_6871",6.78,-1.5,3.23,20.29,-6.94,28.32,2423.1,43.9,"1",1,1,301.5859,35.7702,7.064,0.062,1741,69,1.439,0.043,0.0954,-0.049,0.054,4.68,-1.8,8.61,2
"NGC_6885",4.7,-1.18,1.05,20.43,-11.4,46.71,865.5,22.1,"2",1,3,302.9831,26.4935,8.092,0.124,1453,95,1.927,0.123,0.6428,-0.4534,0.7769,7.66,-2.56,11.77,0
"NGC_6910",0.86,-0.04,0.04,7.66,-1.48,2.44,733.6,55.3,"2",2,2,305.7894,40.7669,6.936,0.051,1722,111,3.155,0.127,0.0831,-0.0422,0.0559,19.44,-1.15,1.34,1
"NGC_6913",1.59,-0.29,0.7,30.19,-23.89,45.06,765.7,45.9,"1",2,4,305.9118,38.4839,6.878,0.047,1785,107,2.766,0.094,0.1341,-0.0798,0.1228,4.06,-0.53,3.25,0
"NGC_6939",1.58,-0.11,0.13,14.81,-4.94,14.33,2305.8,32.6,"1",1,1,307.9285,60.6546,9.207,0.051,1757,51,0.919,0.042,0.3141,-0.2134,0.3234,37.4,-3.84,5.22,2
"NGC_6940",3.04,-0.11,0.12,13.36,-1.1,1.32,1292.7,22.2,"1",1,1,308.6154,28.2733,9.07,0.03,992,12,0.686,0.103,0.0684,-0.0268,0.0297,18.79,-1.09,1.26,2
