"Ncl","Name","RAdeg","DEJ2000","Radcl","RV","e_RV","n_RV","RVl","e_RVl","n_RVl","r_RVl"
430,"VDB 113, vdBergh 113",272.14,-21.42,0.23,-16.0,3.7,1.0,"nan","nan","nan","nan"
432,"Collinder 367",272.46,-23.83,0.4,-3.17,4.03,6.0,"nan","nan","nan","nan"
433,"NGC 6561",272.62,-16.73,0.18,-17.93,3.2,3.0,"nan","nan","nan","nan"
436,"Markarian 38",273.82,-19.0,0.14,-3.2,9.2,2.0,-18.0,0.4,"nan","RG99"
1094,"ASCC 94",273.9,-14.99,0.25,-26.0,3.7,1.0,"nan","nan","nan","nan"
438,"Dias 5",274.41,-19.67,0.12,-5.25,2.25,2.0,"nan","nan","nan","nan"
439,"NGC 6604",274.51,-12.24,0.26,9.6,7.05,5.0,16.53,1.66,6.0,"LJ91"
442,"Alessi 19",274.62,12.17,0.75,-5.1,1.24,3.0,"nan","nan","nan","nan"
441,"NGC 6611",274.69,-13.81,0.22,18.0,0.58,3.0,10.0,1.39,33.0,"ES05"
443,"NGC 6613",274.99,-17.1,0.18,-14.0,4.49,4.0,-14.0,9.0,"nan","RG99"
1096,"ASCC 96",275.02,-32.37,0.25,-35.0,7.4,1.0,"nan","nan","nan","nan"
444,"NGC 6618",275.19,-16.17,0.3,-17.0,13.0,2.0,-25.3,19.1,3.0,"DL03"
446,"NGC 6633",276.81,6.51,0.51,-25.43,3.79,9.0,-29.1,0.1,6.0,"MM89"
447,"NGC 6639",277.74,-13.15,0.18,7.0,1.8,1.0,"nan","nan","nan","nan"
448,"Ruprecht 141",277.83,-12.32,0.11,30.7,1.8,1.0,"nan","nan","nan","nan"
449,"IC 4725",277.95,-19.12,0.6,-1.81,10.46,7.0,2.4,0.2,2.0,"MM87"
0,"NGC 6649",278.37,-10.4,0.04,"nan","nan","nan",-8.8,0.8,3.0,"MM87"
0,"NGC 6664",279.15,-7.81,0.1,"nan","nan","nan",17.8,1.0,3.0,"MM87"
450,"IC 4756",279.75,5.45,1.0,-22.45,1.37,25.0,-25.8,0.2,13.0,"MM90"
1098,"ASCC 98",280.65,-33.63,0.65,-54.0,7.4,1.0,"nan","nan","nan","nan"
909,"Trumpler 35",281.05,-4.62,0.0,"nan","nan","nan",-4.7,0.7,"nan","RG99"
451,"NGC 6694",281.32,-9.38,0.12,4.0,7.4,1.0,-9.2,0.5,"nan","RG99"
1099,"ASCC 99",282.27,-18.73,0.23,-31.29,0.4,1.0,"nan","nan","nan","nan"
453,"NGC 6705",282.76,-6.27,0.19,29.49,2.19,28.0,31.0,2.0,6.0,"TF93"
454,"NGC 6709",282.82,10.32,0.22,-7.0,6.92,6.0,-10.4,1.0,1.0,"So87"
455,"Collinder 394",283.06,-20.2,0.43,-1.85,6.45,2.0,6.0,0.3,"nan","RG99"
456,"Stephenson 1",283.38,36.92,0.87,-27.47,6.39,3.0,-26.0,"nan","nan","Ly87"
457,"NGC 6716",283.63,-19.9,0.14,6.0,7.4,1.0,"nan","nan","nan","nan"
459,"NGC 6738",285.33,11.61,0.12,"nan","nan","nan",-34.9,0.9,4.0,"BB03"
1100,"ASCC 100",285.4,33.57,0.31,-22.9,1.8,1.0,"nan","nan","nan","nan"
0,"NGC 6755",286.95,4.27,0.12,"nan","nan","nan",18.7,5.8,"nan","RG99"
1101,"ASCC 101",288.4,36.33,0.36,-32.0,2.1,1.0,"nan","nan","nan","nan"
460,"Ruprecht 147",289.17,-16.28,1.23,41.0,3.7,1.0,"nan","nan","nan","nan"
0,"NGC 6791",290.22,37.77,0.08,"nan","nan","nan",-57.0,1.62,39.0,"FJ02"
464,"NGC 6811",294.31,46.39,0.3,6.05,0.95,2.0,7.1,0.15,3.0,"MM90"
1104,"ASCC 104",294.72,18.69,0.48,-5.65,1.65,2.0,"nan","nan","nan","nan"
0,"NGC 6819",295.32,40.19,0.04,"nan","nan","nan",1.0,2.0,6.0,"TF93"
1105,"ASCC 105",295.44,27.38,0.6,-18.75,5.25,2.0,"nan","nan","nan","nan"
1106,"ASCC 106",295.78,1.6,0.66,-62.2,0.2,-1.0,"nan","nan","nan","nan"
465,"NGC 6823",295.78,23.3,0.27,17.0,5.4,1.0,11.0,6.0,"nan","RG99"
466,"Turner 9",296.2,29.26,0.8,-18.52,6.2,6.0,"nan","nan","nan","nan"
468,"Roslund 2",296.35,23.92,0.23,-5.0,6.0,2.0,"nan","nan","nan","nan"
1107,"ASCC 107",297.13,21.96,0.11,-7.0,3.7,1.0,"nan","nan","nan","nan"
469,"NGC 6828",297.57,7.9,0.18,-21.0,0.0,1.0,"nan","nan","nan","nan"
470,"NGC 6830",297.75,23.1,0.17,-30.9,0.9,1.0,"nan","nan","nan","nan"
0,"NGC 6834",298.05,29.41,0.04,"nan","nan","nan",-6.8,1.4,"nan","RG99"
471,"Roslund 3",299.67,20.48,0.2,"nan","nan","nan",-2.6,0.32,13.0,"Tu93"
1110,"ASCC 110",300.75,33.57,0.23,-20.5,10.91,4.0,"nan","nan","nan","nan"
0,"Roslund 4",301.23,29.22,0.04,"nan","nan","nan",-15.7,1.56,12.0,"DM04"
476,"NGC 6871",301.5,35.78,0.23,-10.54,2.25,7.0,-7.7,3.2,"nan","RG99"
477,"Biurakan 1",301.87,35.68,0.22,-7.97,2.45,6.0,"nan","nan","nan","nan"
478,"Biurakan 2",302.29,35.48,0.18,-22.0,9.47,4.0,"nan","nan","nan","nan"
479,"Roslund 5",302.5,33.77,0.54,-20.17,2.52,12.0,"nan","nan","nan","nan"
1111,"ASCC 111",302.8,37.45,0.55,-14.24,7.02,7.0,"nan","nan","nan","nan"
480,"NGC 6883",302.83,35.83,0.16,-10.33,4.33,3.0,-8.0,"nan","nan","Ly87"
482,"NGC 6882",302.94,26.81,0.11,-15.07,4.36,2.0,0.7,1.5,"nan","RG99"
483,"IC 4996",304.12,37.63,0.16,-18.75,14.33,4.0,-12.19,1.52,11.0,"DM99"
484,"Collinder 419",304.53,40.73,0.25,-8.3,0.1,2.0,-7.0,"nan","nan","Ly87"
485,"Berkeley 86",305.1,38.7,0.13,"nan","nan","nan",-19.3,7.8,"nan","RG99"
486,"NGC 6910",305.8,40.78,0.17,-32.76,2.7,3.0,-30.0,7.0,"nan","RG99"
488,"NGC 6913",305.98,38.51,0.11,-21.05,2.81,6.0,-16.9,0.6,12.0,"BM04"
0,"NGC 6939",307.87,60.66,0.08,"nan","nan","nan",-42.0,2.0,4.0,"TF93"
490,"Cyg OB2",308.1,41.28,0.6,-28.0,18.0,1.0,-19.7,"nan","nan","RB81"
491,"NGC 6940",308.61,28.28,0.5,4.66,2.32,24.0,7.7,0.1,20.0,"MM89"
492,"Alessi 12",310.95,23.79,0.5,-26.0,3.7,-1.0,"nan","nan","nan","nan"
493,"Roslund 7",313.03,37.9,0.43,-22.0,3.0,-1.0,"nan","nan","nan","nan"
0,"Barkhatova 1",313.42,46.03,0.17,"nan","nan","nan",-9.0,"nan","nan","Ly87"
495,"NGC 7039",317.7,45.62,0.28,-11.6,0.6,2.0,"nan","nan","nan","nan"
498,"NGC 7082",322.32,47.13,0.35,-9.1,0.0,1.0,-11.1,3.4,3.0,"DL03"
0,"Platais 1",322.51,48.98,0.08,"nan","nan","nan",-15.4,0.2,21.0,"TM94"
0,"NGC 7086",322.6,51.6,0.1,"nan","nan","nan",-5.6,1.7,"nan","RG99"
499,"NGC 7092",322.95,48.43,0.88,-6.79,3.23,10.0,-5.4,0.4,7.0,"RA99"
500,"IC 1396",324.78,57.5,0.65,-15.35,3.41,4.0,-14.0,2.2,17.0,"CS02"
1114,"ASCC 114",325.0,53.97,0.16,-22.0,4.9,1.0,"nan","nan","nan","nan"
0,"NGC 7128",325.99,53.72,0.03,"nan","nan","nan",-48.25,1.93,4.0,"BD01"
0,"NGC 7142",326.29,65.78,0.1,"nan","nan","nan",-44.12,3.62,12.0,"FL89"
0,"IC 5146",328.35,47.27,0.17,"nan","nan","nan",-3.57,1.65,2.0,"LJ91"
501,"NGC 7160",328.41,62.6,0.23,-26.28,3.88,6.0,-20.0,2.02,3.0,"LJ91"
