"Cluster","RAdeg","DEdeg","r50","N","pmRA","e_pmRA","pmDE","e_pmDE","RVel","e_RVel","NRVel","plx","e_plx","Dist","e_Dist","Age","e_Age","[Fe/H]","e_[Fe/H]","AV","e_AV"
"Dias_134",106.8469,-14.4864,0.051,30,-0.549,0.153,1.288,0.142,54.646,3.751,"2",0.15,0.044,6052,1175,8.947,0.301,-0.116,0.101,1.508,0.302
"Dias_135",107.0319,-3.7579,0.104,43,-1.101,0.147,0.715,0.197,"nan","nan","nan",0.223,0.038,3356,183,8.551,0.117,-0.206,0.029,0.582,0.062
"Dias_136",107.4137,-15.3088,0.103,58,-0.517,0.115,1.205,0.18,112.172,2.276,"3",0.117,0.043,6376,1286,8.952,0.124,-0.149,0.068,1.498,0.229
"Dias_137",108.1402,-2.3992,0.125,69,-0.829,0.17,0.187,0.199,"nan","nan","nan",0.213,0.046,3204,405,8.899,0.209,-0.199,0.046,0.233,0.022
"Dias_138",108.5026,-9.8954,0.173,40,-0.755,0.129,1.034,0.172,"nan","nan","nan",0.159,0.036,3828,200,7.136,0.445,-0.203,0.095,2.099,0.044
"Dias_139",108.7167,-23.7404,0.053,36,-0.435,0.072,1.404,0.134,"nan","nan","nan",0.109,0.027,7456,391,8.838,0.836,-0.28,0.133,0.947,0.128
"Dias_140",114.0772,-33.7331,0.091,33,-1.0,0.102,1.994,0.252,95.677,2.662,"2",0.1,0.032,9992,1159,8.91,0.188,-0.193,0.136,1.443,0.116
"Dias_141",117.8183,-21.7014,0.075,31,-1.466,0.217,2.087,0.237,"nan","nan","nan",0.193,0.045,3296,336,8.697,0.292,-0.18,0.046,0.591,0.046
"Dias_142",124.6444,-29.848,0.074,58,-2.027,0.147,2.278,0.185,95.291,1.782,"4",0.147,0.044,4840,576,8.942,0.118,-0.037,0.159,0.724,0.086
"Dias_143",127.4942,-34.4561,0.098,63,-2.451,0.197,2.567,0.248,74.098,3.217,"5",0.182,0.042,4536,490,9.21,0.277,-0.096,0.062,1.249,0.229
"Dias_144",130.0957,-45.7926,0.043,33,-3.108,0.179,3.603,0.205,"nan","nan","nan",0.165,0.033,4872,528,6.967,0.465,-0.104,0.066,2.607,0.074
"Dias_145",250.8206,-48.3786,0.04,31,-1.041,0.21,-2.418,0.137,-5.707,3.152,"2",0.339,0.04,2740,92,7.118,0.526,0.184,0.061,2.686,0.121
"Dias_146",253.5658,-49.1743,0.096,32,-2.194,0.293,-2.971,0.217,-53.709,4.582,"2",0.23,0.086,4208,486,9.06,0.247,0.241,0.069,2.546,0.181
"Dias_147",267.3145,-37.7553,0.054,34,0.3,0.293,-2.02,0.223,-27.329,2.42,"2",0.361,0.106,2768,59,9.113,0.051,0.304,0.055,1.918,0.098
"Dias_148",355.4822,60.9473,0.037,50,-2.235,0.179,-1.287,0.208,"nan","nan","nan",0.272,0.061,3800,283,6.868,0.063,-0.191,0.063,3.419,0.047
"Dias_149",0.3491,63.2161,0.09,82,-2.102,0.318,-0.632,0.185,-58.599,3.281,"2",0.196,0.059,3764,414,7.199,0.724,-0.13,0.079,1.813,0.161
"Dias_150",91.7915,48.1232,0.197,36,0.525,0.166,-1.785,0.29,"nan","nan","nan",0.261,0.049,3188,763,9.542,0.153,-0.147,0.133,0.291,0.099
"Dias_151",84.4013,33.9189,0.1,65,0.584,0.307,-1.621,0.248,2.473,3.072,"4",0.247,0.056,3274,960,8.833,0.698,-0.249,0.079,2.176,0.262
"Dias_152",83.9102,34.9618,0.041,35,0.491,0.165,-0.408,0.303,-7.046,2.774,"3",0.208,0.073,3892,706,8.816,0.312,-0.193,0.108,2.043,0.157
"Dias_153",93.1861,8.4177,0.14,80,0.269,0.157,-0.184,0.218,67.314,3.731,"3",0.151,0.056,5760,1043,9.002,0.052,-0.167,0.126,0.921,0.174
"Dias_154",97.4371,-12.8716,0.085,37,-0.029,0.171,0.808,0.268,101.597,0.822,"4",0.15,0.049,7380,1171,9.61,0.152,-0.164,0.132,0.586,0.078
"Dias_155",98.2506,-23.3423,0.197,86,-0.266,0.158,1.754,0.312,74.751,0.939,"6",0.149,0.046,5416,244,9.615,0.088,-0.222,0.065,0.105,0.02
"Dias_156",105.7173,-24.8495,0.128,145,-0.485,0.12,1.587,0.17,99.39,2.994,"6",0.101,0.036,7768,865,8.857,0.05,-0.146,0.109,0.686,0.067
"Dias_157",108.3901,-30.0079,0.162,91,-0.676,0.114,1.916,0.197,101.81,2.977,"4",0.106,0.037,8336,1556,9.502,0.25,-0.307,0.14,0.193,0.036
"Dias_158",108.8375,-23.1293,0.088,43,-0.577,0.09,1.585,0.138,84.89,6.388,"2",0.123,0.034,7424,780,8.837,0.081,-0.336,0.14,0.974,0.112
"Dias_159",110.3623,-12.6343,0.066,40,-1.038,0.118,1.274,0.203,59.232,5.771,"2",0.164,0.063,4992,1034,8.857,0.384,-0.154,0.1,1.39,0.265
"Dias_160",111.1301,-31.3356,0.096,40,-0.809,0.098,1.753,0.141,119.508,0.562,"2",0.088,0.034,10072,1838,8.939,0.306,-0.096,0.189,0.487,0.076
"Dias_161",113.2772,-33.9806,0.09,57,-0.949,0.109,1.954,0.146,"nan","nan","nan",0.069,0.042,9896,1808,8.9,0.476,-0.06,0.147,0.842,0.15
"Dias_162",113.1262,-19.6644,0.026,42,-2.014,0.106,2.368,0.153,"nan","nan","nan",0.206,0.055,3768,257,8.802,0.443,-0.179,0.085,2.392,0.208
"Dias_163",114.6476,-33.166,0.064,46,-1.067,0.146,2.176,0.272,"nan","nan","nan",0.098,0.057,9464,2010,8.958,0.126,-0.167,0.098,1.815,0.29
"Dias_164",115.3864,-19.513,0.109,64,-1.461,0.253,1.841,0.271,94.399,0.929,"4",0.186,0.052,4844,656,8.851,0.171,-0.133,0.072,2.009,0.22
"Dias_165",117.6507,-42.9686,0.236,66,-1.371,0.098,2.704,0.186,103.527,0.678,"3",0.098,0.029,7920,2196,9.488,0.115,-0.106,0.11,0.567,0.076
"Dias_166",244.3723,-49.6237,0.056,37,-1.797,0.15,-2.428,0.121,"nan","nan","nan",0.345,0.036,2890,239,6.913,1.0,0.094,0.071,3.289,0.136
"Dias_167",323.2623,47.4829,0.053,33,-2.953,0.164,-3.715,0.144,"nan","nan","nan",0.186,0.039,4084,253,8.631,0.485,-0.126,0.084,1.873,0.089
"Dias_168",150.3602,-53.6861,0.056,30,-4.295,0.205,2.682,0.16,"nan","nan","nan",0.13,0.025,6660,596,8.768,0.147,0.024,0.196,2.017,0.207
"Pickard_225",131.8709,-46.7202,0.039,105,-3.254,0.164,3.618,0.135,56.321,0.45,"4",0.189,0.04,3862,224,8.234,0.176,0.038,0.1,1.992,0.081
"Pickard_226",131.8432,-47.5722,0.133,108,-3.009,0.221,3.402,0.261,82.437,2.374,"4",0.159,0.039,4228,590,7.467,0.657,-0.12,0.059,2.162,0.142
"Slizhevsky_250",199.3454,-63.4659,0.04,31,-6.73,0.164,-1.006,0.128,"nan","nan","nan",0.195,0.031,4776,491,6.809,0.091,0.131,0.07,2.653,0.065
"Alessi_443",34.2874,59.4894,0.041,31,-1.052,0.145,-0.54,0.096,"nan","nan","nan",0.372,0.039,2668,145,7.036,0.619,-0.139,0.077,2.718,0.11
"Pickard_80",24.2954,61.0129,0.126,33,-1.376,0.148,-0.423,0.086,"nan","nan","nan",0.302,0.035,2976,283,7.133,0.055,-0.046,0.147,1.376,0.069
"Teutsch_222",132.3568,-46.9905,0.038,74,-3.324,0.165,3.68,0.17,60.789,0.985,"2",0.152,0.033,5604,501,7.073,0.183,-0.164,0.04,2.231,0.047
"Teutsch_347",130.4899,-45.3612,0.086,72,-3.085,0.133,3.664,0.146,"nan","nan","nan",0.175,0.037,4012,230,8.687,0.39,-0.104,0.045,2.346,0.162
"Pickard_119",42.5386,59.4842,0.123,220,-0.335,0.225,-0.411,0.235,"nan","nan","nan",0.315,0.073,2432,262,7.352,0.276,-0.086,0.063,2.565,0.093
"Kronberger_121",163.4425,-59.4701,0.103,81,-5.415,0.101,2.246,0.131,27.263,2.519,"2",0.155,0.042,4644,887,6.957,0.16,0.115,0.059,2.356,0.179
"Kronberger_117",160.7631,-59.1109,0.054,32,-6.354,0.117,2.523,0.13,"nan","nan","nan",0.372,0.04,2552,147,6.959,0.07,0.12,0.125,1.18,0.196
"Pickard_78",119.0434,-25.7108,0.115,44,-2.36,0.092,2.763,0.133,"nan","nan","nan",0.196,0.035,4304,112,7.493,0.125,-0.207,0.041,0.854,0.048
"Teutsch_141",336.1778,55.8041,0.097,83,-3.552,0.164,-2.812,0.207,"nan","nan","nan",0.224,0.036,3872,234,7.002,0.069,-0.064,0.076,1.957,0.041
"LP_1381",97.5988,16.9721,0.069,42,0.0,0.206,-0.837,0.194,"nan","nan","nan",0.252,0.046,2852,260,8.36,0.425,-0.22,0.064,1.361,0.125
"Pickard_211",131.1477,-45.8907,0.034,40,-3.029,0.093,3.618,0.101,"nan","nan","nan",0.16,0.034,5452,325,6.969,0.121,-0.148,0.076,2.639,0.062
"Teutsch_J0706.0_0907",106.7402,-9.1715,0.094,118,-1.131,0.144,0.935,0.138,"nan","nan","nan",0.35,0.053,2312,135,7.438,0.244,-0.108,0.039,1.574,0.067
"Pickard_52",6.6351,62.3108,0.108,38,-2.044,0.213,-0.658,0.129,-63.052,0.455,"4",0.245,0.03,3488,119,7.084,0.042,-0.075,0.041,1.857,0.062
"Alessi_432",121.8005,-32.9132,0.161,51,-2.352,0.151,2.81,0.256,"nan","nan","nan",0.221,0.037,3732,291,8.476,0.558,-0.17,0.024,1.713,0.091
"Pickard_157",113.3285,-33.48,0.041,33,-2.316,0.14,3.531,0.203,"nan","nan","nan",0.279,0.046,2988,291,7.307,0.455,-0.146,0.082,0.675,0.071
"Pickard_160",115.0026,-23.5394,0.053,71,-1.444,0.153,2.313,0.181,"nan","nan","nan",0.159,0.047,4552,196,7.29,0.146,-0.33,0.07,1.443,0.032
