"NGC","m_NGC","Type","RA1975","DE1975","Xpos","Ypos","Mag","r_Mag","OldDesc","NewDesc","Notes","RA_deg","DEC_deg"
NGC_5460,"nan",1,"14 06.1","-48 12","nan","nan",6.0,5.0,"CL,VL,VLC,ST8...","nan","O,R",211.9275,-48.31833
NGC_5593,"nan",1,"14 24.1","-54 42","nan","nan","nan","nan","CL,VLRI,VLC,ST10","nan","O,R",216.46208,-54.81222
NGC_5606,"nan",1,"14 25.9","-59 32","nan","nan",10.0,5.0,"CL,S,PC,ST L&S","nan","O,R",216.9375,-59.645
NGC_5617,"nan",1,"14 27.9","-60 37","nan","nan",8.5,5.0,"CL,L,PRI,PCM,ST8...","nan","O,R",217.44542,-60.7275
NGC_5662,"nan",1,"14 33.3","-56 28","nan","nan",7.5,5.0,"CL,L,PRI,LC,ST9...","nan","O,R",218.77667,-56.57556
NGC_5715,"nan",1,"14 41.6","-57 26","nan","nan",10.0,5.0,"CL,L,PRI,CM,*11...13","nan","O,R",220.86292,-57.53917
NGC_5749,"nan",1,"14 47.1","-54 25","nan","nan",9.0,5.0,"CL,PL,PRI,LC,*10..11","nan","O,R",222.22583,-54.52028
NGC_5764,"nan",1,"14 51.8","-52 35","nan","nan",12.5,5.0,"CL,VF,VS,VC","nan","O,R",223.39542,-52.685
NGC_5822,"nan",1,"15 03.4","-54 15","nan","nan",6.5,5.0,"CL,VL,RI,LC,ST9...12","nan","O,R",226.31,-54.34667
NGC_5823,"nan",1,"15 03.8","-55 30","nan","nan",8.5,5.0,"CL,CL,RI,LCM,*13..14","nan","O,R",226.41708,-55.59639
NGC_5925,"nan",1,"15 25.8","-54 26","nan","nan",8.5,5.0,"CL,VL,VRI,LC,*11..14","nan","O,R",231.92375,-54.51972
NGC_5999,"nan",1,"15 50.2","-56 25","nan","nan",9.0,5.0,"CL,L,PRI,ST12...14","nan","O,R",238.04833,-56.49083
NGC_6005,"nan",1,"15 53.8","-57 22","nan","nan",11.5,5.0,"CL,PS,PRI,MC,ST16","nan","O,R",238.95667,-57.43889
NGC_6025,"nan",1,"16 01.5","-60 26","nan","nan",6.0,5.0,"CL,B,VL,PRI,LC,*7...","nan","O,R",240.91,-60.50167
NGC_6031,"nan",1,"16 05.7","-53 59","nan","nan",12.0,5.0,"CL,S,MC,ST11...14","nan","O,R",241.91458,-54.04944
NGC_6067,"nan",1,"16 11.3","-54 09","nan","nan",6.5,5.0,"CL,VB,VL,VRI,LC,*10.","nan","O,R",243.3175,-54.21306
NGC_6087,"nan",1,"16 16.8","-57 51","nan","nan",6.0,5.0,"CL,B,L,LC,ST7...10","nan","O,R",244.72083,-57.91
NGC_6124,"nan",1,"16 23.9","-40 38",308.0,264.0,6.5,5.0,"CL,B,L,PRI,LCM,*9.11","nan","O,R",246.405,-40.68944
NGC_6134,"nan",1,"16 25.9","-49 07","nan","nan",9.0,5.0,"CL,CL,PRI,LCM,ST13..","nan","O,R",246.94333,-49.17167
NGC_6152,"nan",1,"16 30.8","-52 34","nan","nan",8.0,5.0,"CL,L,LC,ST L","nan","O,R",248.18917,-52.61889
NGC_6167,"nan",1,"16 32.5","-49 33","nan","nan",6.5,5.0,"CL,L,LC,IF","nan","O,R",248.5975,-49.60139
NGC_6169,"nan",1,"16 32.3","-44 00",217.0,83.0,5.5,5.0,"CL,MU NORMAE INV","nan","O,R",248.52083,-44.05139
NGC_6178,"nan",1,"16 33.9","-45 34","nan","nan",7.0,5.0,"CL,B,S,ST PL","nan","O,R",248.92792,-45.61722
NGC_6192,"nan",1,"16 38.6","-43 20",156.0,120.0,8.5,5.0,"CL,PL,PRI,IR,ST11.14","nan","O,R",250.09417,-43.38139
NGC_6193,"nan",1,"16 39.5","-48 43","nan","nan",5.5,5.0,"CL,VL,LRI,LC,FNEBINV,RRR","nan","O,R,G,9",250.345,-48.76417
NGC_6200,"nan",1,"16 42.4","-47 26","nan","nan",8.0,5.0,"CL,IN MILKY WAY","nan","O,R",251.06375,-47.47917
