"Cluster","RAJ2000","DEJ2000","Class","Diam","Dist","E(B-V)","Age","r_pmRA","pmRA","e_pmRA","pmDE","e_pmDE","Nc","K14","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","TrType"
"Ruprecht 87",153.88333,-50.71667,"nan",4.0,5254.0,0.458,8.985,"D14",-5.91,0.36,1.23,0.33,129.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-2-p-*"
"VDBH 91",154.325,-58.7,"nan",5.0,740.0,0.08,8.21,"D14",-3.28,0.23,2.13,0.18,172.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-2-p-*"
"Ruprecht 88",154.72917,-63.13333,"nan",5.0,1876.0,0.416,8.98,"D14",-5.74,0.44,2.06,0.47,107.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-2-m-*"
"VDBH 92",154.77917,-56.41667,"nan",2.0,1249.0,0.2,"nan","KHA",-3.16,1.12,5.28,0.79,5.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-2-p-*"
"ASCC 59",155.05417,-57.65,"nan",42.0,550.0,0.05,8.6,"K05",-4.99,0.49,3.65,0.43,30.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 3228",155.34167,-51.72833,"nan",5.0,544.0,0.028,7.932,"BDW",-15.64,0.43,-0.05,0.38,4.0,"K14",-22.39,0.15,1.0,"MMU",0.03,0.1,"nan","nan"
"Teutsch 44",155.35,-54.45056,"nan",4.0,7410.0,0.64,8.84,"D14",-3.15,0.44,-0.58,0.36,107.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"ESO 062 08",155.4125,-69.335,"nan",5.0,1983.0,0.042,9.44,"D14",-6.77,0.29,2.39,0.39,70.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 113",155.68333,-59.50556,"nan",2.0,2025.0,0.833,8.96,"K14",-5.74,1.13,1.85,1.13,78.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Trumpler 13",155.95,-60.13333,"nan",5.0,2400.0,0.3,8.5,"D14",-5.62,0.28,0.88,0.34,235.0,"K14",-10.8,"nan",1.0,"K14","nan","nan","nan","2-2-m-*"
