"Cluster","RAJ2000","DEJ2000","Class","Diam","Dist","E(B-V)","Age","r_pmRA","pmRA","e_pmRA","pmDE","e_pmDE","Nc","K14","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","TrType"
"NGC 2215",95.20417,-7.28333,"nan",8.6,790.0,0.26,8.85,"D14",1.41,0.6,-6.21,0.28,26.0,"K14",-10.74,0.66,4.0,"FM09",-0.4,0.1,"nan","nan"
"Collinder 91",95.425,2.36667,"nan",13.0,1467.0,0.521,8.64,"D14",-1.99,0.23,-3.4,0.21,164.0,"K14",-11.84,0.23,1.0,"D14","nan","nan","nan","4-2-p-*"
"FSR 0941",95.44583,15.73972,"IR",12.0,5800.0,0.8,8.7,"D14",0.91,0.01,-0.6,0.04,241.0,"K14","nan","nan","nan","nan",-0.21,0.07,1.0,"nan"
"Berkeley 73",95.5,-6.35,"nan",2.0,9800.0,0.11,9.18,"K14",3.47,0.74,-1.72,0.74,13.0,"K14",95.7,0.2,2.0,"CGVF",-0.22,0.1,2.0,"1-2-p-*"
"Dolidze 22",95.8375,4.59917,"nan",19.4,2152.0,0.67,8.55,"D14",-0.35,0.1,-0.69,0.14,445.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-1-p-*"
"NGC 2219",95.93333,-4.67667,"nan",7.0,2023.0,0.4,8.9,"D14",-2.92,0.42,-2.93,0.53,70.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0927",96.04167,18.025,"IR",2.4,2981.0,0.895,8.65,"K14",-0.47,0.34,-1.68,0.34,207.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0957",96.34167,14.58306,"IR",0.8,1786.0,0.437,8.735,"K14",0.6,0.39,-1.07,0.39,96.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Teutsch 11",96.34583,13.87028,"nan",4.0,3443.0,0.7,8.7,"D14",0.98,0.18,2.89,0.53,56.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Bochum 1",96.35417,19.76667,"nan",26.0,2803.0,0.502,6.686,"D14",0.63,0.04,-1.64,0.05,1004.0,"K14",11.38,4.02,3.0,"D14","nan","nan","nan","nan"
"FSR 0929",96.38333,17.72,"IR",0.8,1296.0,0.115,8.495,"K14",-0.51,0.41,-3.25,0.41,113.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Teutsch 12",96.41667,13.59833,"nan",6.6,8900.0,0.64,8.48,"D14",0.93,0.01,2.88,0.01,117.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0948",96.47083,15.86083,"IR",4.0,2330.0,0.08,9.0,"D14",0.42,0.14,-0.94,0.24,85.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 2225",96.65,-9.63833,"r",2.8,3200.0,0.35,9.11,"K14",1.31,0.52,-1.97,0.52,57.0,"K14","nan","nan","nan","nan",-0.38,0.38,"nan","2-1-m-*"
"NGC 2232",96.8125,-4.75833,"nan",53.0,359.0,0.03,7.727,"TYC",-3.37,0.21,-3.1,0.21,22.0,"K14",26.6,0.77,4.0,"MP10",0.32,0.08,"nan","nan"
"NGC 2224",96.88333,12.65556,"nan",14.0,2415.0,1.0,7.0,"D14",-0.25,0.12,-0.28,0.21,276.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Majaess 79",96.96667,5.52778,"IR",8.0,"nan","nan","nan","D14",-3.73,0.49,-0.07,0.46,31.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"ASCC 24",97.18333,-7.02,"nan",42.0,400.0,0.14,6.96,"K05",-5.55,0.47,-4.05,0.41,12.0,"K14",15.66,2.79,4.0,"D14","nan","nan","nan","nan"
"NGC 2234",97.33333,16.7575,"nan",8.0,4800.0,1.25,7.7,"D14",-0.76,0.08,-2.41,0.01,142.0,"K14","nan","nan","nan","nan",-0.33,0.06,1.0,"nan"
"Alessi 53",97.35,9.18028,"nan",3.5,4570.0,0.8,8.4,"D14",0.58,0.02,-1.96,0.02,41.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 2243",97.39167,-31.28333,"nan",5.0,4458.0,0.051,9.032,"D14",-0.49,0.54,4.02,0.35,89.0,"K14",59.84,0.41,2.0,"MMU",-0.42,0.05,13.0,"nan"
"NGC 2236",97.4125,6.83,"nan",7.0,2930.0,0.479,8.538,"D14",-2.37,0.2,-0.31,0.36,184.0,"K14","nan","nan","nan","nan",-0.3,0.2,13.0,"nan"
"FSR 1031",97.55,3.39333,"IR",2.8,1791.0,0.729,8.635,"K14",0.77,0.32,-2.72,0.32,149.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Collinder 96",97.575,2.86667,"nan",12.0,962.0,0.51,7.031,"BDW",0.44,1.04,-1.64,0.85,1.0,"K14",12.0,7.4,1.0,"D14","nan","nan","nan","nan"
"Czernik 26",97.7,-4.21667,"nan",5.0,8872.0,0.38,9.0,"D14",2.99,0.01,0.05,0.01,58.0,"K14","nan","nan","nan","nan",-0.38,"nan","nan","3-1-m-*"
"VDB 80",97.70833,-9.655,"nan",12.0,2100.0,0.61,6.7,"D14",-3.45,0.64,-11.64,0.52,28.0,"K14","nan","nan","nan","nan","nan","nan","nan","1-2-p-n"
"Collinder 95",97.7125,9.94361,"nan",27.0,556.0,0.01,"nan","D14",-0.74,0.09,-1.17,0.09,483.0,"K14",-11.0,7.4,1.0,"D14","nan","nan","nan","4-2-p-n"
"NGC 2239",97.7375,4.96917,"nan",10.0,3900.0,1.1,6.7,"D14",-0.6,0.26,-2.18,0.34,116.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0979",97.825,11.08083,"IR",1.9,1933.0,1.145,8.7,"K14",2.32,0.36,-0.22,0.36,97.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Collinder 97",97.825,5.91667,"nan",25.0,630.0,0.0,8.0,"D14",-1.62,0.1,-1.32,0.11,542.0,"K14",-14.7,11.7,2.0,"DL03","nan","nan","nan","nan"
"Juchert 18",97.86667,6.80333,"nan",2.1,2290.0,0.625,9.02,"K14",-1.81,0.55,-2.04,0.55,41.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0977",97.9625,11.84389,"IR",2.6,1916.0,0.583,8.68,"K14",3.15,0.38,0.25,0.38,88.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 2244",97.97917,4.94167,"v",29.0,1660.0,0.47,6.28,"BDW",-0.65,0.47,0.67,0.39,5.0,"K14",30.67,2.3,12.0,"D14","nan","nan","nan","nan"
"FSR 0974",98.17083,12.53194,"IR",12.0,2308.0,0.573,8.91,"D14",1.04,0.09,0.91,0.18,202.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Berkeley 23",98.375,20.55,"nan",4.0,6918.0,0.4,8.9,"D14",2.65,0.3,-7.32,0.68,48.0,"K14",48.6,3.4,8.0,"CC15",-0.42,0.13,7.0,"3-1-m-*"
"NGC 2250",98.44583,-5.08833,"nan",4.0,1795.0,0.48,8.78,"D14",-1.16,0.43,0.7,0.45,44.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-2-p-*"
"Basel 8",98.55,8.08333,"nan",29.0,1328.0,0.37,8.102,"D14",-2.41,0.1,1.52,0.11,899.0,"K14",11.0,7.4,1.0,"D14","nan","nan","nan","nan"
"FSR 1063",98.65833,-0.26694,"IR",5.0,2032.0,0.5,8.86,"D14",-0.66,0.11,-2.36,0.01,53.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 2251",98.65833,8.36667,"nan",10.0,1329.0,0.186,8.427,"D14",-1.13,0.16,-0.17,0.2,169.0,"K14",25.33,0.05,3.0,"MMU",-0.1,0.05,2.0,"nan"
"NGC 2252",98.675,5.36667,"nan",18.0,900.0,0.1,8.84,"D14",0.1,0.09,-1.53,0.1,410.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-2-m-n"
"NGC 2254",98.95417,7.67333,"nan",5.0,2364.0,0.398,8.307,"D14",0.53,0.17,1.78,0.25,110.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 1065",98.99583,-0.66778,"IR",0.6,1551.0,0.458,8.79,"K14",1.06,0.43,-1.19,0.43,112.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Ruprecht 1",99.0875,-14.14694,"nan",16.0,1480.0,0.17,8.68,"D14",0.49,0.01,-0.66,0.04,367.0,"K14","nan","nan","nan","nan",-0.25,0.18,"nan","3-1-p-*"
"Collinder 104",99.125,4.81667,"nan",20.0,2025.0,0.833,8.5,"D14",-0.03,0.14,-1.03,0.18,336.0,"K14",6.33,3.7,2.0,"D14","nan","nan","nan","4-2-p-n"
"Basel 7",99.15,8.35,"nan",5.0,1684.0,0.396,8.033,"D14",0.31,0.05,0.47,0.44,46.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Majaess 82",99.16667,5.60056,"IR",3.0,"nan","nan","nan","D14",-22.96,0.27,6.51,0.04,8.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Trumpler 5",99.175,9.43333,"v",15.4,2820.0,0.62,9.6,"D14",0.77,0.09,0.59,0.0,503.0,"K14","nan","nan","nan","nan",-0.403,0.006,3.0,"nan"
"VDB 1",99.25,3.06667,"nan",5.0,1687.0,0.71,8.025,"BDW",3.76,2.77,-4.78,2.26,1.0,"K14",16.4,2.4,1.0,"D14","nan","nan","nan","nan"
"Collinder 106",99.275,5.95,"nan",35.0,1000.0,0.12,9.9,"D14",0.75,0.06,-1.11,0.08,1498.0,"K14",35.66,2.27,7.0,"D14",-0.26,0.04,3.0,"4-2-p-*"
"Collinder 107",99.425,4.73333,"nan",29.0,1738.0,0.54,7.0,"D14",0.37,0.08,-1.29,0.1,777.0,"K14",12.31,3.01,8.0,"D14","nan","nan","nan","nan"
"Berkeley 24",99.44583,-0.87194,"nan",7.0,4700.0,0.4,9.34,"D14",-0.85,0.24,1.18,0.15,82.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-2-p-*"
"NGC 2260",99.5125,-1.47333,"nan",20.0,1985.0,1.25,7.0,"D14",-0.64,0.13,-2.1,0.14,367.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 2259",99.5875,10.88333,"nan",3.0,3311.0,0.59,8.5,"D14",2.79,0.43,-0.96,0.01,51.0,"K14","nan","nan","nan","nan",0.07,"nan","nan","2-1-p-n"
"Collinder 110",99.6,2.01667,"nan",18.0,1950.0,0.5,9.15,"D14",-1.31,0.04,-3.28,0.08,491.0,"K14",38.7,0.8,29.0,"C14",-0.02,0.11,6.0,"nan"
"NGC 2262",99.90833,1.14333,"nan",5.0,3600.0,0.55,9.0,"D14",-0.71,0.41,-0.76,0.13,103.0,"K14","nan","nan","nan","nan",-0.38,0.5,"nan","2-1-m-*"
"FSR 1053",99.98333,1.54667,"IR",1.6,1202.0,0.312,8.8,"D14",-2.8,0.67,-6.39,0.64,19.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0975",100.0,13.29944,"IR",4.5,4626.0,0.541,9.1,"D14",2.11,0.01,2.86,0.42,77.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"VDB 83",100.0,-27.31667,"nan",25.0,1925.0,0.552,9.35,"D14",0.64,0.15,1.91,0.21,302.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-2-p-n"
"NGC 2264",100.24167,9.895,"v",39.0,667.0,0.051,6.954,"D14",-0.46,0.03,-2.87,0.05,726.0,"K14",24.69,0.98,9.0,"FM09",-0.15,"nan","nan","nan"
"Berkeley 25",100.25,-16.51667,"nan",5.0,11400.0,0.11,9.7,"D14",-3.68,0.19,-4.17,0.02,44.0,"K14",134.3,0.2,4.0,"CGVF",-0.2,0.05,4.0,"1-2-m-*"
"NGC 2265",100.42083,11.905,"nan",12.0,2160.0,0.48,8.48,"D14",0.0,0.1,-1.29,0.13,223.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 1077",100.48333,-0.89667,"IR",2.5,1298.0,0.416,8.935,"K14",0.83,0.46,-0.07,0.46,116.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"DC 1",100.50417,-12.97417,"nan",0.7,"nan","nan","nan","nan","nan","nan","nan","nan","nan","K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Alessi 15",100.76667,1.67194,"nan",0.9,1599.0,0.27,9.25,"K14",1.29,0.58,3.31,0.58,16.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 2269",100.82083,4.625,"nan",3.0,1687.0,0.398,8.416,"D14",5.05,0.19,1.49,0.23,11.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 2266",100.82917,26.97,"nan",5.0,3000.0,0.2,8.8,"D14",0.93,0.48,-5.03,0.39,114.0,"K14",-16.0,15.0,4.0,"RCar",-0.38,0.06,3.0,"nan"
"Alessi 16",100.89583,2.17333,"nan",0.5,1191.0,0.27,9.05,"K14",-0.98,0.63,-2.14,0.63,9.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Teutsch 13",100.97917,1.40472,"nan",6.0,2780.0,0.67,7.48,"D14",-0.92,0.32,-1.64,0.34,86.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Dolidze 24",101.17083,1.68472,"OC",18.8,1261.0,0.146,8.45,"D14",-0.57,0.11,-1.24,0.11,510.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Patchick 90",101.17917,-0.53944,"nan",3.0,6310.0,0.41,8.95,"D14",9.39,0.19,1.43,0.58,33.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Dolidze 25",101.275,0.3,"nan",20.0,6800.0,0.8,6.8,"D14",-0.29,0.05,-1.79,0.07,596.0,"K14",71.0,30.0,"nan","RGDZ","nan","nan","nan","nan"
"SAI 69",101.36667,-11.79444,"nan",3.0,7140.0,0.35,9.1,"D14",0.02,0.09,-10.19,0.14,3.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"ASCC 25",101.38333,24.6,"nan",25.2,1400.0,0.16,8.86,"D14",-2.06,0.08,-3.99,0.05,619.0,"K14",21.5,2.4,1.0,"D14","nan","nan","nan","nan"
"NGC 2287",101.50417,-20.75667,"nan",39.0,710.0,0.01,8.4,"D14",-0.84,0.07,-0.56,0.08,1738.0,"K14",23.3,0.11,5.0,"MMU",-0.23,0.02,3.0,"nan"
"Collinder 115",101.625,1.76667,"nan",10.0,1917.0,0.23,8.55,"D14",-1.0,0.09,-1.5,0.14,221.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-2-m-*"
"VDB 85",101.725,1.33333,"nan",4.0,1641.0,1.92,7.85,"D14",0.17,0.11,1.23,0.25,39.0,"K14","nan","nan","nan","nan","nan","nan","nan","1-2-p-*"
"Dolidze 49",101.76667,-0.00694,"OC",2.2,2398.0,0.625,8.33,"K14",-1.06,0.48,-2.17,0.48,23.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 2286",101.91667,-3.14833,"nan",14.0,2600.0,0.66,8.3,"BDW",2.08,2.37,-2.48,1.93,2.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 2281",102.07083,41.07833,"nan",25.0,558.0,0.063,8.554,"D14",-2.48,0.1,-6.76,0.12,330.0,"K14",19.05,0.04,2.0,"MMU",0.13,0.11,"nan","nan"
"Bochum 2",102.225,0.38333,"nan",1.5,2661.0,0.831,6.665,"D14",-0.05,0.04,-1.68,0.07,21.0,"K14",66.3,4.4,"nan","RGDZ","nan","nan","nan","nan"
"Ruprecht 4",102.225,-10.53333,"nan",3.0,4700.0,0.3,8.9,"D14",0.94,0.64,-4.3,0.01,52.0,"K14",47.5,1.0,3.0,"CGVF",-0.09,0.05,3.0,"3-2-m-*"
"Berkeley 75",102.25417,-23.99667,"nan",4.0,9100.0,0.04,9.6,"D14",-4.56,0.37,-9.82,0.39,16.0,"K14",94.6,0.35,1.0,"CGVF",-0.22,0.2,1.0,"2-2-p-*"
"Berkeley 26",102.575,5.75,"nan",4.0,12589.0,0.75,9.6,"D14",2.7,0.66,-1.44,0.02,27.0,"K14",68.0,12.0,6.0,"RC12",-0.35,0.17,5.0,"3-1-m-*"
"ASCC 26",102.6,7.25,"nan",20.4,800.0,0.13,8.09,"D14",-0.73,0.09,-3.14,0.1,463.0,"K14",8.0,7.4,1.0,"D14","nan","nan","nan","nan"
"FSR 1025",102.625,6.60389,"IR",1.0,2095.0,0.291,8.6,"D14",-0.41,1.3,-3.38,3.85,8.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"ESO 309 03",102.6625,-42.39,"nan",6.0,1753.0,0.48,8.8,"D14",-0.2,0.53,1.93,0.98,47.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-2-vp-*"
"Berkeley 27",102.8375,5.76861,"nan",2.0,5035.0,0.05,9.3,"K14",-4.2,0.47,-1.52,0.47,21.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-2-m-*"
"NGC 2301",102.9375,0.46,"nan",14.0,870.0,0.03,8.2,"D14",-0.83,0.03,-2.76,0.03,355.0,"K14",13.54,0.12,1.0,"MMU",0.06,0.06,2.0,"nan"
"NGC 2302",102.97917,-7.08333,"nan",5.0,1500.0,0.23,7.08,"D14",-2.66,0.23,-1.86,0.29,61.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Berkeley 28",103.05,2.93333,"nan",3.0,2557.0,0.761,7.846,"D14",1.68,0.02,-1.54,0.02,36.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 1051",103.05417,3.64167,"IR",2.0,1180.0,0.437,8.79,"K14",0.13,0.33,-1.92,0.33,131.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Alessi 59",103.07917,2.19083,"nan",2.5,3500.0,0.59,7.6,"K14",0.85,0.38,-2.37,0.38,33.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 1085",103.29583,-0.19194,"IR",4.0,1429.0,0.079,8.735,"D14",-0.03,0.17,-2.51,0.07,72.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Berkeley 29",103.325,16.91667,"nan",6.0,14871.0,0.157,9.025,"D14",-2.26,0.46,-5.99,0.55,75.0,"K14",24.8,0.1,2.0,"KBVM",-0.31,0.03,6.0,"nan"
"ASCC 27",103.47083,-4.39,"nan",24.0,1200.0,0.09,8.75,"D14",-0.78,0.09,0.69,0.09,546.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"DC 4",103.5125,-13.5675,"nan",0.7,2304.0,0.583,8.7,"K14",4.88,0.75,-3.34,0.75,8.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 1029",103.51667,6.7275,"IR",1.2,1905.0,0.312,8.93,"D14",0.27,0.38,-8.05,1.12,18.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"ASCC 28",103.51667,-0.17,"nan",36.0,800.0,0.05,8.34,"K05",-1.68,0.26,-1.1,0.36,18.0,"K14",22.7,1.78,1.0,"D14","nan","nan","nan","nan"
"ASCC 29",103.575,-1.65,"nan",26.4,750.0,0.05,8.06,"D14",2.06,0.07,-3.38,0.09,1019.0,"K14",13.5,10.0,1.0,"K07","nan","nan","nan","nan"
"NGC 2304",103.80417,17.9825,"nan",10.0,4400.0,0.1,8.8,"D14",-1.49,0.21,-6.24,0.2,197.0,"K14","nan","nan","nan","nan",-0.32,"nan","nan","2-1-m-*"
"Ruprecht 5",103.80833,-18.6,"nan",2.0,4712.0,0.416,9.15,"K14",1.37,0.64,1.45,0.64,27.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-1-p-*"
"SAI 72",103.95,0.22694,"nan",5.0,3150.0,0.82,8.5,"D14",1.47,0.16,-1.06,0.41,54.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 2309",104.0125,-7.175,"nan",5.0,2511.0,0.35,8.4,"D14",3.46,0.32,-4.53,0.29,101.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Collinder 121",104.08333,-24.72944,"nan",60.0,1100.0,0.04,7.08,"K05",-3.87,0.34,4.08,0.35,19.0,"K14",31.35,3.95,2.0,"K07","nan","nan","nan","nan"
"ASCC 30",104.25,-6.21,"nan",31.2,800.0,0.15,8.2,"K05",-2.89,0.42,0.6,0.34,16.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 1144",104.31667,-6.62,"IR",0.6,1737.0,0.312,8.18,"K14",0.84,0.37,0.81,0.37,131.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Berkeley 31",104.4,8.26667,"nan",5.0,8272.0,0.08,9.313,"D14",-2.43,0.21,-2.33,0.01,77.0,"K14",55.7,0.7,2.0,"YCA",-0.4,0.16,17.0,"nan"
"Berkeley 33",104.425,-13.21667,"nan",3.0,6000.0,0.36,8.9,"D14",-1.36,0.47,4.36,0.52,31.0,"K14",76.6,0.5,5.0,"CGVF",-0.26,0.05,5.0,"nan"
"Berkeley 30",104.425,3.21667,"nan",3.0,4790.0,0.5,8.48,"D14",-0.84,0.01,-3.47,0.35,56.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 2311",104.44583,-4.61167,"nan",6.0,2290.0,0.33,8.6,"D14",-1.48,0.01,3.31,0.01,99.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Berkeley 32",104.525,6.43333,"nan",6.0,3078.0,0.15,9.7,"D14",-1.41,0.38,-0.86,0.08,117.0,"K14",105.2,0.86,83.0,"RPPB",-0.29,0.04,9.0,"nan"
"FSR 1080",104.56667,0.865,"IR",2.4,1753.0,0.562,8.37,"K14",-1.99,0.36,-4.54,0.36,122.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 2312",104.69583,10.295,"nan",7.6,2245.0,0.16,8.52,"D14",-3.54,0.24,-2.32,0.28,119.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 1163",104.82917,-9.09722,"IR",1.5,1706.0,0.437,9.15,"D14",3.49,1.18,-1.42,0.6,28.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 2318",104.8625,-13.69833,"nan",20.0,1335.0,0.65,7.7,"D14",-1.04,0.04,0.17,0.09,594.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Ivanov 9",104.92917,-4.06667,"nan",1.0,736.0,0.02,7.9,"D14",1.89,0.06,1.44,0.11,7.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 1171",105.05417,-10.32056,"IR",2.0,4110.0,0.65,9.5,"K14",4.7,0.47,-1.26,0.47,44.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Wit 1",105.0875,-5.82667,"nan","nan",1952.0,0.458,6.35,"K14",-0.38,0.63,-1.97,0.63,47.0,"K14",5.0,0.0,1.0,"K14","nan","nan","nan","nan"
"Berkeley 34",105.09583,-0.23222,"nan",2.0,7280.0,0.45,9.45,"K14",-2.68,0.71,-2.16,0.71,15.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-1-m-*"
"Ferrero 10",105.1125,-3.01,"nan",10.0,"nan","nan","nan","D14",0.22,0.19,5.57,0.19,179.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Tombaugh 1",105.12083,-20.56667,"nan",5.0,4169.0,0.303,8.98,"D14",-5.31,0.36,5.17,0.01,118.0,"K14",81.1,2.5,6.0,"SCAM","nan","nan","nan","nan"
"Ivanov 4",105.13333,-8.86667,"nan",4.0,717.0,0.21,7.0,"D14",6.11,0.48,-17.42,0.32,25.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"ASCC 31",105.225,3.5,"nan",20.4,600.0,0.15,8.63,"D14",-1.08,0.13,-1.47,0.1,532.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Wit 2",105.3625,-3.1175,"nan","nan",2830.0,0.437,8.785,"K14",-5.15,0.36,0.1,0.36,177.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Alessi 33",105.49583,-26.50333,"nan",60.0,750.0,0.08,8.18,"D14",-1.47,0.04,2.32,0.05,3371.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Alessi 60",105.625,-1.13083,"nan",5.0,2906.0,0.31,8.4,"D14",-0.96,0.19,-1.06,0.34,103.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 2323",105.675,-8.38333,"nan",14.0,950.0,0.2,8.0,"D14",0.86,0.03,-3.06,0.1,377.0,"K14",14.7,1.29,6.0,"FM09","nan","nan","nan","nan"
"NGC 2348",105.7625,-67.41167,"p",10.0,1070.0,0.13,9.26,"D14",-3.37,0.51,6.47,1.1,60.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Tombaugh 2",105.77083,-20.81667,"nan",3.0,6080.0,0.3,9.01,"D14",-1.72,0.01,3.86,0.45,65.0,"K14",120.9,0.4,13.0,"VR10",-0.31,0.02,13.0,"nan"
"ASCC 33",105.79583,-25.05,"nan",108.0,800.0,0.05,7.26,"K05",-3.78,0.3,3.78,0.23,62.0,"K14",16.15,7.57,2.0,"D14",-0.166,0.08,3.0,"nan"
"Czernik 27",105.8,6.41667,"nan",3.0,4285.0,0.07,9.05,"D14",-2.32,0.02,-1.94,0.61,41.0,"K14","nan","nan","nan","nan",-0.38,"nan","nan","2-2-p-*"
"Bochum 3",105.85,-5.05,"nan",4.0,1762.0,0.24,7.89,"D14",0.27,0.3,-0.62,0.45,74.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"VDB 92",105.975,-11.53333,"nan",3.0,1500.0,0.25,7.59,"D14",-2.1,0.38,3.87,0.54,26.0,"K14",17.5,0.29,4.0,"K07","nan","nan","nan","4-2-p-n"
"NGC 2324",106.02917,1.045,"nan",10.6,3800.0,0.25,8.65,"D14",-2.6,0.17,1.35,0.18,316.0,"K14",41.81,0.22,5.0,"MMU",-0.17,0.05,7.0,"nan"
"FSR 1150",106.15417,-6.61056,"IR",3.0,5664.0,0.729,8.8,"D14",-0.91,0.01,-1.63,0.01,56.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Ruprecht 150",106.47917,-28.41667,"nan",2.0,1789.0,0.271,8.7,"K14",-1.6,0.52,1.17,0.52,65.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-3-p-*"
"Haffner 4",106.55,-14.98333,"nan",5.0,4500.0,0.5,8.7,"D14",0.25,0.01,-0.39,0.01,72.0,"K14","nan","nan","nan","nan",-0.38,"nan","nan","3-2-m-*"
"ESO 427 32",106.55833,-30.16667,"nan",10.0,1786.0,0.125,9.105,"D14",0.98,0.19,1.98,0.28,114.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-2-m-*"
"Ruprecht 10",106.62083,-20.10889,"nan",4.0,2900.0,0.38,9.04,"D14",-0.55,0.51,4.49,0.51,53.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-2-p-*"
"Berkeley 76",106.66667,-11.73333,"nan",5.0,12600.0,0.55,9.18,"D14",0.15,0.22,2.6,0.56,70.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-1-m-*"
"NGC 2335",106.70417,-10.02833,"nan",6.0,1417.0,0.393,8.21,"BDW",-0.91,1.56,-3.18,1.25,1.0,"K14",-3.59,0.3,1.0,"MMU",-0.18,0.03,1.0,"nan"
"Collinder 466",106.73333,-10.715,"nan",4.0,2123.0,0.46,8.8,"D14",-0.1,0.62,0.82,0.25,60.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-1-p-n"
