"Cluster","Rlim","Rc","Age","e_Age","EBV","e_EBV","R_sun","e_R_sun","RGC","X_sun","Y_sun","Z","Ref.","RA","DEC"
"Berkeley_100",2.2,0.29,0.16,0.01,1.21,0.11,3355,155,10.3,"1345",3070.0,"144",2,351.49167,63.78
"Berkeley_101",2.2,0.23,0.7,0.05,1.11,0.1,2500,115,9.8,"1036",2272.0,"115",2,353.19583,64.20833
"Berkeley_102",3.3,0.28,0.6,0.03,0.69,0.05,2600,120,9.8,"1013",2384.0,"-219",2,354.675,56.63333
"Berkeley_103",2.5,0.36,0.5,0.02,1.0,0.11,2100,95,9.6,"872",1908.0,"-91",2,356.3,59.3
"Kronberger_2",2.5,0.08,0.1,0.0,1.1,0.1,3065,140,5.6,"-2934",887.0,"1.5",4,275.32917,-14.28667
"Kronberger_3",1.0,0.03,1.6,0.11,0.38,0.08,1870,85,7.3,"-1324",1299.0,"-240",4,294.75,6.76667
"Kronberger_5",3.5,0.08,0.16,0.02,2.1,0.4,615,30,8.2,"-273",551.0,"17",4,296.52083,27.83333
"Kronberger_12",1.4,0.17,0.16,0.02,0.97,0.05,1775,80,10.3,"1753",-271.0,"74",4,93.56667,22.49778
"Kronberger_13",1.2,0.08,0.4,0.01,1.13,0.11,1380,65,7.7,"-902",1044.0,"-24",4,291.3125,13.94556
"Kronberger_18",4.0,0.36,0.1,0.0,1.29,0.12,3250,150,11.7,"3197",584.0,"1.9",4,79.65,37.62167
"Kronberger_23",0.9,0.15,0.1,0.01,1.35,0.12,1740,80,9.2,"601",1633.0,"0.44",4,346.49583,60.25389
"Kronberger_25",0.8,0.1,0.05,0.0,1.32,0.11,1220,55,7.3,"-1169",348.0,"-10",4,275.66667,-14.72806
"Kronberger_28",0.75,0.09,0.4,0.01,2.26,0.42,550,25,8.4,"-165",524.0,"18",4,301.63333,35.57611
"Kronberger_52",1.2,0.06,0.13,0.01,2.45,0.44,705,30,8.3,"-268",652.0,"10.5",4,299.53333,30.88833
"Kronberger_54",0.8,0.11,0.25,0.02,0.94,0.04,1715,80,8.0,"-612",1602.0,"15.5",4,300.78333,31.96694
"Kronberger_55",1.1,0.07,0.4,0.02,1.13,0.11,1260,60,9.1,"559",1129.0,"15",4,358.2875,62.78667
"Kronberger_57",2.2,0.16,0.16,0.02,1.06,0.09,1295,60,8.3,"-328",1253.0,"-11",4,305.99167,36.60472
"Kronberger_58",0.25,0.01,0.16,0.02,1.35,0.12,1515,70,8.3,"-295",1484.0,"69.5",4,305.2,41.20472
"Kronberger_59",1.0,0.04,0.1,0.0,0.84,0.11,780,35,8.4,"-144",766.0,"0.05",4,305.95833,40.14806
"Kronberger_60",1.6,0.12,0.8,0.03,0.84,0.11,1960,90,10.5,"1953",6.6,"162",4,91.04167,31.49556
