"Cluster","RA_ICRS","DE_ICRS","pmRA*","e_pmRA*","pmDE","e_pmDE","DMode","RV","e_RV","o_RV","f_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","f_[Fe/H]","GX","e_GX","GY","e_GY","GZ","e_GZ","U","e_U","V","e_V","W","e_W","Rap","Rperi","EC","Zmax","RGC","e_RGC","Ageref","Distref","E(B-V)ref","Ref","_RA.icrs","_DE.icrs"
"FSR_0850",86.257,24.74,1.301,0.161,-2.555,0.106,2139.7,17.289423,15.841895,30,"Y",-0.18544444,0.22415905,9,"nan",-10481.061,473.4951,-131.44173,29.06816,-86.15597,19.053312,-4.2765265,15.802365,222.24538,6.397841,4.320532,1.7094756,10.537352961333967,9.414648473972772,0.0562702689753458,0.0935658080692028,10475.181,478.9924,9.0,2149.0,0.479,"(1)",86.257,24.74
"FSR_0852",88.363,25.19,0.433,0.104,-1.923,0.118,2853.9,-12.828332,7.3863683,8,"Y",-0.008999996,0.2672864,2,"nan",-11183.73,871.62085,-204.2913,62.616356,-21.447187,6.57368,25.7756,7.3833623,227.8389,7.412383,-0.80754375,2.7528229,12.17597504313068,9.98840016275378,0.0986977913907593,0.0206967324084933,11203.472,881.7442,9.0,2149.0,0.479,"(2)",88.363,25.19
"FSR_0866",103.823,29.745,1.405,0.126,-0.443,0.091,1189.0,52.03984,13.506381,5,"nan",-0.2345,0.05247539,4,"nan",-9486.163,137.34337,-127.0016,15.218639,284.11908,34.04608,-37.032433,13.038651,241.41687,1.6622187,25.776255,3.3753738,11.100040211590557,8.842540429838142,0.1131999826072,0.6385272915846144,9492.325,140.23398,9.255,1503.1421,0.15709677,"(3)",103.823,29.745
"FSR_0883",91.094,22.037,0.825,0.072,-1.542,0.085,3048.1,22.028,38.637627,4,"nan",0.0,0.0,0,"nan",-11360.354,1021.86584,-429.3194,145.25098,8.732157,2.9543343,-7.154915,38.26332,224.12764,9.450855,6.765068,1.1960431,11.428969517856144,10.631325164938854,0.0361574659081675,0.1399776836105943,11377.293,1012.595,8.37,2075.0,0.666,"(1)",91.094,22.037
"FSR_0893",93.454,21.608,-0.355,0.147,-3.215,0.15,2355.1,-1.7878401,45.50318,32,"nan",-0.19641668,0.073543094,8,"Y",-10667.849,584.6688,-390.67685,98.123245,77.23055,19.397387,17.102278,44.865166,223.19443,10.347913,-13.427301,5.334772,11.240143990399632,9.28063487659648,0.0954890224442046,0.2862795975755424,10664.768,586.41614,8.725,1485.0,0.75,"(2)",93.454,21.608
"FSR_0904",91.774,19.021,-0.448,0.141,-1.107,0.111,2104.1,45.171688,7.2999387,20,"Y",-0.24100001,0.09952292,6,"Y",-10410.329,453.32867,-403.66434,88.38912,-27.759424,6.0783944,-31.683859,7.180409,236.28915,2.3736944,-2.623186,2.36331,11.471559337075906,9.899292375106976,0.0735706270926312,0.0453632135173753,10404.167,456.53607,0.0,0.0,0.0,"nan",91.774,19.021
"FSR_0905",98.442,22.312,1.965,0.099,-3.85,0.07,1475.2,2.2324405,5.7339163,7,"Y",-0.108,0.063150615,3,"nan",-9782.233,216.71342,-281.77573,42.340714,162.1807,24.369953,14.732639,5.6584487,222.15092,4.5407557,7.630103,0.9130943,10.132790899200156,8.40320106370827,0.0933098071553382,0.2399314757835222,9785.582,219.5151,8.3,1786.0,0.375,"(2)",98.442,22.312
"FSR_0921",91.295,16.684,-0.006,0.136,-1.652,0.149,2814.0,-0.4177104,26.99202,3,"nan",0.0,0.0,0,"nan",-11084.155,834.5477,-626.0243,190.38606,-112.65416,34.26035,16.197714,26.331839,233.71893,8.185255,-3.557437,3.7250679,12.315661742135756,10.194180666754727,0.0942468204283441,0.1136269844437943,11098.108,851.3011,0.0,0.0,0.0,"nan",91.295,16.684
"FSR_0923",92.644,16.971,0.657,0.144,0.141,0.125,1623.4,32.39857,4.079738,9,"Y",-0.058,"nan",1,"nan",-9920.035,265.0997,-371.38214,62.31047,-29.011541,4.8675394,-20.179773,3.9784353,243.3595,1.3671937,11.622757,1.3437477,10.995815450674884,9.863425595821436,0.0542872030832421,0.2076842504270678,9924.834,263.0967,8.725,1444.0,1.249,"(2)",92.644,16.971
"FSR_0932",91.087,14.573,-0.36,0.24,-0.789,0.249,2318.4,29.239758,18.669994,3,"nan",0.0,0.0,0,"nan",-10583.017,550.6652,-584.1337,143.40685,-141.68298,34.783634,-15.268345,18.05609,239.5458,5.5151525,-2.2039776,3.3839252,11.345038108256569,10.648852560407722,0.031653587732012,0.1214242648824864,10600.905,558.4157,9.1,1508.0,0.645,"(2)",91.087,14.573
"FSR_0935",98.778,17.74,-0.074,0.059,-1.056,0.092,2465.0,20.674849,5.394274,7,"Y",0.0515,0.010606602,2,"nan",-10712.717,623.1054,-648.789,170.38068,193.93669,50.93045,-6.470846,5.2265067,236.45192,3.0778089,2.5102239,1.8011581,11.300037946865572,10.646365860783249,0.0297849293128609,0.2399470440077519,10732.871,635.81006,8.8,2955.0,0.458,"(2)",98.778,17.74
"FSR_0937",93.425,15.006,0.5,0.092,-0.114,0.173,8797.6,77.17757,76.185555,3,"nan",0.0,0.0,0,"nan","nan","nan","nan","nan","nan","nan",-59.935722,"nan",218.12134,"nan",21.520424,"nan",19.37834138048162,15.811223726251736,0.1013686200272856,1.1161484558696726,"nan","nan",8.98,4597.0,0.583,"(2)",93.425,15.006
"FSR_0941",95.445,15.776,0.758,0.176,0.139,0.197,4399.8,34.981144,27.475418,3,"nan",-0.2835,0.051618796,2,"nan",-12567.333,2322.912,-1176.8718,646.6906,58.97524,32.40689,-21.09117,26.505922,238.21982,8.555796,23.035915,7.7214437,14.204762374616486,12.691693202847487,0.0562553369685175,0.6980408614607376,12621.798,2342.861,8.665,4610.0,0.874,"(2)",95.445,15.776
