"Name","Type","u_Type","RAJ2000","DEJ2000","GLON","GLAT","r0","r1","r2","pmRA","pmDE","e_pm","RV","e_RV","n_RV","N1sr0","N1sr1","N1sr2","d","E(B-V)","MOD","E(J-Ks)","E(J-H)","DeltaH","logt","e_logt","Nt","rc","e_rc","rt","e_rt","k","e_k","Source","SType","[Fe/H]"
"NGC_7129, MWSC_3549","nan","nan",325.725,66.11,105.392,9.887,0.01,0.028,0.068,-1.48,-3.92,0.91,"nan","nan","nan",1,4,9,650.0,1.299,9.483,0.624,0.416,-0.04,7.65,"nan","nan",0.1,0.02,1.01,0.26,567.27,125.6,"DIAS","nan","nan"
"FSR_0323, MWSC_3551","nan","nan",325.815,52.525,96.485,-0.408,0.018,0.04,0.06,-6.61,-0.28,0.51,"nan","nan","nan",8,29,53,6699.0,0.6,14.323,0.288,0.192,-0.045,8.95,"nan","nan",1.48,0.42,9.39,2.48,2.29,0.49,"DIAS","irc","nan"
"Barkhatova_2, MWSC_3552","nan","nan",325.917,51.07,95.585,-1.553,0.02,0.045,0.095,-2.2,-3.53,0.68,"nan","nan","nan",6,15,78,1100.0,0.3,10.304,0.144,0.096,0.0,8.632,"nan",1.0,0.65,0.23,4.15,1.48,7.21,1.54,"DIAS","dub","nan"
"NGC_7127, MWSC_3553","nan","nan",325.921,54.615,97.893,1.138,0.012,0.045,0.085,-7.47,-1.99,0.45,"nan","nan","nan",2,33,92,2300.0,1.031,12.14,0.495,0.33,0.0,8.8,"nan","nan",2.0,0.72,7.19,2.01,1.07,0.32,"DIAS","non","nan"
"NGC_7128, MWSC_3554","nan","nan",325.96,53.725,97.332,0.447,0.01,0.05,0.09,-6.9,-2.76,0.36,-48.25,1.93,4.0,5,48,118,2301.0,1.099,12.163,0.528,0.352,-0.02,7.26,"nan","nan",1.49,0.15,6.08,0.51,30.54,2.26,"DIAS","nan","nan"
"FSR_0303, MWSC_3555","nan","nan",326.224,47.482,93.403,-4.411,0.015,0.055,0.11,-2.58,-1.76,0.37,"nan","nan","nan",6,44,97,6002.0,0.999,14.213,0.48,0.32,0.0,8.95,"nan","nan",4.04,1.23,16.14,3.89,0.43,0.1,"FPOS","nan","nan"
"NGC_7142, MWSC_3557","nan","nan",326.302,65.792,105.359,9.492,0.03,0.115,0.26,-2.01,0.78,0.22,-44.12,3.62,12.0,17,125,313,2200.0,0.45,11.857,0.216,0.144,0.0,9.255,0.026,24.0,3.1,0.52,14.79,2.26,6.02,0.53,"DIAS","nan",0.08
"Teutsch_74, MWSC_3558","nan","nan",326.415,58.095,100.36,3.61,0.017,0.055,0.14,3.31,-3.58,0.46,"nan","nan","nan",8,37,119,3330.0,1.049,12.95,0.504,0.336,0.0,9.05,"nan","nan",0.81,0.25,16.12,5.51,4.57,1.53,"DIAS","nan","nan"
"FSR_0334, MWSC_3559","nan","nan",326.542,55.435,98.695,1.533,0.025,0.06,0.12,-5.3,-2.12,0.48,"nan","nan","nan",7,24,65,2201.0,0.271,11.8,0.13,0.087,0.0,9.31,"nan","nan",1.31,0.36,9.96,2.91,3.5,0.56,"DIAS","irc","nan"
"FSR_0319, MWSC_3560","nan","nan",326.64,51.418,96.156,-1.58,0.025,0.07,0.13,-4.01,-3.13,0.33,"nan","nan","nan",11,51,149,1680.0,0.849,11.4,0.408,0.272,0.01,8.6,"nan","nan",0.48,0.15,6.65,2.2,11.22,3.58,"DIAS","irc","nan"
"FSR_0333, MWSC_3562","nan","nan",326.79,54.928,98.478,1.053,0.012,0.055,0.15,-3.3,-1.4,0.33,"nan","nan","nan",6,56,262,6001.0,1.099,14.245,0.528,0.352,-0.02,8.895,"nan","nan",1.59,0.57,31.76,12.95,0.99,0.38,"DIAS","irc","nan"
"FSR_0322, MWSC_3564","nan","nan",327.585,51.205,96.475,-2.121,0.012,0.045,0.1,-0.25,-2.22,0.5,"nan","nan","nan",8,19,113,1867.0,0.45,11.5,0.216,0.144,-0.01,9.25,"nan","nan",0.55,0.19,6.27,2.19,5.25,1.87,"DIAS","irc","nan"
"FSR_0305, MWSC_3565","nan","nan",327.633,47.02,93.842,-5.379,0.017,0.06,0.1,-3.79,-1.11,0.44,"nan","nan","nan",3,23,55,2443.0,0.5,12.1,0.24,0.16,0.01,9.06,"nan","nan",1.09,0.44,5.48,1.87,2.46,0.75,"FPOS","nan","nan"
"FSR_0325, MWSC_3566","nan","nan",327.66,51.38,96.622,-2.015,0.02,0.06,0.14,-0.7,-1.91,0.31,"nan","nan","nan",11,54,210,1800.0,0.481,11.431,0.231,0.154,0.0,8.45,"nan","nan",0.57,0.21,7.63,3.2,7.39,2.53,"DIAS","irc","nan"
"FSR_0336, MWSC_3567","nan","nan",327.726,55.215,99.074,0.934,0.025,0.08,0.155,-4.49,-3.24,0.21,"nan","nan","nan",21,132,377,1116.0,0.5,10.4,0.24,0.16,-0.06,9.1,"nan","nan",0.74,0.2,5.29,1.51,14.22,2.2,"DIAS","irc","nan"
"FSR_0351, MWSC_3568","nan","nan",327.675,60.64,102.488,5.154,0.02,0.09,0.14,-2.07,-4.09,0.27,"nan","nan","nan",7,68,145,1239.0,0.416,10.6,0.2,0.133,-0.02,9.125,"nan","nan",1.01,0.2,6.04,1.19,18.8,1.79,"FPOS","nan","nan"
"FSR_0338, MWSC_3570","nan","nan",327.933,55.313,99.227,0.936,0.013,0.05,0.075,-6.26,-4.22,0.49,"nan","nan","nan",3,33,52,14655.0,2.082,16.5,1.0,0.667,-0.01,8.1,"nan","nan",2.81,0.77,39.54,11.18,0.34,0.1,"DIAS","irc","nan"
"IC_5146, MWSC_3571","nan","nan",328.38,47.267,94.394,-5.508,0.035,0.07,0.16,-2.09,-1.47,1.62,-3.57,1.65,2.0,3,6,10,680.0,1.72,9.716,0.826,0.551,-0.16,6.0,"nan","nan",0.47,0.05,3.42,0.34,213.22,13.06,"DIAS","nan","nan"
"NGC_7160, MWSC_3572","nan","nan",328.417,62.61,104.012,6.461,0.028,0.07,0.22,-2.49,-2.37,0.76,-26.28,3.88,6.0,7,16,71,800.0,0.25,9.596,0.12,0.08,0.0,7.2,"nan","nan",0.73,0.17,5.68,1.42,22.31,2.82,"COCD","nan",0.16
"Berkeley_93, MWSC_3574","nan","nan",328.875,63.94,105.012,7.37,0.01,0.05,0.11,-0.96,-1.03,0.64,"nan","nan","nan",1,10,16,10998.0,2.975,16.164,1.429,0.953,0.09,7.15,"nan","nan",10.92,2.93,40.56,8.88,0.1,0.02,"DIAS","nan","nan"
"ASCC_115, MWSC_3575","nan","nan",329.167,51.525,97.447,-2.488,0.025,0.115,0.215,0.4,-0.83,0.38,-9.0,5.8,1.0,5,39,146,750.0,0.15,9.424,0.072,0.048,-0.02,8.35,"nan","nan",2.35,0.82,4.49,0.82,13.33,8.15,"COCD","nan","nan"
"ASCC_116, MWSC_3576","nan","nan",329.625,54.49,99.482,-0.313,0.02,0.06,0.14,-3.5,-4.5,0.31,-30.6,3.7,1.0,7,49,244,1500.0,0.51,11.045,0.245,0.163,-0.045,7.95,"nan","nan",1.15,0.32,6.45,1.67,4.01,0.76,"COCD","nan","nan"
"NGC_7175, MWSC_3577","nan","nan",329.767,54.79,99.73,-0.125,0.025,0.075,0.15,-3.73,-1.31,0.27,"nan","nan","nan",11,68,251,2500.0,0.75,12.231,0.36,0.24,0.0,8.821,0.019,4.0,1.06,0.34,11.12,3.87,4.21,0.98,"DIAS","non","nan"
"FSR_0318, MWSC_3578","nan","nan",329.661,48.967,96.125,-4.702,0.013,0.05,0.085,-3.03,2.33,0.51,"nan","nan","nan",3,21,53,7002.0,0.65,14.435,0.312,0.208,0.0,8.804,0.044,3.0,1.81,0.69,22.72,9.69,0.57,0.19,"FPOS","nan","nan"
"FSR_0344, MWSC_3580","nan","nan",330.43,54.825,100.055,-0.328,0.012,0.04,0.09,-4.98,-3.23,0.48,"nan","nan","nan",5,20,94,2300.0,0.72,12.04,0.346,0.231,-0.01,8.9,"nan","nan",1.13,0.45,5.0,1.72,3.46,0.98,"FPOS","nan","nan"
"Dolidze_56, MWSC_3583","nan","nan",331.027,59.9,103.347,3.549,0.01,0.038,0.065,-2.78,-1.0,0.51,"nan","nan","nan",3,20,49,7000.0,0.999,14.547,0.48,0.32,0.0,8.95,"nan","nan",0.93,0.4,11.92,5.16,1.51,0.69,"DREM","ast","nan"
"ASCC_117, MWSC_3584","nan","nan",331.35,62.27,104.885,5.364,0.035,0.125,0.245,-1.36,-4.97,0.4,-11.39,0.8,1.0,6,42,133,1500.0,0.175,10.937,0.084,0.056,-0.02,6.225,"nan","nan",1.84,0.61,10.0,3.18,2.28,0.41,"COCD","nan","nan"
"NGC_7209, MWSC_3585","nan","nan",331.225,46.552,95.502,-7.262,0.02,0.1,0.23,-0.97,3.79,0.3,-9.7,0.0,1.0,5,59,258,1250.0,0.16,10.536,0.077,0.051,0.0,8.629,"nan",1.0,1.05,0.26,7.87,2.07,9.18,1.34,"COCD","nan",-0.12
"FSR_0341, MWSC_3586","nan","nan",331.413,53.333,99.631,-1.87,0.015,0.045,0.1,-3.36,-3.51,0.42,"nan","nan","nan",7,31,104,6000.0,0.7,14.116,0.336,0.224,0.0,9.0,"nan","nan",1.21,0.34,17.02,4.67,1.78,0.56,"DIAS","irc","nan"
"Collinder_471, MWSC_3587","nan","nan",331.702,71.978,110.863,13.077,0.05,0.295,0.51,3.09,-2.81,0.24,"nan","nan","nan",9,122,342,2003.0,0.999,11.83,0.48,0.32,0.035,6.88,"nan","nan",8.62,4.37,19.99,5.97,0.12,0.08,"DIAS","nan","nan"
"FSR_0342, MWSC_3588","nan","nan",331.971,53.117,99.775,-2.241,0.015,0.06,0.13,-3.45,-0.46,0.36,"nan","nan","nan",4,43,128,2088.0,0.625,11.8,0.3,0.2,0.02,8.85,"nan","nan",1.37,0.32,6.03,1.2,7.25,1.21,"DIAS","irc","nan"
"FSR_0358, MWSC_3590","nan","nan",332.557,58.795,103.333,2.197,0.02,0.1,0.28,5.07,-3.06,0.41,"nan","nan","nan",9,65,159,2578.0,2.311,12.8,1.11,0.74,0.0,9.3,"nan","nan",1.9,0.41,20.35,4.84,3.43,0.53,"DIAS","irc","nan"
"NGC_7226, MWSC_3591","nan","nan",332.602,55.398,101.397,-0.595,0.02,0.05,0.122,-2.43,-2.16,0.44,"nan","nan","nan",12,34,98,3001.0,0.5,12.547,0.24,0.16,-0.04,8.725,0.077,3.0,0.7,0.17,11.66,3.13,7.77,2.11,"DIAS","nan","nan"
"IC_1434, MWSC_3592","nan","nan",332.602,52.86,99.936,-2.671,0.018,0.08,0.195,-6.52,-3.46,0.29,"nan","nan","nan",6,66,214,3210.0,0.521,12.7,0.25,0.167,0.0,8.245,0.058,6.0,2.59,0.57,18.17,4.07,2.33,0.26,"DIAS","nan","nan"
"FSR_0364, MWSC_3593","nan","nan",332.677,60.08,104.123,3.212,0.015,0.04,0.085,-1.49,-1.51,0.65,"nan","nan","nan",7,17,58,3399.0,0.731,12.892,0.351,0.234,0.0,9.15,"nan","nan",0.8,0.26,9.11,3.09,2.95,0.98,"DIAS","irc","nan"
"FSR_0354, MWSC_3594","nan","nan",332.79,57.66,102.781,1.197,0.018,0.06,0.12,-2.8,-3.64,0.51,"nan","nan","nan",4,30,84,1169.0,0.5,10.5,0.24,0.16,-0.04,8.0,"nan","nan",0.44,0.16,4.94,1.86,7.74,2.75,"DIAS","irc","nan"
"NGC_7235, MWSC_3595","nan","nan",333.09,57.265,102.687,0.781,0.012,0.04,0.092,-4.54,-2.35,0.49,-53.7,"nan",1.0,3,26,106,2700.0,0.931,12.456,0.447,0.298,0.02,7.3,"nan","nan",1.3,0.29,8.39,1.74,3.37,0.57,"COCD","nan","nan"
"VDB_150, vdBergh_150, MWSC_3596","nan","nan",333.072,73.37,112.051,13.955,0.025,0.11,0.22,5.32,-3.11,0.6,"nan","nan","nan",4,18,31,3990.0,1.228,13.4,0.59,0.394,0.04,8.8,"nan","nan",2.87,1.41,24.6,12.86,0.32,0.1,"DIAS","nan","nan"
"Teutsch_125, MWSC_3597","nan","nan",333.291,58.977,103.748,2.129,0.015,0.05,0.1,-3.72,-0.74,0.56,"nan","nan","nan",3,20,47,1445.0,0.781,11.05,0.375,0.25,0.0,9.1,"nan","nan",0.61,0.17,5.0,1.49,11.91,2.32,"FPRO","nan","nan"
"VDB_152, vdBergh_152, MWSC_3598","nan","nan",333.097,70.245,110.187,11.413,0.02,0.1,0.15,-2.58,-2.12,0.44,"nan","nan","nan",4,25,53,1964.0,0.729,11.7,0.35,0.233,0.0,9.295,0.032,14.0,1.22,0.83,10.9,7.93,0.68,0.28,"DIAS","nan","nan"
