"Cluster","X","Y","Z","Age","Rad","Rad0","Z0","nRef","_RA","_DE","[Mg/H]","e_[Mg/H]","o_[Mg/H]","[Si/H]","e_[Si/H]","o_[Si/H]","[Fe/H]","e_[Fe/H]","o_[Fe/H]","[Ni/H]","e_[Ni/H]","o_[Ni/H]"
"NGC_2232",-8.3819,-0.1787,-0.0195,0.0132,8.38,8.45,0.025,2,96.9775660063,-4.7716929136,-0.05,0.04,2.0,-0.05,0.05,2.0,-0.06,0.01,2,-0.11,0.01,2.0
"NGC_2236",-10.4405,-1.0501,-0.0488,0.8511,10.49,9.76,-0.0431,0,97.4112141308,6.8314647276,"nan","nan","nan","nan","nan","nan",-0.18,0.05,6,"nan","nan","nan"
"NGC_2244",-9.3898,-0.6271,-0.0272,0.0041,9.41,9.48,-0.0122,0,97.9853087479,4.9267113969,"nan","nan","nan","nan","nan","nan",-0.33,0.19,8,"nan","nan","nan"
"NGC_225",-8.4825,0.576,0.0091,0.0933,8.5,9.59,0.0454,0,10.9807797007,61.7933105987,-0.08,0.01,5.0,-0.1,0.02,5.0,-0.14,0.14,5,-0.18,0.04,5.0
"NGC_2251",-9.3979,-0.5576,0.0268,0.4898,9.41,9.49,-0.0053,0,98.6762981967,8.3444016286,-0.06,0.09,3.0,-0.05,0.03,3.0,-0.06,0.11,3,-0.05,0.05,3.0
"NGC_2264",-8.7664,-0.2729,0.049,0.0049,8.77,8.86,0.0569,2,100.2270769555,9.8754527478,-0.29,0.06,9.0,-0.3,0.05,9.0,-0.3,0.09,9,-0.33,0.05,9.0
"NGC_2281",-8.6066,0.0434,0.17,0.2754,8.61,9.0,0.173,2,102.0899669963,41.0940076097,-0.06,0.08,28.0,-0.09,0.07,28.0,-0.09,0.08,32,-0.11,0.06,28.0
"NGC_2301",-8.8296,-0.4518,0.0267,0.138,8.84,8.75,-0.0324,0,102.9374633903,0.4620789423,-0.07,0.05,3.0,-0.09,0.04,3.0,-0.18,0.19,3,-0.3,0.16,3.0
"NGC_2420",-10.1891,-0.6766,0.803,2.2387,10.21,8.75,0.1611,3,114.6020846763,21.5740767532,-0.15,0.07,3.0,-0.16,0.02,3.0,-0.18,0.03,4,-0.19,0.02,3.0
"NGC_2632",-8.261,-0.0677,0.1197,0.3467,8.26,7.38,0.0758,3,130.0882736039,19.6659305866,0.06,0.06,49.0,0.06,0.05,49.0,0.1,0.07,68,0.1,0.03,49.0
"NGC_2682",-8.698,-0.4146,0.465,1.6982,8.71,8.83,0.43,2,132.8498917094,11.8174675243,-0.03,0.04,275.0,-0.03,0.04,275.0,-0.04,0.06,313,-0.02,0.02,275.0
"NGC_457",-9.7883,2.2401,-0.1894,0.0229,10.04,10.13,-0.0305,0,19.8925362338,58.2756645264,-0.23,0.15,3.0,-0.27,0.12,3.0,-0.36,0.24,3,-0.45,0.15,3.0
"NGC_6704",-6.2005,1.0314,-0.0685,0.1698,6.29,6.69,0.0027,0,282.6879047413,-5.1994821076,"nan","nan","nan","nan","nan","nan",0.13,0.12,2,"nan","nan","nan"
"NGC_6705",-6.1402,1.023,-0.0923,0.1318,6.22,6.71,-0.0625,3,282.7659968857,-6.2752347866,"nan","nan","nan","nan","nan","nan",0.08,0.13,13,"nan","nan","nan"
"NGC_6791",-6.7103,3.8647,0.8098,3.8019,7.74,7.98,-0.9246,2,290.2199616586,37.7742913095,0.37,0.0,2.0,0.29,0.0,2.0,0.27,0.07,2,0.28,0.0,2.0
"NGC_6811",-7.9178,1.0666,0.2509,1.0715,7.99,9.68,-0.2893,2,294.3439127576,46.3641538312,-0.08,0.1,14.0,-0.12,0.08,14.0,-0.14,0.14,14,-0.16,0.05,14.0
"NGC_6940",-7.7765,0.9413,-0.1059,0.7762,7.83,8.13,-0.0011,2,308.5905263514,28.2584391825,0.02,0.13,11.0,0.02,0.06,11.0,0.02,0.08,11,0.02,0.06,11.0
"NGC_744",-8.9984,0.9593,-0.117,0.3467,9.05,9.16,0.0644,0,29.6423329786,55.4814991711,-0.12,0.09,9.0,-0.15,0.05,9.0,-0.21,0.12,9,-0.23,0.04,9.0
"NGC_752",-8.4132,0.2721,-0.15,1.4125,8.42,8.03,0.1661,2,29.1600107415,37.7927708811,-0.05,0.1,69.0,-0.08,0.06,69.0,-0.09,0.06,69,-0.12,0.04,69.0
"NGC_7654",-8.731,1.4479,0.0345,0.0832,8.85,8.89,0.0491,0,351.1899692402,61.5992628316,-0.02,0.03,2.0,-0.11,0.04,2.0,-0.22,0.05,2,-0.13,0.03,2.0
"NGC_7789",-8.9669,1.7686,-0.1612,1.5488,9.14,9.24,-0.0487,2,359.3286246833,56.7237589272,-0.04,0.01,14.0,-0.02,0.01,14.0,-0.02,0.04,14,-0.04,0.01,14.0
"NGC_869",-9.7206,1.6187,-0.1233,0.0182,9.85,10.24,-0.023,0,34.7655108307,57.1401175113,-0.05,0.05,2.0,-0.09,0.01,2.0,-0.14,0.06,2,-0.14,0.01,2.0
"NGC_957",-9.7164,1.5233,-0.0769,0.02,9.84,9.88,0.0187,0,38.3623008439,57.5574623741,-0.13,0.04,5.0,-0.16,0.04,5.0,-0.26,0.15,5,-0.31,0.05,5.0
"OCSN_31",-8.1554,0.2625,0.0058,0.0741,8.16,8.36,0.0054,0,329.6561116125,50.7861677048,0.0,0.12,2.0,-0.02,0.09,2.0,-0.01,0.03,2,-0.07,0.01,2.0
"OCSN_50",-8.3025,0.0234,-0.0515,0.0204,8.3,8.06,0.0764,0,62.3599983306,21.4204495751,-0.25,0.11,4.0,-0.27,0.02,4.0,-0.19,0.15,4,-0.24,0.04,4.0
"OCSN_61",-8.4512,-0.1498,-0.0877,0.0117,8.45,8.46,-0.0305,0,84.0836558932,-0.4021636189,-0.11,0.12,13.0,-0.14,0.09,13.0,-0.13,0.14,13,-0.2,0.08,13.0
"OCSN_69",-8.4125,-0.1876,-0.0412,0.0224,8.41,8.55,0.0604,0,93.6474448791,-4.6170985566,-0.2,0.01,2.0,-0.2,0.0,2.0,-0.12,0.03,2,-0.17,0.03,2.0
"OC_0279",-8.3783,0.0819,-0.059,0.017,8.38,8.39,-0.017,0,58.5470142301,31.9230808435,-0.1,0.09,3.0,-0.15,0.04,3.0,-0.11,0.1,6,-0.14,0.05,3.0
"OC_0280",-8.4623,0.1015,-0.0757,0.0078,8.46,8.43,-0.0515,0,60.5209743299,32.1781274152,-0.31,0.14,4.0,-0.31,0.11,4.0,-0.27,0.28,4,-0.32,0.09,4.0
"OC_0289",-9.4043,0.2039,-0.1204,0.4169,9.41,7.94,-0.0015,0,74.3428032016,32.757413335,"nan","nan","nan","nan","nan","nan",-0.05,0.16,3,"nan","nan","nan"
"OC_0343",-8.6955,-0.288,-0.0074,0.0309,8.7,9.09,0.0605,0,97.6316545988,4.357318812,-0.05,0.03,2.0,-0.07,0.05,2.0,-0.16,0.08,18,-0.29,0.0,2.0
"Platais_3",-8.25,0.1125,0.0694,0.1738,8.25,8.25,0.0657,0,68.4055604632,71.4894532063,-0.01,0.02,3.0,-0.02,0.06,3.0,0.04,0.12,3,0.0,0.03,3.0
"Roslund_6",-8.0559,0.3438,0.0247,0.1698,8.06,8.06,0.0097,0,307.5932718989,40.3558957617,-0.04,0.07,23.0,-0.05,0.05,23.0,-0.04,0.06,23,-0.07,0.03,23.0
"Sigma_Orionis",-8.4597,-0.1707,-0.0963,0.0037,8.46,8.53,-0.0993,2,84.7098573554,-2.6097529905,-0.42,0.1,4.0,-0.39,0.07,4.0,-0.29,0.37,5,-0.31,0.02,4.0
"Skiff_J0614+12.9",-11.258,-0.9776,-0.0914,0.2455,11.3,9.86,-0.0716,0,93.6974515076,12.8689784826,-0.11,0.06,2.0,-0.11,0.05,2.0,-0.14,0.07,3,-0.13,0.01,2.0
"Stock_10",-8.4711,0.0508,0.0432,0.1349,8.47,8.45,-0.0483,0,84.7416149716,37.8083688241,-0.12,0.1,7.0,-0.13,0.08,7.0,-0.13,0.07,16,-0.18,0.03,7.0
"Stock_12",-8.2778,0.3969,-0.0428,0.123,8.29,8.77,0.0446,0,353.8700016106,52.6234970516,0.0,0.05,2.0,-0.03,0.04,2.0,-0.14,0.2,2,-0.24,0.16,2.0
"Stock_2",-8.3762,0.269,0.0112,0.2884,8.38,8.91,0.0061,0,33.8499039713,59.5770699565,-0.06,0.07,253.0,-0.08,0.05,253.0,-0.06,0.06,253,-0.09,0.03,253.0
"Stock_21",-9.1025,1.6886,-0.1419,0.3981,9.26,9.36,-0.1636,0,7.6012934765,57.9214459878,0.01,0.04,2.0,0.04,0.01,2.0,0.04,0.03,2,0.05,0.04,2.0
"Stock_4",-8.9726,0.9737,-0.0867,0.1072,9.03,8.2,-0.1534,0,28.0120236554,57.056042775,-0.11,0.02,2.0,-0.17,0.06,2.0,-0.17,0.01,2,-0.22,0.03,2.0
"Stock_7",-8.5925,0.4757,0.0225,0.0562,8.61,9.85,0.0191,0,37.4243893842,60.655120864,-0.02,0.08,6.0,-0.08,0.06,6.0,-0.13,0.06,6,-0.15,0.06,6.0
"Streicher_52",-9.1239,-0.2271,-0.1279,0.3631,9.13,9.23,-0.1026,0,85.790642848,13.708610633,"nan","nan","nan","nan","nan","nan",-0.16,0.12,4,"nan","nan","nan"
"TRSG_4",-8.1068,0.303,0.13,0.1122,8.11,7.94,-0.1394,0,287.6956739126,56.5227603448,0.04,0.09,4.0,0.01,0.05,4.0,-0.01,0.04,4,0.0,0.06,4.0
"Teutsch_179",-7.9317,0.2661,0.1192,0.0309,7.94,7.78,-0.0581,0,276.6243981433,26.4081173236,-0.06,0.07,6.0,-0.07,0.05,6.0,-0.09,0.12,6,-0.08,0.04,6.0
"Teutsch_J0450.9+5209",-8.3907,0.1255,0.0471,0.2818,8.39,8.75,-0.0543,0,72.5701279671,52.2642986992,0.02,0.1,2.0,-0.02,0.05,2.0,-0.02,0.04,2,-0.04,0.03,2.0
"Theia_1040",-8.659,0.3035,0.0904,0.6026,8.66,8.44,-0.0284,0,69.4426419778,56.5141422389,-0.03,0.02,2.0,-0.02,0.01,2.0,-0.01,0.01,2,-0.02,0.01,2.0
"Theia_1188",-8.1262,0.2965,-0.1126,0.5754,8.13,9.69,-0.1524,0,338.7424251797,29.9912866392,0.01,0.14,5.0,-0.02,0.1,5.0,0.0,0.06,5,-0.01,0.04,5.0
"Theia_13",-8.4733,-0.1657,-0.1068,0.0065,8.47,8.52,-0.0902,0,83.1324298275,-1.752764954,-0.14,0.08,10.0,-0.14,0.06,10.0,-0.11,0.08,10,-0.12,0.02,10.0
