"Cluster","X","Y","Z","Age","Rad","Rad0","Z0","nRef","_RA","_DE","[Mg/H]","e_[Mg/H]","o_[Mg/H]","[Si/H]","e_[Si/H]","o_[Si/H]","[Fe/H]","e_[Fe/H]","o_[Fe/H]","[Ni/H]","e_[Ni/H]","o_[Ni/H]"
"Theia_925",-8.5249,0.0144,0.0958,0.1585,8.52,8.37,-0.0788,0,96.0318144017,35.7419993741,"nan","nan","nan","nan","nan","nan",-0.03,0.12,3,"nan","nan","nan"
"Theia_933",-8.3928,0.0903,0.018,0.631,8.39,8.02,0.0088,0,72.4043240923,43.6125987202,"nan","nan","nan","nan","nan","nan",-0.02,0.1,3,"nan","nan","nan"
"Tombaugh_5",-9.4418,0.9613,0.1269,0.1479,9.49,9.42,-0.1348,0,56.9744292845,59.075551899,-0.07,0.12,8.0,-0.07,0.07,8.0,-0.14,0.19,8,-0.2,0.07,8.0
"Trumpler_2",-8.6176,0.4554,-0.0243,0.0891,8.63,8.58,-0.0097,0,39.3050419317,55.9256465396,-0.05,0.08,40.0,-0.07,0.05,40.0,-0.1,0.08,40,-0.14,0.06,40.0
"Trumpler_3",-8.6124,0.4414,0.0744,0.038,8.62,9.48,-0.0642,0,48.0052884642,63.2074050714,-0.04,0.06,4.0,-0.09,0.07,4.0,-0.14,0.09,4,-0.18,0.09,4.0
"Trumpler_5",-10.799,-1.1265,0.0793,2.1878,10.86,10.62,0.0771,3,99.1270604224,9.4585459325,-0.39,0.03,6.0,-0.43,0.02,6.0,-0.47,0.07,6,-0.48,0.01,6.0
"UBC_106",-6.0975,1.033,0.001,0.0912,6.18,6.9,-0.1059,0,280.4921477103,-5.4171354914,"nan","nan","nan","nan","nan","nan",-0.05,0.03,5,"nan","nan","nan"
"UBC_108",-6.7967,0.6972,-0.015,0.3311,6.83,6.42,0.1424,0,281.5966257367,-5.1797674969,"nan","nan","nan","nan","nan","nan",0.16,0.08,6,"nan","nan","nan"
"UBC_1183",-9.1572,2.3679,0.0529,0.1349,9.46,11.16,-0.0998,0,352.6535399859,62.0546120754,-0.17,0.03,3.0,-0.15,0.01,3.0,-0.16,0.06,3,-0.17,0.01,3.0
"UBC_1195",-9.6491,2.9217,-0.2339,0.2188,10.08,10.05,-0.2273,0,2.7723619838,57.967272144,-0.11,0.09,3.0,-0.12,0.07,3.0,-0.17,0.1,3,-0.2,0.05,3.0
"UBC_1270",-10.9025,0.851,0.0865,0.1445,10.94,11.42,0.1654,0,75.6311180166,43.6542648419,"nan","nan","nan","nan","nan","nan",-0.5,0.02,2,"nan","nan","nan"
"UBC_1282",-10.7887,0.3221,-0.1002,0.263,10.79,11.41,-0.2933,0,79.3354910121,33.2031737272,"nan","nan","nan","nan","nan","nan",-0.24,0.07,3,"nan","nan","nan"
"UBC_1289",-10.1524,0.029,0.0104,0.3236,10.15,9.13,0.1041,0,85.4845181377,29.4015377516,-0.14,0.13,3.0,-0.16,0.1,3.0,-0.23,0.03,3,-0.27,0.01,3.0
"UBC_1312",-11.9047,-0.9873,0.3406,0.1318,11.95,13.02,-0.0221,0,98.4836799881,18.344577247,-0.13,0.06,2.0,-0.22,0.11,2.0,-0.35,0.19,2,-0.35,0.04,2.0
"UBC_1316",-11.0861,-0.8628,0.0085,0.389,11.12,11.13,0.0196,0,94.7322935258,14.6452687737,-0.14,0.04,2.0,-0.14,0.02,2.0,-0.16,0.04,2,-0.17,0.02,2.0
"UBC_17a",-8.4283,-0.1509,-0.0824,0.0046,8.43,8.55,-0.1031,0,84.7757670726,-1.9324353787,-0.24,0.08,8.0,-0.21,0.06,8.0,-0.15,0.12,9,-0.2,0.06,8.0
"UBC_184",-8.963,1.4961,-0.0737,0.6607,9.09,8.85,0.0532,0,5.7826964735,59.4494821189,0.08,0.08,4.0,0.06,0.06,4.0,0.0,0.05,4,0.0,0.04,4.0
"UBC_188",-9.8775,1.9776,-0.3458,0.0363,10.07,10.17,0.1775,0,27.498423657,53.895288226,-0.2,0.01,2.0,-0.2,0.0,2.0,-0.22,0.14,2,-0.23,0.02,2.0
"UBC_199",-9.2104,0.1376,-0.284,0.6166,9.21,8.75,-0.2164,0,67.4365942241,25.418869905,-0.1,0.11,6.0,-0.16,0.06,6.0,-0.2,0.1,7,-0.24,0.06,6.0
"UBC_4",-8.6603,0.1842,-0.1068,0.2042,8.66,8.99,0.038,0,60.6582030968,35.5611804369,-0.17,0.02,2.0,-0.19,0.0,2.0,-0.2,0.14,2,-0.22,0.01,2.0
"UBC_427",-10.6172,1.0522,0.1442,0.4677,10.67,9.09,-0.006,0,71.7947019094,49.0270778102,"nan","nan","nan","nan","nan","nan",-0.11,0.07,3,"nan","nan","nan"
"UBC_52",-10.0321,1.0286,0.0813,0.7586,10.08,9.74,-0.0524,0,64.7927365425,52.3315324805,0.0,0.18,3.0,-0.03,0.08,3.0,-0.07,0.06,3,-0.13,0.06,3.0
"UBC_6",-8.4798,1.3169,-0.1631,0.955,8.58,8.33,0.1068,0,344.0718521602,51.1449070466,-0.17,0.08,2.0,-0.17,0.05,2.0,-0.2,0.1,2,-0.22,0.02,2.0
"UPK_136",-8.1086,0.6383,-0.0434,0.1349,8.13,8.46,0.0748,0,322.6094435661,43.4169766512,-0.02,0.13,2.0,-0.07,0.06,2.0,-0.05,0.2,2,-0.08,0.04,2.0
"UPK_168",-8.2371,0.5573,-0.1293,0.0282,8.26,8.47,0.046,0,344.037599427,43.2464258774,-0.08,0.06,4.0,-0.1,0.02,4.0,-0.11,0.08,4,-0.11,0.03,4.0
"UPK_287",-8.577,0.4424,0.164,0.1622,8.59,8.69,-0.186,0,55.1504631198,71.1130689331,-0.11,0.02,3.0,-0.13,0.07,3.0,-0.23,0.23,3,-0.38,0.18,3.0
"UPK_300",-8.8559,0.5445,0.0958,0.0631,8.87,9.39,0.0077,0,57.4076283801,60.1463078952,-0.01,0.13,3.0,-0.01,0.07,3.0,-0.11,0.11,3,-0.17,0.06,3.0
"UPK_303",-8.2829,0.1204,-0.044,0.1122,8.28,7.9,0.046,0,38.6307494418,40.8072313316,-0.1,0.07,9.0,-0.11,0.05,9.0,-0.04,0.08,11,-0.08,0.02,9.0
"UPK_325",-8.7856,0.328,0.0337,0.0355,8.79,9.47,0.001,0,66.3697105664,50.495137079,-0.05,0.06,3.0,-0.11,0.04,3.0,-0.17,0.07,3,-0.16,0.04,3.0
"UPK_350",-8.5168,0.0864,0.1628,0.1995,8.52,8.76,0.1799,0,101.7475183603,48.3321679618,-0.08,0.06,2.0,-0.11,0.06,2.0,-0.12,0.02,2,-0.16,0.02,2.0
"UPK_369",-8.8435,0.032,0.0052,0.1349,8.84,8.14,-0.019,0,83.5047727932,30.3514942363,-0.08,0.15,2.0,-0.06,0.17,2.0,-0.08,0.03,2,-0.11,0.02,2.0
"UPK_422",-8.3571,-0.1516,-0.0619,0.0148,8.36,8.56,-0.0734,0,87.9638402234,-7.3900795737,-0.12,0.04,10.0,-0.15,0.03,10.0,-0.1,0.06,10,-0.14,0.02,10.0
"UPK_88",-7.9974,0.2533,-0.0409,0.0724,8.0,8.53,-0.0991,0,309.3172392916,20.4295743993,-0.15,0.01,3.0,-0.14,0.01,3.0,-0.07,0.11,3,-0.12,0.01,3.0
"XDOCC_02, XDOCC_2",-9.363,0.1219,0.0484,0.0347,9.36,9.54,-0.0454,0,84.032954408,34.291215852,0.01,0.02,2.0,0.0,0.03,2.0,-0.01,0.08,2,-0.12,0.07,2.0
