"Cl","Ns","Age","e_Age","f_Age","RAdeg","e_RAdeg","DEdeg","e_DEdeg","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","Nred","E(Bp-Rp)","e_E(Bp-Rp)","Nwd","e_Nwd","f_Nwd","GC20","Nt1","Nt4"
"Lynga 14",76.0,"nan","nan","nan",253.748,0.111,-45.238,0.105,-0.355,0.27,-1.926,0.248,0.336,0.243,32.0,0.958,0.047,"nan","nan","#",1,0,0
"M39",85.0,398.0,190.0,"H",322.977,0.826,48.296,0.701,-7.554,0.406,-19.73,0.421,3.356,0.137,65.0,0.044,0.008,8.1,4.1,"nan",1,1,0
"M44",220.0,600.0,100.0,"CG",130.079,0.545,19.657,0.539,-36.141,1.072,-12.843,0.935,5.327,0.39,174.0,0.119,0.009,27.8,4.2,"nan",1,11,0
"M47",407.0,150.0,20.0,"CG",114.162,0.381,-14.495,0.382,-7.064,0.277,0.958,0.25,2.072,0.222,291.0,0.149,0.006,16.5,2.54,"nan",1,1,10
"Mamajek 2","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Markarian 38","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Mayer 1","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Melotte 227","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"NGC 133","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"NGC 189",50.0,398.0,190.0,"H",9.872,0.134,61.097,0.111,0.357,0.215,-3.265,0.205,0.772,0.114,10.0,0.727,0.071,18.0,37.5,"nan",1,0,0
"NGC 225",69.0,288.0,138.0,"H",10.991,0.43,61.817,0.198,-5.313,0.23,-0.114,0.21,1.434,0.128,32.0,0.391,0.022,5.1,2.3,"nan",1,0,0
"NGC 559",524.0,"nan","nan","nan",22.39,0.155,63.3,0.112,-4.262,0.165,0.254,0.18,0.32,0.122,58.0,0.804,0.036,"nan","nan","#",1,0,0
"NGC 1027",433.0,195.0,93.0,"H",40.69,0.374,61.608,0.276,-1.729,0.228,2.094,0.257,0.877,0.123,135.0,0.497,0.01,22.9,12.0,"nan",1,0,0
"NGC 1039",434.0,132.0,63.0,"H",40.518,0.539,42.712,0.46,0.732,0.287,-5.705,0.336,1.95,0.179,306.0,0.132,0.006,10.6,6.1,"nan",1,0,0
"NGC 1342",293.0,600.0,50.0,"CG",52.939,0.255,37.374,0.21,0.546,0.254,-1.609,0.253,1.504,0.13,127.0,0.434,0.017,37.7,4.7,"nan",1,0,0
"NGC 1444",61.0,10.0,5.0,"H",57.318,0.199,52.659,0.118,-0.72,0.375,-1.809,0.35,0.857,0.168,13.0,0.963,0.081,0.0,0.34,"nan",1,0,0
"NGC 1502",136.0,11.0,5.0,"H",61.961,0.153,62.328,0.115,-0.562,0.323,-0.812,0.304,0.908,0.198,41.0,1.127,0.05,0.0,0.86,"nan",1,0,0
"NGC 1513",361.0,200.0,100.0,"CG",62.476,0.164,49.504,0.133,1.307,0.224,-3.652,0.216,0.645,0.116,59.0,0.99,0.03,43.1,26.5,"nan",1,0,0
"NGC 1528",339.0,295.0,141.0,"H",63.888,0.321,51.213,0.235,2.165,0.217,-2.232,0.209,0.95,0.129,139.0,0.412,0.011,35.1,17.1,"nan",1,0,0
"NGC 1545",143.0,110.0,53.0,"H",65.193,0.417,50.23,0.355,-1.964,0.204,-0.112,0.199,1.356,0.134,64.0,0.45,0.014,3.3,2.0,"nan",1,0,0
