"Name","RAJ2000","DEJ2000","Rc","e_Rc","Type","Nm","pmRA*","pmDE"
"Graham 1",164.13333,-63.01778,2.3,0.1,"B",81,-6.536,2.048
"NGC 3496",164.9,-60.33667,8.15,4.15,"B",581,-7.391,2.72
"NGC 3590",168.24583,-60.78833,2.65,0.65,"A",160,-6.193,0.976
"Hogg 12",168.25417,-60.78333,1.9,0.2,"A",106,-6.234,1.005
"IC 2714",169.3625,-62.73333,12.0,3.0,"A",810,-7.651,2.617
"Melotte 105",169.925,-63.48333,7.05,1.15,"A",829,-6.689,2.218
"VDBH 118, BH 118",170.7625,-58.55,2.1,0.4,"A",188,-4.322,1.25
"SAI 116",177.325,-62.22972,1.9,0.9,"B",236,-7.792,1.444
"NGC 4052",180.25833,-63.225,8.65,2.55,"A",129,-6.809,0.064
"Juchert 13",180.42083,-64.1,3.1,0.7,"A",201,-8.185,0.328
"Ruprecht 100",181.47083,-62.61667,3.45,0.85,"A",111,-8.226,1.101
"NGC 4103",181.66667,-61.25,6.5,2.2,"B",515,-6.141,0.115
"Ruprecht 101",182.40833,-62.98333,6.0,1.0,"A",239,-9.388,0.404
"Stock 15",182.625,-59.48333,4.0,2.0,"B",60,-6.068,-0.892
"ESO 130 13",185.825,-59.66,5.25,1.45,"B",146,-4.419,-0.37
"NGC 4349",186.03333,-61.87167,6.15,2.05,"B",503,-7.828,-0.292
"NGC 4463",187.48333,-64.79,2.5,1.2,"B",96,-5.308,-0.412
"Collinder 261",189.4875,-68.36667,10.8,1.3,"A",2527,-6.32,-2.721
"Trumpler 20",189.87917,-60.63333,8.5,0.5,"A",920,-7.118,0.251
"NGC 4609",190.575,-62.995,6.5,0.5,"A",208,-4.879,-1.059
"Hogg 15",190.90417,-63.1,4.6,1.0,"B",444,-5.854,-0.404
"NGC 4755",193.4125,-60.36167,4.3,0.5,"A",543,-4.658,-1.263
"NGC 4852",195.0375,-59.61333,4.8,2.9,"B",106,-8.13,-1.157
"Collinder 268",199.55417,-67.08333,6.4,0.5,"A",333,-5.662,-0.462
"Ruprecht 107",199.94167,-64.95,2.5,0.3,"B",114,-5.978,-1.654
"FSR 1651",201.35833,-58.97222,1.4,0.1,"B",118,-7.365,-1.284
"Basel 18",201.93333,-62.31278,2.35,0.85,"B",78,-5.079,-2.008
"Collinder 272",202.60833,-61.31667,7.15,1.45,"B",254,-3.479,-1.77
"NGC 5168",202.775,-60.94,3.25,1.25,"B",220,-4.04,-1.43
"Pismis 18",204.22917,-62.09333,3.3,0.9,"A",228,-5.66,-2.336
"SAI 118",205.76667,-63.16472,3.65,2.65,"B",107,-4.302,-2.241
"NGC 5288",207.18333,-64.685,1.65,0.65,"B",88,-3.837,-2.005
"Lynga 1",210.00833,-62.15,2.4,0.4,"B",48,-5.167,-2.145
"NGC 5381",210.17083,-59.58667,9.5,2.5,"A",564,-6.161,-2.888
"Lynga 2",216.14583,-61.33056,9.0,3.0,"B",107,-6.665,-4.559
"NGC 5606",216.94583,-59.63167,2.6,0.4,"B",53,-4.886,-3.209
"Turner 7",218.1375,-56.88667,4.0,2.0,"B",26,-5.875,-2.567
"NGC 5715",220.875,-57.57694,4.85,1.15,"B",183,-3.376,-2.154
"NGC 5764",223.38333,-52.67,2.6,0.9,"A",101,-6.484,-4.516
"Ruprecht 112",224.20833,-62.55,8.15,1.45,"A",416,-4.548,-4.243
"NGC 5823",226.375,-55.60333,10.5,0.5,"A",449,-3.788,-2.504
"Pismis 20",228.84583,-59.06667,1.55,0.55,"B",100,-3.684,-2.714
"Pismis 21",229.20417,-59.66667,3.6,0.9,"B",233,-4.186,-3.673
"Lynga 5",235.475,-56.65,7.65,2.85,"A",306,-3.652,-3.513
"Majaess 166",238.3375,-55.24778,1.9,0.2,"B",43,-2.692,-2.812
"NGC 6005",238.95,-57.43667,6.4,0.5,"A",557,-4.079,-3.76
"Trumpler 23",240.20417,-53.53611,7.05,1.15,"A",773,-4.012,-4.929
"Lynga 6",241.21667,-51.93333,6.4,1.4,"B",231,-1.836,-2.78
