"ID","n_ID","GLON","e_GLON","GLAT","e_GLAT","rmax","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","nTot","Age","e_Age","Z","Class","K13","CG18","B19","G","_RA.icrs","_DE.icrs"
"FoF_645","nan",350.977,0.092,15.971,0.091,0.523,0.536,0.165,-12.496,0.554,-18.991,0.498,8961,12.9,0.774,-1.75,1,"1930","nan","10371",0,245.9007,-26.5236
"FoF_646","nan",355.05,0.068,12.443,0.078,0.279,0.574,0.039,2.77,0.207,-2.658,0.195,85,2.63,0.1578,0.5,1,"1985","nan","10733",0,251.7465,-25.8106
"FoF_647","nan",3.375,0.031,23.014,0.03,0.132,0.273,0.05,-1.966,0.311,-5.907,0.226,147,12.9,0.774,-2.0,1,"1951","nan","235",0,248.1309,-13.0504
"FoF_648","nan",15.14,0.056,23.076,0.052,0.252,0.336,0.108,-4.76,0.407,-6.489,0.42,816,12.9,0.774,-2.0,2,"2013","nan","762",0,254.2891,-4.098
"FoF_649","nan",18.409,0.057,16.042,0.063,0.234,0.259,0.037,-0.397,0.209,-5.134,0.206,316,2.63,0.1578,-1.25,1,"2090","nan","900",0,261.929,-5.0763
"FoF_650","nan",21.321,0.033,14.803,0.036,0.166,0.306,0.074,-3.677,0.362,-4.901,0.342,254,1.18,0.0708,-2.0,1,"2126","nan","997",0,264.4005,-3.249
"FoF_651,NGC_188","nan",122.834,0.143,22.374,0.123,0.635,0.508,0.054,-2.308,0.207,-0.95,0.2,863,4.37,0.2622,0.25,1,"59","689","3726",0,11.7671,85.2449
"FoF_652,Berkeley_8","nan",127.355,0.063,13.202,0.066,0.284,0.277,0.051,2.656,0.166,0.467,0.16,186,1.66,0.0996,-0.25,1,"132","190","3837",0,30.2757,75.4721
"FoF_653,NGC_2112","nan",205.89,0.212,-12.601,0.154,0.864,0.884,0.071,-2.703,0.274,4.279,0.268,714,0.004,0.0002,0.5,3,"494","698","5566",0,88.4576,0.4012
"FoF_654,NGC_1193","nan",146.813,0.062,-12.182,0.043,0.206,0.261,0.032,0.043,0.478,-0.388,0.459,70,1.07,0.0642,-2.0,3,"197","659","4263",0,46.4706,44.3668
"FoF_655,Ruprecht_1","nan",223.949,0.126,-9.717,0.085,0.396,0.64,0.043,-0.305,0.171,-0.867,0.227,117,0.576,0.0346,0.5,1,"661","1013","6148",0,99.0557,-14.1582
"FoF_656","nan",349.288,0.022,-11.186,0.027,0.079,0.332,0.037,0.332,0.396,-8.675,0.292,88,1.12,0.0672,-2.0,3,"2249","nan","10273",0,272.0083,-43.7122
"FoF_657","nan",1.725,0.015,-10.273,0.018,0.057,0.265,0.038,-5.104,0.381,-5.617,0.372,50,0.005,0.0003,0.25,3,"2338","nan","154",0,277.8512,-32.3478
"FoF_658","n",212.509,0.13,-8.331,0.053,0.534,0.67,0.032,-1.495,0.214,1.579,0.238,85,0.55,0.033,0.5,1,"nan","nan","nan",0,95.2444,-3.415
"FoF_659","nan",225.117,0.143,-6.245,0.06,0.327,0.266,0.025,-0.381,0.415,1.208,0.473,75,0.871,0.0523,-1.75,3,"nan","nan","nan",0,102.7923,-13.6705
"FoF_660","nan",235.803,0.1,-6.002,0.061,0.26,0.247,0.021,-0.924,0.432,2.025,0.662,86,0.891,0.0535,0.5,3,"nan","nan","nan",0,108.047,-23.0594
"FoF_661","nan",231.357,0.095,-7.161,0.062,0.206,0.251,0.026,-0.449,0.366,1.87,0.498,50,1.05,0.063,-2.0,3,"nan","nan","nan",0,104.8096,-19.6298
"FoF_662,NGC_2354","nan",238.398,0.147,-6.853,0.089,0.694,0.749,0.031,-2.889,0.202,1.839,0.244,238,1.18,0.0708,0.25,1,"853","738","6528",1,108.4958,-25.7439
"FoF_663","nan",240.507,0.08,-6.348,0.108,0.219,0.271,0.023,-1.057,0.467,1.991,0.537,69,11.8,0.708,-1.75,3,"nan","nan","nan",0,110.0652,-27.3791
"FoF_664","nan",240.42,0.097,-6.237,0.056,0.19,0.233,0.014,-0.899,0.323,2.05,0.377,60,0.004,0.0002,-0.25,3,"nan","nan","nan",0,110.1315,-27.2513
"FoF_665","nan",238.942,0.078,-6.913,0.037,0.252,0.248,0.018,-1.954,0.287,2.761,0.317,53,0.661,0.0397,0.5,3,"nan","nan","nan",0,108.708,-26.2527
"FoF_666,Ruprecht_84","nan",285.349,0.095,-8.836,0.033,0.312,0.493,0.031,-6.941,0.233,3.993,0.172,65,0.513,0.0308,0.0,1,"1347","1089","nan",0,147.3085,-65.2827
"FoF_667","nan",303.606,0.022,-8.017,0.03,0.129,0.395,0.04,-8.277,0.409,-0.799,0.411,88,1.05,0.063,-2.0,3,"1656","nan","8481",0,194.8975,-70.8781
"FoF_668","nan",105.169,0.129,-7.668,0.095,0.398,0.693,0.026,-4.672,0.201,-4.92,0.234,167,0.912,0.0547,0.5,1,"nan","nan","3219",0,344.0217,51.1817
"FoF_669,NGC_744","nan",132.411,0.089,-6.145,0.073,0.305,0.729,0.037,-1.872,0.216,-1.763,0.241,145,0.479,0.0287,-0.5,1,"128","960","3945",0,29.6564,55.4853
"FoF_670,Ruprecht_4","nan",222.042,0.07,-5.32,0.034,0.254,0.248,0.024,-0.184,0.158,0.136,0.252,51,0.977,0.0586,-0.75,3,"713","1064","6091",0,102.2399,-10.5203
"FoF_671,NGC_2362","nan",238.155,0.116,-5.541,0.064,0.366,0.748,0.056,-2.769,0.24,2.952,0.212,194,0.008,0.0005,0.5,1,"875","742","6519",1,109.6659,-24.9306
"FoF_672","nan",241.945,0.084,-5.145,0.042,0.199,0.237,0.014,-1.469,0.499,2.595,0.779,60,0.676,0.0406,0.5,3,"nan","nan","nan",0,112.0201,-28.0865
"FoF_673","nan",240.517,0.097,-6.226,0.051,0.225,0.253,0.023,-0.854,0.335,1.902,0.389,54,0.275,0.0165,-2.0,3,"nan","nan","nan",0,110.1924,-27.3319
"FoF_674","nan",265.131,0.108,-4.722,0.035,0.204,0.231,0.012,-3.086,0.648,3.58,0.785,59,1.29,0.0774,0.5,3,"nan","nan","nan",0,127.9339,-47.5928
"FoF_675,IC_2488","nan",277.801,0.126,-4.441,0.116,0.425,0.729,0.038,-7.758,0.236,5.689,0.23,350,0.105,0.0063,0.25,1,"1304","562","7538",1,141.8426,-56.9958
"FoF_676","nan",282.72,0.034,-4.383,0.03,0.1,0.294,0.025,-5.908,0.227,5.185,0.2,52,3.98,0.2388,0.25,3,"nan","nan","nan",0,149.0128,-60.1796
"FoF_677","nan",353.531,0.027,-5.014,0.023,0.078,0.259,0.024,-2.594,0.353,-5.092,0.321,68,0.045,0.0027,-2.0,3,"2175","nan","10653",0,267.5625,-37.0567
"FoF_678","nan",7.797,0.018,-5.576,0.025,0.07,0.252,0.027,-0.418,0.35,-8.799,0.294,92,1.26,0.0756,-2.0,1,"2320","nan","432",0,276.1319,-24.8687
"FoF_679,NGC_7296","nan",101.868,0.037,-4.582,0.031,0.146,0.397,0.047,-3.002,0.273,-2.741,0.24,114,0.589,0.0353,-0.25,1,"2882","955","3141",0,336.9779,52.3201
"FoF_680,Stock_21","nan",120.136,0.079,-4.82,0.046,0.334,0.502,0.036,-2.154,0.235,-1.778,0.21,93,0.479,0.0287,0.0,1,"41","1137","3646",1,7.6059,57.9376
"FoF_681,FSR_0942","nan",195.576,0.062,-3.591,0.033,0.242,0.3,0.047,-0.346,0.231,0.084,0.242,97,1.1,0.066,0.5,1,"522","387","5338",0,91.4929,13.6746
"FoF_682,FSR_0968","nan",197.816,0.091,-3.292,0.045,0.317,0.364,0.031,-0.294,0.207,-1.101,0.275,67,0.004,0.0002,0.5,3,"555","391","5411",0,92.8667,11.8598
"FoF_683,Haffner_4","nan",227.934,0.065,-3.631,0.02,0.257,0.274,0.042,-0.302,0.203,0.907,0.297,68,0.263,0.0158,0.25,3,"806","533","6264",0,106.5059,-14.9984
"FoF_684,Haffner_23","nan",229.996,0.103,-3.718,0.073,0.316,0.457,0.029,-0.531,0.252,-0.074,0.221,95,0.457,0.0274,0.25,1,"836","530","6295",0,107.4032,-16.8686
"FoF_685","nan",234.156,0.089,-3.904,0.037,0.236,0.296,0.019,-0.527,0.287,1.104,0.269,63,0.955,0.0573,0.0,3,"nan","nan","nan",0,109.246,-20.6396
"FoF_686,Ruprecht_28","nan",245.627,0.059,-4.305,0.045,0.16,0.242,0.019,-2.501,0.337,3.578,0.518,90,0.692,0.0415,0.5,1,"983","1056","6715",0,114.8877,-30.905
"FoF_687","nan",245.552,0.115,-3.07,0.035,0.258,0.234,0.012,-1.907,0.54,3.05,0.559,65,0.576,0.0346,0.5,3,"nan","nan","nan",0,116.0931,-30.2315
"FoF_688","nan",245.72,0.11,-3.327,0.037,0.29,0.267,0.02,-2.183,0.404,3.183,0.692,62,0.513,0.0308,0.25,3,"nan","nan","nan",0,115.9311,-30.5047
"FoF_689","nan",244.49,0.074,-3.028,0.05,0.185,0.253,0.014,-1.734,0.476,2.199,0.585,50,0.576,0.0346,0.25,3,"996","nan","nan",0,115.5297,-29.2895
"FoF_690","nan",253.504,0.226,-2.844,0.058,0.555,0.255,0.019,-2.476,0.5,3.088,0.64,161,0.617,0.037,0.5,3,"nan","nan","nan",0,121.2377,-36.9246
"FoF_691","nan",258.84,0.176,-4.6,0.023,0.393,0.242,0.02,-2.822,0.637,3.682,0.609,50,1.29,0.0774,0.5,3,"nan","nan","nan",0,123.051,-42.355
"FoF_692","nan",263.498,0.114,-2.907,0.043,0.293,0.265,0.035,-3.169,0.627,3.632,0.594,117,0.676,0.0406,0.5,3,"nan","nan","nan",0,128.6541,-45.2048
"FoF_693","nan",264.536,0.093,-3.214,0.045,0.241,0.234,0.012,-3.021,0.647,3.561,0.549,73,1.15,0.069,0.25,3,"nan","nan","nan",0,129.1916,-46.2186
"FoF_694,NGC_2670","nan",267.481,0.128,-3.622,0.078,0.447,0.653,0.037,-5.392,0.209,3.606,0.215,188,0.063,0.0038,0.5,1,"1220","789","7268",1,131.3745,-48.7947
"FoF_695","nan",266.363,0.16,-2.952,0.048,0.279,0.258,0.02,-3.297,0.406,3.616,0.472,75,0.017,0.001,0.5,3,"1215","nan","7233",0,131.1241,-47.5036
