"Cluster","Age","Rgc","Av","RAJ2000","DEJ2000","[Fe/H]","e_[Fe/H]","[Mg/Fe]","e_[Mg/Fe]","[Si/Fe]","e_[Si/Fe]","[S/Fe]","e_[S/Fe]","[Ca/Fe]","e_[Ca/Fe]","[F/Fe]","e_[F/Fe]","[Na/Fe]","e_[Na/Fe]","[Al/Fe]","e_[Al/Fe]","[K/Fe]","e_[K/Fe]","[Ti/Fe]","e_[Ti/Fe]","[V/Fe]","e_[V/Fe]","[Cr/Fe]","e_[Cr/Fe]","[Mn/Fe]","e_[Mn/Fe]","[Co/Fe]","e_[Co/Fe]","[Ni/Fe]","e_[Ni/Fe]"
"Gulliver 51",0.36,9.41,1.42,30.3266285,63.7973705,-0.09,0.03,0.09,0.03,0.04,0.02,0.29,0.1,0.15,0.04,"nan","nan",0.02,0.03,0.02,0.02,"nan","nan",-0.03,0.04,0.19,0.19,-0.07,0.04,-0.07,0.04,-0.12,0.03,0.12,0.01
"IC 4756",1.29,7.94,0.29,279.3847,5.314346,-0.05,0.04,0.07,0.03,-0.04,0.03,0.16,0.11,0.01,0.04,"nan","nan",0.14,0.15,-0.03,0.03,0.02,0.14,0.02,0.04,-0.22,0.33,0.02,0.06,-0.01,0.07,-0.1,0.05,0.08,0.03
"King 11",4.47,10.12,2.67,356.91983,68.60843,-0.27,0.05,0.08,0.09,0.07,0.01,0.39,0.13,0.12,0.03,"nan","nan",0.06,0.14,0.02,0.03,-0.05,0.07,-0.06,0.04,0.02,0.28,-0.11,0.08,-0.07,0.03,0.03,0.05,0.13,0.14
"LP 1800, FoF 1800, UBC 170",0.33,8.81,1.25,337.7701561,58.0206903,-0.01,0.02,0.1,0.03,0.05,0.01,0.28,0.02,0.04,0.06,"nan","nan",0.25,0.14,0.06,0.09,0.07,0.13,0.02,0.06,-0.05,0.25,-0.04,0.04,0.12,0.05,-0.1,0.04,0.12,0.1
"NGC 2420",1.74,10.68,0.04,114.56276636,21.5830497562,-0.22,0.04,0.07,0.05,-0.01,0.03,0.29,0.24,0.06,0.03,"nan","nan",-0.22,0.12,-0.06,0.04,-0.06,0.01,0.03,0.03,-0.16,0.16,-0.1,0.05,-0.06,0.05,0.0,0.04,-0.07,0.05
"NGC 2437",0.3,9.35,0.73,115.4037489,-14.8131857,0.0,0.01,0.1,0.01,-0.01,0.03,0.22,0.09,0.09,0.04,"nan","nan",0.06,0.24,0.02,0.04,0.08,0.07,0.03,0.03,-0.17,0.04,-0.03,0.04,-0.04,0.01,-0.15,0.05,0.05,0.07
"NGC 2509",1.51,9.89,0.23,120.1848231,-19.1164873,0.02,0.04,0.08,0.03,0.1,0.08,0.04,0.11,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",-0.18,0.04,0.12,0.16,-0.02,0.05,-0.12,0.05,-0.04,0.04,-0.18,0.05
"NGC 2548",0.4,8.86,0.15,123.4184804,-5.7736937,0.01,0.04,0.08,0.03,-0.04,0.02,0.24,0.07,0.09,0.03,"nan","nan",0.14,0.12,-0.04,0.07,-0.02,0.14,-0.03,0.06,-0.35,0.01,0.0,0.01,-0.04,0.01,-0.15,0.01,0.14,0.01
"NGC 2632, Praesepe",0.68,8.48,0.0,129.961156,19.5407524,0.18,0.01,0.12,0.03,-0.09,0.03,0.09,0.05,0.07,0.02,"nan","nan",0.16,0.12,-0.05,0.04,-0.03,0.14,0.0,0.04,-0.04,0.04,-0.02,0.04,-0.06,0.05,-0.1,0.07,0.05,0.05
"NGC 2682",4.27,8.96,0.07,132.95918,11.768589,0.01,0.05,0.13,0.03,-0.07,0.04,0.26,0.23,-0.01,0.04,"nan","nan",0.02,0.13,0.0,0.03,-0.07,0.05,-0.1,0.01,0.16,0.07,0.06,0.09,-0.01,0.05,-0.13,0.01,0.11,0.14
