"Cluster","Age","Mc","Mdotc","Lwc","k","Mmin*","Mmax*","_RA","_DE"
"NGC_2264",27.5,291.5,3.4e-09,6.300000000000001e+33,4316.0,1.03,4.22,100.217,9.877
"NGC_2362",5.8,591.7,1.6e-07,4.3e+35,7868.7,1.14,5.29,109.671,-24.954
"NGC_2367",14.1,194.0,6.9e-09,1.4999999999999999e+34,2751.6,1.53,7.33,110.031,-21.867
"NGC_2414",17.8,1242.5,3.5e-08,7.2e+34,17786.3,2.2,6.35,113.293,-15.449
"NGC_2439",11.7,2711.8,1.8e-07,4.2e+35,37625.5,1.42,17.13,115.194,-31.694
"NGC_2453",25.1,720.1,1e-08,1.8999999999999998e+34,10585.0,1.8,13.74,116.894,-27.194
"NGC_2571",26.9,460.0,5.6e-09,1e+34,6798.4,0.99,5.82,124.723,-29.775
"NGC_2645",25.7,196.1,2.6e-09,5e+33,2887.3,1.49,6.19,129.774,-46.235
"NGC_3105",21.9,909.0,1.7e-08,3.3e+34,13220.9,2.94,11.39,150.169,-54.79
"NGC_3293",10.2,2051.5,1.9e-07,4.5e+35,28173.4,1.52,14.35,158.97,-58.231
"NGC_3324",10.7,443.5,3.7e-08,8.7e+34,6112.1,2.76,10.42,159.341,-58.615
"NGC_3572",4.8,542.8,1.3e-07,3.2999999999999998e+35,7249.3,1.51,7.38,167.64,-60.294
"NGC_3590",26.3,906.5,1.2e-08,2.1999999999999998e+34,13372.3,1.48,10.7,168.262,-60.79
"NGC_3603",1.0,4808.4,7.2e-05,4.6e+37,59700.4,3.09,13.31,168.795,-61.259
"NGC_366",25.7,1024.4,1.4e-08,2.6e+34,15085.4,1.83,8.43,16.624,62.219
"NGC_3766",22.9,2427.6,4.1e-08,7.9e+34,35431.2,1.36,14.35,174.061,-61.616
"NGC_4103",20.9,1483.2,3e-08,5.999999999999999e+34,21495.8,1.39,12.33,181.628,-61.245
"NGC_4463",28.8,304.5,3.2e-09,6e+33,4524.3,1.37,13.22,187.466,-64.8
"NGC_457",20.9,2938.2,5.9e-08,1.1999999999999999e+35,42582.2,1.37,14.66,19.887,58.278
"NGC_4755",12.0,3290.4,2.1e-07,4.7999999999999996e+35,45732.7,1.41,12.13,193.415,-60.371
"NGC_5606",18.2,307.6,8.2e-09,1.7e+34,4411.5,1.8,6.8,216.946,-59.632
"NGC_581",27.5,725.0,8.4e-09,1.6e+34,10734.0,2.29,12.97,23.339,60.659
"NGC_6178",16.6,176.3,5.1e-09,1.0999999999999999e+34,2520.7,1.49,4.65,248.939,-45.635
"NGC_6193",5.1,1733.4,9.2e-07,2.5999999999999998e+36,22626.8,1.31,8.12,250.319,-48.777
"NGC_6231",13.8,3198.8,3.8e-05,4.2e+37,44922.7,1.64,12.58,253.545,-41.812
"NGC_6249",20.4,336.9,7.1e-09,1.3999999999999998e+34,4874.4,1.34,3.66,254.445,-44.815
"NGC_6250",24.0,293.6,4.5e-09,8.7e+33,4301.0,1.21,5.51,254.497,-45.951
"NGC_6318",9.8,2205.2,2.3e-07,5.5e+35,30181.0,2.67,7.37,259.044,-39.424
"NGC_6322",14.8,325.4,1.3e-08,2.8999999999999997e+34,4593.8,1.5,7.7,259.625,-42.937
"NGC_6357",1.0,1387.8,1.3e-06,4.2e+36,17800.2,3.61,11.86,261.185,-34.203
"NGC_6383",4.0,724.0,2.8e-07,7.7e+35,9534.7,1.24,5.51,263.673,-32.573
"NGC_6396",15.1,899.1,3.5e-08,7.5e+34,12714.7,2.84,6.16,264.399,-35.013
"NGC_6451",25.7,1633.0,2.2e-08,4.1e+34,24046.7,2.86,9.63,267.675,-30.206
"NGC_6531",12.9,670.0,3.7e-08,8.299999999999999e+34,9359.9,1.27,5.61,271.036,-22.505
"NGC_654",9.8,2547.7,2.6e-07,6.3e+35,34868.0,1.67,13.97,26.008,61.883
"NGC_6561",18.6,297.8,7.6e-09,1.4999999999999999e+34,4278.3,1.39,6.22,272.659,-16.74
"NGC_659",15.5,1486.7,5.5e-08,1.1999999999999999e+35,21061.4,2.83,7.58,26.108,60.679
"NGC_6611",2.1,1697.0,2e-06,6.3e+36,21637.2,2.28,8.58,274.688,-13.792
"NGC_6613",18.2,130.7,2e-09,3.9e+33,1913.7,1.41,4.24,274.989,-17.089
"NGC_663",29.5,3820.9,3.9e-08,7.1e+34,56872.5,2.63,13.39,26.586,61.212
"NGC_6823",2.4,1369.6,1.3e-06,4.1e+36,17574.7,2.19,7.03,295.794,23.321
"NGC_6834",19.1,1733.4,4.2e-08,8.6e+34,24945.5,1.84,12.87,298.052,29.399
"NGC_6871",5.5,2822.3,1.2e-06,3.5e+36,37026.6,1.63,10.75,301.548,35.765
"NGC_6910",13.5,1193.8,6e-08,1.2999999999999998e+35,16736.5,2.4,10.93,305.797,40.771
"NGC_6913",21.9,686.9,1.3e-08,2.5e+34,9990.0,2.15,6.35,305.943,38.487
"NGC_7039",21.9,215.2,4e-09,7.8e+33,3129.6,1.07,5.12,317.663,45.597
"NGC_7067",6.2,822.1,2.7e-07,7.3e+35,10876.5,2.94,9.51,321.058,48.012
"NGC_7128",26.3,1236.5,1.6e-08,2.9999999999999997e+34,18240.8,2.38,13.43,325.991,53.715
"NGC_7129",21.4,95.6,7.6e-10,1.4e+33,1436.9,1.61,2.6,325.74,66.114
"NGC_7160",14.5,211.8,9e-09,2e+34,2986.1,1.51,5.82,328.448,62.589
"NGC_7235",9.3,1551.8,1.8e-07,4.3e+35,21165.0,2.36,15.22,333.083,57.271
"NGC_7261",11.2,706.7,5.3e-08,1.1999999999999999e+35,9772.1,2.5,9.54,335.056,58.128
"NGC_7380",4.2,810.7,3.7e-07,1.1e+36,10622.2,2.2,8.85,341.817,58.125
"NGC_7510",19.5,2567.7,6e-08,1.1999999999999999e+35,37016.4,1.9,12.33,347.767,60.579
"NGC_7788",17.4,941.2,2.8e-08,5.7e+34,13450.3,1.49,5.75,359.179,61.395
"NGC_869",15.1,3678.7,1.4e-07,3.1e+35,52022.7,2.31,14.41,34.741,57.134
"NGC_884",17.8,2293.3,6.4e-08,1.2999999999999998e+35,32828.8,2.31,7.91,35.584,57.149
"Negueruela_1",17.0,421.7,1.3e-08,2.7e+34,6015.2,2.08,14.98,356.849,63.219
"Patchick_94",3.5,3692.3,4.7e-06,1.5e+37,46930.1,4.84,5.19,247.39875,-47.31056
"Pismis_1",29.5,540.1,5.5e-09,1e+34,8039.5,1.91,5.38,124.58,-37.102
"Pismis_11",3.3,590.5,1.6e-07,4.3e+35,7852.2,2.64,8.19,138.97083,-50.01667
"Pismis_17",25.1,143.3,2e-09,3.8e+33,2106.2,1.57,2.92,165.377,-59.873
"Pismis_27",5.4,212.4,9.2e-09,2e+34,2992.5,1.67,5.89,92.719,20.617
"Pismis_5",10.0,276.1,1.9e-08,4.3e+34,3830.4,1.78,6.22,129.407,-39.603
"Pismis_Moreno_1",8.9,162.2,4e-09,8.1e+33,2333.4,1.28,7.52,334.695,63.251
"Pozzo_1",9.5,342.7,3.5e-08,8.2e+34,4693.5,0.42,5.91,122.374,-47.335
"RSG_8",26.9,204.6,2.5e-09,4.7000000000000004e+33,3023.1,0.82,5.78,344.983,59.371
"Riddle_4",26.9,392.1,4.8e-09,9e+33,5794.1,2.2,12.13,31.862,60.26
