"Theia","N*","OName","logAge","Av","String","Width","Height","Length","GLON","GLAT","plx","pmGLON","pmGLAT","RV","X","Y","Z","U","V","W","_RA.icrs","_DE.icrs","dist"
"Theia_4",107,"ASCC_125",6.26727,1.96643,"nan",7.89937,3.97209,"nan",110.309,2.96364,1.156,-28.3326,1.63032,-5.40542,-299.895,810.331,44.7328,29.5002,4.93782,1.40342,344.1429455,62.98534575,865.2
"Theia_5",122,"NGC_7023",6.37036,1.2416,"nan",7.86262,4.11629,"nan",105.285,13.911,2.499,-6.58386,-5.825,-8.73705,-102.387,374.662,96.1987,8.80086,-4.9997,-8.32693,318.0905514,68.88480754,400.14
"Theia_6",86,"nan",6.37515,1.22375,"nan",8.99607,11.6514,"nan",121.643,-1.24906,1.598,-7.22314,1.13173,-5.74988,-328.241,532.645,-13.6417,9.97636,-0.725157,1.39855,10.1497809,61.59556031,625.81
"Theia_7",113,"Taurus",6.5,0.25,"nan",6.58769,2.11816,"nan",172.137,-15.5548,7.362,0.639536,-1.07079,5.38881,-129.632,17.903,-36.4262,-5.0299,0.0690864,-2.61732,67.0770489,25.97017905,135.84
"Theia_8",58,"nan",6.5,0.25,"nan",6.72626,5.74144,"nan",111.099,19.7012,2.325,-3.02097,0.64819,-8.08385,-145.79,377.835,145.016,6.10273,-6.24818,-2.1088,314.7541455,76.85680874,430.17
"Theia_10",66,"nan",6.79999,0.799999,"nan",3.56826,1.37923,"nan",112.138,13.8636,2.894,-6.08959,2.32805,-4.35964,-126.442,310.79,82.8085,7.57328,-2.20354,1.22646,333.4929207,73.34200119,345.59
"Theia_11",75,"LDN_1251",6.79999,0.799999,"nan",2.4437,2.38992,"nan",115.009,14.2834,2.79,-4.04874,0.189082,-5.47722,-146.869,314.829,88.4442,6.12186,-3.18869,-1.18766,341.3725252,75.18193066,358.48
"Theia_12",263,"nan",6.79492,1.42181,"nan",13.6557,13.3258,"nan",31.15,0.387587,1.555,-11.0056,-0.700117,-2.5016,550.353,332.65,4.35025,3.65901,-10.9904,-0.700767,281.7017308,-1.40900395,643.09
"Theia_13",999,"Orion",6.89498,0.199979,"y",29.498,13.4985,176.496,205.343,-18.2406,2.639,-4.82186,2.75791,6.56547,-342.773,-142.513,-109.982,-4.20573,3.17317,2.34927,83.2304288,-1.78199781,387.17
"Theia_15",48,"nan",6.85354,2.10246,"nan",5.2579,6.14504,"nan",216.255,-15.245,1.199,-12.68,-1.37519,"nan",-649.018,-475.964,-219.35,-7.35601,10.6525,-1.34958,90.6441625,-9.76883062,834.19
"Theia_19",129,"nan",6.95752,2.42856,"nan",14.1133,8.26271,"nan",119.313,2.93336,1.331,-8.80825,-2.79572,-19.9222,-367.411,654.383,38.4554,17.9048,-13.1124,-3.93809,4.0962823,65.5585131,751.46
"Theia_23",544,"Serpens",7.08037,1.37433,"y",24.3803,10.37,285.651,28.2003,2.77346,2.295,-8.14188,-5.60862,6.60796,439.337,208.85,13.273,23.5453,-0.178948,-5.60919,278.2284097,-2.93850089,486.63
"Theia_24",14,"nan",7.0,2.0,"nan",1.07648,0.898519,"nan",316.468,21.1649,1.436,-12.9823,13.0888,"nan",470.689,-447.17,251.365,-12.6003,-6.26715,12.4454,209.4044453,-39.96097734,696.2
"Theia_26",534,"NGC_7039",7.0,0.5,"nan",13.0708,10.1446,"nan",88.2337,-1.8636,1.313,-17.851,1.90874,5.80149,23.4697,761.082,-24.7754,18.8273,5.41733,1.80712,318.2128169,45.76613647,761.85
"Theia_29",67,"Chameleon_II",7.10001,2.0,"nan",2.62558,3.18001,"nan",303.455,-14.7117,5.008,-3.45713,-0.33312,-26.494,106.473,-161.141,-50.7115,-17.3856,20.0316,6.53724,195.2113139,-77.57389325,199.69
"Theia_31",78,"nan",7.1,0.5,"nan",2.95121,2.48202,"nan",254.372,2.10776,2.723,-14.5144,8.88287,8.85208,-98.8685,-353.449,13.5076,-16.7188,-4.36839,9.46544,126.9090154,-34.87984801,367.27
"Theia_35",84,"nan",7.17411,0.869163,"nan",9.73717,4.25974,"nan",232.563,-4.62809,2.268,-12.591,-4.78256,8.44358,-267.181,-348.991,-35.58,-15.4675,1.50786,-5.65965,107.7836579,-19.56159272,440.96
"Theia_38",966,"nan",7.10009,1.0,"nan",6.26049,12.4653,"nan",56.2814,3.66219,2.01,-13.6738,-2.70059,11.1233,275.653,413.035,31.7828,18.027,1.82596,-1.98175,290.536691,22.4044193,497.59
"Theia_46",76,"nan",7.2948,1.6611,"nan",17.8202,8.83219,"nan",111.312,2.40671,1.83,-23.2871,2.39527,-11.6524,-198.432,508.632,22.9469,26.8282,-2.42394,1.93964,346.6537266,62.88921622,546.45
"Theia_47",296,"nan",7.25428,1.08174,"nan",13.6783,15.1774,"nan",152.33,1.81076,1.267,-4.25289,-0.508127,-1.33835,-698.471,366.232,24.9329,3.21937,3.22825,-0.547384,65.9168461,52.13001021,789.06
"Theia_48",96,"nan",7.20013,1.36784,"nan",14.7978,10.0389,"nan",80.7261,-2.13311,1.202,-47.8473,0.964535,5.20069,134.002,820.647,-30.9714,51.2995,-2.95621,0.728935,311.7635313,39.92747708,832.09
"Theia_54",60,"nan",7.35196,1.56133,"nan",3.54356,3.37366,"nan",173.688,-7.0018,6.268,3.80437,-2.79325,0.226285,-157.395,17.4111,-19.4486,-0.30837,-3.86159,-2.85985,75.6739502,30.21482125,159.54
"Theia_58",760,"ASCC_47",7.39994,0.199998,"y",68.4221,9.34794,310.15,246.719,-0.250425,1.968,-16.4759,-3.45558,15.4671,-208.845,-461.527,-3.82723,-23.3038,-7.95667,-3.59397,119.5810774,-29.79630252,506.59
"Theia_65",34,"nan",7.42099,0.348165,"nan",4.35397,3.26534,"nan",183.719,-4.74396,9.27,6.80887,-1.65778,-13.4159,-107.275,-6.97221,-8.9213,14.2231,-5.91195,-0.509819,84.102188,23.27627125,107.87
"Theia_66",40,"nan",7.43927,0.225582,"nan",1.94064,1.61144,"nan",179.598,-19.8391,6.807,3.04587,1.26446,3.07469,-138.191,0.97062,-49.8594,-3.42031,-3.10162,0.154061,68.477874,17.77537323,146.91
"Theia_67",48,"nan",7.42966,0.432183,"nan",1.77117,2.69248,"nan",0.0319429,7.07901,6.548,-2.15705,-0.184746,7.73757,151.56,0.084496,18.8214,7.87908,-2.20427,0.773579,259.7552635,-25.05821779,152.72
"Theia_68",43,"nan",7.43266,0.270399,"nan",4.57636,2.65596,"nan",180.752,-6.09358,6.327,5.49118,-2.38488,9.24201,-157.146,-2.06328,-16.7777,-9.06796,-5.70057,-3.40402,81.0985152,25.01828922,158.05
"Theia_69",63,"nan",7.49661,0.198995,"nan",8.8234,4.93589,"nan",225.52,-6.57418,5.196,3.6415,2.99744,-4.1914,-133.964,-136.421,-22.0352,5.40932,0.162045,3.55053,102.6721182,-14.17557783,192.46
"Theia_70",41,"nan",7.42238,0.592396,"nan",3.35532,1.87494,"nan",5.17077,13.3916,4.788,-1.27085,2.64848,3.51055,202.332,18.3096,48.3677,2.97287,-1.02128,3.45188,257.2433291,-17.31740093,208.84
"Theia_71",64,"nan",7.42532,0.371573,"nan",7.2128,4.88018,"nan",177.034,-18.8333,4.561,-3.75497,1.08604,0.675387,-207.235,10.7371,-70.7779,-0.827523,3.90965,0.876414,67.6840332,20.2856747,219.25
"Theia_72",191,"nan",7.49374,0.214431,"y",23.9211,5.23358,176.305,220.552,-5.50602,3.383,3.09516,1.83042,4.69383,-258.638,-192.597,-35.877,0.261184,-4.44159,1.80414,101.3958386,-9.27789572,324.46
"Theia_73",999,"Stephenson_1",7.42316,0.183999,"y",124.268,12.0736,842.096,62.1984,13.939,3.033,-9.23281,-1.83243,-0.100879,131.469,245.799,71.7345,7.79407,-4.96119,-1.29215,282.9924826,32.14877791,287.83
"Theia_80",456,"BH_23",7.42156,0.30897,"y",18.8273,6.61988,143.735,253.537,-0.41798,2.097,-13.9102,3.0133,10.8236,-140.726,-452.445,-0.61131,-16.411,-4.47266,3.10844,123.7835196,-35.63025487,473.83
"Theia_85",77,"nan",7.43487,0.493545,"nan",8.24027,6.73484,"nan",143.126,4.05587,1.494,-22.4936,1.63582,-9.63924,-533.94,400.515,47.3275,21.738,12.3987,0.941803,56.2745608,59.93284698,669.14
"Theia_89",494,"ASCC_79",7.42096,0.700002,"nan",8.1862,8.20448,"nan",320.1,-2.89819,1.199,-1.58343,0.000975103,1.48121,639.116,-534.384,-42.176,0.139126,-2.19132,-0.0869839,229.9370743,-60.72707024,834.15
"Theia_93",42,"nan",7.5,2.0,"nan",2.82828,2.532,"nan",181.328,-6.13747,5.511,1.48336,-1.53164,6.63938,-180.378,-4.18008,-19.4014,-6.54769,-1.65758,-2.27687,81.4080316,24.51733867,181.47
"Theia_96",999,"RSG_5",7.54532,0.226064,"y",60.5199,5.90032,331.55,85.9864,6.75437,3.174,-4.07497,2.64569,0.625913,20.5492,279.273,36.6113,4.89033,-6.23815,1.38593,306.1727025,49.46226447,282.41
"Theia_97",977,"nan",7.52256,0.119736,"y",53.0592,7.9225,193.025,232.151,-12.1027,2.524,-12.4524,-1.01916,8.55033,-227.387,-320.646,-80.8906,-15.5797,0.111777,-2.73924,100.38904,-22.46129848,401.33
"Theia_98",346,"nan",7.59001,0.220001,"y",40.5471,6.02638,220.272,84.0691,1.35969,2.153,-5.29953,0.925307,6.96656,48.3126,459.831,10.7583,5.74978,6.38192,1.12322,310.881004,44.71772024,462.49
"Theia_100",69,"nan",7.54248,0.51747,"nan",6.52368,5.84662,"nan",104.465,-13.9609,2.084,-18.4322,3.14622,-3.82647,-116.297,450.829,-115.747,19.0239,1.78768,4.06881,347.0084782,45.17093316,479.76
"Theia_101",44,"nan",7.535,0.373,"nan",10.5876,2.99853,"nan",96.4769,1.11774,2.084,-7.55539,1.76434,-12.0522,-54.1163,476.679,9.36005,8.83342,-11.4338,1.49777,324.1227218,53.66202213,479.83
"Theia_105",113,"nan",7.50201,0.227,"nan",18.384,10.4163,"nan",268.495,2.92895,1.762,-5.39555,-8.56922,9.75895,-14.8842,-566.571,28.9983,-6.00045,-10.2798,-8.60703,139.5658891,-45.21527034,567.51
"Theia_110",189,"nan",7.52958,0.378151,"nan",27.927,16.4616,"nan",265.803,-1.52429,1.425,-29.4366,-0.270896,16.1576,-51.3281,-699.411,-18.6615,-31.3695,-14.2539,-0.693671,132.2412309,-46.17412319,701.54
"Theia_116",999,"nan",7.6875,0.177124,"y",30.4095,8.46382,160.239,193.06,-2.72478,4.312,8.70998,3.46603,9.04644,-218.972,-39.0706,-10.3406,-8.57623,-10.4405,3.19599,91.0079627,16.2903322,222.67
"Theia_117",50,"ASCC_123",7.63806,0.417148,"nan",3.95505,2.5302,"nan",104.496,-4.19293,4.187,-2.82647,-0.150925,4.2589,-59.6209,230.597,-17.4613,1.76859,4.93249,-0.47027,340.4338435,53.97037325,238.82
"Theia_118",999,"NGC_2451A",7.69915,0.207406,"y",71.6014,9.26992,535.573,238.324,-4.22265,3.57,-14.1504,-3.67646,15.7897,-176.808,-237.33,-24.4558,-21.513,-6.1259,-5.24133,111.0370514,-24.46739051,296.96
"Theia_123",248,"FSR_0581",7.60584,0.956955,"nan",9.74953,6.27704,"nan",133.356,8.167,2.133,-6.25383,-6.25244,-13.5075,-318.666,337.502,66.6153,13.3962,-4.89916,-8.33706,42.2878595,68.62244964,468.93
"Theia_128",62,"nan",7.65756,0.634924,"nan",10.8446,13.6601,"nan",222.952,2.61242,1.489,-13.6636,-6.98221,6.74009,-490.898,-456.999,30.6016,-15.5201,6.05486,-7.31381,109.8040973,-7.69545244,671.39
"Theia_136",169,"nan",7.7028,0.211605,"y",17.0739,4.62406,113.219,100.58,-3.3615,3.957,-2.83488,-0.157444,4.33553,-52.2903,238.339,-15.3724,1.94814,4.47579,-0.355246,334.1190192,52.65206057,244.49
"Theia_139",129,"nan",7.7143,0.415002,"y",13.6248,9.66682,195.81,204.019,-18.2149,2.514,-1.96854,-3.86375,1.13629,-388.688,-162.248,-137.244,-8.85701,-1.0904,-6.79329,82.6578942,-0.66196175,442.99
"Theia_149",726,"BH_34",7.75991,0.376737,"y",126.589,10.8843,457.057,272.128,-3.51458,1.541,-28.6029,-0.506885,1.62602,60.2316,-615.034,-43.7362,-28.813,1.07366,-0.652409,136.206868,-52.27420527,619.52
"Theia_153",306,"FSR_0435",7.7487,1.10977,"y",52.6888,9.87718,284.31,115.21,-1.49286,1.163,-23.3209,1.66117,4.18227,-356.309,759.277,-23.7781,29.8124,-9.55761,1.87437,357.0659987,60.42829472,839.06
"Theia_164",319,"nan",7.89673,0.310394,"y",44.0962,6.13058,217.249,109.657,-1.37094,3.133,6.00493,1.0088,-5.94394,-98.6356,287.673,-8.63162,-3.88489,-7.9969,1.20712,346.5834927,58.76522767,304.24
"Theia_167",92,"nan",7.89398,0.276953,"nan",14.1077,10.7405,"nan",99.4503,-5.09106,2.355,-6.03704,4.72465,0.721364,-69.4527,417.257,-37.685,6.14029,2.21115,4.8524,334.1684319,50.5881735,424.67
"Theia_171",127,"nan",7.89746,0.20124,"nan",10.6523,12.5555,"nan",65.3925,5.86566,2.065,10.5031,-0.526081,-0.984496,200.584,437.961,49.488,-10.5848,3.79814,-0.562729,293.1572256,31.45123117,484.24
"Theia_172",339,"nan",7.84741,0.258095,"nan",16.3436,7.61122,"nan",213.617,7.59574,2.041,-0.757861,-8.53255,3.78492,-404.393,-268.852,64.7572,-4.59842,-2.1195,-8.23184,109.9361636,2.85022314,489.91
"Theia_176",63,"nan",7.81107,0.281191,"nan",14.9369,10.9612,"nan",218.631,-21.6009,1.984,-2.90466,15.6323,12.3696,-366.097,-292.578,-185.559,-15.714,-8.76426,10.4591,85.7075826,-14.47975393,504.04
"Theia_177",356,"nan",7.82,0.150414,"nan",22.9296,18.8592,"nan",255.43,-21.7823,1.937,-19.8039,-6.82739,9.31279,-120.615,-464.029,-191.594,-21.5272,-0.858429,-10.0346,99.1652873,-46.67918617,516.31
"Theia_178",78,"nan",7.88059,0.493473,"nan",11.6574,6.85678,"nan",94.6238,0.338739,1.817,0.206836,-0.589343,-5.03773,-44.3544,548.426,3.25298,0.155948,-5.15289,-0.581822,322.7372468,51.83520055,550.23
"Theia_180",71,"nan",7.83051,0.135683,"nan",11.7771,14.9427,"nan",51.7446,-18.9214,1.801,6.20573,5.9611,17.8265,325.296,412.556,-180.095,6.89867,19.0018,-0.232401,308.390609,7.10157149,555.39
"Theia_181",270,"ASCC_82",7.86301,0.345001,"nan",13.8231,15.1681,"nan",319.535,-8.17709,1.773,-0.102051,2.54806,1.33923,424.653,-362.233,-80.2043,1.24882,-1.20518,2.42577,235.6118044,-65.37672179,563.89
"Theia_189",337,"NGC_2252",7.85203,0.311999,"y",19.6749,13.0528,146.209,204.718,-0.547164,1.479,3.37313,-4.71997,6.1559,-598.217,-261.846,-3.34405,5.46055,-1.13593,-4.87485,98.6040065,7.05324925,653.02
"Theia_199",94,"nan",7.89885,0.609905,"nan",11.1526,6.64027,"nan",90.7055,7.7657,1.194,-39.4138,-0.410726,-12.1339,-10.219,829.921,113.188,40.6957,-11.7378,-2.09815,309.229484,53.86132238,837.67
"Theia_200",44,"nan",7.846,0.783001,"nan",11.893,4.54873,"nan",128.933,-3.80484,1.192,-4.58876,1.93119,"nan",-526.107,651.25,-55.6782,3.61107,3.08738,1.99085,24.3855195,58.52869229,839.06
"Theia_202",236,"nan",7.84522,0.98204,"nan",20.0996,8.92466,"nan",35.6561,-8.3012,1.176,-5.45867,7.20057,16.5411,683.458,490.32,-122.728,17.7028,5.86854,4.86232,291.4853535,-1.37393194,850.05
"Theia_213",148,"nan",7.98889,0.245438,"y",13.8516,8.21493,89.4207,68.1787,-2.26028,4.593,16.7405,2.40869,-8.60275,89.6533,207.045,-8.18331,-18.0432,2.7721,2.75226,302.9233,29.6848074,225.77
"Theia_222",95,"nan",7.97955,0.25061,"nan",6.97641,5.06282,"nan",19.5442,-10.0453,3.612,-4.26497,3.32887,-6.12453,256.884,91.1905,-48.2869,-3.88008,-5.76659,4.37707,285.9236578,-16.40612892,276.83
"Theia_224",43,"nan",7.96185,0.159137,"nan",6.85637,5.13479,"nan",199.02,-13.7898,3.473,-3.15481,-8.20177,-1.21826,-264.34,-91.1238,-68.6251,1.97077,4.10177,-7.81088,84.1852375,5.68870804,287.9
"Theia_227",999,"nan",7.98694,0.579997,"nan",26.8448,31.9592,"nan",13.2416,2.10679,3.165,7.56808,1.88645,-7.75398,307.386,72.3322,11.6167,-9.46879,5.31118,1.77225,271.6624112,-16.43357325,316.0
"Theia_228",172,"nan",7.98499,0.186,"y",14.5079,5.86941,104.375,58.9704,-6.0112,3.145,-9.68529,3.53731,-0.427035,167.144,280.724,-35.5112,9.15034,-4.33327,3.61264,300.9714574,19.92453335,328.64
"Theia_229",165,"ESO_489-01",7.99901,0.152,"nan",13.0737,8.80012,"nan",234.516,-21.4602,3.134,-1.35105,-8.29022,-11.1269,-172.374,-241.801,-116.735,6.84087,11.9922,-3.83834,91.7781314,-28.13318101,319.07
"Theia_230",61,"nan",7.94546,1.08668,"nan",9.29463,9.31208,"nan",182.527,-24.6618,3.081,-0.281154,1.66655,-4.49886,-294.685,-13.0028,-135.434,3.46402,0.492072,3.44205,66.3074595,12.65501897,324.58
"Theia_232",117,"nan",7.96759,0.223331,"nan",12.2967,4.51976,"nan",125.232,-12.0542,2.934,8.4536,-1.69495,-6.4857,-192.276,272.251,-71.1755,-3.23801,-10.67,-0.30517,16.4162699,50.75399994,340.82
"Theia_236",219,"nan",7.92569,0.537401,"y",33.8985,5.92678,231.367,45.5052,2.8239,2.536,-14.9921,0.191193,21.3225,322.419,298.774,25.9112,22.4716,-1.15396,0.642151,286.105976,12.47239765,440.33
"Theia_240",54,"nan",7.967,0.859,"nan",8.63614,6.43733,"nan",13.3743,-5.30645,2.398,1.11743,3.952,6.82758,403.98,96.0501,-38.5679,6.86475,2.80872,3.39908,278.6122289,-19.80508408,417.03
