"Theia","N*","OName","logAge","Av","String","Width","Height","Length","GLON","GLAT","plx","pmGLON","pmGLAT","RV","X","Y","Z","U","V","W","_RA.icrs","_DE.icrs","dist"
"Theia_383",181,"nan",8.134,0.267,"nan",15.8492,7.7152,"nan",218.715,8.97327,2.162,-4.14739,6.09984,-8.82072,-356.439,-285.717,72.1345,5.06996,9.47426,4.74299,113.4755221,-1.0003458,462.48
"Theia_387",72,"nan",8.10128,0.56059,"nan",6.85194,4.67994,"nan",169.744,-0.325436,1.794,4.60523,-7.38889,1.57057,-548.362,99.2183,-3.16526,-2.36973,-4.3159,-7.53287,79.3528676,37.33701499,557.27
"Theia_391",638,"ASCC_128",8.17055,0.492236,"y",30.7421,12.2218,268.716,112.02,-6.72463,1.718,-8.99062,2.82356,-6.39491,-230.08,549.836,-67.7126,12.3679,-6.14792,3.219,353.9524156,54.53694847,599.87
"Theia_398",66,"nan",8.14585,0.235,"nan",11.8156,6.65463,"nan",231.258,-8.01941,1.499,-10.8906,-8.4523,"nan",-413.325,-515.147,-93.0504,-7.90405,7.8992,-8.62225,103.9448943,-19.92021426,666.99
"Theia_399",58,"nan",8.133,0.396,"nan",9.71009,11.2583,"nan",193.286,-0.840552,1.478,1.26249,-0.80688,0.771138,-658.281,-155.445,-9.92356,-0.436013,-1.52995,-0.870245,92.8418153,17.00758538,676.46
"Theia_401",325,"nan",8.19603,0.425001,"nan",21.2351,19.1332,"nan",107.449,-12.1099,1.446,-20.5809,-0.546923,-1.63853,-202.811,645.221,-145.118,20.8584,4.71486,-0.200013,349.9084235,47.98285775,691.74
"Theia_403",148,"nan",8.16206,1.8191,"y",21.1497,20.2054,325.964,24.9077,-0.0711216,1.423,-0.947995,-0.0307067,"nan",605.184,281.594,-8.23551,0.385234,-0.311096,1.50306,279.2451817,-7.16925433,667.54
"Theia_411",54,"nan",8.10513,0.325198,"nan",11.982,8.99219,"nan",285.078,-2.72472,1.323,-26.3275,5.74246,-11.4809,196.471,-729.281,-35.9448,-28.8033,4.09742,6.4244,154.8062768,-60.2092855,756.14
"Theia_415",232,"Waterloo_2",8.18103,0.45681,"nan",25.167,8.31906,"nan",171.003,2.72833,1.234,-7.76223,-0.117811,-19.7253,-799.639,126.612,38.581,21.1496,4.75491,-1.04969,83.4399202,38.00484802,810.52
"Theia_420",232,"nan",8.1969,0.948625,"nan",14.7477,5.895,"nan",87.0315,-3.61915,1.155,-30.8092,5.74309,11.6542,44.7451,862.858,-54.6494,32.0707,10.6189,5.10722,318.8356264,43.68572655,865.74
"Theia_436",166,"nan",8.23555,0.36335,"y",15.7146,13.0752,111.524,313.283,-4.76054,4.143,-29.267,-4.98245,-14.8692,167.12,-177.243,-21.3741,-34.8479,-7.82465,-3.29287,218.4937002,-65.55047708,244.54
"Theia_446",264,"nan",8.26708,0.474686,"y",29.1121,5.18939,168.461,124.315,-0.272881,2.414,-1.76722,2.21286,-1.1904,-228.819,364.293,0.277516,2.87077,-0.0280857,2.26128,15.8625495,62.5666049,430.19
"Theia_447",581,"Platais_12",8.24283,0.341888,"y",83.2968,6.19023,397.576,311.207,-0.984434,2.408,-2.0854,-0.753377,-9.25039,241.468,-290.727,5.02748,-7.45849,2.45756,-0.424498,211.1300184,-62.67613321,377.96
"Theia_453",543,"nan",8.23664,0.376724,"y",126.742,8.92528,368.543,278.901,-3.50706,2.058,-21.1377,-0.258154,5.50703,76.4514,-463.624,-31.7007,-18.7655,-14.1511,-0.982575,144.4879803,-57.05785409,470.95
"Theia_455",216,"nan",8.27954,0.469856,"y",36.8106,14.8796,247.213,267.355,4.13029,1.976,0.202868,-2.37426,-0.159565,-26.394,-505.813,37.2362,0.981548,2.87769,-2.45967,139.6529901,-43.56179802,507.87
"Theia_458",151,"nan",8.28605,0.225317,"nan",10.527,15.919,"nan",229.2,-4.52544,1.885,-7.85593,-10.2434,4.92077,-345.566,-400.346,-41.8585,-8.79019,2.05922,-10.9076,106.2750761,-16.52984633,530.51
"Theia_470",154,"nan",8.20201,0.429001,"nan",10.2744,5.08627,"nan",72.5158,1.77098,1.481,-9.69932,0.977012,22.2509,202.774,643.734,20.8679,16.2757,18.6872,1.70876,301.7043214,35.51583201,675.24
"Theia_472",43,"nan",8.29767,0.358321,"nan",6.06372,3.50431,"nan",255.534,-1.25978,1.428,-23.5455,-4.76692,"nan",-174.855,-677.783,-15.393,-23.3834,6.14354,-4.89034,124.3014001,-37.75706547,700.14
"Theia_480",127,"nan",8.26532,0.759636,"nan",16.81,10.4334,"nan",164.56,-1.0333,1.342,4.10883,-0.752103,-14.5511,-718.145,198.351,-13.4377,13.2465,-7.98361,-0.566931,74.6128076,41.06467581,745.15
"Theia_497",104,"COIN-Gaia_23",8.27484,0.379644,"nan",21.3118,9.65997,"nan",182.741,0.163804,1.172,-7.96287,3.28565,-18.8953,-852.515,-40.8118,2.44008,18.9168,9.16558,3.26664,88.1593012,26.67066983,853.49
"Theia_502",68,"nan",8.23568,0.827992,"nan",11.5259,13.589,"nan",315.801,-0.476918,1.147,-4.96186,-4.75668,-1.88672,625.208,-607.966,-7.2591,-5.04157,-2.35716,-4.98803,219.8594113,-60.62154502,872.1
"Theia_517",301,"NGC_7092",8.34766,0.123772,"nan",6.5756,3.23153,"nan",92.2061,-2.29914,3.329,-38.1735,-5.49726,5.43732,-11.5536,299.921,-12.0505,38.7527,6.82818,-5.82303,322.7925921,48.25753736,300.39
"Theia_521",124,"nan",8.38635,0.389038,"y",18.0548,9.35481,96.9547,116.809,15.5562,2.751,8.86192,4.80423,-8.06301,-149.715,312.903,93.5403,-3.99716,-11.2049,3.06096,345.4429999,77.10537666,359.27
"Theia_540",77,"nan",8.30249,0.268732,"nan",16.7598,3.30721,"nan",73.4822,7.16889,1.933,-6.84317,1.97584,2.89016,145.963,492.202,64.573,7.26052,0.653183,2.29407,296.5077427,39.1221582,517.43
"Theia_545",134,"nan",8.3719,0.160456,"nan",17.2145,7.1621,"nan",204.588,13.1788,1.767,-1.0467,-3.99156,10.2213,-500.957,-229.226,129.0,-10.4956,-3.84321,-1.73847,111.0396608,13.27993669,565.81
"Theia_546",162,"nan",8.35144,0.230545,"nan",11.5986,9.25839,"nan",220.507,4.1984,1.762,3.4462,-0.110707,-9.95436,-430.327,-367.631,41.5471,9.99585,3.91,-0.924177,110.0717098,-4.79698322,567.5
"Theia_551",180,"nan",8.32498,0.271736,"nan",22.3692,10.1779,"nan",350.976,-11.695,1.608,0.346144,1.41407,-3.88015,601.591,-95.5409,-126.09,-3.42378,0.787964,2.64407,273.6460658,-42.46082061,622.04
"Theia_553",284,"Roslund_1",8.3335,0.835953,"nan",20.4015,7.41184,"nan",53.9101,-2.53189,1.533,-19.4905,-5.56205,8.22603,383.805,526.523,-28.8112,21.0967,-5.29404,-6.14855,295.1019855,17.34786945,652.2
"Theia_558",179,"nan",8.33081,0.499975,"nan",28.1458,7.9749,"nan",205.903,-4.20753,1.435,-1.34326,1.27719,-15.4425,-625.3,-303.671,-51.1395,13.4817,8.07382,2.46408,95.8929626,4.31037945,697.02
"Theia_560",330,"nan",8.32463,0.724151,"nan",18.3949,29.2034,"nan",158.663,1.24577,1.432,-10.802,0.159518,-6.37275,-650.32,254.032,15.1827,10.142,8.03397,0.218343,71.8661804,47.0716198,698.34
"Theia_569",75,"nan",8.30304,1.20946,"nan",13.5374,6.13464,"nan",160.748,0.311455,1.303,6.55653,-1.10395,-12.4823,-724.454,253.014,4.17137,9.82012,-10.5792,-1.21481,72.7620595,44.87348517,767.38
"Theia_585",176,"nan",8.314,0.197,"nan",21.8429,7.63214,"nan",294.938,1.11304,1.219,-6.5478,1.09927,0.114359,345.718,-743.489,15.9302,-6.10043,-2.94124,1.13982,176.3381364,-60.728916,820.09
"Theia_586",38,"nan",8.395,1.068,"nan",6.69398,4.56166,"nan",134.942,2.43614,1.217,-27.0865,6.82358,-35.5641,-579.729,580.895,34.9155,46.0991,-5.76565,5.67123,39.8735972,62.76066585,821.43
"Theia_589",52,"nan",8.35395,1.72075,"nan",9.95461,5.83746,"nan",6.75636,1.61239,1.188,15.3196,-5.39923,3.42351,835.532,98.9857,23.6838,1.70946,16.6929,-5.64429,268.712998,-22.30942992,841.71
"Theia_592",50,"nan",8.385,1.281,"nan",16.0298,9.12895,"nan",138.44,-0.52482,1.143,-8.43926,0.563485,"nan",-654.39,580.171,-8.01089,5.92723,6.69357,0.58683,43.7151664,58.58049717,874.58
"Theia_613",999,"NGC_2516",8.40036,0.25,"y",22.8921,7.24598,349.604,273.581,-15.8799,2.407,-11.9587,5.94745,11.5333,20.5294,-387.641,-113.489,-11.9095,-11.501,3.26161,119.2602995,-60.5641593,404.43
"Theia_614",95,"nan",8.46283,0.348022,"nan",20.5,8.261,"nan",193.005,-7.40323,2.399,3.17068,0.51427,3.44803,-402.705,-93.0087,-53.7027,-2.74172,-4.00008,0.12045,86.7766282,14.00721666,416.78
"Theia_618",273,"nan",8.47592,0.375221,"nan",14.4209,18.9141,"nan",118.816,-6.82966,2.337,-24.0504,-2.46549,-8.15625,-204.761,372.217,-50.8799,25.832,4.38661,-1.7242,5.5737806,55.80901746,427.86
"Theia_619",131,"nan",8.44769,0.392407,"nan",13.9313,4.76574,"nan",100.475,-1.59305,2.323,2.13921,2.25111,-7.35045,-78.2149,423.052,-11.9649,-0.773126,-7.72711,2.24212,332.2901416,54.04742139,430.39
