"[Fe/H]","Cluster","RA_ICRS","DE_ICRS","RV-LRS","e_RV-LRS","RV-HRS","e_RV-HRS","RV-GaiaDR3","e_RV-GaiaDR3","Rgc","Lz","Rguiding","Rbirth","[Fe/H]ANN","e_[Fe/H]ANN","[Fe/H]MCMC","e_[Fe/H]MCMC","Nmemb"
"*","ASCC_13",78.22067,44.36503,-10.1333333333333,5.69841966396532,"nan","nan","nan","nan",9.148,2010.99373733179,9.29062419487883,12.91750226,-0.224729478359222,0.188522452887305,-0.20713076178082,0.176252728883489,5.0
"*","ASCC_14",80.00387,35.22906,-10.7392307692308,15.2386561423782,"nan","nan",-15.04,15.2386561423782,9.27,1961.15721187701,9.03120641905107,10.46453088,-0.054685043027768,0.320253466729341,-0.110192665832279,0.143479379839142,3.0
"*","ASCC_18",81.33025,0.36763,24.1083333333333,4.21619931533919,"nan","nan",27.038,4.21619931533919,8.476,1880.04470882213,8.61214787365118,8.74233797,0.06253956630826,0.142442624486645,0.090399742822576,0.129031071273074,4.0
"*","ASCC_19",81.97813,-1.85602,18.5114285714286,2.83963864233596,22.032546875,0.0,23.324,2.83963864233596,8.422,1868.52830106521,8.55298812245401,9.848328191,-0.014879190001087,0.170648167864592,-0.167914023659266,0.049792859037189,2.0
"*","ASCC_20",82.19354,1.7213,26.4231818181818,6.8751286646756,"nan","nan",29.0315789473684,6.8751286646756,8.453,1865.4024888944,8.53694598584548,8.929367288,0.049993284793646,0.181694263863667,-0.034069759475135,0.131853808696997,1.0
"*","ASCC_21",82.21204,3.60659,14.5386666666667,7.05073842806216,"nan","nan",18.7491666666667,7.05073842806216,8.431,1884.28308968716,8.63394234246448,10.48630114,-0.059341655911958,0.201184691312484,-0.046357431326393,0.14804241538734,1.0
"*","ASCC_23",95.02983,46.6857,-19.7196875,6.45819783329934,-13.35,0.0,-12.579,6.45819783329934,8.716,1944.04429533242,8.94245857452009,10.04957333,-0.01353059911248,0.149037245269558,-0.05054453467206,0.118478408061698,24.0
"*","ASCC_28",103.45292,-0.12878,29.23,"nan","nan","nan",36.41,0.0,9.027,1799.88328829017,8.20223467134235,11.87262587,-0.149251371622086,0.109295413,-0.121805261391467,0.004910535973196,1.0
"*","ASCC_29",103.58954,-1.66868,10.0357142857143,5.02255531624709,"nan","nan",9.1,5.02255531624709,8.986,1968.89088703468,9.07136999147606,13.58614042,-0.268344298005104,0.100257339119286,-0.225824671188744,0.060901124386339,6.0
"*","ASCC_6",26.84217,57.73861,-32.285,2.92148934620683,"nan","nan","nan","nan",9.166,1960.77000079171,9.02919642136882,10.93149429,-0.079033326357603,0.155957664867322,-0.05083220571968,0.136604179003713,1.0
"*","AT_21",15.09787,55.40634,-40.6666666666667,6.29952180724855,"nan","nan","nan","nan",8.899,1946.24772799059,8.95387583145833,9.070568586,0.067834750024809,0.355121055963702,0.081089900776004,0.328985526554536,9.0
"*","Alessi-Teutsch_10",56.33062,29.74159,19.9825,3.35246551063542,"nan","nan",16.2925,3.35246551063542,8.493,1898.66821603168,8.70799985318551,10.40991445,-0.054496457179387,0.1236172514807,0.201477537180884,0.399713902342164,1.0
"*","Alessi-Teutsch_11",304.10167,52.07425,-32.3,0.395979797464466,"nan","nan","nan","nan",8.119,1642.28165096285,7.4104436979034,10.72991013,-0.069004616700113,0.091646479321351,-0.038073963368043,0.069534132429084,2.0
"*","Alessi-Teutsch_9",51.86275,34.88648,-24.6871739130435,9.89941741564028,"nan","nan","nan","nan",8.701,1949.19365883237,8.96914493966397,9.981735202,-0.015757713149351,0.150742592260328,-0.076657842074525,0.131732460052009,1.0
"*","Alessi_144",112.59175,5.71678,12.19,16.4828206020693,"nan","nan",11.9528571428571,16.4828206020693,8.855,1917.94430242781,8.80744362857871,12.752046,-0.209604316494531,0.210319581627118,-0.137411962372755,0.15958453294158,1.0
"*","Alessi_145",120.95358,3.98509,19.027,4.97750190079459,"nan","nan",24.1993103448276,4.97750190079459,8.599,1860.035790856,8.50941850922697,10.71884753,-0.061992373938362,0.157256449575651,-0.045252723670412,0.108875858597635,1.0
"*","Alessi_170",100.45646,-5.23928,-5.1675,6.81180042279572,"nan","nan",-0.43,6.81180042279572,9.309,1967.64554797635,9.06490017194975,14.93804431,-0.269077294971794,0.363897966088252,-0.263416991638647,0.35881892560797,1.0
"*","Alessi_19",274.53417,11.89735,-16.5525,3.49606802946777,"nan","nan",-8.655,3.49606802946777,7.666,1625.63667468396,7.32803541303186,9.715111273,-0.004457154776901,0.110800745123515,0.024835197665798,0.096201936196276,1.0
"*","Alessi_2",71.55704,55.18407,-14.8357142857143,10.1073137710604,"nan","nan",-9.43511627906977,10.1073137710604,8.672,1942.90748105534,8.9365692228243,10.63898282,-0.045921157247254,0.155149752864024,-0.035349662098535,0.130661708144593,1.0
"*","Alessi_20",2.6435,58.75651,-11.7355555555556,3.23875018761524,"nan","nan","nan","nan",8.356,1775.06079742607,8.0762282930073,10.47372849,-0.058639639781581,0.229766994099975,-0.03955420971156,0.226543716241694,3.0
"*","Alessi_22",357.17229,36.22925,-12.8441666666667,25.6380283805605,"nan","nan",-6.477,25.6380283805605,8.05,1825.4202017387,8.3323355048539,11.20077137,-0.053484516039921,0.097106455969042,0.051297726285321,0.091796074051995,2.0
"*","Alessi_37",341.97071,46.29017,-16.2572727272727,9.99322622852828,"nan","nan",-12.8051724137931,9.99322622852828,8.297,1787.0235009907,8.13689764520978,10.85315622,-0.06482689297109,0.160918099690037,-0.027650850123074,0.156066547246787,3.0
"*","Alessi_50",95.51796,21.07346,4.64,"nan","nan","nan",13.46,0.0,10.872,2647.97226147489,12.7015085656662,17.31014934,-0.495809823274612,0.060187425,-0.509318475660793,0.028954681847629,1.0
"*","Alessi_60",105.61975,-1.11998,42.75,7.42462120245875,"nan","nan","nan","nan",10.436,2064.62063547183,9.57129255232703,11.19061815,-0.07265101466328,0.101504803672735,-0.041980637954746,0.07895038024571,1.0
"*","Alessi_62",283.96254,21.60736,-26.8,"nan",12.93,0.0,"nan","nan",7.756,1856.27469807945,8.49013821398273,10.7909593,-0.023867355659604,0.092079967,0.011463411953238,0.027079925477831,1.0
"*","Alessi_84",110.51004,55.38448,6.155,12.7344283996835,"nan","nan",7.56538461538462,12.7344283996835,8.296,1704.27949549596,7.71951596024456,8.156107624,0.112225838764129,0.073836061492457,0.091491332400134,0.06760025311029,4.0
"*","Alessi_94",5.26858,46.53084,-22.672,3.6920768448898,"nan","nan",-14.8023076923077,3.6920768448898,8.39,1860.58966581816,8.51225861407544,8.934602613,0.06313605485038,0.130842515140627,-0.113896013920253,0.108354623302086,5.0
"*","Alessi_96",75.48517,37.48754,8.64653846153846,4.32171719788113,"nan","nan",12.154347826087,4.32171719788113,8.445,1819.44861631161,8.30187087177572,9.685218467,0.002969435778073,0.100394988553863,-0.001586269173849,0.087567485147626,1.0
"*","AlessiJ_0601.6+3531",90.39746,35.52552,4.81,"nan","nan","nan","nan","nan",9.886,2095.5432273836,9.73380739026507,15.87519531,-0.400346398353577,0.111106113,-0.401529321796166,0.018024104965001,1.0
"*","AlessiJ_0622.4+2114",95.59321,21.24941,27.21,"nan","nan","nan",31.48,0.0,11.462,2469.82779881286,11.7331924340234,13.74596053,-0.24950048327446,0.102719024,-0.24697772485909,0.029025298704362,1.0
"*","BDSB_82",93.73367,12.34906,41.11,"nan","nan","nan",42.5,0.0,11.814,2606.73134801326,12.4765493631732,14.04482523,-0.279307901859283,0.092478588,-0.26958227221917,0.040221873792425,1.0
"*","Barkhatova_1",313.4065,46.0208,-19.5,12.1905209076561,"nan","nan","nan","nan",8.273,1701.86845510119,7.70743572598915,11.25679432,-0.106888469308615,0.099494721832458,-0.073520779338245,0.081696600737624,2.0
"*","Basel_11B",89.55008,21.97362,-7.15,9.9140763105248,"nan","nan",6.31,9.9140763105248,9.808,1925.58339021358,8.84691734004604,11.71415468,-0.109561859474828,0.154359660810468,-0.087594023443991,0.158354085696423,2.0
"*","Basel_4",87.24312,30.19189,0.241428571428572,19.0647348338684,"nan","nan",1.27,19.0647348338684,10.542,2245.31613715178,10.5272495021655,12.61050713,-0.152934718132019,0.160993153610684,0.09930484797379,0.403648395095341,1.0
"*","Berkeley_11",65.12075,44.92386,1.71,4.11536146650571,"nan","nan","nan","nan",10.769,2187.22197774496,10.2183120059701,9.115121505,0.04735557269305,0.082226611378884,0.076446674033727,0.065515257056531,1.0
"*","Berkeley_13",73.95275,52.81026,-40.535,0.190918830920373,"nan","nan","nan","nan",11.166,2666.43571081519,12.8023675341749,14.92528109,-0.264850243926048,0.171671679907105,-0.251309733537566,0.138705748381602,2.0
"*","Berkeley_14A",75.04554,43.67924,-9.892,12.8627007272967,"nan","nan","nan","nan",9.2,1984.28984590555,9.15144503073046,14.91098521,-0.367335397005081,0.035932045321679,-0.36606266624397,0.039099162935507,1.0
"*","Berkeley_17",80.14146,30.57427,-49.31,55.7563736266985,-73.3576363636364,0.0,"nan","nan",11.158,2235.70424653429,10.4760378235765,7.776548323,-0.300336693723996,0.164080096371786,-0.295510009322305,0.152246538125701,1.0
"*","Berkeley_18",80.55367,45.46785,-5.46,"nan",-4.53863636363636,0.0,-2.35,0.0,13.195,2800.15311780942,13.5353584581694,14.08371116,-0.366241663694382,0.038,-0.36502268996838,0.029823899944182,1.0
"*","Berkeley_19",81.01325,29.57177,-21.82,37.5756543522531,17.7525,0.0,"nan","nan",12.808,2872.44540294217,13.933396422623,9.640495002,-0.366162091493606,0.032384963783792,-0.366162721128841,0.061975782804257,2.0
"*","Berkeley_20",83.15437,0.18844,75.15,"nan",66.45525,0.0,77.65,0.0,11.742,2815.095613104,13.6175335873705,8.576796867,-0.354752093553543,0.105465367,-0.353617648263076,0.033202646813632,1.0
"*","Berkeley_21",87.949,21.81078,2.83,"nan","nan","nan",3.62,0.0,14.036,2686.87152411842,12.9141031817525,15.4878446,-0.263049572706223,0.094030187,-0.256795871071242,0.035285805386642,1.0
"*","Berkeley_29",103.26592,16.92587,19.96,"nan",32.549,0.0,25.14,0.0,16.698,3203.37125296,15.7695742868242,7.639454526,-0.379646241664886,0.10115692,-0.38083120508434,0.030874977007324,1.0
"*","Berkeley_31",104.40671,8.28813,89.99,"nan",63.90625,0.0,91.73,0.0,12.251,2496.62361738255,11.8782536799895,11.48846534,-0.288791984319687,0.084600538,-0.275888382776729,0.030053644585499,1.0
"*","Berkeley_32",104.53104,6.43326,48.9983333333333,45.1272775233192,106.6535625,0.0,82.5766666666667,45.1272775233192,10.625,1904.09653810251,8.73598040366337,9.27442735,-0.323835221429666,0.108285541497052,-0.319275884429978,0.115431598636857,1.0
"*","Berkeley_34",105.0945,-0.23681,25.98,"nan","nan","nan",32.32,0.0,12.395,2672.29317026955,12.8343830846598,13.7786857,-0.216378703713417,0.086445078,-0.18954992985855,0.029429245160777,1.0
"*","Berkeley_35",107.48017,2.73107,57.65,"nan","nan","nan","nan","nan",10.987,2383.01645889715,11.2648013802985,14.82710813,-0.206423401832581,0.125658721,-0.173740813647423,0.033617482400039,1.0
"*","Berkeley_37",110.06892,-0.99821,66.692,9.41983386265384,"nan","nan",78.05,9.41983386265384,10.81,2528.16575939782,12.0492875053187,15.47791398,-0.224980211257935,0.19003572831189,-0.210934227951419,0.192354804245224,1.0
"*","Berkeley_39",116.70733,-4.67271,58.14,0.975807358037432,"nan","nan",58.355,0.975807358037432,10.684,1991.70802973304,9.19006811453647,6.383912254,-0.19614677131176,0.028100294083813,-0.169439798440486,0.033871011832595,2.0
"*","Berkeley_67",69.459,50.77597,-2.43,"nan","nan","nan",0.77,0.0,10.006,2055.98253737066,9.5259811049937,14.45145069,-0.22108593583107,0.098429009,-0.203246104053978,0.037137681632884,1.0
"*","Berkeley_68",71.0495,42.16123,-25.51,1.15965512114594,"nan","nan","nan","nan",10.978,2107.00082549467,9.7941432516092,15.57484702,-0.24036455899477,0.041661812308696,-0.218980464039705,0.048810828291263,2.0
"*","Berkeley_69",81.09088,32.60815,29.0633333333333,10.9746131290963,"nan","nan",37.01,10.9746131290963,10.865,2279.2343775637,10.7082594424407,15.2839023,-0.23423459008336,0.204289077468047,-0.482851390130575,0.405086025301662,1.0
"*","Berkeley_70",81.45438,41.95007,-3.84,"nan","nan","nan","nan","nan",11.663,2300.00945652077,10.8193501370636,8.705423489,0.124335706233978,0.098956943,0.147180004565715,0.051549790416912,1.0
"*","Berkeley_71",85.24183,32.2727,-8.62,"nan",-6.664375,0.0,-11.19,0.0,11.601,2336.29267502211,11.0137561298372,13.91157017,-0.231225460767746,0.075602956,-0.231146417492147,0.029822523484834,1.0
"*","Berkeley_72",87.55562,22.24915,11.5333333333333,2.52076046726644,"nan","nan",11.84,2.52076046726644,13.904,2832.21548765325,13.7117461005333,14.01963366,-0.237094576160113,0.025259972355418,-0.22569844222595,0.045652324158541,1.0
"*","Berkeley_78",110.90879,5.37128,77.0066666666667,20.5382577969343,66.312,0.0,82.13,20.5382577969343,11.383,2135.40298762489,9.94398064510201,9.092880375,-0.39070271452268,0.039219993158308,-0.39277769458137,0.045653152868629,1.0
"*","Berkeley_9",53.17387,52.65192,-23.41,"nan",-17.019625,0.0,-13.69,0.0,9.59,2044.40896499243,9.46533202382408,11.76019682,0.004663920029998,0.038,0.038389219360027,0.045440018543233,1.0
"nan","Bochum_1",96.25667,19.84623,13.08,9.22067242667258,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"*","Briceno_1",81.08337,1.69561,14.85,4.1607611483157,"nan","nan",18.56,4.1607611483157,8.426,1884.93383263709,8.6372896091507,11.7661995,-0.14907100412529,0.190589362884072,-0.128259825733317,0.202285374916638,3.0
"*","CBJC_8",313.50412,44.87128,-25.19,"nan","nan","nan","nan","nan",8.348,1931.26267934452,8.87628742047014,13.36950386,-0.257629662752151,0.09751302,-0.252837332638514,0.023088253148954,1.0
"*","COIN-Gaia_10",68.45842,40.49964,-1.47333333333333,17.4456133932478,"nan","nan",-9.81,17.4456133932478,9.057,1942.80899913153,8.93605906638923,11.40302263,-0.095734131832918,0.137264893592772,-0.065114812388107,0.142963447524271,2.0
"*","COIN-Gaia_11",68.14971,39.53324,-8.540625,9.32270587104755,-18.0072,15.7808126755247,-6.38066666666667,9.32270587104755,8.754,1823.72591777962,8.32368938935936,9.385454272,0.058831173635554,0.197157865909134,0.082142790703999,0.196020931256793,2.0
"*","COIN-Gaia_12",79.42008,41.67986,-21.64,6.91079156102975,"nan","nan",-8.62375,6.91079156102975,9.104,1847.60473944991,8.4457303339467,12.53450756,-0.136960545385426,0.213346707849591,-0.16759506935523,0.142642812312028,5.0
"*","COIN-Gaia_13",83.39158,41.82799,-18.2842424242424,9.46939589667782,"nan","nan",-12.7431666666667,9.46939589667782,8.621,1967.76710317727,9.06553163914886,11.15013923,-0.092408693988215,0.11532961838239,-0.06129210682486,0.086975378145931,2.0
"*","COIN-Gaia_14",77.69354,39.20291,-15.988,38.3472407090784,"nan","nan","nan","nan",9.052,1841.44970357215,8.41423513164752,13.68096111,-0.246166648715735,0.270401815529058,-0.232315754712556,0.271063048481541,1.0
"*","COIN-Gaia_15",76.10321,35.80107,6.7375,2.27460436120219,"nan","nan","nan","nan",9.316,1971.14783548027,9.08309764576234,11.41197692,-0.114175491500646,0.138456569956745,-0.083790324971219,0.147528779745521,1.0
"*","COIN-Gaia_16",80.16979,37.44459,-22.6666666666667,4.40776965520356,"nan","nan","nan","nan",9.616,1985.49207549826,9.15770237227767,13.52549814,-0.271600266297658,0.112658217751478,-0.257510160178453,0.106448467874371,1.0
"*","COIN-Gaia_18",78.4035,35.48012,3.10888888888889,6.49298168110084,"nan","nan",2.6275,6.49298168110084,9.119,1904.29936973535,8.73702627189308,12.37041054,-0.158116712959276,0.121157604699284,-0.096278792771919,0.086012673486103,1.0
"*","COIN-Gaia_19",82.19133,34.33613,8.41315789473684,5.597960990527,"nan","nan",-3.804,5.597960990527,9.374,1980.61063062772,9.13230063479576,11.40118977,-0.057061989252505,0.228390330538487,-0.06386828021673,0.180159839905104,1.0
"*","COIN-Gaia_20",78.63596,31.72005,-7.06666666666667,4.02276853257389,"nan","nan",14.472,4.02276853257389,9.167,2028.48147831516,9.38198222072762,12.07775567,-0.166416220366955,0.055324378992757,-0.144239273745203,0.067202807900513,1.0
"*","COIN-Gaia_21",84.75458,28.43666,1.286,14.5991705243825,"nan","nan","nan","nan",9.416,1980.54028828786,9.13193469135081,11.8359213,-0.150816692039371,0.128358413121815,-0.126601316255077,0.135351827211926,1.0
"*","COIN-Gaia_23",87.43029,27.01324,-0.078,10.1457536508067,"nan","nan",-2.58857142857143,10.1457536508067,9.055,2043.73226592727,9.46178807649368,13.32443483,-0.247424454366168,0.137656775424489,-0.233464235370473,0.149905116081009,2.0
"*","COIN-Gaia_24",90.72367,23.16395,-11.5289285714286,6.53223422687131,"nan","nan",-6.92545454545455,6.53223422687131,9.106,1927.53636988713,8.85701481723472,12.7628223,-0.180606254509517,0.151907587935547,-0.158373254624917,0.166314932135999,3.0
"*","COIN-Gaia_25",91.6615,20.4569,-17.3681481481481,7.82974753352536,-14.181,0.0,-14.0009090909091,7.82974753352536,8.931,1988.08490490519,9.17120027317104,11.85572985,-0.100026003050583,0.236567146742985,-0.149624704871579,0.136770648841558,1.0
"*","COIN-Gaia_26",83.77346,15.70671,-4.49533333333333,6.99383184023778,"nan","nan","nan","nan",9.532,2009.78315956762,9.28430615862257,12.11675442,-0.131625826656818,0.258317963791363,-0.116456988116916,0.258732826155045,6.0
"*","COIN-Gaia_28",96.33088,11.16326,18.9166666666667,2.04098832268422,"nan","nan","nan","nan",9.592,2140.77650389221,9.9723715971991,9.936769893,-0.008987714846929,0.294075484246653,0.014581829311767,0.238476975344337,1.0
"*","COIN-Gaia_31",21.291,61.14002,-47.73,"nan","nan","nan","nan","nan",10.013,2093.77323237747,9.72449228621944,8.136445783,0.11214704066515,0.104838833,0.134852366024658,0.020698838917385,1.0
"*","COIN-Gaia_38",51.47054,51.07593,-14.9788888888889,17.6173580475383,"nan","nan",-0.80125,17.6173580475383,9.17,1830.8796145023,8.36020920133771,11.78567702,-0.117052459364964,0.222563758562213,-0.095862115418936,0.231671842336712,2.0
"*","COIN-Gaia_39",69.58058,42.97025,-4.55,7.27424497800287,"nan","nan","nan","nan",9.058,2021.17230827215,9.3437780929949,13.14632607,-0.209457393735647,0.142185416728973,-0.187485291139852,0.150248669543956,1.0
"*","COIN-Gaia_40",81.89162,33.51469,5.18,10.0697442867235,"nan","nan","nan","nan",10.099,2132.6839858801,9.92961992025553,11.76303125,-0.095439397264272,0.165226758887993,0.081708608884757,0.358681473742591,2.0
"*","COIN-Gaia_41",89.82742,18.98748,1.37,8.21208865027649,"nan","nan",11.05,8.21208865027649,10.055,1992.69410417204,9.19520449237596,13.22214936,-0.229463412293366,0.171267741850913,-0.148373254757337,0.106898532709742,2.0
"*","COIN-Gaia_8",39.16496,50.01008,-14.0525,8.42816072353976,"nan","nan",-11.7175,8.42816072353976,8.682,1869.32898726854,8.55709840976374,12.86296658,-0.198599737603217,0.107715704234247,-0.181384501743136,0.116329926907376,5.0
"*","COIN-Gaia_9",47.71429,48.02967,-16.5747826086956,9.07052913639713,"nan","nan",-11.2,9.07052913639713,8.913,1960.31228847886,9.02682056808263,11.05713155,-0.091819776789002,0.116523644716552,-0.050584215348429,0.110635952760022,1.0
"*","CWNU_10",95.31754,18.827,-2.825,6.99035791974587,"nan","nan",-0.23,6.99035791974587,9.169,2005.56834781313,9.26231524068395,13.36335314,-0.237167306776558,0.156196344262162,-0.193499999958465,0.143536406289455,2.0
"*","CWNU_1007",79.20775,18.47774,18.859,2.39740345651985,"nan","nan",27.0733333333333,2.39740345651985,8.493,1858.60414344329,8.50207840588454,10.66818001,-0.071641882881522,0.140539988552632,-0.041079773918397,0.139470765863427,2.0
"*","CWNU_1010",69.096,-8.35525,15.26,"nan","nan","nan","nan","nan",8.254,1861.08610541111,8.51480438265899,9.567741004,0.011312438175082,0.107524261,0.043741156478635,0.061131408306418,1.0
"*","CWNU_1018",68.621,-8.43139,16.45,"nan","nan","nan",20.23,0.0,8.251,1858.99217939272,8.50406774271453,8.832249196,0.066715911030769,0.09698648,0.094020359191073,0.012881720740969,1.0
"*","CWNU_1032",300.91942,31.84783,-27.495,0.134350288425446,"nan","nan","nan","nan",7.995,1686.35809821915,7.62983821201522,10.56767135,-0.060184713453055,0.020595168774316,-0.018568118487576,0.018672644090108,1.0
"*","CWNU_105",58.95696,38.46601,-39.835,8.23779400082328,"nan","nan","nan","nan",9.616,2123.94451964227,9.88348483875564,8.644888866,0.152565456926822,0.278949959536539,0.18209606601503,0.186447721529077,1.0
"*","CWNU_1054",89.72804,0.95362,17.058,13.0591086985292,"nan","nan",10.12,13.0591086985292,8.508,1886.59078553413,8.645813822439,10.44604124,-0.051782221294917,0.198570353884479,-0.124934800729605,0.188239290014471,1.0
"*","CWNU_1062",173.70142,16.84499,9.65454545454545,3.88175311846687,"nan","nan",9.35888888888889,3.88175311846687,8.181,1793.08566343488,8.16768269393135,9.803289897,-0.01008594446129,0.119988189211197,-0.01840777052086,0.149331527965478,2.0
"*","CWNU_1072",87.2025,-5.45588,25.45,"nan","nan","nan",31.06,0.0,8.508,1847.22093506959,8.44376565520531,8.461098109,0.082229122519493,0.12360476,0.108636894508018,0.024103052904574,1.0
"*","CWNU_1076",41.23537,56.70874,-4.118,4.65812945290274,"nan","nan",-0.204,4.65812945290274,8.393,1807.42469722366,8.24060660024031,10.54206944,-0.049331544712186,0.083059309030419,-0.017414269738463,0.077177266370246,1.0
"*","CWNU_1086",67.64054,53.95938,0.101428571428572,20.5640393475045,"nan","nan",-6.276,20.5640393475045,8.829,1921.36694729583,8.82512510930842,11.86773214,-0.155718882878621,0.140791140087362,-0.135693765987389,0.142480079534301,2.0
"*","CWNU_1088",85.90592,-1.59278,18.374,18.9316145640038,"nan","nan",22.8575,18.9316145640038,8.652,1817.33107906831,8.29107411058588,10.71321214,-0.07505112439394,0.105053674232896,-0.042489012469736,0.098874737696164,2.0
"*","CWNU_1093",117.25954,20.17879,9.37153846153846,9.9454695265012,"nan","nan",15.8854545454545,9.9454695265012,8.605,1872.026673559,8.57094999313248,11.4827143,-0.101469199858927,0.168909501657104,-0.146857307976841,0.152887061546735,1.0
"*","CWNU_1095",171.3525,63.83983,-12.8945454545455,9.39570472464558,"nan","nan",-5.59,9.39570472464558,8.25,1910.61485451099,8.76960404173897,8.452595716,0.101168671902707,0.081685412204166,0.020829314960088,0.061152627061348,1.0
"*","CWNU_11",90.915,18.27018,-11.13,5.37774674003899,"nan","nan",2.48666666666667,5.37774674003899,9.043,2012.65429383458,9.29929198940004,12.53983148,-0.200885345538457,0.125042997373093,-0.180661817044222,0.134761448970294,1.0
"*","CWNU_1111",85.1035,13.7072,17.385,3.27390439689372,"nan","nan",21.87,3.27390439689372,8.378,1838.96893832071,8.40154847032283,10.44191832,-0.05485015641898,0.05923105903428,-0.021573285694252,0.045231362145821,1.0
"*","CWNU_1142",75.52654,2.83667,10.845,2.14253354699524,"nan","nan",4.855,2.14253354699524,8.383,1840.57840717982,8.40977882835767,10.8732862,-0.081699929476019,0.012866228612224,-0.219320249534221,0.066209748109965,2.0
"*","CWNU_1145",75.7265,39.94646,-10.886,11.0990463554307,"nan","nan","nan","nan",9.21,1959.02808170408,9.02015527648814,12.72083964,-0.166601502895355,0.173615302073702,-0.14672879987608,0.165887547918085,1.0
"*","CWNU_1183",295.61071,38.27214,-7.19875,4.93494083768271,"nan","nan",-6.72625,4.93494083768271,7.999,1780.79459020244,8.1052941424597,10.65652167,-0.069825364276767,0.191557620190889,0.014935702061992,0.107931308610103,1.0
"*","CWNU_1190",69.34238,45.39516,-1.91,"nan","nan","nan",-11.99,0.0,9.44,2138.65512198278,9.96116168612611,9.504251302,0.009096158668399,0.103402182,0.042255552556305,0.021962378018177,1.0
"*","CWNU_1227",94.61425,-7.78078,24.16,1.92333044482741,"nan","nan",34.265,1.92333044482741,8.451,1814.67660604656,8.27754416201039,13.17373589,-0.247098423540592,0.17932656972575,-0.23286484315719,0.141949595046309,1.0
"*","CWNU_1242",65.61746,15.25119,13.07,8.5457591821909,"nan","nan",17.2133333333333,8.5457591821909,8.386,1867.26164895408,8.54648668996323,10.8131721,-0.081896064182123,0.129520136498298,-0.051773906775074,0.1132797870843,1.0
"*","CWNU_1243",307.95467,39.04261,-14.23,"nan","nan","nan","nan","nan",7.974,1807.26428830838,8.23978998528158,12.00145059,-0.164694607257843,0.104079038,-0.137972633515036,0.016213862744421,1.0
"*","CWNU_1271",359.0885,55.94185,-53.69,"nan","nan","nan","nan","nan",9.13,2035.25828508388,9.41742933851609,16.4791155,-0.436464369297028,0.053,-0.443461458831903,0.022988035634973,1.0
"*","CWNU_1274",96.01358,16.08362,20.56,11.1799224803514,"nan","nan",33.77,11.1799224803514,10.927,2285.53805342437,10.7419496501776,11.81243597,-0.134375896304846,0.186602786866636,-0.116907059172092,0.174915290948011,1.0
