"Cluster","_RA","_DE","fdim-all","fdim-inrt","fdim-outrt","Age","Type","logAge"
"Renou_23",84.52616,57.10844,"1.3879","1.6087","1.3783","nan","nan",8.2956
"Roslund_5",302.6593,33.75108,"1.1973","1.712","1.4047",97.7,"f2","nan"
"Roslund_6",307.59327,40.3559,"1.7205","2.0143","1.9268","nan","nan",8.2252
"Ruprecht_98",179.71147,-64.6128,"1.7822","1.3322","1.6814","nan","nan",8.3866
"Sigma_Orionis",84.70986,-2.60975,"1.4115","1.4115","nan","nan","nan",6.572
"Stephenson_1",283.57834,36.88068,"1.7007,1.6599","1.9312,1.8937","1.7411,1.4469",46.0,"f1",7.4254
"Stock_1",293.98451,25.18832,"1.2548,1.6931","1.915,1.9515","1.8992",470.0,"nan",8.4117
"Stock_10",84.74161,37.80837,"1.47","1.9647","1.6203","nan","nan",8.1293
"Stock_12",353.87,52.6235,"1.2238,1.5446","1.7031,1.7624","1.1905,1.8244",112.0,"nan",8.0946
"Stock_2",33.8499,59.57707,"1.763","2.2517","1.9998","nan","nan",8.4626
"Stock_23",49.13492,60.35518,"1.4265","nan","1.5148",94.0,"f1","nan"
"Teutsch_179",276.6244,26.40812,"1.5045","1.583","1.5647","nan","nan",7.4888
"Teutsch_35",294.08421,35.7083,"1.7343","1.9999","1.593","nan","nan",8.1005
"Theia_1023",267.89878,-40.69384,"1.9885","nan","2.0029","nan","nan",8.064
"Theia_123",43.36893,68.84021,"1.5466","1.8174","1.7173","nan","nan",8.0965
"Theia_13",83.13243,-1.75276,"1.688","1.7815","nan","nan","nan",6.8087
"Theia_172",110.27693,4.08155,"1.4914","1.68","1.6609","nan","nan",8.0845
"Theia_23",277.93825,-3.92507,"1.472","1.6619","nan","nan","nan",7.331
"Theia_240",279.19237,-20.357,"1.1183","nan","1.1244","nan","nan",8.0405
"Theia_517",322.83056,48.34922,"1.7244","1.922","1.6676","nan","nan",8.1023
"Theia_58",120.21638,-30.74986,"1.8904","1.5764","1.9496","nan","nan",7.3729
"Theia_711",282.09396,-7.74373,"1.6918","nan","1.6995","nan","nan",7.7921
"Theia_96",305.28679,48.92469,"1.5066","1.6961","1.8909","nan","nan",7.3381
"Trumpler_10",131.93681,-42.53383,"1.9482","2.129","1.8858","nan","nan",7.5653
"UBC_11",246.73247,-59.70451,"1.5881","1.4197","1.7164","nan","nan",8.1059
"UBC_159",338.99713,39.63535,"1.649","1.77","1.4256","nan","nan",6.6824
