"n_FSR","ID","GLON","GLAT","RAJ2000","DEJ2000","rcore","rtid","Dc","Dcont","N","Nc","logRN","Q","Qall","Ident","RA_deg","DEC_deg"
"A","FSR_1063",211.25,-3.86,"06 34 37","-00 15 55",0.006,0.219,17,10.0,87,55,0.435,3,110001,"nan",98.654167,-0.265278
"A","FSR_1065",211.765,-3.74,"06 35 59","-00 40 04",0.005,0.055,10,7.0,24,29,"nan",4,110101,"nan",98.995833,-0.667778
"A","FSR_1071, NGC2301",212.426,0.244,"06 51 23","+00 33 41",0.012,0.6,7,4.0,171,130,"nan",3,111,"NGC2301",102.845833,0.561389
"A","FSR_1077",212.647,-2.523,"06 41 56","-00 53 48",0.021,0.105,6,4.0,151,165,"nan",2,100100,"nan",100.483333,-0.896667
"A","FSR_1080",212.942,1.917,"06 58 16","+00 51 54",0.02,0.297,9,7.0,383,420,0.754,1,100000,"nan",104.566667,0.865
"A","FSR_1082",213.181,-3.289,"06 40 10","-01 43 13",0.034,0.134,5,3.0,287,262,"nan",2,100100,"nan",100.041667,-1.720278
"A","FSR_1085",213.305,0.302,"06 53 11","-00 11 39",0.024,0.119,8,4.0,257,234,0.81,2,100100,"nan",103.295833,-0.194167
"A","FSR_1100",214.477,2.778,"07 04 08","-00 06 25",0.01,0.292,10,6.0,131,131,"nan",3,100101,"nan",106.033333,-0.106944
"A","FSR_1113",216.303,3.251,"07 09 09","-01 30 43",0.007,0.073,19,12.0,79,79,0.576,3,110001,"nan",107.2875,-1.511944
"A","FSR_1125",217.674,-2.696,"06 50 28","-05 26 52",0.022,1.089,3,2.0,252,209,"nan",3,100110,"nan",102.616667,-5.447778
"A","FSR_1129",218.157,-0.626,"06 58 45","-04 56 06",0.026,0.104,6,4.0,212,177,"nan",2,100100,"nan",104.6875,-4.935
"A","FSR_1144",219.488,-1.724,"06 57 16","-06 37 12",0.005,0.276,16,9.0,86,78,0.65,3,100011,"nan",104.316667,-6.62
"A","FSR_1150",220.312,-0.084,"07 04 39","-06 36 10",0.005,0.25,14,8.0,62,62,0.681,3,100011,"nan",106.1625,-6.602778
"A","FSR_1153",220.598,2.489,"07 14 22","-05 40 14",0.011,0.553,6,3.0,119,119,0.755,4,100111,"nan",108.591667,-5.670556
"A","FSR_1155, BDS2003_93",220.878,-2.45,"06 57 12","-08 11 14",0.02,0.098,11,7.0,259,236,0.652,2,100010,"[BDS2003]93",104.3,-8.187222
"A","FSR_1160",221.51,1.126,"07 11 12","-07 06 33",0.052,0.104,12,7.0,848,773,"nan",2,110,"nan",107.8,-7.109167
"A","FSR_1163",221.927,-2.399,"06 59 19","-09 05 50",0.013,0.076,12,7.0,129,98,0.829,3,110010,"nan",104.829167,-9.097222
"A","FSR_1170",222.643,-0.507,"07 07 27","-08 52 03",0.014,0.406,12,7.0,360,273,0.679,0,0,"nan",106.8625,-8.8675
"A","FSR_1171",223.116,-2.758,"07 00 13","-10 19 06",0.01,0.049,11,6.0,64,53,0.641,3,110001,"nan",105.054167,-10.318333
"A","FSR_1173",223.287,-0.481,"07 08 45","-09 25 38",0.009,0.054,13,7.0,72,72,"nan",4,101101,"nan",107.1875,-9.427222
"A","FSR_1178",224.012,-1.811,"07 05 18","-10 40 56",0.014,0.49,10,7.0,280,255,0.768,0,0,"nan",106.325,-10.682222
"A","FSR_1180",224.085,1.037,"07 15 42","-09 25 53",0.04,0.12,3,1.0,159,132,"nan",3,10110,"nan",108.925,-9.431389
"A","FSR_1183",224.208,0.324,"07 13 22","-09 52 18",0.05,0.1,6,4.0,420,420,"nan",4,10111,"nan",108.341667,-9.871667
"A","FSR_1184",224.415,-2.731,"07 02 43","-11 27 39",0.034,0.203,6,4.0,450,375,1.047,2,110,"nan",105.679167,-11.460833
"A","FSR_1188, VDB92",224.663,-2.506,"07 04 00","-11 34 43",0.018,0.396,8,4.0,326,297,"nan",3,100110,"VDB92",106.0,-11.578611
"A","FSR_1190",224.792,-1.73,"07 07 03","-11 20 16",0.008,0.084,19,12.0,120,109,0.492,3,110001,"nan",106.7625,-11.337778
"A","FSR_1192",224.91,-2.128,"07 05 50","-11 37 30",0.008,0.149,11,7.0,92,101,0.671,4,110101,"nan",106.458333,-11.625
"A","FSR_1194",225.102,-2.599,"07 04 29","-12 00 40",0.023,0.205,9,6.0,404,369,0.818,3,100110,"nan",106.120833,-12.011111
"A","FSR_1199",225.81,-2.444,"07 06 22","-12 34 09",0.025,0.076,8,4.0,197,164,"nan",3,100110,"nan",106.591667,-12.569167
"A","FSR_1200",225.906,-2.028,"07 08 04","-12 27 49",0.019,0.278,6,3.0,216,197,0.869,2,100100,"nan",107.016667,-12.463611
"A","FSR_1202",226.133,-2.318,"07 07 26","-12 47 54",0.038,0.114,6,3.0,333,277,0.971,3,100110,"nan",106.858333,-12.798333
