"n_FSR","ID","GLON","GLAT","RAJ2000","DEJ2000","rcore","rtid","Dc","Dcont","N","Nc","logRN","Q","Qall","Ident","RA_deg","DEC_deg"
"B","FSR_368",104.918,13.801,"21 10 40","+68 32 40",0.029,0.086,10,10.0,304,253,0.903,2,100010,"nan",317.666667,68.544444
"B","FSR_370",105.168,-18.86,"23 21 37","+40 53 35",0.019,0.096,3,3.0,68,47,"nan",1,100,"nan",350.404167,40.893056
"B","FSR_371",105.288,-10.925,"23 05 11","+48 16 24",0.051,0.154,3,2.0,313,286,"nan",3,100110,"nan",346.295833,48.273333
"B","FSR_378",105.86,3.908,"22 19 14","+61 37 36",0.009,0.425,13,7.0,164,103,0.576,5,111011,"nan",334.808333,61.626667
"B","FSR_379",106.283,13.554,"21 22 40","+69 21 25",0.095,0.191,3,3.0,736,671,"nan",4,10111,"nan",320.666667,69.356944
"B","FSR_380, NGC7438",106.569,-4.931,"22 56 35","+54 15 03",0.018,0.894,4,2.0,232,254,"nan",3,100110,"NGC7438",344.145833,54.250833
"B","FSR_386",107.126,12.613,"21 36 46","+69 16 02",0.032,0.095,5,4.0,184,202,"nan",5,111110,"nan",324.191667,69.267222
"B","FSR_388",107.32,5.129,"22 24 05","+63 26 32",0.023,0.697,6,3.0,475,329,0.855,1,100,"nan",336.020833,63.442222
"B","FSR_389",107.41,13.074,"21 35 27","+69 47 32",0.037,1.808,2,2.0,494,411,"nan",3,100110,"nan",323.8625,69.792222
"B","FSR_390",107.457,5.554,"22 23 04","+63 52 26",0.013,0.312,9,5.0,182,115,0.83,3,100110,"nan",335.766667,63.873889
"B","FSR_398",108.885,5.051,"22 36 33","+64 10 48",0.047,2.013,2,1.0,884,670,"nan",2,1100,"nan",339.1375,64.18
"B","FSR_403",109.589,-15.855,"23 38 06","+45 06 29",0.08,0.16,4,4.0,629,435,"nan",2,110,"nan",354.525,45.108056
"B","FSR_405",109.77,7.381,"22 32 35","+66 38 10",0.056,0.113,6,3.0,454,314,"nan",5,110111,"nan",338.145833,66.636111
"B","FSR_410",110.57,19.604,"20 55 16","+76 23 51",0.01,0.189,7,10.0,84,110,"nan",3,110001,"nan",313.816667,76.3975
"B","FSR_418",111.202,2.754,"23 04 30","+63 09 51",0.027,0.081,10,4.0,277,192,"nan",5,111110,"nan",346.125,63.164167
"B","FSR_423",111.481,5.191,"22 57 32","+65 29 54",0.019,0.928,4,2.0,214,148,"nan",3,10110,"nan",344.383333,65.498333
"B","FSR_427",111.924,-4.166,"23 29 41","+56 56 53",0.017,0.733,5,2.0,210,145,"nan",3,110100,"nan",352.420833,56.948056
"B","FSR_428",112.359,8.731,"22 49 27","+69 03 36",0.02,0.276,6,4.0,257,195,0.986,3,110100,"nan",342.3625,69.06
"B","FSR_429",112.525,8.663,"22 51 26","+69 04 25",0.008,0.422,8,6.0,102,102,"nan",4,100111,"nan",342.858333,69.073611
"B","FSR_437",113.488,16.681,"22 03 59","+76 22 37",0.027,0.082,6,7.0,167,139,"nan",4,101110,"nan",330.995833,76.376944
"B","FSR_440",113.678,-11.725,"23 54 34","+50 07 19",0.007,0.087,14,12.0,66,73,0.601,2,10001,"nan",358.641667,50.121944
"B","FSR_446",114.885,14.403,"22 42 56","+75 13 41",0.01,0.525,8,9.0,155,129,0.819,3,110010,"nan",340.733333,75.228056
"B","FSR_447",115.185,-18.214,"00 10 23","+44 02 21",0.025,0.074,4,4.0,92,64,"nan",3,10110,"nan",2.595833,44.039167
"B","FSR_449",115.346,14.827,"22 45 53","+75 48 54",0.014,0.272,7,7.0,186,141,0.751,1,10000,"nan",341.470833,75.815
"B","FSR_463",116.84,11.302,"23 27 10","+73 10 09",0.004,0.018,17,13.0,12,10,"nan",4,111001,"nan",351.791667,73.169167
"B","FSR_464",116.847,8.639,"23 37 44","+70 38 05",0.012,0.573,5,4.0,111,111,"nan",4,110110,"nan",354.433333,70.634722
"B","FSR_465",116.872,4.027,"23 50 58","+66 11 04",0.008,0.385,17,8.0,168,128,0.603,2,11,"nan",357.741667,66.184444
"B","FSR_466",116.921,11.392,"23 27 49","+73 16 48",0.01,0.336,7,6.0,113,94,"nan",2,100001,"nan",351.954167,73.28
"B","FSR_472",117.678,11.751,"23 36 13","+73 51 01",0.018,0.908,6,6.0,325,356,"nan",3,100110,"nan",354.054167,73.850278
"B","FSR_477",118.477,-10.747,"00 23 02","+51 52 43",0.027,0.11,6,4.0,210,133,"nan",3,100110,"nan",5.758333,51.878611
"B","FSR_479",118.548,-7.809,"00 21 14","+54 48 19",0.018,0.123,11,8.0,245,245,0.647,1,100000,"nan",5.308333,54.805278
"B","FSR_481",118.599,-19.392,"00 28 57","+43 17 25",0.009,0.171,11,12.0,95,79,0.744,3,110001,"nan",7.2375,43.290278
"B","FSR_483",118.627,-19.432,"00 29 07","+43 15 11",0.019,0.076,8,9.0,147,122,"nan",1,100000,"nan",7.279167,43.253056
"B","FSR_492",119.894,18.811,"23 34 38","+81 13 34",0.023,1.148,3,4.0,246,205,"nan",4,101110,"nan",353.658333,81.226111
"B","FSR_495, Stock21",120.133,-4.83,"00 30 24","+57 55 38",0.023,0.07,15,8.0,312,197,0.677,1,100000,"Stock21",7.6,57.927222
"B","FSR_503",120.944,6.119,"00 29 26","+68 54 20",0.018,0.108,9,6.0,192,192,0.771,3,110100,"nan",7.358333,68.905556
"B","FSR_504",121.221,19.103,"00 05 40","+81 49 19",0.007,0.122,8,9.0,49,37,"nan",3,10011,"nan",1.416667,81.821944
"B","FSR_507",121.816,-10.515,"00 44 15","+52 20 27",0.014,0.69,4,4.0,134,122,"nan",3,111,"nan",11.0625,52.340833
"B","FSR_511",122.024,-7.044,"00 45 01","+55 48 58",0.022,0.906,6,4.0,432,299,0.855,3,101100,"nan",11.254167,55.816111
"B","FSR_515",122.83,-8.103,"00 50 44","+54 46 06",0.012,0.618,4,3.0,104,114,"nan",4,100111,"nan",12.683333,54.768333
"B","FSR_518",122.906,-18.582,"00 51 18","+44 17 22",0.045,0.135,4,6.0,308,337,"nan",5,11111,"nan",12.825,44.289444
"B","FSR_523",123.591,5.605,"00 58 35","+68 28 02",0.015,0.747,8,4.0,287,218,0.797,2,110,"nan",14.645833,68.467222
"B","FSR_524",123.624,-0.749,"00 57 21","+62 06 52",0.007,0.071,23,12.0,102,93,0.498,5,111011,"nan",14.3375,62.114444
"B","FSR_530",125.734,-5.778,"01 11 55","+56 58 55",0.052,0.105,8,6.0,580,636,0.949,2,110,"nan",17.979167,56.981944
"B","FSR_531",125.772,12.128,"01 33 55","+74 45 53",0.014,0.189,5,4.0,105,72,"nan",2,100100,"nan",23.479167,74.764722
"B","FSR_532",125.856,18.769,"02 05 12","+81 13 07",0.016,0.192,2,4.0,60,104,"nan",3,110100,"nan",31.3,81.218611
"B","FSR_539",126.457,11.914,"01 43 14","+74 25 47",0.022,0.201,5,5.0,212,193,"nan",1,100,"nan",25.808333,74.429722
"B","FSR_544",127.283,-9.965,"01 19 44","+52 40 02",0.014,0.675,10,8.0,297,206,"nan",3,100110,"nan",19.933333,52.667222
"B","FSR_545, Berkeley8",127.356,13.218,"02 01 11","+75 29 13",0.022,0.535,11,9.0,723,500,0.734,0,0,"Berkeley8",30.295833,75.486944
"B","FSR_555",128.811,8.652,"02 02 49","+70 42 16",0.013,0.671,4,3.0,118,89,"nan",3,100110,"nan",30.704167,70.704444
"B","FSR_558",129.426,5.813,"02 00 45","+67 48 22",0.023,0.188,5,4.0,233,233,"nan",3,1110,"nan",30.1875,67.806111
"B","FSR_560",129.824,-18.247,"01 27 59","+44 08 06",0.006,0.312,4,5.0,30,25,"nan",6,111111,"nan",21.995833,44.135
"B","FSR_561",129.914,5.888,"02 05 54","+67 44 39",0.043,0.086,8,5.0,377,261,0.837,3,100110,"nan",31.475,67.744167
"B","FSR_566",130.122,11.544,"02 30 43","+73 00 52",0.02,0.734,9,11.0,546,414,0.739,0,0,"nan",37.679167,73.014444
"B","FSR_568",130.324,10.742,"02 29 07","+72 11 49",0.028,1.246,4,4.0,554,420,"nan",3,100110,"nan",37.279167,72.196944
"B","FSR_569",130.374,11.061,"02 31 18","+72 28 25",0.008,0.39,6,4.0,62,51,"nan",3,111,"nan",37.825,72.473611
"B","FSR_575",133.219,19.14,"04 19 14","+77 37 44",0.003,0.018,8,8.0,5,4,"nan",3,110001,"nan",64.808333,77.628889
"B","FSR_576",133.275,8.825,"02 51 37","+69 14 48",0.006,0.292,14,12.0,82,52,"nan",5,110111,"nan",42.904167,69.246667
"B","FSR_577",133.297,19.15,"04 20 17","+77 34 51",0.007,0.06,12,14.0,46,38,0.482,3,110001,"nan",65.070833,77.580833
"B","FSR_579",133.482,9.01,"02 54 38","+69 19 05",0.005,0.047,37,34.0,87,60,"nan",3,110001,"nan",43.658333,69.318056
"B","FSR_581",133.851,8.637,"02 56 18","+68 49 07",0.065,0.129,4,3.0,436,398,"nan",3,100110,"nan",44.075,68.818611
"B","FSR_604",136.547,4.129,"02 58 50","+63 34 51",0.014,0.68,8,5.0,259,216,0.737,3,100110,"nan",44.708333,63.580833
"B","FSR_606",136.898,16.675,"04 27 04","+73 22 31",0.015,0.733,6,8.0,217,180,0.751,2,100010,"nan",66.766667,73.375278
"B","FSR_612",137.282,5.363,"03 10 09","+64 17 53",0.039,0.154,8,7.0,615,561,0.748,0,0,"nan",47.5375,64.298056
"B","FSR_616",137.937,-15.729,"02 13 35","+44 44 09",0.007,0.14,11,9.0,60,34,"nan",4,100111,"nan",33.395833,44.735833
"B","FSR_617",137.949,-8.086,"02 29 41","+51 53 51",0.005,0.024,24,17.0,33,25,"nan",4,111001,"nan",37.420833,51.8975
"B","FSR_620",138.154,-8.112,"02 30 51","+51 47 49",0.029,1.334,4,3.0,509,321,"nan",3,100110,"nan",37.7125,51.796944
"B","FSR_623, Berkeley10",138.624,8.896,"03 39 42","+66 29 41",0.016,0.384,13,9.0,441,305,0.699,1,10,"Berkeley10",54.925,66.494722
"B","FSR_626",140.38,-17.415,"02 22 32","+42 20 57",0.007,0.075,25,25.0,127,96,0.369,1,1,"nan",35.633333,42.349167
"B","FSR_627",140.411,2.572,"03 20 26","+60 17 05",0.005,0.271,6,3.0,30,19,"nan",5,110111,"nan",50.108333,60.284722
"B","FSR_630",141.408,18.423,"05 18 30","+70 54 05",0.019,0.343,4,7.0,152,241,"nan",1,100000,"nan",79.625,70.901389
"B","FSR_631",141.559,18.656,"05 21 51","+70 53 39",0.004,0.219,5,7.0,16,29,"nan",5,111011,"nan",80.4625,70.894167
"B","FSR_632",142.284,2.498,"03 32 26","+59 10 47",0.048,0.095,5,3.0,311,236,"nan",5,110111,"nan",53.108333,59.179722
"B","FSR_642",144.1,18.463,"05 33 19","+68 41 22",0.011,0.536,4,4.0,76,63,"nan",5,111110,"nan",83.329167,68.689444
"B","FSR_643",144.783,13.645,"04 55 01","+65 32 48",0.022,1.058,4,5.0,302,331,"nan",3,100110,"nan",73.754167,65.546667
"B","FSR_649, NGC1193",146.824,-12.152,"03 06 01","+44 23 13",0.025,1.105,3,4.0,317,348,"nan",4,110110,"NGC1193",46.504167,44.386944
"B","FSR_653",147.939,2.182,"04 03 49","+55 25 11",0.007,0.336,11,6.0,103,71,0.789,5,110111,"nan",60.954167,55.419722
"B","FSR_661",150.121,16.484,"05 42 16","+62 41 04",0.057,0.114,4,5.0,379,315,"nan",4,10111,"nan",85.566667,62.684444
"B","FSR_663",150.551,-0.213,"04 06 13","+51 53 38",0.068,0.135,4,3.0,511,387,"nan",5,110111,"nan",61.554167,51.893889
"B","FSR_666",150.79,-0.583,"04 05 46","+51 27 33",0.007,0.313,11,6.0,93,85,"nan",5,11111,"nan",61.441667,51.459167
"B","FSR_670",152.343,11.351,"05 15 28","+58 11 49",0.063,0.252,2,2.0,350,350,"nan",4,110110,"nan",78.866667,58.196944
"B","FSR_675",153.443,-17.885,"03 18 24","+36 07 58",0.008,0.383,5,4.0,46,29,"nan",4,1111,"nan",49.6,36.132778
"B","FSR_682",155.609,-15.586,"03 33 27","+36 48 10",0.021,1.046,3,3.0,233,134,"nan",6,111111,"nan",53.3625,36.802778
"B","FSR_683",155.923,7.734,"05 08 47","+53 13 51",0.025,0.302,6,4.0,358,206,0.96,1,100,"nan",77.195833,53.230833
"B","FSR_684",156.454,5.765,"05 00 31","+51 37 44",0.006,0.302,10,8.0,63,63,"nan",4,100111,"nan",75.129167,51.628889
"B","FSR_685",156.649,5.359,"04 59 13","+51 13 37",0.012,0.586,10,7.0,224,155,0.839,2,100010,"nan",74.804167,51.226944
"B","FSR_689",157.246,-8.449,"04 03 09","+41 18 32",0.012,0.573,4,3.0,82,57,"nan",4,100111,"nan",60.7875,41.308889
"B","FSR_690",157.905,5.126,"05 02 52","+50 05 38",0.037,0.111,7,4.0,371,234,"nan",4,110110,"nan",75.716667,50.093889
"B","FSR_691",158.301,-16.278,"03 41 26","+34 40 06",0.021,0.205,5,7.0,195,162,"nan",1,100000,"nan",55.358333,34.668333
"B","FSR_692",158.475,-8.902,"04 06 17","+40 09 23",0.068,0.135,5,5.0,633,438,"nan",5,111110,"nan",61.570833,40.156389
"B","FSR_693",158.563,13.714,"05 52 25","+54 10 44",0.035,0.105,4,3.0,179,124,"nan",4,101110,"nan",88.104167,54.178889
"B","FSR_695",159.055,-9.697,"04 05 41","+39 11 02",0.024,0.146,5,4.0,202,127,"nan",2,100100,"nan",61.420833,39.183889
"B","FSR_697",159.224,-6.276,"04 18 43","+41 32 37",0.046,0.139,6,5.0,482,482,"nan",3,10110,"nan",64.679167,41.543611
"B","FSR_698",159.225,-9.605,"04 06 38","+39 08 16",0.015,0.743,7,6.0,249,157,0.873,3,110010,"nan",61.658333,39.137778
"B","FSR_700",159.71,-9.018,"04 10 31","+39 14 21",0.023,0.681,6,8.0,461,421,0.791,1,100000,"nan",62.629167,39.239167
"B","FSR_701",159.852,-15.432,"03 49 38","+34 22 11",0.019,0.925,5,5.0,264,200,"nan",3,1110,"nan",57.408333,34.369722
"B","FSR_705, NGC1798",160.707,4.861,"05 11 43","+47 41 42",0.022,0.133,13,9.0,441,367,0.59,0,0,"NGC1798",77.929167,47.695
"B","FSR_706",161.167,-7.748,"04 20 25","+39 08 21",0.013,0.666,8,6.0,228,144,0.779,2,100010,"nan",65.104167,39.139167
"B","FSR_707",161.197,5.421,"05 16 06","+47 37 24",0.009,0.441,15,12.0,198,180,0.693,5,111011,"nan",79.025,47.623333
"B","FSR_708",161.243,18.603,"06 29 58","+53 50 02",0.028,0.138,3,3.0,130,98,"nan",3,110100,"nan",97.491667,53.833889
"B","FSR_709",161.557,-8.756,"04 18 09","+38 09 16",0.018,0.147,4,4.0,114,104,"nan",2,100100,"nan",64.5375,38.154444
"B","FSR_712",161.763,15.774,"06 13 50","+52 17 34",0.021,1.027,4,5.0,303,191,"nan",2,110,"nan",93.458333,52.292778
"B","FSR_724",162.688,-16.162,"03 57 08","+32 01 16",0.023,0.188,3,3.0,120,100,"nan",2,110,"nan",59.283333,32.021111
"B","FSR_725",162.774,-12.67,"04 08 49","+34 31 11",0.014,0.085,4,3.0,56,32,"nan",3,100101,"nan",62.204167,34.519722
"B","FSR_727, Patchick3",162.905,4.31,"05 16 31","+45 35 32",0.018,0.618,9,6.0,418,381,0.772,2,10010,"Patchick3",79.129167,45.592222
"B","FSR_728",162.923,-6.881,"04 29 49","+38 29 07",0.021,1.061,3,2.0,219,182,"nan",2,110,"nan",67.454167,38.485278
"B","FSR_729, NGC1883",163.08,6.166,"05 25 55","+46 29 46",0.017,0.086,15,12.0,259,284,0.61,1,10,"NGC1883",81.479167,46.496111
"B","FSR_730, NGC2126",163.233,13.136,"06 02 33","+49 52 24",0.014,0.616,9,8.0,293,203,0.802,1,10,"NGC2126",90.6375,49.873333
"B","FSR_736",164.843,5.686,"05 29 08","+44 46 03",0.049,0.146,6,4.0,583,368,"nan",2,110,"nan",82.283333,44.7675
"B","FSR_737",165.08,-18.678,"03 57 03","+28 37 28",0.012,0.574,4,5.0,88,88,"nan",3,100011,"nan",59.2625,28.624444
"B","FSR_738",165.169,-18.602,"03 57 34","+28 37 21",0.012,0.594,5,7.0,109,119,"nan",4,110110,"nan",59.391667,28.6225
"B","FSR_740",165.496,-7.655,"04 35 37","+36 04 47",0.011,0.53,5,4.0,90,68,"nan",3,100110,"nan",68.904167,36.079722
"B","FSR_741",165.668,-11.205,"04 23 28","+33 32 48",0.072,0.144,4,4.0,584,336,"nan",3,10110,"nan",65.866667,33.546667
"B","FSR_742",165.882,-4.043,"04 50 36","+38 08 42",0.02,0.061,11,7.0,184,106,"nan",2,100010,"nan",72.65,38.145
"B","FSR_746, KPR2005_23",167.421,14.543,"06 20 44","+46 48 27",0.007,0.026,14,14.0,29,24,"nan",4,111001,"[KPR2005]23",95.183333,46.8075
"B","FSR_749",167.773,4.441,"05 32 08","+41 38 30",0.007,0.114,10,8.0,57,83,0.693,3,100011,"nan",83.033333,41.641667
"B","FSR_750",167.794,-5.155,"04 52 21","+35 57 58",0.025,0.126,6,4.0,222,153,"nan",3,101100,"nan",73.0875,35.966111
"B","FSR_754",168.433,-16.029,"04 15 53","+28 16 12",0.007,0.135,5,6.0,32,20,"nan",3,110001,"nan",63.970833,28.27
"B","FSR_756",168.641,-13.696,"04 24 16","+29 43 31",0.014,0.284,7,6.0,175,84,"nan",1,10000,"nan",66.066667,29.725278
"B","FSR_757",168.737,-18.167,"04 09 53","+26 34 17",0.02,0.119,3,4.0,90,90,"nan",2,100100,"nan",62.470833,26.571389
"B","FSR_762",170.131,-15.798,"04 21 42","+27 14 25",0.04,0.081,4,3.0,176,64,"nan",3,100110,"nan",65.425,27.240278
"B","FSR_764",170.252,-17.155,"04 17 36","+26 13 50",0.012,0.103,8,8.0,91,58,"nan",2,110000,"nan",64.4,26.230556
"B","FSR_767",170.62,-8.699,"04 47 42","+31 33 02",0.013,0.312,8,6.0,174,91,"nan",3,100110,"nan",71.925,31.550556
"B","FSR_768",170.933,-11.153,"04 39 52","+29 44 22",0.071,0.142,3,3.0,363,275,"nan",5,110111,"nan",69.966667,29.739444
"B","FSR_771",172.285,-5.651,"05 03 47","+32 08 30",0.061,0.307,3,3.0,614,738,"nan",5,110111,"nan",75.945833,32.141667
"B","FSR_773",172.311,-15.292,"04 29 40","+26 01 04",0.017,0.103,6,6.0,115,87,"nan",1,100000,"nan",67.416667,26.017778
"B","FSR_776",172.735,9.315,"06 07 28","+39 50 23",0.022,0.131,7,6.0,223,155,0.758,1,100000,"nan",91.866667,39.839722
"B","FSR_780, BDS2003_69, Stock8",173.313,-0.314,"05 27 26","+34 24 12",0.007,0.078,15,8.0,74,67,0.668,5,111011,"[BDS2003]69 Stock8",81.858333,34.403333
"B","FSR_790",173.747,-5.871,"05 07 03","+30 50 43",0.015,0.262,7,5.0,185,185,"nan",3,100110,"nan",76.7625,30.845278
"B","FSR_796",174.747,-5.599,"05 10 48","+30 12 13",0.013,0.064,7,5.0,66,45,"nan",2,10100,"nan",77.7,30.203611
"B","FSR_798",175.267,-17.142,"04 31 39","+22 39 36",0.014,0.708,2,2.0,73,51,"nan",4,110110,"nan",67.9125,22.66
"B","FSR_799",175.585,1.893,"05 42 20","+33 41 16",0.007,0.374,7,3.0,62,43,"nan",5,101111,"nan",85.583333,33.687778
"B","FSR_801",175.784,-13.025,"04 46 57","+24 53 16",0.032,0.127,7,7.0,351,222,0.96,1,100000,"nan",71.7375,24.887778
"B","FSR_802",176.167,6.018,"06 01 01","+35 16 44",0.012,0.613,7,4.0,170,118,0.927,4,10111,"nan",90.254167,35.278889
"B","FSR_804",176.505,-17.244,"04 34 36","+21 41 15",0.005,0.025,6,5.0,9,6,"nan",4,110101,"nan",68.65,21.6875
"B","FSR_805",176.506,-16.685,"04 36 27","+22 02 32",0.008,0.158,4,4.0,37,26,"nan",5,110111,"nan",69.1125,22.042222
"B","FSR_809",176.579,-7.676,"05 08 01","+27 30 38",0.009,0.439,11,7.0,149,71,"nan",6,111111,"nan",77.004167,27.510556
"B","FSR_811",176.682,9.262,"06 16 20","+36 21 18",0.026,1.32,5,4.0,592,410,"nan",3,1110,"nan",94.083333,36.355
"B","FSR_820",178.448,-11.427,"04 59 29","+23 48 03",0.014,0.68,4,4.0,128,97,"nan",2,110,"nan",74.870833,23.800833
"B","FSR_827, Kronberger60",179.734,4.839,"06 04 21","+31 36 09",0.01,0.416,9,5.0,151,115,"nan",2,110,"Kronberger60",91.0875,31.6025
"B","FSR_831",180.287,10.348,"06 28 47","+33 39 16",0.014,0.369,6,6.0,180,164,"nan",3,100110,"nan",97.195833,33.654444
"B","FSR_833",180.541,4.62,"06 05 17","+30 47 35",0.019,0.153,7,5.0,193,161,0.882,4,110110,"nan",91.320833,30.793056
"B","FSR_835",180.554,-14.529,"04 54 03","+20 18 04",0.109,0.217,2,2.0,639,639,"nan",2,110,"nan",73.5125,20.301111
"B","FSR_839",180.873,4.117,"06 03 59","+30 15 33",0.013,0.624,11,6.0,306,212,0.67,3,10011,"nan",90.995833,30.259167
"B","FSR_840",181.238,-19.946,"04 37 33","+16 29 53",0.036,0.072,4,7.0,124,197,"nan",4,110110,"nan",69.3875,16.498056
"B","FSR_841",181.277,-11.501,"05 06 18","+21 31 00",0.014,0.725,7,7.0,251,251,0.766,1,10,"nan",76.575,21.516667
"B","FSR_843",181.667,16.933,"07 00 37","+35 04 38",0.014,0.392,6,8.0,168,154,"nan",2,110000,"nan",105.154167,35.077222
"B","FSR_844",181.802,4.528,"06 07 43","+29 38 52",0.011,0.541,6,4.0,123,71,"nan",3,100110,"nan",91.929167,29.647778
"B","FSR_848",182.893,10.455,"06 34 30","+31 23 25",0.019,0.077,6,5.0,106,96,"nan",4,110011,"nan",98.625,31.390278
"B","FSR_851",183.85,-10.88,"05 14 39","+19 48 01",0.02,0.529,7,6.0,419,264,0.857,0,0,"nan",78.6625,19.800278
"B","FSR_857",184.97,-10.479,"05 18 40","+19 06 41",0.007,0.109,7,6.0,39,33,"nan",2,10001,"nan",79.666667,19.111389
"B","FSR_859",185.517,6.06,"06 21 47","+27 06 18",0.007,0.075,11,7.0,55,34,0.604,3,110001,"nan",95.445833,27.105
"B","FSR_860",185.751,14.405,"06 56 39","+30 28 40",0.013,0.64,6,6.0,154,97,"nan",3,110010,"nan",104.1625,30.477778
"B","FSR_861",185.889,-9.772,"05 23 16","+18 44 46",0.012,0.072,6,4.0,57,36,"nan",4,100111,"nan",80.816667,18.746111
"B","FSR_864",186.26,-3.201,"05 47 51","+21 55 34",0.009,0.15,6,4.0,65,49,"nan",5,110111,"nan",86.9625,21.926111
"B","FSR_866",186.328,13.837,"06 55 17","+29 44 18",0.041,0.123,5,4.0,335,211,"nan",2,110,"nan",103.820833,29.738333
"B","FSR_868",186.482,-9.681,"05 24 56","+18 18 21",0.071,0.353,3,3.0,851,708,"nan",5,110111,"nan",81.233333,18.305833
"B","FSR_874",186.771,-5.387,"05 40 58","+20 21 20",0.007,0.321,20,14.0,179,113,0.505,3,100011,"nan",85.241667,20.355556
"B","FSR_876",187.002,16.459,"07 07 36","+30 09 35",0.013,0.078,8,8.0,92,70,"nan",2,100001,"nan",106.9,30.159722
"B","FSR_878",187.606,10.333,"06 43 07","+27 09 00",0.023,0.712,4,3.0,278,192,"nan",2,100100,"nan",100.779167,27.15
"B","FSR_880",187.956,5.12,"06 23 04","+24 31 04",0.023,0.941,5,4.0,450,312,"nan",2,100100,"nan",95.766667,24.517778
"B","FSR_882",188.062,-9.841,"05 27 54","+16 54 32",0.011,0.159,11,10.0,140,140,"nan",0,0,"nan",81.975,16.908889
"B","FSR_884",188.403,-8.792,"05 32 21","+17 11 02",0.013,0.087,7,6.0,82,62,"nan",1,100000,"nan",83.0875,17.183889
"B","FSR_886",188.665,-8.217,"05 34 59","+17 16 06",0.03,0.06,12,8.0,275,174,0.846,2,100010,"nan",83.745833,17.268333
"B","FSR_888",188.853,4.437,"06 22 13","+23 24 33",0.036,0.073,12,9.0,408,339,0.713,4,110011,"nan",95.554167,23.409167
"B","FSR_890",189.152,4.527,"06 23 10","+23 11 13",0.007,0.333,11,7.0,84,53,"nan",5,110111,"nan",95.791667,23.186944
"B","FSR_892",189.444,4.39,"06 23 14","+22 51 56",0.015,0.201,11,7.0,282,178,0.707,2,110,"nan",95.808333,22.865556
"B","FSR_893",189.572,1.833,"06 13 45","+21 32 54",0.006,0.302,5,3.0,34,21,"nan",5,11111,"nan",93.4375,21.548333
"B","FSR_905",191.068,6.286,"06 33 44","+22 17 40",0.047,0.14,4,2.0,323,223,"nan",2,110,"nan",98.433333,22.294444
"B","FSR_907",191.326,-11.41,"05 29 27","+13 21 27",0.052,0.103,3,3.0,239,218,"nan",5,110111,"nan",82.3625,13.3575
"B","FSR_913",192.346,-13.153,"05 25 32","+11 35 35",0.018,0.536,5,5.0,239,126,"nan",2,100100,"nan",81.383333,11.593056
"B","FSR_914",192.415,-16.666,"05 13 33","+09 40 28",0.011,0.088,14,14.0,135,78,0.836,2,100001,"nan",78.3875,9.674444
"B","FSR_917, Berkeley23",192.612,5.389,"06 33 17","+20 31 08",0.014,0.642,7,6.0,224,296,0.754,1,10,"Berkeley23",98.320833,20.518889
"B","FSR_920",192.85,-18.071,"05 09 38","+08 34 23",0.109,0.326,2,2.0,824,570,"nan",3,10110,"nan",77.408333,8.573056
"B","FSR_930",194.359,-10.155,"05 40 10","+11 27 25",0.024,0.071,6,5.0,133,122,"nan",2,100010,"nan",85.041667,11.456944
"B","FSR_934",195.127,-11.969,"05 35 22","+09 53 03",0.053,0.106,4,4.0,314,286,"nan",3,10110,"nan",83.841667,9.884167
"B","FSR_935",195.289,4.518,"06 35 08","+17 44 50",0.014,0.517,5,4.0,144,228,"nan",2,10100,"nan",98.783333,17.747222
"B","FSR_944",195.653,16.448,"07 21 48","+22 29 50",0.024,0.071,4,5.0,84,146,"nan",6,111111,"nan",110.45,22.497222
"B","FSR_963",197.333,-2.088,"06 14 51","+12 51 31",0.022,0.089,9,5.0,223,169,0.824,5,110111,"nan",93.7125,12.858611
"B","FSR_964",197.626,-16.548,"05 24 26","+05 28 12",0.006,0.292,5,6.0,30,40,"nan",4,110011,"nan",81.108333,5.47
"B","FSR_966",197.668,-18.573,"05 17 30","+04 24 29",0.007,0.323,4,5.0,31,25,"nan",6,111111,"nan",79.375,4.408056
"B","FSR_967",197.77,1.663,"06 29 19","+14 14 08",0.034,0.102,8,5.0,346,287,0.815,5,110111,"nan",97.329167,14.235556
"B","FSR_968",197.802,-3.315,"06 11 21","+11 51 39",0.003,0.022,13,7.0,9,7,"nan",5,110111,"nan",92.8375,11.860833
"B","FSR_978",200.722,-11.5,"05 48 02","+05 22 02",0.015,0.248,7,6.0,171,108,"nan",2,100100,"nan",87.008333,5.367222
"B","FSR_980",200.944,8.563,"07 00 38","+14 31 05",0.032,0.098,8,6.0,339,214,0.848,3,110010,"nan",105.158333,14.518056
"B","FSR_983",201.867,-19.253,"05 23 04","+00 37 28",0.016,0.231,4,5.0,126,151,"nan",2,110,"nan",80.766667,0.624444
"B","FSR_984",201.939,-19.383,"05 22 44","+00 30 06",0.02,0.987,3,5.0,224,246,"nan",3,100110,"nan",80.683333,0.501667
"B","FSR_985",202.123,-5.516,"06 11 49","+07 01 29",0.014,0.726,9,6.0,311,258,0.748,2,11,"nan",92.954167,7.024722
"B","FSR_987",202.421,-5.121,"06 13 47","+06 57 00",0.03,0.208,12,7.0,810,425,0.806,0,0,"nan",93.445833,6.95
"B","FSR_991",203.149,-17.244,"05 32 27","+00 31 48",0.026,1.3,2,3.0,244,169,"nan",5,110111,"nan",83.1125,0.53
