"Cluster","radius","Ntot","Ncabs","Ncrel","pmRAC","s_pmRAC","pmDEC","s_pmDEC","rhoC","Nfabs","pmRAF","s_pmRAF","pmDEF","s_pmDEF","rhoF","FileName"
"Basel_18",4.0,230,166,0.72,-5.26,1.34,-2.27,0.31,0.01,64,-9.39,7.06,-2.92,4.39,0.14,"Basel_18.dat"
"Basel_20",6.0,175,136,0.78,-4.99,3.13,3.69,2.09,-0.34,39,-4.83,10.57,1.39,7.22,0.11,"Basel_20.dat"
"Basel_4",2.8,28,22,0.79,2.48,0.13,-1.34,1.81,-0.07,6,7.36,6.34,-8.7,1.66,0.86,"Basel_4.dat"
"Basel_5",3.5,445,364,0.82,0.28,1.51,-2.33,1.45,0.16,81,-4.2,16.2,-4.87,16.51,-0.13,"Basel_5.dat"
"Basel_6",4.5,250,213,0.85,-3.68,1.53,-4.02,1.67,0.09,37,-2.02,9.09,-4.94,12.92,0.13,"Basel_6.dat"
"Basel_8",15.5,1057,846,0.8,0.41,1.53,-2.34,2.4,-0.08,211,-0.8,8.54,-5.21,9.8,-0.03,"Basel_8.dat"
"Berkeley_1",3.5,140,104,0.74,-2.03,1.51,0.24,0.1,0.15,36,0.27,9.99,-3.11,4.16,0.26,"Berkeley_1.dat"
"Berkeley_10",6.0,141,107,0.76,-2.54,1.2,-1.87,0.64,0.21,34,2.91,5.26,-4.39,4.7,-0.57,"Berkeley_10.dat"
"Berkeley_104",2.5,86,73,0.85,-1.19,2.58,-0.91,0.1,-0.01,13,2.03,12.66,-4.63,0.3,-0.44,"Berkeley_104.dat"
"Berkeley_11",3.5,81,64,0.79,1.85,0.96,-2.7,1.04,-0.01,17,1.99,6.1,-11.68,7.69,0.21,"Berkeley_11.dat"
"Berkeley_14",3.5,89,59,0.67,1.83,1.4,-3.5,1.45,-0.11,30,1.96,10.17,0.79,13.78,-0.39,"Berkeley_14.dat"
"Berkeley_15",5.0,117,91,0.78,0.97,0.1,-2.04,0.75,0.15,26,5.23,14.35,-7.73,8.78,0.27,"Berkeley_15.dat"
"Berkeley_17",4.5,108,87,0.81,1.19,2.54,-2.7,3.52,-0.05,21,0.05,10.26,-10.67,11.96,0.54,"Berkeley_17.dat"
"Berkeley_18",7.0,274,239,0.87,1.25,0.76,-2.16,1.88,0.11,35,0.8,9.07,-10.75,7.53,0.21,"Berkeley_18.dat"
"Berkeley_2",2.0,34,26,0.76,-1.81,2.5,-0.46,0.8,0.29,8,2.57,10.19,-11.19,7.57,0.61,"Berkeley_2.dat"
"Berkeley_21",3.5,74,64,0.86,0.87,1.45,-3.45,2.47,-0.15,10,5.19,0.7,-6.31,13.17,-0.86,"Berkeley_21.dat"
"Berkeley_24",4.5,124,88,0.71,-1.67,1.47,-0.63,1.4,-0.24,36,-0.09,5.84,-2.7,9.27,-0.03,"Berkeley_24.dat"
"Berkeley_26",3.0,39,33,0.84,0.11,2.12,-2.89,0.81,-0.42,6,-0.22,1.99,-10.99,5.79,-0.19,"Berkeley_26.dat"
"Berkeley_29",4.0,94,67,0.71,-0.4,0.1,-1.95,1.43,0.23,27,-0.75,11.91,-3.51,15.32,0.0,"Berkeley_29.dat"
"Berkeley_31",3.5,90,73,0.81,-0.07,0.1,-0.9,2.26,-0.03,17,-2.9,8.12,-5.11,9.25,-0.42,"Berkeley_31.dat"
"Berkeley_33",2.5,45,39,0.86,-0.76,0.1,1.72,0.11,-0.2,6,0.4,4.86,6.01,5.19,-0.99,"Berkeley_33.dat"
"Berkeley_35",4.0,149,115,0.77,-0.1,0.63,-0.54,1.5,-0.06,34,0.3,6.73,-1.66,5.9,-0.29,"Berkeley_35.dat"
"Berkeley_36",3.5,80,64,0.8,-1.58,0.42,0.0,0.1,0.1,16,1.62,5.19,4.33,4.92,-0.48,"Berkeley_36.dat"
"Berkeley_39",4.5,189,159,0.84,-2.67,0.1,-1.52,0.1,0.09,30,-5.04,7.27,-5.13,8.69,-0.24,"Berkeley_39.dat"
"Berkeley_4",4.1,151,124,0.82,-2.81,0.56,0.33,0.1,-0.01,27,-1.97,10.99,-2.89,7.92,-0.26,"Berkeley_4.dat"
"Berkeley_45",2.0,124,84,0.67,4.92,0.87,-12.83,2.01,-0.22,40,4.84,5.13,-3.76,12.7,-0.72,"Berkeley_45.dat"
"Berkeley_51",2.0,34,29,0.86,0.03,3.6,-5.24,1.68,0.31,5,24.05,13.38,5.66,0.18,-0.62,"Berkeley_51.dat"
