"Cluster","radius","Ntot","Ncabs","Ncrel","pmRAC","s_pmRAC","pmDEC","s_pmDEC","rhoC","Nfabs","pmRAF","s_pmRAF","pmDEF","s_pmDEF","rhoF","FileName"
"FSR_0807",5.0,58,53,0.91,1.85,2.28,-1.67,3.08,0.13,5,0.75,14.17,-9.2,5.8,0.94,"FSR_0807.dat"
"FSR_0812",6.0,103,70,0.68,1.1,1.36,-3.45,2.11,-0.12,33,4.47,8.14,-3.7,10.75,0.04,"FSR_0812.dat"
"FSR_0814",2.2,37,30,0.81,-0.61,2.79,-6.92,2.88,0.13,7,-3.72,1.26,14.86,25.23,-0.93,"FSR_0814.dat"
"FSR_0821",5.95,96,73,0.76,-0.71,1.06,-4.56,3.34,0.21,23,-0.43,7.16,-15.02,6.86,-0.48,"FSR_0821.dat"
"FSR_0826",6.0,118,84,0.72,-0.57,1.23,-3.1,2.35,-0.07,34,1.39,6.47,-7.53,8.7,0.16,"FSR_0826.dat"
"FSR_0828",2.35,55,48,0.87,0.09,0.1,-3.12,3.11,0.25,7,7.04,2.15,-16.8,11.13,0.24,"FSR_0828.dat"
"FSR_0923",5.45,58,42,0.72,0.18,2.2,-0.65,2.18,0.13,16,6.62,6.41,-4.12,9.93,0.19,"FSR_0923.dat"
"FSR_0932",3.5,54,49,0.91,1.16,2.96,-3.01,1.91,-0.07,5,1.95,13.1,-12.36,5.71,-0.95,"FSR_0932.dat"
"FSR_0941",7.0,278,235,0.85,-0.27,2.01,-2.5,2.4,-0.18,43,4.62,10.89,-5.1,12.75,0.35,"FSR_0941.dat"
"FSR_0942",5.0,131,119,0.91,0.0,1.98,0.78,2.18,-0.12,12,0.48,6.93,-9.46,4.65,0.28,"FSR_0942.dat"
"FSR_0948",3.0,88,72,0.82,-0.11,0.1,-2.13,2.29,-0.06,16,3.08,7.65,1.32,11.69,0.09,"FSR_0948.dat"
"FSR_0953",6.0,188,140,0.74,0.37,0.12,-2.43,0.98,-0.06,48,0.69,7.76,-3.77,7.06,-0.02,"FSR_0953.dat"
"FSR_0974",7.0,274,244,0.89,-0.32,1.69,-2.99,2.34,-0.19,30,-1.1,9.69,-10.68,14.29,0.14,"FSR_0974.dat"
"FSR_0975",3.25,92,75,0.81,-1.31,0.64,-1.7,2.68,0.09,17,6.02,3.01,-2.25,7.5,0.39,"FSR_0975.dat"
"FSR_0977",2.3,41,36,0.88,1.48,0.18,-2.75,0.1,0.05,5,4.29,0.19,-12.66,5.5,0.79,"FSR_0977.dat"
"FSR_0979",1.95,31,26,0.85,0.82,2.38,-2.84,0.47,-0.52,5,2.37,6.75,-19.67,6.12,-0.89,"FSR_0979.dat"
"FSR_1031",2.4,38,27,0.71,1.02,0.1,0.14,0.9,0.23,11,1.17,10.49,-6.95,8.32,0.15,"FSR_1031.dat"
"FSR_1051",2.0,26,20,0.77,-1.08,0.1,-1.3,0.1,0.63,6,2.5,6.95,-2.6,6.52,-0.74,"FSR_1051.dat"
"FSR_1063",3.5,69,49,0.71,0.78,0.45,-1.35,0.72,0.61,20,1.92,6.63,-7.58,5.64,-0.6,"FSR_1063.dat"
"FSR_1085",3.0,98,88,0.89,-0.45,0.1,-0.07,0.1,-0.04,10,6.59,5.68,-5.94,6.47,0.85,"FSR_1085.dat"
"FSR_1183",4.0,136,115,0.85,-2.84,1.78,1.17,1.85,-0.08,21,-0.85,9.19,-0.14,9.53,-0.32,"FSR_1183.dat"
"FSR_1202",3.25,79,57,0.73,-1.1,1.12,1.01,1.24,-0.25,22,-3.77,6.84,-1.23,6.08,-0.33,"FSR_1202.dat"
"FSR_1204",1.6,23,17,0.76,-1.64,1.7,1.84,0.1,-0.05,6,2.09,0.1,0.79,13.68,0.26,"FSR_1204.dat"
"FSR_1234",3.4,104,79,0.76,-1.76,0.1,1.16,1.62,0.03,25,-4.01,9.93,2.37,7.19,-0.43,"FSR_1234.dat"
"FSR_1253",4.0,172,157,0.91,-1.97,1.05,1.3,0.82,-0.14,15,-1.1,4.27,4.71,6.44,-0.3,"FSR_1253.dat"
"FSR_1255",2.3,70,61,0.88,-1.53,1.65,1.43,2.05,-0.1,9,2.26,5.09,-4.61,4.64,0.53,"FSR_1255.dat"
"FSR_1270",4.95,253,192,0.76,-2.57,1.25,2.21,1.44,-0.17,61,-5.22,7.21,-0.89,7.75,-0.18,"FSR_1270.dat"
"FSR_1363",2.25,98,93,0.95,-1.88,1.03,1.88,0.1,-0.05,5,0.37,1.23,-11.4,3.86,-0.19,"FSR_1363.dat"
"FSR_1415",2.5,50,41,0.82,-5.27,0.23,4.71,1.51,-0.11,9,-12.11,11.61,3.88,14.16,-0.85,"FSR_1415.dat"
"FSR_1441",3.7,122,109,0.89,-5.28,1.62,3.0,2.12,-0.22,13,-2.8,4.73,-5.25,7.64,0.35,"FSR_1441.dat"
"FSR_1443",2.35,66,56,0.85,-5.65,1.61,5.2,1.62,-0.33,10,-9.26,6.87,-1.44,12.25,-0.61,"FSR_1443.dat"
"FSR_1471",6.5,99,72,0.73,-5.07,2.3,3.13,2.76,-0.64,27,-7.31,9.65,2.67,9.7,0.11,"FSR_1471.dat"
"FSR_1518",2.35,88,77,0.88,-4.17,2.74,2.12,2.38,-0.43,11,-3.41,10.93,2.38,9.34,0.01,"FSR_1518.dat"
"FSR_1535",2.1,62,51,0.82,-6.91,1.56,2.64,1.77,-0.03,11,-12.69,11.39,2.05,10.77,-0.47,"FSR_1535.dat"
"FSR_1595",2.2,98,77,0.79,-6.95,1.45,0.36,0.83,-0.16,21,-7.9,11.46,-2.21,2.5,-0.19,"FSR_1595.dat"
"FSR_1605",2.4,119,101,0.85,-6.63,3.01,-0.54,1.28,-0.07,18,-10.47,9.48,-4.55,3.04,-0.58,"FSR_1605.dat"
"FSR_1617",3.15,207,179,0.87,-7.37,3.12,-0.7,1.18,0.17,28,-7.76,7.43,0.39,8.65,-0.22,"FSR_1617.dat"
"FSR_1645",6.3,791,614,0.78,-6.33,2.05,-2.32,0.6,0.12,177,-10.05,8.1,-3.2,7.33,0.1,"FSR_1645.dat"
"FSR_1651",1.8,46,35,0.75,-7.66,3.03,-2.6,0.99,0.46,11,-8.33,7.3,-6.91,6.99,-0.38,"FSR_1651.dat"
"FSR_1657",1.7,66,47,0.71,-7.39,3.35,-1.68,1.0,-0.23,19,-9.22,11.26,-5.77,8.85,0.17,"FSR_1657.dat"
"FSR_1698",3.0,112,91,0.81,-2.68,3.12,-2.49,0.77,0.19,21,-3.97,3.86,-3.08,9.86,0.62,"FSR_1698.dat"
"FSR_1714",4.6,144,132,0.92,-3.48,3.45,-4.56,3.62,0.23,12,-8.45,9.04,-15.26,2.42,-0.92,"FSR_1714.dat"
"FSR_1715",2.8,96,73,0.76,-2.61,2.88,-3.48,1.77,0.15,23,-10.1,10.82,-8.18,13.83,0.13,"FSR_1715.dat"
"FSR_1732",1.9,71,62,0.88,-1.92,2.48,-4.2,3.05,0.19,9,3.61,10.15,-16.33,4.5,0.94,"FSR_1732.dat"
"FSR_1755",4.15,113,100,0.88,-0.57,3.75,-3.94,2.92,0.13,13,2.7,7.54,-1.69,12.51,-0.08,"FSR_1755.dat"
"Feibelman_1",3.5,171,145,0.85,-3.19,0.92,-4.21,0.97,-0.1,26,2.22,10.01,-1.42,11.64,0.42,"Feibelman_1.dat"
"Ferrero_10",6.0,213,178,0.84,-1.41,1.08,0.3,1.34,-0.21,35,-0.18,5.39,-5.74,3.79,-0.49,"Ferrero_10.dat"
"Ferrero_11",11.8,601,463,0.77,-1.55,2.49,-1.88,2.73,0.05,138,1.82,8.09,-5.99,10.01,-0.09,"Ferrero_11.dat"
"Graham_1",2.0,47,41,0.87,-6.93,0.84,1.65,0.1,-0.03,6,-15.32,0.1,3.28,6.44,-0.14,"Graham_1.dat"
"Haffner_11",4.5,149,117,0.78,-2.23,1.23,3.25,1.86,0.05,32,-6.81,5.15,5.27,7.76,0.08,"Haffner_11.dat"
"Haffner_13",8.0,514,405,0.79,-2.8,1.98,2.69,1.86,-0.3,109,-4.25,7.6,1.07,9.75,-0.01,"Haffner_13.dat"
"Haffner_14",6.0,281,256,0.91,-2.41,1.52,1.18,2.1,-0.23,25,-3.47,9.76,2.86,8.68,-0.06,"Haffner_14.dat"
"Haffner_15",3.0,81,68,0.84,-3.1,0.1,2.91,0.1,0.26,13,-4.24,4.5,7.41,5.12,-0.13,"Haffner_15.dat"
"Haffner_16",3.5,182,148,0.81,-2.06,1.05,2.62,1.07,-0.08,34,-1.89,5.59,4.9,10.12,-0.01,"Haffner_16.dat"
"Haffner_17",2.0,48,43,0.9,-1.53,0.86,1.85,0.94,-0.06,5,-11.62,6.46,15.52,4.84,-0.93,"Haffner_17.dat"
"Haffner_18",3.5,156,118,0.76,-2.18,0.71,2.96,0.74,0.05,38,-2.85,6.07,2.71,7.31,0.02,"Haffner_18.dat"
"Haffner_22",4.0,198,165,0.83,-2.64,0.1,2.92,0.1,-0.09,33,-4.2,3.45,3.46,6.21,-0.49,"Haffner_22.dat"
"Haffner_23",6.5,320,276,0.86,-1.8,1.36,1.55,1.58,-0.02,44,-2.19,6.38,0.17,7.73,-0.3,"Haffner_23.dat"
"Haffner_4",3.5,105,82,0.79,-1.86,0.84,1.42,0.71,0.14,23,-0.87,6.02,-1.75,5.57,0.09,"Haffner_4.dat"
"Haffner_6",4.0,139,116,0.84,-2.4,1.15,2.04,0.97,0.1,23,-5.35,3.22,3.77,6.85,-0.07,"Haffner_6.dat"
"Haffner_7",2.5,89,72,0.81,-1.85,1.41,2.33,1.74,-0.48,17,-0.07,5.74,6.17,9.89,-0.06,"Haffner_7.dat"
"Haffner_8",3.5,83,68,0.82,-2.34,0.45,0.97,1.58,-0.17,15,-2.35,9.5,1.52,8.82,-0.02,"Haffner_8.dat"
"Haffner_9",3.0,87,82,0.95,-2.35,1.88,0.18,1.59,-0.07,5,-0.84,2.52,-11.57,0.1,-0.59,"Haffner_9.dat"
"Harvard_13",3.5,243,194,0.8,-2.12,1.47,-4.58,3.06,0.4,49,-2.54,9.56,-2.49,10.46,-0.24,"Harvard_13.dat"
"Harvard_16",8.0,646,445,0.69,-1.49,0.19,-1.78,1.12,0.11,201,-1.25,5.95,-5.95,6.82,0.23,"Harvard_16.dat"
"Harvard_20",4.5,359,263,0.73,-4.16,1.54,-5.73,2.01,0.33,96,-2.84,8.83,-7.29,7.39,0.07,"Harvard_20.dat"
"Havlen_Moffat_1",3.5,178,134,0.75,-0.82,0.1,-2.76,0.1,0.08,44,-1.06,9.1,-5.79,8.41,0.3,"Havlen_Moffat_1.dat"
"Hogg_1",4.0,159,137,0.86,-5.3,2.55,3.27,2.18,-0.27,22,-12.82,12.86,-0.36,12.98,-0.8,"Hogg_1.dat"
"Hogg_11",2.0,91,80,0.88,-5.03,1.4,0.4,0.76,-0.13,11,-13.04,7.53,-4.5,5.16,-0.62,"Hogg_11.dat"
"Hogg_12",3.0,239,187,0.78,-6.54,0.1,0.81,0.1,-0.17,52,-8.6,6.34,0.7,2.69,0.05,"Hogg_12.dat"
"Hogg_13",2.5,119,89,0.75,-6.81,1.3,1.95,1.06,-0.25,30,-8.54,9.19,-1.89,6.16,-0.37,"Hogg_13.dat"
"Hogg_15",4.5,252,192,0.76,-6.2,1.32,-0.58,0.1,-0.12,60,-11.4,7.19,-0.63,4.28,0.11,"Hogg_15.dat"
"Hogg_16",4.0,241,201,0.83,-4.99,3.29,-3.27,0.1,0.03,40,-11.59,6.13,-5.66,8.68,0.48,"Hogg_16.dat"
"Hogg_17",3.0,109,71,0.65,-4.09,1.28,-2.94,0.65,0.21,38,-8.48,8.9,-7.22,7.2,0.21,"Hogg_17.dat"
"Hogg_19",3.0,185,161,0.87,-2.03,1.84,-3.24,1.16,0.13,24,-3.03,3.05,-7.86,9.12,0.58,"Hogg_19.dat"
"Hogg_2",4.0,148,122,0.82,-5.43,3.57,3.13,2.48,-0.47,26,-5.93,7.53,-1.65,8.21,0.13,"Hogg_2.dat"
"Hogg_20",3.0,185,152,0.82,-1.98,0.15,-3.48,0.9,0.36,33,-0.51,5.45,-2.9,5.48,0.17,"Hogg_20.dat"
"Hogg_21",3.0,154,115,0.75,-1.02,0.49,-2.75,0.37,-0.04,39,0.81,8.54,-5.13,3.76,0.3,"Hogg_21.dat"
"Hogg_22",2.5,134,112,0.83,-0.81,0.1,-2.22,0.1,0.14,22,-5.02,5.52,-5.51,4.7,-0.24,"Hogg_22.dat"
"Hogg_23",4.5,265,215,0.81,-7.69,2.17,-0.99,1.12,0.09,50,-11.66,7.55,-0.98,5.72,-0.1,"Hogg_23.dat"
"Hogg_6",2.5,124,104,0.84,-7.48,1.7,2.12,1.62,-0.24,20,-3.79,12.84,1.39,8.68,-0.3,"Hogg_6.dat"
"Hogg_7",3.0,195,153,0.78,-4.89,1.38,2.5,0.79,0.04,42,-6.05,8.2,2.0,5.89,-0.17,"Hogg_7.dat"
"Hogg_8",2.5,129,92,0.71,-6.4,1.89,3.4,0.47,0.27,37,-6.72,11.15,2.64,7.46,-0.05,"Hogg_8.dat"
"IC_1311",3.5,300,250,0.83,-3.12,2.86,-4.24,3.09,0.15,50,0.25,15.82,-3.59,17.73,-0.2,"IC_1311.dat"
"IC_1369",3.5,206,166,0.81,-4.7,0.1,-6.03,0.22,0.16,40,-1.46,6.66,-1.41,9.83,0.01,"IC_1369.dat"
"IC_1434",4.5,443,371,0.84,-5.07,2.13,-3.06,0.44,0.24,72,-3.15,10.27,-2.63,8.34,0.42,"IC_1434.dat"
"IC_1442",3.5,105,93,0.89,-2.81,2.47,-4.01,2.26,-0.05,12,-4.47,16.44,-7.68,11.93,0.98,"IC_1442.dat"
"IC_1590",3.0,92,75,0.81,-1.63,0.5,-1.26,0.1,0.01,17,2.75,7.35,-4.2,2.34,0.16,"IC_1590.dat"
"IC_166",4.5,293,266,0.91,-1.03,0.1,-0.18,1.84,0.1,27,8.75,11.76,-1.93,10.77,-0.04,"IC_166.dat"
"IC_1848",10.0,595,453,0.76,-0.53,0.87,0.12,1.06,-0.15,142,1.66,10.71,-1.89,8.17,-0.28,"IC_1848.dat"
"IC_2157",3.5,75,52,0.69,0.07,0.1,-5.26,0.14,-0.38,23,0.69,4.9,-5.27,5.94,0.26,"IC_2157.dat"
"IC_2395",10.3,684,511,0.75,-4.96,1.05,3.51,1.35,-0.25,173,-7.11,6.83,6.27,7.17,-0.24,"IC_2395.dat"
"IC_2488",10.0,943,661,0.7,-5.89,1.4,4.26,1.23,-0.32,282,-5.92,7.34,3.02,7.79,-0.34,"IC_2488.dat"
"IC_2581",3.5,224,166,0.74,-7.56,0.1,3.09,0.1,-0.38,58,-9.03,6.29,3.38,7.13,-0.13,"IC_2581.dat"
"IC_2714",8.0,794,605,0.76,-8.23,0.1,2.14,0.37,-0.1,189,-9.09,7.33,0.4,4.81,-0.2,"IC_2714.dat"
"IC_361",4.0,215,178,0.83,2.14,1.56,-2.43,1.54,0.11,37,4.35,9.97,-3.26,12.63,-0.28,"IC_361.dat"
"IC_4651",6.0,691,478,0.69,-2.42,0.89,-5.1,0.12,0.13,213,-1.83,5.81,-4.79,5.68,0.14,"IC_4651.dat"
"IC_4996",2.1,83,73,0.88,-3.24,0.1,-4.96,0.1,-0.33,10,-1.95,4.67,-4.27,4.99,-0.04,"IC_4996.dat"
"Ivanov_7",2.4,47,42,0.9,-1.84,1.94,1.04,1.76,-0.25,5,0.0,2.48,-10.5,9.78,-0.19,"Ivanov_7.dat"
"Kharchenko_1",4.5,183,132,0.72,2.13,0.1,-2.61,0.1,0.07,51,0.71,5.23,-4.69,5.6,-0.02,"Kharchenko_1.dat"
"Kharchenko_2",2.4,118,106,0.9,-0.76,0.94,-1.95,0.63,-0.07,12,-8.83,11.81,-5.27,8.25,0.27,"Kharchenko_2.dat"
"Kharchenko_3",5.0,365,267,0.73,-0.68,1.22,-1.65,1.03,0.07,98,-2.75,6.11,-5.43,7.11,0.12,"Kharchenko_3.dat"
"King_1",13.3,895,683,0.76,-3.03,2.15,-0.6,0.11,0.03,212,0.99,10.3,-2.85,6.89,0.07,"King_1.dat"
"King_10",3.0,121,84,0.7,-2.89,0.1,-1.66,0.1,0.69,37,-3.34,10.59,-1.51,3.97,-0.35,"King_10.dat"
"King_12",3.5,156,129,0.83,-2.14,1.57,-0.39,0.1,0.14,27,-2.29,8.58,-2.2,9.12,0.14,"King_12.dat"
"King_13",3.5,186,159,0.86,-2.44,0.92,-0.04,0.78,-0.02,27,-3.32,14.73,1.19,12.44,0.05,"King_13.dat"
"King_14",5.0,270,203,0.75,-3.05,1.05,-0.15,0.1,-0.1,67,-1.0,7.61,0.03,4.41,-0.04,"King_14.dat"
"King_15",2.5,71,61,0.86,-1.31,2.07,0.28,0.1,-0.09,10,-3.05,15.29,-9.01,1.74,-0.58,"King_15.dat"
"King_16",9.8,591,511,0.87,-2.11,1.56,-0.08,0.71,0.13,80,3.78,12.98,1.64,10.37,-0.04,"King_16.dat"
"King_17",4.25,135,106,0.79,1.08,1.45,-2.35,0.43,-0.05,29,-3.11,8.24,-4.95,8.24,-0.61,"King_17.dat"
"King_18",5.0,280,227,0.81,-2.33,1.96,-1.18,1.42,0.24,53,0.59,12.15,-4.35,7.06,0.14,"King_18.dat"
"King_19",3.5,113,106,0.94,-4.75,2.33,-2.36,1.31,0.29,7,-2.66,10.53,-7.53,10.51,0.99,"King_19.dat"
"King_20",4.0,131,91,0.7,-3.25,0.93,-2.96,0.1,0.02,40,-0.47,7.94,-2.85,4.93,0.14,"King_20.dat"
"King_23",4.6,174,134,0.77,-0.8,1.36,-1.4,1.21,0.05,40,-3.14,7.28,-1.65,8.79,0.0,"King_23.dat"
"King_26",3.2,82,65,0.8,-1.99,2.25,-3.18,1.87,0.05,17,-0.93,13.85,-4.41,17.07,0.43,"King_26.dat"
"King_5",8.1,293,231,0.79,0.47,1.82,-1.57,1.96,-0.08,62,4.31,8.51,-2.17,8.91,-0.37,"King_5.dat"
"King_7",4.5,114,92,0.81,0.79,1.7,0.06,1.51,-0.16,22,1.68,8.79,-6.11,4.4,0.06,"King_7.dat"
"King_9",2.5,85,64,0.75,-6.25,0.1,-3.09,2.22,0.0,21,-5.41,10.16,-3.24,10.29,0.09,"King_9.dat"
"Koposov_10",3.0,48,38,0.8,2.15,1.55,-2.92,0.56,-0.01,10,-1.87,0.42,-9.4,6.73,-0.62,"Koposov_10.dat"
"Koposov_12",5.6,176,128,0.73,1.72,0.6,-2.0,0.1,-0.05,48,3.59,6.23,-7.97,7.74,0.12,"Koposov_12.dat"
"Koposov_53",5.2,205,158,0.77,1.28,0.83,-2.38,1.99,-0.24,47,1.54,4.91,-7.61,7.03,0.1,"Koposov_53.dat"
"Koposov_77",3.4,57,49,0.86,0.04,2.21,-1.97,3.48,0.15,8,12.75,10.15,-12.2,11.49,0.29,"Koposov_77.dat"
"Kronberger_18",3.0,56,49,0.87,2.01,1.86,-3.89,2.76,0.1,7,-1.61,17.53,-14.21,14.04,-0.79,"Kronberger_18.dat"
"Kronberger_31",1.65,44,39,0.9,-0.97,3.58,-5.11,0.11,0.11,5,-2.91,0.99,-4.99,15.79,0.99,"Kronberger_31.dat"
"Kronberger_4",1.65,77,50,0.64,-2.3,1.31,-4.02,0.55,0.34,27,-2.94,9.17,-7.06,9.18,0.03,"Kronberger_4.dat"
"Kronberger_52",1.6,55,47,0.85,-3.35,2.3,-2.95,2.21,-0.08,8,10.43,2.19,-9.04,7.98,-0.52,"Kronberger_52.dat"
"Kronberger_57",2.1,30,23,0.77,-3.41,1.69,-4.94,3.32,0.29,7,0.2,14.78,1.22,21.3,0.33,"Kronberger_57.dat"
"Kronberger_68",2.1,86,68,0.79,-2.58,1.96,-5.41,2.37,0.41,18,-3.45,19.94,-1.04,7.06,-0.4,"Kronberger_68.dat"
"Kronberger_73",1.6,40,24,0.6,-1.99,0.1,-4.23,1.62,0.34,16,-2.32,24.27,1.99,22.22,-0.44,"Kronberger_73.dat"
"Loden_1",11.5,644,512,0.8,-5.46,3.59,2.32,2.57,-0.3,132,-6.89,9.16,2.48,9.06,-0.31,"Loden_1.dat"
"Loden_1002",5.0,476,405,0.85,-6.63,2.54,-2.68,1.58,0.17,71,-6.44,9.71,-3.3,6.23,-0.01,"Loden_1002.dat"
"Loden_1095",7.5,595,435,0.73,-5.82,3.1,-2.45,1.67,0.23,160,-9.0,10.16,-4.09,9.72,-0.01,"Loden_1095.dat"
"Loden_1101",6.0,376,318,0.85,-6.6,3.23,-2.69,1.86,0.01,58,-9.07,8.39,-5.85,7.65,0.52,"Loden_1101.dat"
"Loden_112",4.5,194,139,0.72,-7.73,1.58,2.53,0.72,-0.09,55,-10.34,8.01,2.27,7.24,-0.06,"Loden_112.dat"
"Loden_1152",6.5,579,450,0.78,-5.25,2.67,-2.68,1.79,0.15,129,-6.26,9.18,-4.21,5.69,0.07,"Loden_1152.dat"
"Loden_1171",6.5,487,383,0.79,-6.49,3.0,-2.42,1.46,0.09,104,-7.83,8.9,-4.55,6.2,0.13,"Loden_1171.dat"
"Loden_1177",7.5,783,628,0.8,-5.38,2.62,-2.14,1.62,0.22,155,-6.02,8.85,-5.06,7.8,0.05,"Loden_1177.dat"
"Loden_1194",8.0,588,457,0.78,-6.35,3.2,-2.92,2.15,0.18,131,-8.05,10.68,-5.31,10.09,0.2,"Loden_1194.dat"
"Loden_1202",4.5,180,147,0.82,-5.41,3.03,-2.66,2.45,-0.13,33,-14.77,8.77,-5.31,8.61,0.3,"Loden_1202.dat"
"Loden_1225",3.0,83,57,0.68,-5.51,3.55,-2.83,2.31,0.72,26,-6.72,9.89,-6.01,8.21,-0.32,"Loden_1225.dat"
"Loden_1256",6.0,265,213,0.8,-5.35,2.48,-2.89,1.12,0.01,52,-8.85,9.64,-5.97,5.94,0.24,"Loden_1256.dat"
"Loden_1282",2.75,60,45,0.75,-5.54,1.7,-2.57,0.98,0.11,15,-13.09,10.14,-8.29,3.81,0.27,"Loden_1282.dat"
"Loden_1339",3.0,145,120,0.83,-4.14,2.22,-3.39,1.11,0.23,25,-7.35,8.77,-5.02,6.36,0.23,"Loden_1339.dat"
"Loden_1375",7.0,706,564,0.8,-6.34,2.76,-3.59,1.69,0.18,142,-6.39,7.78,-5.42,7.41,0.27,"Loden_1375.dat"
"Loden_153",2.0,72,45,0.63,-7.08,1.0,2.64,0.1,0.2,27,-10.96,9.86,-0.26,8.19,-0.52,"Loden_153.dat"
"Loden_165",6.5,331,227,0.69,-6.94,1.77,2.13,1.72,-0.27,104,-10.67,8.12,2.48,6.91,-0.11,"Loden_165.dat"
"Loden_2313",11.5,1128,877,0.78,-3.43,2.72,-3.75,2.29,0.23,251,-5.39,8.07,-5.85,7.41,0.26,"Loden_2313.dat"
"Loden_27",2.75,37,30,0.81,-7.44,3.99,3.74,1.75,-0.35,7,4.7,0.1,0.04,12.61,-0.09,"Loden_27.dat"
"Loden_280",3.0,195,164,0.84,-7.33,1.51,2.29,0.11,-0.16,31,-10.85,5.86,0.35,4.16,-0.22,"Loden_280.dat"
"Loden_309",1.75,71,55,0.77,-7.63,1.02,0.96,0.1,0.0,16,-12.57,14.36,-3.46,10.08,-0.3,"Loden_309.dat"
"Loden_372",4.0,244,178,0.73,-7.45,1.42,0.14,0.34,-0.03,66,-8.32,8.91,-0.57,5.73,-0.25,"Loden_372.dat"
"Loden_402",6.0,880,700,0.8,-7.5,2.2,1.62,0.84,-0.1,180,-9.67,7.05,0.07,7.12,-0.22,"Loden_402.dat"
"Loden_466",2.75,160,123,0.77,-6.68,0.81,0.95,0.1,-0.36,37,-9.02,8.08,3.54,3.63,0.22,"Loden_466.dat"
"Loden_467",3.25,190,168,0.89,-7.22,1.71,-0.07,0.55,-0.17,22,-8.22,11.53,1.08,8.76,0.06,"Loden_467.dat"
"Loden_480",2.25,60,42,0.7,-7.86,3.04,0.39,1.96,0.09,18,-12.65,14.14,-6.34,6.98,-0.05,"Loden_480.dat"
"Loden_565",9.0,861,658,0.76,-7.3,2.48,-0.07,0.99,0.02,203,-10.17,7.97,-0.66,5.56,-0.1,"Loden_565.dat"
"Loden_615",2.25,83,72,0.87,-7.7,3.34,-0.64,1.29,0.06,11,-13.86,4.36,7.9,10.68,-0.61,"Loden_615.dat"
"Loden_848",6.5,1090,919,0.84,-6.52,2.25,-2.59,1.27,0.07,171,-7.9,10.02,-4.01,10.1,0.15,"Loden_848.dat"
"Loden_894",5.5,426,376,0.88,-7.18,3.5,-2.88,1.76,0.19,50,-5.02,13.52,-2.91,10.7,0.19,"Loden_894.dat"
"Loden_991",3.5,127,90,0.71,-6.87,2.74,-2.85,0.85,0.38,37,-9.54,9.82,-5.41,8.35,0.08,"Loden_991.dat"
"Loiano_1",4.0,172,120,0.7,-2.44,1.18,-4.08,2.9,0.01,52,-2.26,10.0,-7.1,11.73,0.08,"Loiano_1.dat"
"Lynga_1",2.5,96,81,0.85,-6.11,2.32,-2.67,1.36,0.48,15,-11.53,11.56,0.01,6.0,-0.01,"Lynga_1.dat"
"Lynga_11",5.5,483,382,0.79,-2.41,2.02,-3.3,2.07,0.11,101,-1.18,7.69,-3.86,9.35,0.12,"Lynga_11.dat"
"Lynga_12",5.0,325,224,0.69,-1.9,1.51,-4.14,1.85,0.14,101,-3.27,9.14,-6.69,7.36,0.15,"Lynga_12.dat"
"Lynga_13",5.5,445,353,0.79,-1.87,2.17,-4.09,2.21,0.17,92,-6.05,6.77,-7.11,9.37,0.14,"Lynga_13.dat"
"Lynga_15",5.0,441,334,0.76,-7.13,1.18,0.35,0.51,-0.02,107,-8.24,8.36,0.94,3.36,-0.06,"Lynga_15.dat"
"Lynga_2",7.5,425,328,0.77,-6.12,2.07,-3.83,1.07,0.19,97,-8.7,8.08,-5.07,6.05,0.22,"Lynga_2.dat"
"Lynga_3",3.5,123,88,0.72,-4.17,0.11,-3.44,0.1,0.05,35,-4.2,6.56,-5.89,6.15,0.41,"Lynga_3.dat"
"Lynga_4",4.0,79,53,0.68,-3.68,2.37,-5.07,2.74,0.18,26,-6.0,10.44,-4.2,8.63,0.26,"Lynga_4.dat"
"Lynga_5",6.0,393,314,0.8,-3.7,1.48,-3.54,1.72,0.24,79,-6.1,9.92,-7.81,8.36,-0.17,"Lynga_5.dat"
"Lynga_6",3.5,152,115,0.76,-1.89,0.1,-3.14,0.37,0.03,37,-2.67,4.7,-6.74,5.13,0.11,"Lynga_6.dat"
"Lynga_8",2.5,68,40,0.59,-3.12,1.08,-3.86,1.25,-0.15,28,-2.54,6.64,-7.13,9.65,0.49,"Lynga_8.dat"
"Majaess_133",3.0,266,208,0.78,-6.57,1.45,1.45,0.14,-0.05,58,-7.76,5.17,-0.83,8.82,-0.09,"Majaess_133.dat"
"Majaess_135",3.0,162,119,0.74,-6.96,2.47,2.33,1.39,-0.01,43,-8.09,10.56,1.71,6.33,0.02,"Majaess_135.dat"
"Majaess_166",3.0,63,51,0.81,-3.29,3.6,-3.74,2.75,0.58,12,-8.45,9.05,-5.87,9.97,-0.61,"Majaess_166.dat"
"Majaess_184",3.5,65,56,0.87,-0.57,2.27,-3.07,3.0,0.12,9,-1.81,8.71,-12.53,6.91,0.49,"Majaess_184.dat"
"Majaess_19",8.0,279,210,0.75,-0.1,3.65,-1.36,0.96,-0.07,69,1.07,12.16,-2.6,7.81,-0.35,"Majaess_19.dat"
"Majaess_190",3.0,33,24,0.73,0.17,1.08,-2.77,1.78,0.1,9,-5.61,6.25,-8.56,8.4,-0.5,"Majaess_190.dat"
"Majaess_211",3.5,137,121,0.89,-2.42,2.04,-3.97,2.75,-0.16,16,-0.99,12.63,-0.99,10.6,0.96,"Majaess_211.dat"
