"Name","Type","RA_ICRS","DE_ICRS","pmRA","pmDE","Plx","dataSource","Family","Age","RVcomb","Xhelio","Yhelio","Zhelio","U","V","W","e_Xhelio","e_Yhelio","e_Zhelio","e_U","e_V","e_W","nRVcomb","Mass16","Mass50","Mass84","nSNe16","nSNe50","nSNe84","nsg8M16","nsg8M50","nsg8M84","Weightsc","NameBoth","dist"
"CWNU_515","o",131.90219,-63.58269,-27.10149,14.77446,4.86874,"hunt","m6",21.30764,11.56531,32.59043,-195.69671,-43.91962,-25.91223,-13.12202,-13.55737,0.03814,0.22905,0.0514,0.32177,1.71164,0.34589,15.0,32.46806,42.30086,59.52993,0.0,0.0,1.0,0.0,0.0,1.0,0.39593,"CWNU_515",203.19516
"CWNU_519","o",313.93175,56.75454,5.01195,3.48955,3.072,"hunt","none",22.58979,-7.43964,-25.9271,317.62428,41.62954,-8.29061,-7.89612,-3.65047,0.02517,0.30837,0.04042,0.24664,2.46854,0.30646,48.0,225.61808,263.56666,332.18564,1.0,2.0,3.0,1.0,3.0,5.0,0.4921,"CWNU_519",321.38826
"CWNU_522","o",75.678,8.08101,0.88317,-4.48388,2.57477,"hunt","none",35.80478,17.92393,-350.34689,-76.48544,-128.96646,-14.09915,-10.86351,-8.75733,0.72914,0.15918,0.2684,1.15764,0.24056,0.41639,37.0,240.85337,300.99352,367.3001,1.0,3.0,4.0,1.0,3.0,5.0,0.99666,"CWNU_522",381.08439
"CWNU_1007","o",79.20777,18.47775,-0.26742,-5.64114,2.77364,"hunt","none",19.32257,24.3748,-350.11548,-32.23504,-69.57434,-22.22765,-10.71875,-10.27209,0.84083,0.07742,0.16709,1.7629,0.2303,0.32413,26.0,155.0267,183.77612,250.04353,0.0,1.0,3.0,0.0,2.0,3.0,0.3278,"CWNU_1007",358.41391
"CWNU_1015","o",76.54365,-3.33829,12.77541,-15.57028,5.76556,"hunt","alphaPer",34.16015,25.01412,-143.23996,-62.0372,-72.33149,-17.03922,-23.46237,-9.03897,0.16893,0.07316,0.0853,1.31725,0.392,0.71297,25.0,54.45295,75.63868,96.03656,0.0,1.0,2.0,0.0,1.0,2.0,0.76783,"CWNU_1015",172.04112
"CWNU_1020","o",135.00604,-54.50995,-10.58772,7.60754,2.24432,"hunt","m6",34.23241,16.78666,25.35921,-434.81833,-42.15945,-25.52041,-18.76634,-8.11621,0.04289,0.73537,0.0713,0.17217,0.89472,0.13357,24.0,207.5661,239.13827,322.4187,1.0,2.0,4.0,1.0,3.0,5.0,0.73527,"CWNU_1020",437.59284
"CWNU_1024","o",104.28551,-27.39179,-5.54542,6.01758,2.4955,"hunt","cr135",32.43561,21.87174,-204.12901,-329.61265,-75.07949,-23.44738,-8.64072,-8.74178,0.23861,0.38529,0.08776,0.37566,0.54399,0.15359,66.0,390.77284,458.13582,550.66609,3.0,4.0,6.0,3.0,5.0,7.0,0.6918,"CWNU_1024",394.90516
"CWNU_1034","o",113.6865,-25.57206,-7.82207,5.82758,2.1883,"hunt","m6",27.48974,30.90527,-224.79321,-396.39253,-20.99362,-31.92921,-16.73244,-9.86194,0.65225,1.15015,0.06091,0.38502,0.68581,0.10012,13.0,70.28774,107.01059,151.07134,0.0,1.0,2.0,0.0,1.0,2.0,0.49923,"CWNU_1034",456.17952
"CWNU_1044","o",129.93041,-51.85904,-11.64026,9.76139,2.7062,"hunt","m6",34.25118,20.08156,-4.1094,-359.45343,-39.22908,-26.82991,-17.77502,-8.77673,0.00395,0.34515,0.03767,0.11412,0.93347,0.14259,53.0,402.23146,450.59088,562.3833,3.0,4.0,6.0,3.0,4.0,7.0,0.73383,"CWNU_1044",361.61108
"CWNU_1055","o",328.83145,65.35246,5.66361,-0.31845,2.17475,"hunt","none",16.50108,-11.46678,-121.71791,427.54499,66.32967,-5.99095,-13.64866,-10.35444,0.3712,1.30387,0.20228,0.9056,3.33211,0.67284,9.0,71.55075,93.26626,135.16367,0.0,0.0,1.0,0.0,1.0,2.0,0.94931,"CWNU_1055",449.45477
