"ID","Name","OName","Cat","GLON","GLAT","RAJ2000","DEJ2000","Diam","l_Dist","Dist","e_Dist","r_Dist","l_Dnear","Dnear","e_Dnear","l_Dfar","Dfar","e_Dfar","Age","e_Age","r_Age","Mtype","Mflag","l_Sep","Sep","Flg","NameVlsr","Vlsr","r_Vlsr","l_KDist","KDist","e_KDist","l_KDnear","KDnear","e_KDnear","l_KDfar","KDfar","e_KDfar","KDA","r_KDA","SDist","e_SDist","r_SDist","f_SDist","ref2","Dias","Conf","HII","Bub","IRDC","noGL","SubCl","Complex","r_Complex","Comm1","Comm2","RA","DEC"
163,"VVV CL046","nan","14",320.334,-0.179,"15 10 08.0","-58 17 06",40,"nan",12.14,0.51,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,23,"G320.32-0.18",-9.3,249.0,"nan",12.14,0.51,"nan","nan","nan","nan","nan","nan","F","51*","nan","nan","nan","nan","nan","nan","nan","PMN J1510-5817","nan","nan",0,"nan","MC-01","nan","nan","nan",227.53333,-58.285
164,"Pismis 20","nan","01",320.516,-1.2,"15 15 23.0","-59 04 00",240,"nan",2.02,0.3,"S","nan","nan","nan","nan","nan","nan",7.31,2.56,"128","OC2","exp","nan",5.49,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",2.02,0.3,128.0,"nan","nan",128.0,"128","nan","nan","nan",1,"nan","nan","nan","nan","nan",228.84583,-59.06667
165,"VVV CL067","nan","14",320.576,0.112,"15 10 36.0","-57 54 42",60,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",2.43,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","S92","nan",0,"nan","nan","nan","nan","nan",227.65,-57.91167
166,"VVV CL049","nan","14",320.872,-0.398,"15 14 30.0","-58 11 49",60,"nan","nan","nan","K","nan",2.98,0.51,"nan",9.79,0.51,"nan","nan","nan","EC2","p-emb","nan",0.24,21,"G320.88-0.40",-44.8,253.0,"nan","nan","nan","nan",2.98,0.51,"nan",9.79,0.51,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","S91","nan",0,"nan","nan","nan","nan","nan",228.625,-58.19694
167,"MCM 60, MCM2005b 60","nan","09",321.123,-0.519,"15 16 36.0","-58 10 07",72,"nan",8.98,0.55,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC0","surr.bub-cen-trig","nan",1.2,14,"CH87 321.105-0.549",-56.0,51.0,"nan",8.98,0.55,"nan","nan","nan","nan","nan","nan","F","187*,(98),(51)",10.5,3.15,199.0,"nan","nan","nan","nan","CH87 321.105-0.549","Bub(ID:167)","nan",0,"nan","nan","nan","From Ref:199, we favor the solution consistent with the resolved kinematic distance ambiguity","nan",229.15,-58.16861
168,"VVV CL050","nan","14",321.738,-0.659,"15 21 06.0","-57 57 32",30,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,10,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",230.275,-57.95889
169,"G3CC 24","nan","17",321.937,-0.006,"15 19 43.2","-57 18 04",33,"nan",2.07,0.45,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb","nan",0.0,11,"G321.94-0.01",-31.6,249.0,"nan",2.07,0.45,"nan","nan","nan","nan","nan","nan","N","D","nan","nan","nan","nan","nan","nan","nan","nan","nan","SDC G321.936-0.003",0,"nan","MC-02","nan","nan","nan",229.93,-57.30111
170,"G3CC 25","nan","17",321.952,0.014,"15 19 44.6","-57 16 35",37,"nan",2.07,0.45,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb","nan",0.0,13,"G321.94-0.01",-31.6,249.0,"nan",2.07,0.45,"nan","nan","nan","nan","nan","nan","N","C","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","MC-02","nan","nan","nan",229.93583,-57.27639
171,"DBSB 93, DBS2003 93","nan","05",322.16,0.629,"15 18 37.0","-56 38 44",72,"nan",3.75,0.52,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,11,"G322.16+0.62",-55.5,249.0,"nan",3.75,0.52,"nan","nan","nan","nan","nan","nan","N","51,187*","nan","nan","nan","nan","nan","nan","nan","CH87 322.153+0.613","nan","nan",0,"nan","nan","nan","nan","nan",229.65417,-56.64556
172,"VVV CL051","nan","14",322.28,0.298,"15 20 39.0","-56 51 37",100,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",9.34,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",230.1625,-56.86028
173,"VVV CL052","nan","14",322.395,0.203,"15 21 44.0","-56 52 40",72,"nan","nan","nan","K","nan",1.87,0.45,"nan",11.17,0.45,"nan","nan","nan","EC2","p-emb.pah","nan",0.0,11,"IRAS 15178-5641",-28.5,84.0,"nan","nan","nan","nan",1.87,0.45,"nan",11.17,0.45,"nan","nan","nan","nan","nan","nan","nan","nan","nan","CH87 322.407+0.221","nan","nan",0,"nan","nan","nan","nan","nan",230.43333,-56.87778
174,"FSR2007 1701","nan","11",323.082,-0.423,"15 28 28.0","-57 01 12",50,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",21.69,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",232.11667,-57.02
175,"DBSB 141, DBS2003 141","nan","05",323.453,0.105,"15 28 32.0","-56 22 29",96,"nan",8.78,0.56,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,11,"G323.44+0.10",-65.1,253.0,"nan",8.78,0.56,"nan","nan","nan","nan","nan","nan","F?","187*","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",232.13333,-56.37472
176,"VVV CL053","nan","14",323.679,0.633,"15 27 45.0","-55 48 38",156,"nan","nan","nan","K","nan",3.1,0.48,"nan",10.17,0.48,"nan","nan","nan","OC0","few.pah","nan",0.55,11,"IRAS 15239-5538",-46.8,84.0,"nan","nan","nan","nan",3.1,0.48,"nan",10.17,0.48,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",231.9375,-55.81056
177,"VVV CL054","nan","14",323.918,0.03,"15 31 36.0","-56 10 20",108,"nan",9.56,0.49,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.bub-cen","nan",0.0,11,"IRAS 15277-5600",-56.0,43.0,"nan",9.56,0.49,"nan","nan","nan","nan","nan","nan","F?","187","nan","nan","nan","nan","nan","nan","nan","RMS G323.9158+00.0336","S84","nan",0,"nan","nan","nan","nan","nan",232.9,-56.17222
178,"DBSB 142, DBS2003 142","nan","05",324.163,0.229,"15 32 13.0","-55 52 06",72,"nan",6.67,0.5,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,14,"CH87 324.147+0.231",-91.0,51.0,"nan",6.67,0.5,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","CH87 324.147+0.231","nan","nan",0,"nan","KC-09","nan","nan","nan",233.05417,-55.86833
179,"DBSB 143, DBS2003 143","nan","05",324.198,0.118,"15 32 53.0","-55 56 21",46,"nan",6.67,0.5,"KC","nan","nan","nan","nan","nan","nan",1.0,0.35,"53","EC1","emb.pah","nan",0.0,11,"G324.20+0.12",-87.5,249.0,"nan",6.68,0.83,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","53","CH87 324.192+0.109","nan","nan",0,"nan","KC-09","nan","nan","nan",233.22083,-55.93917
180,"Lynga 4","nan","01",324.654,0.656,"15 33 19.0","-55 14 11",360,"nan",1.1,0.17,"S","nan","nan","nan","nan","nan","nan",1300.0,260.0,"35","OC2","exp",">",4.97,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.1,0.17,35.0,"nan","nan",35.0,"35","nan","nan","nan",0,"nan","nan","nan","nan","nan",233.32917,-55.23639
181,"Lynga 5","nan","01",324.79,-1.194,"15 41 54.0","-56 39 00",600,"nan",1.95,0.35,"S","nan","nan","nan","nan","nan","nan",50.0,15.0,"134","OC2","exp",">",2.99,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.95,0.35,134.0,"nan","nan","nan","134","nan","nan","nan",1,"nan","nan","nan","nan","nan",235.475,-56.65
182,"FSR2007 1703","nan","11",325.788,0.124,"15 41 55.0","-54 59 48",151,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",4.27,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",235.47917,-54.99667
183,"MCM 61, MCM2005b 61","nan","09",326.142,-0.371,"15 45 59.0","-55 10 28",84,"nan","nan","nan","K","nan",4.32,0.47,"nan",9.35,0.47,"nan","nan","nan","EC2","p-emb.pah","nan",0.0,14,"CH87 326.141-0.328",-65.0,51.0,"nan","nan","nan","nan",4.32,0.47,"nan",9.35,0.47,"nan","nan","nan","nan","nan","nan","nan","nan","nan","CH87 326.141-0.328","nan","nan",0,"nan","nan","nan","nan","nan",236.49583,-55.17444
184,"DBSB 94, DBS2003 94","nan","05",326.449,0.906,"15 42 18.0","-53 58 28",66,"nan",2.67,0.47,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.bub-cen","nan",0.0,11,"G326.45+0.91",-42.6,253.0,"nan",2.84,0.47,"nan","nan","nan","nan","nan","nan","N","51,75","nan","nan","nan","nan","nan","nan","nan","CH87 326.441+0.914","Bub(ID:184)","nan",0,"nan","KC-10","nan","nan","nan",235.575,-53.97444
185,"G3CC 26","nan","17",326.476,0.699,"15 43 18.0","-54 07 23",81,"nan",2.67,0.47,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb","nan",0.0,11,"G326.47+0.70",-40.2,253.0,"nan",2.68,0.47,"nan","nan","nan","nan","nan","nan","N","187,75,D","nan","nan","nan","nan","nan","nan","nan","nan","nan","SDC G326.476+0.706",0,"nan","KC-10","nan","nan","nan",235.825,-54.12306
186,"Teutsch 81","nan","02",326.586,-1.289,"15 52 27.6","-55 36 58",108,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",17.52,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,"nan","nan","nan","nan","nan",238.115,-55.61611
187,"VVV CL055","nan","14,17",326.608,0.799,"15 43 36.1","-53 57 48",47,"nan",2.67,0.47,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb","nan",0.0,11,"G326.61+0.80",-36.7,253.0,"nan",2.46,0.46,"nan","nan","nan","nan","nan","nan","N","C,D","nan","nan","nan","nan","nan","nan","nan","nan","nan","SDC G326.611+0.811",0,"nan","KC-10","nan","nan","nan",235.90042,-53.96333
188,"DBSB 96, DBS2003 96, DBSB 95, DBS2003 95","DBSB 95, DBS2003 95","05",326.652,0.579,"15 44 45.0","-54 06 41",178,"nan",2.67,0.47,"KC","nan","nan","nan","nan","nan","nan",1.75,0.61,"197","EC2","p-emb.pah","nan",0.0,11,"G326.66+0.59",-39.7,249.0,"nan",2.65,0.46,"nan","nan","nan","nan","nan","nan","N","51,75,187*,S",1.82,0.9,148.0,"nan","nan","nan","201","CH87 326.645+0.589","nan","nan",0,"nan","KC-10","nan","significantly overlaps DBSB 95, DBS2003 95, so it is considered the same cluster","nan",236.1875,-54.11139
189,"DBSB 97, DBS2003 97","nan","05",326.659,0.493,"15 45 09.0","-54 10 30",66,"nan",2.67,0.47,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb","nan",0.0,13,"G326.66+0.52",-39.6,249.0,"nan",2.65,0.46,"nan","nan","nan","nan","nan","nan","N","187*","nan","nan","nan","nan","nan","nan","nan","nan","S79","nan",0,"nan","KC-10","nan","nan","nan",236.2875,-54.175
190,"MCM 62, MCM2005b 62","nan","09",326.675,0.528,"15 45 05.0","-54 08 14",216,"nan",2.67,0.47,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.bub-cen","nan",0.12,11,"G326.66+0.52",-39.6,249.0,"nan",2.65,0.46,"nan","nan","nan","nan","nan","nan","N","187*","nan","nan","nan","nan","nan","nan","nan","nan","S79","nan",0,"nan","KC-10","nan","nan","nan",236.27083,-54.13722
191,"IRAS 15411-5352","nan","15",326.727,0.617,"15 44 59.7","-54 02 05",27,"nan",2.67,0.47,"KC","nan","nan","nan","nan","nan","nan",1.75,0.61,"197","EC1","emb.pah","nan",0.0,11,"G326.72+0.61",-41.5,249.0,"nan",2.77,0.47,"nan","nan","nan","nan","nan","nan","N","187,75","nan","nan","nan","nan","nan","nan","202","Wray 16-185","nan","nan",0,"nan","KC-10","nan","nan","nan",236.24875,-54.03472
192,"G3CC 27","nan","17",326.796,0.385,"15 46 20.3","-54 10 35",54,"nan",1.4,0.48,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb","nan",0.0,11,"G326.80+0.38",-20.7,253.0,"nan",1.4,0.48,"nan","nan","nan","nan","nan","nan","N","D","nan","nan","nan","nan","nan","nan","nan","nan","nan","SDC G326.796+0.386",0,"nan","nan","nan","nan","nan",236.58458,-54.17639
193,"MCM 63, MCM2005b 63","nan","09",326.904,-0.298,"15 49 50.0","-54 38 42",96,"nan",3.05,0.46,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb","nan",0.0,11,"G326.92-0.30",-45.8,253.0,"nan",3.05,0.46,"nan","nan","nan","nan","nan","nan","N","187*,D","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",237.45833,-54.645
194,"VVV CL056","nan","14",327.262,-0.5,"15 52 38.0","-54 34 38",54,"nan",3.23,0.45,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC0","surr.pah","nan",1.32,23,"G327.27-0.54",-49.9,253.0,"nan",3.33,0.45,"nan","nan","nan","nan","nan","nan","N","C","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","KC-11","nan","nan","nan",238.15833,-54.57722
195,"DBSB 146, DBS2003 146","nan","05",327.306,-0.545,"15 53 04.0","-54 35 03",122,"nan",3.23,0.45,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"G327.30-0.55",-46.8,249.0,"nan",3.13,0.45,"nan","nan","nan","nan","nan","nan","N","51,187*","nan","nan","nan","nan","nan","nan","nan","CH87 327.313-0.536","nan","nan",0,"nan","KC-11","nan","nan","nan",238.26667,-54.58417
196,"MCM 64, MCM2005b 64","nan","09",327.553,-0.827,"15 55 37.0","-54 38 38",24,"nan",2.61,0.46,"S","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC1","exp","nan",5.99,21,"G327.57-0.85",-36.2,249.0,"nan",2.45,0.46,"nan","nan","nan","nan","nan","nan","N","93,S",2.61,0.46,181.0,"nan","nan","nan","nan","RCW 98","S73","nan",0,"nan","nan","nan","nan","nan",238.90417,-54.64389
197,"DBSB 147, DBS2003 147","nan","05",327.759,-0.351,"15 54 37.0","-54 08 47",48,"nan",4.92,0.49,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,11,"G327.77-0.35",-74.5,249.0,"nan",4.92,0.49,"nan","nan","nan","nan","nan","nan","N","187","nan","nan","nan","nan","nan","nan","nan","CH87 327.759-0.351","nan","nan",0,"nan","nan","nan","nan","nan",238.65417,-54.14639
198,"FSR2007 1709","nan","11",327.95,-0.794,"15 57 34.0","-54 21 47",662,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","few","nan",0.77,1,"MSXDC G327.98-0.70 a",-40.9,108.0,"nan",2.76,0.46,"nan","nan","nan","nan","nan","nan","N","D","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",239.39167,-54.36306
199,"DBSB 148, DBS2003 148","nan","05",327.992,-0.089,"15 54 42.0","-53 47 46",70,"nan",10.93,0.45,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,14,"CH87 327.985-0.086",-45.0,51.0,"nan",10.93,0.45,"nan","nan","nan","nan","nan","nan","F","187*","nan","nan","nan","nan","nan","nan","nan","CH87 327.985-0.086","S71","nan",0,"nan","nan","nan","nan","nan",238.675,-53.79611
200,"ASCC 83","nan","01",328.102,1.106,"15 50 13.0","-52 48 00",1512,"nan",0.6,0.09,"S","nan","nan","nan","nan","nan","nan",251.0,116.0,"116","OC2","few","nan",0.39,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.6,0.09,116.0,"nan","nan",116.0,"116","nan","nan","nan",1,"nan","nan","nan","nan","nan",237.55417,-52.8
201,"G3CC 28","nan","17",328.165,0.587,"15 52 42.6","-53 09 48",31,"nan",6.33,0.66,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb","nan",0.0,11,"G328.16+0.59",-93.0,253.0,"nan",6.37,0.62,"nan","nan","nan","nan","nan","nan","NT","C","nan","nan","nan","nan","nan","nan","nan","RMS G328.1642+00.5867 (UC)","nan","nan",0,"nan","KC-12","nan","nan","nan",238.1775,-53.16333
202,"MCM 65, MCM2005b 65","nan","09",328.191,-0.569,"15 57 50.0","-54 02 09",144,"nan",2.97,0.45,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,11,"IRAS 15539-5353",-42.5,43.0,"nan",2.87,0.46,"nan","nan","nan","nan","nan","nan","N","C,(187*)","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","KC-13","nan","nan","nan",239.45833,-54.03583
203,"MCM 66, MCM2005b 66","nan","09",328.196,-0.477,"15 57 27.0","-53 57 44",120,"nan",2.97,0.45,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.bub-cen","nan",0.0,10,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Bub(ID:203)","nan",0,"nan","KC-13","nan","nan","nan",239.3625,-53.96222
204,"G3CC 29","nan","17",328.252,-0.531,"15 57 58.9","-53 58 02",58,"nan",2.97,0.45,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb","nan",0.0,11,"G328.26-0.53",-44.1,249.0,"nan",2.97,0.45,"nan","nan","nan","nan","nan","nan","N","C,D,(187)","nan","nan","nan","nan","nan","nan","nan","nan","nan","MSXDC G328.25-00.51",0,"nan","KC-13","nan","nan","nan",239.49542,-53.96722
205,"DBSB 149, DBS2003 149","nan","05",328.31,0.431,"15 54 07.0","-53 11 32",80,"nan",6.33,0.66,"KC","nan","nan","nan","nan","nan","nan",1.0,0.35,"53","EC1","emb.pah","nan",0.0,11,"G328.31+0.43",-91.4,249.0,"nan",6.3,0.71,"nan","nan","nan","nan","nan","nan","NT","75",5.8,2.92,148.0,"nan","nan","nan","53","CH87 328.310+0.448","nan","nan",0,"nan","KC-12","nan","nan","nan",238.52917,-53.19222
206,"MCM 67, MCM2005b 67","nan","09",328.312,-0.589,"15 58 33.0","-53 58 21",120,"nan",2.97,0.45,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC0","surr.bub-cen","nan",0.65,14,"CH87 328.283-0.586",-43.0,51.0,"nan",2.9,0.45,"nan","nan","nan","nan","nan","nan","N","C,(187*)","nan","nan","nan","nan","nan","nan","nan","CH87 328.283-0.586","Bub(ID:206)","nan",0,"nan","KC-13","nan","nan","nan",239.6375,-53.9725
207,"Moffat 1","nan","01",328.547,-0.981,"16 01 30.0","-54 07 00",420,"nan",2.1,0.31,"S","nan","nan","nan","nan","nan","nan",10.0,3.5,"147","OC2","exp","nan",3.03,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",2.1,0.31,147.0,"nan","nan",147.0,"147","nan","nan","nan",0,"nan","nan","nan","nan","nan",240.375,-54.11667
208,"DBSB 98, DBS2003 98","nan","05",328.574,-0.529,"15 59 38.0","-53 45 25",99,"nan",2.97,0.45,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"G328.57-0.53",-46.6,249.0,"nan",3.14,0.44,"nan","nan","nan","nan","nan","nan","N","S,51,(187)",3.55,1.82,181.0,"nan","nan","nan","nan","CH87 328.593-0.518","nan","nan",0,"nan","KC-13","nan","nan","nan",239.90833,-53.75694
209,"DBSB 150, DBS2003 150","nan","05",328.79,-0.079,"15 58 46.0","-53 16 27",93,"nan","nan","nan","K","nan",3.17,0.44,"nan",10.91,0.44,"nan","nan","nan","OC0","surr","nan",1.97,24,"CH87 328.806-0.083",-47.0,51.0,"nan","nan","nan","nan",3.17,0.44,"nan",10.91,0.44,"nan","nan","nan","nan","nan","nan","nan","nan","nan","CH87 328.806-0.083","nan","nan",0,"nan","nan","nan","nan","nan",239.69167,-53.27417
210,"MCM 68, MCM2005b 68, FSR2007 1712","FSR2007 1712","09,11",328.808,0.879,"15 54 46.1","-52 31 47",53,"nan",1.8,0.3,"S","nan","nan","nan","nan","nan","nan",1000.0,600.0,"85","OC2","exp","nan",18.03,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.8,0.3,85.0,"nan","nan","nan","85","nan","nan","nan",0,"nan","nan","nan","nan","nan",238.69208,-52.52972
211,"G3CC 30","nan","17",328.809,0.635,"15 55 48.4","-52 43 00",82,"nan",2.8,0.46,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb","nan",0.0,11,"G328.81+0.63",-41.3,249.0,"nan",2.8,0.46,"nan","nan","nan","nan","nan","nan","N","187,75,98,D","nan","nan","nan","nan","nan","nan","nan","CH87 328.812+0.637","nan","MSXDC G328.80+00.64",0,"nan","nan","nan","nan","nan",238.95167,-52.71667
212,"Trumpler 23","nan","01",328.851,-0.477,"16 00 49.0","-53 32 10",300,"nan",1.9,0.28,"S","nan","nan","nan","nan","nan","nan",900.0,180.0,"35","OC2","exp","nan",3.01,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.9,0.28,35.0,"nan","nan",35.0,"35","nan","nan","nan",0,"nan","nan","nan","nan","nan",240.20417,-53.53611
213,"VVV CL057","nan","14",329.109,-0.49,"16 02 11.0","-53 22 37",28,"nan","nan","nan","K","nan",5.07,0.46,"nan",9.05,0.46,"nan","nan","nan","EC1","emb.pah","nan",0.0,11,"IRAS 15583-5314",-77.6,84.0,"nan","nan","nan","nan",5.07,0.46,"nan",9.05,0.46,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",240.54583,-53.37694
214,"G3CC 31","nan","17",329.184,-0.313,"16 01 47.0","-53 11 40",73,"nan",3.31,0.43,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb","nan",0.0,11,"G329.18-0.32",-49.1,249.0,"nan",3.31,0.43,"nan","nan","nan","nan","nan","nan","N","D","nan","nan","nan","nan","nan","nan","nan","nan","nan","MSXDC G329.18-00.32",0,"nan","nan","nan","nan","nan",240.44583,-53.19444
215,"NGC 6031","nan","01",329.281,-1.498,"16 07 35.0","-54 00 54",180,"nan",1.82,0.27,"S","nan","nan","nan","nan","nan","nan",117.0,23.0,"128","OC2","exp",">",4.06,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.82,0.27,128.0,"nan","nan",128.0,"128","nan","nan","nan",0,"nan","nan","nan","nan","nan",241.89583,-54.015
216,"CMG2010 G329.337+0.147","nan","15",329.338,0.147,"16 00 33.1","-52 44 46",84,"nan",7.08,0.5,"KC","nan","nan","nan","nan","nan","nan",1.0,0.35,"53","EC1","emb","nan",0.0,11,"G329.34+0.15",-107.5,253.0,"nan",7.08,0.5,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","53","CH87 329.353+0.144","nan","nan",0,"nan","KC-14","nan","nan","nan",240.13792,-52.74611
217,"VVV CL058","nan","14",329.422,-0.163,"16 02 19.0","-52 55 28",56,"nan",9.21,0.45,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"IRAS 15584-5247",-76.1,43.0,"nan",9.21,0.45,"nan","nan","nan","nan","nan","nan","F","187,(75)","nan","nan","nan","nan","nan","nan","nan","RMS G329.4213-00.1619","nan","nan",0,"nan","nan","nan","nan","nan",240.57917,-52.92444
218,"DBSB 151, DBS2003 151","nan","05",329.474,0.216,"16 00 56.0","-52 36 17",36,"nan",7.08,0.5,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"G329.47+0.22",-99.9,253.0,"nan",7.09,0.84,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","CH87 329.489+0.207","nan","nan",0,"nan","KC-14","nan","nan","nan",240.23333,-52.60472
219,"MCM 69, MCM2005b 69","nan","09",329.656,-0.481,"16 04 53.0","-53 00 30",108,"nan",2.33,0.46,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC0","surr.bub-cen","nan",1.04,13,"MSXDC G329.65-0.38 a",-33.5,108.0,"nan",2.33,0.46,"nan","nan","nan","nan","nan","nan","N","108","nan","nan","nan","nan","nan","nan","nan","nan","S69","nan",0,"nan","nan","nan","nan","nan",241.22083,-53.00833
220,"MCM 70, MCM2005b 70","nan","09",329.696,0.585,"16 00 27.0","-52 10 49",48,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",11.34,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",240.1125,-52.18028
221,"G3CC 32","nan","17",330.031,1.043,"16 00 09.4","-51 36 52",56,"nan",3.32,0.43,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb","nan",0.0,11,"G330.03+1.05",-48.9,249.0,"nan",3.32,0.43,"nan","nan","nan","nan","nan","nan","N","187*,D","nan","nan","nan","nan","nan","nan","nan","nan","nan","MSXDC G330.03+01.05",0,"nan","nan","nan","nan","nan",240.03917,-51.61444
222,"DBSB 152, DBS2003 152","nan","05",330.127,0.974,"16 00 55.0","-51 36 16",48,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",11.51,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",240.22917,-51.60444
