"ID","Name","OName","Cat","GLON","GLAT","RAJ2000","DEJ2000","Diam","l_Dist","Dist","e_Dist","r_Dist","l_Dnear","Dnear","e_Dnear","l_Dfar","Dfar","e_Dfar","Age","e_Age","r_Age","Mtype","Mflag","l_Sep","Sep","Flg","NameVlsr","Vlsr","r_Vlsr","l_KDist","KDist","e_KDist","l_KDnear","KDnear","e_KDnear","l_KDfar","KDfar","e_KDfar","KDA","r_KDA","SDist","e_SDist","r_SDist","f_SDist","ref2","Dias","Conf","HII","Bub","IRDC","noGL","SubCl","Complex","r_Complex","Comm1","Comm2","RA","DEC"
351,"Trumpler 24","nan","01",344.701,1.496,"16 57 00.0","-40 40 00",3600,"nan",1.14,0.17,"S","nan","nan","nan","nan","nan","nan",8.3,2.9,"128","OC0","few*","nan",0.36,1,"G344.8889+01.4349",-13.4,187.0,"nan",1.54,0.76,"nan","nan","nan","nan","nan","nan","N","51,187,z",1.14,0.17,128.0,"nan","nan",128.0,"128","CH87 345.031+1.540","nan","nan",0,"nan","nan","nan","nan","nan",254.25,-40.66667
352,"MCM 86, MCM2005b 86","nan","09",344.769,-0.281,"17 04 40.0","-41 42 21",72,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",3.96,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",256.16667,-41.70583
353,"VDBH 211, BH 211","nan","01",344.966,0.458,"17 02 11.0","-41 06 00",240,"nan",1.38,0.21,"S","nan","nan","nan","nan","nan","nan",1585.0,317.0,"46","OC2","exp","nan",2.06,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.38,0.21,46.0,"nan","nan","nan","46","nan","nan","nan",0,"nan","nan","nan","nan","nan",255.54583,-41.1
354,"G3CC 40","nan","17",344.996,-0.224,"17 05 09.7","-41 29 26",75,"nan",2.87,0.58,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb","nan",0.0,11,"G345.00-0.23",-27.1,249.0,"nan",2.87,0.58,"nan","nan","nan","nan","nan","nan","N","187,75,D","nan","nan","nan","nan","nan","nan","nan","GBM2006 17016-4124 (UC)","nan","SDC G345.000-0.232",0,"nan","nan","nan","nan","nan",256.29042,-41.49056
355,"DBSB 113, DBS2003 113","nan","05",345.204,1.027,"17 00 35.0","-40 33 44",119,"nan",1.61,0.78,"CV(Ref:131)","nan","nan","nan","nan","nan","nan",2.75,0.96,"197","EC2","p-emb.pah","nan",0.0,11,"G345.20+1.03",-15.0,249.0,"nan",1.74,0.75,"nan","nan","nan","nan","nan","nan","N","C,51,187,75,S,z",2.38,1.3,148.0,"nan","nan","nan","197","RCW 116B","nan","nan",0,"nan","G345.5+1.0","131","nan","nan",255.14583,-40.56222
356,"DBSB 114, DBS2003 114","nan","05",345.322,1.462,"16 59 10.0","-40 12 05",115,"nan",1.61,0.78,"CV(Ref:131)","nan","nan","nan","nan","nan","nan",2.5,0.88,"219","EC2","p-emb.pah","nan",0.15,14,"CH87 345.308+1.471",-15.0,51.0,"nan",1.75,0.75,"nan","nan","nan","nan","nan","nan","N","C,51,z","nan","nan","nan","nan","nan","nan","219","CH87 345.308+1.471","nan","nan",0,"nan","G345.5+1.0","131","nan","nan",254.79167,-40.20139
357,"MCM 87, MCM2005b 87","nan","09",345.356,-0.129,"17 05 55.0","-41 08 47",96,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",2.02,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",256.47917,-41.14639
358,"DBSB 117, DBS2003 117","nan","05",345.388,1.397,"16 59 39.0","-40 11 22",114,"nan",1.61,0.78,"CV(Ref:131)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.17,11,"IRAS 16561-4006",-11.9,43.0,"nan",1.4,0.81,"nan","nan","nan","nan","nan","nan","N","C,51,z","nan","nan","nan","nan","nan","nan","nan","CH87 345.404+1.406","nan","nan",0,"nan","G345.5+1.0","131","nan","nan",254.9125,-40.18944
359,"DBSB 116, DBS2003 116","nan","05",345.404,-0.948,"17 09 34.0","-41 35 58",116,"nan",2.23,0.7,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"G345.41-0.95",-19.6,249.0,"nan",2.23,0.7,"nan","nan","nan","nan","nan","nan","N","51,98,z","nan","nan","nan","nan","nan","nan","220","CH87 345.425-0.940","nan","nan",0,"nan","nan","nan","nan","nan",257.39167,-41.59944
360,"MCM 88, MCM2005b 88","nan","09",345.492,0.306,"17 04 31.0","-40 46 31",108,"nan",1.61,0.78,"CV(Ref:131)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,11,"G345.49+0.32",-17.3,249.0,"nan",2.01,0.73,"nan","nan","nan","nan","nan","nan","N","C,187,216,90","nan","nan","nan","nan","nan","nan","nan","GBM2006 17009-4042 (UC)","nan","nan",0,"nan","G345.5+1.0","131","nan","nan",256.12917,-40.77528
