"Cluster","Fe","Fe_err","Reference","X_XYZ_low","X_XYZ_med","X_XYZ_up","Y_XYZ_low","Y_XYZ_med","Y_XYZ_up","Z_XYZ_low","Z_XYZ_med","Z_XYZ_up","U_LSR_low","U_LSR_med","U_LSR_up","V_LSR_low","V_LSR_med","V_LSR_up","W_LSR_low","W_LSR_med","W_LSR_up","R_Rzphi_low","R_Rzphi_med","R_Rzphi_up","phi_Rzphi_low","phi_Rzphi_med","phi_Rzphi_up","z_Rzphi_low","z_Rzphi_med","z_Rzphi_up","vR_Rzphi_low","vR_Rzphi_med","vR_Rzphi_up","vphi_Rzphi_low","vphi_Rzphi_med","vphi_Rzphi_up","vz_Rzphi_low","vz_Rzphi_med","vz_Rzphi_up","vT_Rzphi_low","vT_Rzphi_med","vT_Rzphi_up","J_R_low","J_R_med","J_R_up","L_Z_low","L_Z_med","L_Z_up","J_Z_low","J_Z_med","J_Z_up","ecc_low","ecc_med","ecc_up","zmax_low","zmax_med","zmax_up","R_peri_low","R_peri_med","R_peri_up","R_ap_low","R_ap_med","R_ap_up","Energy_low","Energy_med","Energy_up","Rguid_low","Rguid_med","Rguid_up"
"NGC_7044",-0.12244,0.02,"SPA-Casali",7.91385,7.91679,7.91972,3.60368,3.6445,3.68561,-0.24384,-0.24084,-0.23786,123.83212,125.26844,126.72901,-58.32153,-57.88902,-57.45062,0.37515,0.48442,0.59154,8.70106,8.71539,8.72999,0.42703,0.43143,0.43585,-0.24384,-0.24084,-0.23786,-47.61831,-47.21064,-46.8015,222.75945,223.58982,224.40843,7.24122,7.35196,7.45988,222.75945,223.58982,224.40843,31.83102,32.41534,33.03188,1938.50677,1948.74234,1958.74238,2.15329,2.1908,2.22868,0.15477,0.15594,0.15712,0.29296,0.2972,0.30151,7.35587,7.39554,7.43454,10.06023,10.12765,10.19576,-42719.18892,-42437.8108,-42161.51944,8.49878,8.54897,8.59807
"NGC_7058",0.03,0.04,"APOGEE",8.19641,8.19646,8.19651,0.36489,0.36579,0.36669,0.0289,0.02891,0.02892,-11.79051,-11.71025,-11.62837,-19.86337,-19.69019,-19.51996,-5.82149,-5.74683,-5.67035,8.20453,8.20462,8.2047,0.04449,0.0446,0.04471,0.0289,0.02891,0.02892,10.41312,10.50542,10.59766,221.12897,221.30147,221.4701,1.4642,1.53897,1.61549,221.12897,221.30147,221.4701,3.01496,3.08772,3.16226,1814.27932,1815.69625,1817.08169,0.04521,0.04666,0.04822,0.04962,0.05023,0.05085,0.03498,0.03554,0.03613,7.51164,7.5224,7.53308,8.31546,8.31815,8.32092,-47341.83124,-47303.63585,-47265.88572,7.89516,7.90199,7.90866
"NGC_7062",0.01,0.01,"APOGEE",8.17674,8.17675,8.17677,2.48032,2.51038,2.54075,-0.09674,-0.09529,-0.09385,49.44221,50.05652,50.68159,-24.43984,-22.93838,-21.45606,-17.50039,-17.22528,-16.96736,8.54467,8.55344,8.56238,0.29452,0.29788,0.30127,-0.09674,-0.09529,-0.09385,5.1655,5.65874,6.15392,225.18317,226.62899,228.05026,-10.40481,-10.12789,-9.86889,225.18317,226.62899,228.05026,0.48795,0.53739,0.63923,1925.87092,1938.519,1951.16702,1.007,1.05312,1.10234,0.0194,0.02035,0.02221,0.17259,0.1772,0.18214,8.27247,8.34632,8.39997,8.62979,8.68002,8.7524,-44243.20926,-43905.1763,-43563.81512,8.4369,8.49883,8.56087
"NGC_7082",-0.14244,0.05,"SPA-Zhang",8.20477,8.20488,8.205,1.36406,1.36974,1.37542,-0.04361,-0.04333,-0.04305,6.75013,6.82268,6.89686,-27.66454,-24.89634,-22.15913,-2.79832,-2.653,-2.50686,8.31739,8.31843,8.31948,0.16474,0.16542,0.16609,-0.04361,-0.04333,-0.04305,17.4328,17.95761,18.4788,213.61352,216.34154,219.0343,4.43106,4.57611,4.72218,213.61352,216.34154,219.0343,7.02492,8.38573,10.16629,1776.96241,1799.63338,1822.02944,0.20757,0.21657,0.22584,0.07554,0.08295,0.0918,0.07701,0.07838,0.07982,7.06307,7.22214,7.37311,8.49063,8.52878,8.57812,-48143.9503,-47548.9604,-46954.60243,7.71601,7.82472,7.9325
"NGC_7209",-0.03244,0.04,"SPA-Zhang",8.29363,8.294,8.29437,1.20031,1.20416,1.208,-0.13002,-0.12953,-0.12903,-9.62898,-9.56693,-9.50584,-20.43388,-20.0972,-19.76382,-4.12827,-4.0655,-4.00495,8.38004,8.38096,8.38187,0.14373,0.14418,0.14462,-0.13002,-0.12953,-0.12903,30.10416,30.26847,30.431,218.74003,219.06598,219.39339,3.1511,3.21375,3.27416,218.74003,219.06598,219.39339,14.3054,14.45597,14.61074,1833.2339,1835.98962,1838.71419,0.68831,0.69303,0.69773,0.1071,0.10769,0.10831,0.14688,0.1474,0.14792,7.20497,7.21976,7.23452,8.95072,8.9624,8.97435,-46309.61369,-46235.23977,-46161.89281,7.98656,7.99987,8.01304
"NGC_7245",0.07962,0.056,"OCCASO",8.89121,8.9003,8.90952,3.54449,3.58969,3.63547,-0.09341,-0.09192,-0.09045,100.19729,101.28873,102.40545,-55.28499,-54.92776,-54.56206,-5.96425,-5.8124,-5.66419,9.57168,9.59694,9.62269,0.37934,0.38337,0.38742,-0.09341,-0.09192,-0.09045,-34.71651,-34.52041,-34.32569,214.03056,214.83482,215.61882,0.9746,1.12796,1.27894,214.03056,214.83482,215.61882,21.32795,21.78861,22.27691,2048.78629,2061.75267,2074.67111,0.25749,0.26357,0.26982,0.1234,0.12502,0.12673,0.09817,0.09974,0.10133,8.01465,8.08367,8.15142,10.33695,10.39255,10.45037,-40385.41213,-40081.70351,-39780.43257,9.04293,9.10737,9.17167
"NGC_752",-0.04,0.01,"APOGEE",8.4777,8.47831,8.47891,0.27938,0.27995,0.28051,-0.15098,-0.15063,-0.15027,-17.77682,-17.42025,-17.05908,-20.67228,-20.33386,-19.99652,-19.52287,-19.30681,-19.08885,8.48231,8.48293,8.48355,0.03294,0.03301,0.03307,-0.15098,-0.15063,-0.15027,13.29118,13.66761,14.03545,220.24941,220.57495,220.89994,-12.21861,-12.0036,-11.78657,220.24941,220.57495,220.89994,4.05763,4.09927,4.14279,1868.36916,1871.14027,1873.87332,1.78132,1.81927,1.85815,0.05677,0.05706,0.05737,0.23397,0.23689,0.23988,7.73136,7.74504,7.75839,8.66774,8.68185,8.69646,-45636.86743,-45557.53051,-45479.19865,8.15667,8.17012,8.1834
"NGC_7762",-0.0144,0.037,"OCCASO",8.63074,8.63155,8.63237,0.88131,0.8829,0.88449,0.12792,0.1281,0.12829,11.4128,11.485,11.55888,-46.92981,-46.80633,-46.68149,12.061,12.1106,12.16287,8.67562,8.67659,8.67757,0.10176,0.10193,0.10211,0.12792,0.1281,0.12829,-2.81434,-2.71951,-2.62336,195.60938,195.72619,195.84441,19.27573,19.32533,19.37768,195.60938,195.72619,195.84441,27.01583,27.2152,27.41297,1697.22121,1698.25548,1699.27025,3.50879,3.52611,3.54433,0.15164,0.15223,0.15281,0.33955,0.34048,0.34147,6.37928,6.38692,6.39444,8.67959,8.68049,8.68138,-49573.93598,-49550.45055,-49526.80316,7.33685,7.34173,7.34653
"NGC_7789",-0.01,0.02,"APOGEE",9.12387,9.1258,9.1276,1.97935,1.98339,1.98715,-0.17894,-0.17855,-0.17814,36.42021,36.50864,36.59808,-44.91491,-44.74288,-44.5724,-12.62057,-12.57139,-12.52363,9.33611,9.33885,9.34141,0.21363,0.21401,0.21436,-0.17894,-0.17855,-0.17814,-4.88489,-4.75456,-4.6241,201.96536,202.11771,202.26879,-5.4821,-5.43284,-5.38523,201.96536,202.11771,202.26879,17.50103,17.7328,17.96673,1885.96089,1887.52633,1889.1436,1.21322,1.22098,1.22878,0.11682,0.11763,0.11844,0.20128,0.20199,0.2027,7.3702,7.38232,7.39466,9.34812,9.35069,9.35327,-44678.56052,-44643.27695,-44607.16683,8.24217,8.24978,8.25766
"Pismis_15",0.02986,0.04,"GES",8.05309,8.05468,8.05628,-2.85605,-2.81959,-2.78313,0.16392,0.16574,0.16756,-81.89533,-80.82031,-79.74998,-41.20989,-40.53817,-39.85266,-13.36222,-13.12993,-12.89445,8.52346,8.53393,8.54455,-0.34081,-0.33672,-0.33263,0.16392,0.16574,0.16756,-0.74037,-0.46613,-0.17927,211.76232,212.48932,213.19015,-5.86252,-5.63316,-5.40002,211.76232,212.48932,213.19015,6.22228,6.82675,7.48024,1806.01544,1813.32092,1820.6416,1.14213,1.1779,1.21589,0.07114,0.07463,0.07825,0.1828,0.18591,0.18915,7.2924,7.35013,7.40712,8.52549,8.53582,8.54637,-47326.43497,-47136.9429,-46947.66909,7.8554,7.89055,7.92581
