"Cl","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","r50","N85","dmode05","dmode16","dmode","dmode84","dmode95","Xgc","Ygc","Zgc","Rgc","logAge","e_logAge","Dist","e_Dist","Avmag","e_Avmag"
"NGC 1798",77.915,0.033,47.692,0.012,0.21,0.042,0.906,0.079,-0.295,0.066,0.05,269,4.852,4.875,4.947,5.018,5.041,-12.951,1.629,0.46,13.053,"nan","nan","nan","nan","nan","nan"
"NGC 1817",78.136,0.099,16.686,0.088,0.582,0.04,0.482,0.102,-0.883,0.07,0.189,535,1.693,1.694,1.7,1.705,1.707,-9.948,-0.179,-0.351,9.949,"nan","nan","nan","nan","nan","nan"
"NGC 188",11.786,0.62,85.244,0.071,0.537,0.039,-2.308,0.116,-0.952,0.106,0.126,900,1.864,1.865,1.87,1.875,1.877,-9.235,1.453,0.742,9.349,"nan","nan","nan","nan","nan","nan"
"NGC 1893",80.724,0.035,33.447,0.037,0.283,0.038,-0.205,0.088,-1.396,0.091,0.082,198,3.41,3.425,3.472,3.519,3.534,-11.749,0.388,-0.06,11.756,"nan","nan","nan","nan","nan","nan"
"NGC 1901",79.293,0.112,-68.382,0.123,2.392,0.068,1.697,0.237,12.651,0.422,0.249,46,0.418,0.418,0.418,0.419,0.419,-8.247,-0.344,-0.205,8.254,"nan","nan","nan","nan","nan","nan"
"NGC 1907",82.032,0.053,35.323,0.054,0.64,0.049,-0.044,0.107,-3.418,0.094,0.086,393,1.548,1.55,1.555,1.56,1.561,-9.842,0.2,0.041,9.844,"nan","nan","nan","nan","nan","nan"
"NGC 1912",82.17,0.129,35.819,0.092,0.9,0.068,1.602,0.138,-4.416,0.106,0.218,844,1.103,1.104,1.106,1.109,1.11,-9.396,0.149,0.044,9.397,"nan","nan","nan","nan","nan","nan"
"NGC 1931",82.804,0.047,34.238,0.023,0.455,0.009,0.302,0.322,-1.935,0.14,0.104,73,2.216,2.227,2.263,2.298,2.31,-10.55,0.242,0.043,10.552,"nan","nan","nan","nan","nan","nan"
"NGC 1960",84.089,0.061,34.137,0.052,0.868,0.094,-0.162,0.114,-3.372,0.08,0.092,326,1.148,1.149,1.151,1.154,1.155,-9.446,0.11,0.052,9.446,"nan","nan","nan","nan","nan","nan"
"NGC 1976",83.829,0.04,-5.417,0.075,2.57,0.116,1.276,0.429,0.176,0.658,0.388,1424,0.388,0.388,0.388,0.388,0.388,-8.621,-0.177,-0.101,8.622,"nan","nan","nan","nan","nan","nan"
