"Cl","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","r50","N85","dmode05","dmode16","dmode","dmode84","dmode95","Xgc","Ygc","Zgc","Rgc","logAge","e_logAge","Dist","e_Dist","Avmag","e_Avmag"
"NGC 6633",276.861,0.248,6.611,0.184,2.551,0.092,1.202,0.341,-1.808,0.266,0.317,201,0.391,0.392,0.392,0.392,0.392,-7.986,0.228,0.083,7.99,"nan","nan","nan","nan","nan","nan"
"NGC 6649",278.361,0.036,-10.399,0.042,0.506,0.065,-0.009,0.143,-0.039,0.123,0.081,845,1.964,1.967,1.977,1.987,1.99,-6.463,0.729,-0.006,6.504,"nan","nan","nan","nan","nan","nan"
"NGC 6664",279.131,0.043,-8.199,0.049,0.509,0.038,-0.091,0.07,-2.552,0.055,0.102,321,1.938,1.942,1.953,1.965,1.968,-6.515,0.792,0.006,6.563,"nan","nan","nan","nan","nan","nan"
"NGC 6694",281.32,0.033,-9.388,0.034,0.552,0.042,0.153,0.059,-1.416,0.038,0.077,355,1.788,1.791,1.798,1.805,1.808,-6.658,0.727,-0.07,6.698,"nan","nan","nan","nan","nan","nan"
"NGC 6704",282.688,0.019,-5.206,0.01,0.462,0.049,-0.725,0.067,-3.146,0.042,0.056,201,2.119,2.123,2.138,2.153,2.158,-6.418,1.01,-0.062,6.497,"nan","nan","nan","nan","nan","nan"
"NGC 6705",282.763,0.034,-6.277,0.037,0.469,0.034,-1.581,0.114,-4.134,0.111,0.104,1044,2.172,2.175,2.187,2.198,2.202,-6.359,1.001,-0.085,6.437,"nan","nan","nan","nan","nan","nan"
"NGC 6709",282.825,0.074,10.323,0.07,0.949,0.064,1.433,0.138,-3.514,0.091,0.14,284,1.054,1.055,1.057,1.059,1.059,-7.519,0.707,0.111,7.552,"nan","nan","nan","nan","nan","nan"
"NGC 6716",283.595,0.062,-19.892,0.097,1.433,0.087,-1.462,0.182,-6.04,0.196,0.138,167,0.695,0.695,0.697,0.699,0.699,-7.638,0.182,-0.091,7.64,"nan","nan","nan","nan","nan","nan"
"NGC 6755",286.943,0.019,4.236,0.04,0.417,0.031,-0.73,0.069,-3.547,0.055,0.089,315,2.396,2.4,2.414,2.427,2.432,-6.414,1.504,-0.05,6.588,"nan","nan","nan","nan","nan","nan"
"NGC 6791",290.219,0.038,37.778,0.027,0.216,0.061,-0.422,0.11,-2.267,0.134,0.063,1640,4.455,4.468,4.508,4.548,4.561,-6.781,4.159,0.875,7.954,"nan","nan","nan","nan","nan","nan"
"NGC 6811",294.337,0.1,46.385,0.076,0.901,0.034,-3.386,0.102,-8.806,0.083,0.122,212,1.104,1.105,1.106,1.108,1.108,-8.097,1.063,0.256,8.166,"nan","nan","nan","nan","nan","nan"
"NGC 6819",295.324,0.057,40.192,0.049,0.384,0.036,-2.916,0.077,-3.858,0.092,0.086,1464,2.602,2.604,2.613,2.621,2.624,-7.585,2.484,0.41,7.982,"nan","nan","nan","nan","nan","nan"
"NGC 6823",295.788,0.058,23.32,0.061,0.477,0.075,-1.718,0.13,-5.317,0.115,0.119,282,2.086,2.089,2.097,2.104,2.107,-7.234,1.805,0.019,7.455,"nan","nan","nan","nan","nan","nan"
"NGC 6830",297.717,0.054,23.098,0.046,0.456,0.026,-3.204,0.059,-5.758,0.074,0.092,289,2.178,2.18,2.187,2.194,2.197,-7.211,1.896,-0.045,7.456,"nan","nan","nan","nan","nan","nan"
"NGC 6834",298.05,0.027,29.398,0.021,0.304,0.026,-2.484,0.052,-5.091,0.051,0.062,382,3.277,3.282,3.299,3.315,3.321,-6.942,3.006,0.091,7.565,"nan","nan","nan","nan","nan","nan"
"NGC 6866",300.986,0.065,44.164,0.061,0.716,0.045,-1.379,0.058,-5.737,0.102,0.102,194,1.394,1.394,1.397,1.4,1.401,-8.048,1.364,0.193,8.163,"nan","nan","nan","nan","nan","nan"
"NGC 6871",301.518,0.097,35.769,0.117,0.544,0.029,-3.121,0.087,-6.426,0.126,0.21,525,1.82,1.821,1.824,1.828,1.829,-7.757,1.74,0.089,7.949,"nan","nan","nan","nan","nan","nan"
"NGC 6910",305.799,0.044,40.771,0.034,0.581,0.025,-3.387,0.094,-5.389,0.073,0.084,148,1.725,1.727,1.733,1.739,1.741,-7.96,1.698,0.087,8.139,"nan","nan","nan","nan","nan","nan"
"NGC 6913",305.949,0.038,38.505,0.032,0.583,0.035,-3.406,0.132,-5.758,0.107,0.081,107,1.703,1.705,1.71,1.716,1.717,-7.912,1.666,0.044,8.085,"nan","nan","nan","nan","nan","nan"
"NGC 6939",307.914,0.139,60.655,0.07,0.54,0.047,-1.845,0.109,-5.42,0.097,0.12,770,1.856,1.857,1.861,1.864,1.866,-8.486,1.808,0.423,8.676,"nan","nan","nan","nan","nan","nan"
"NGC 6940",308.619,0.168,28.269,0.114,0.977,0.047,-1.977,0.113,-9.415,0.106,0.203,464,1.027,1.027,1.028,1.03,1.03,-7.949,0.958,-0.102,8.007,"nan","nan","nan","nan","nan","nan"
"NGC 7044",318.285,0.034,42.493,0.021,0.3,0.051,-4.976,0.09,-5.52,0.103,0.051,707,3.359,3.365,3.387,3.408,3.415,-8.059,3.369,-0.219,8.735,"nan","nan","nan","nan","nan","nan"
"NGC 7063",321.138,0.058,36.511,0.086,1.507,0.031,1.525,0.071,-2.461,0.087,0.124,80,0.66,0.661,0.662,0.663,0.663,-8.222,0.647,-0.087,8.247,"nan","nan","nan","nan","nan","nan"
"NGC 7067",321.051,0.04,48.012,0.008,0.186,0.002,-3.091,0.026,-3.27,0.018,0.05,77,5.298,5.336,5.454,5.572,5.61,-8.415,5.45,-0.132,10.026,"nan","nan","nan","nan","nan","nan"
"NGC 7082",322.175,0.133,47.106,0.076,0.765,0.047,-0.29,0.088,-1.108,0.074,0.155,321,1.305,1.306,1.309,1.311,1.312,-8.325,1.307,-0.038,8.427,"nan","nan","nan","nan","nan","nan"
"NGC 7086",322.626,0.085,51.599,0.047,0.621,0.061,-1.655,0.138,-1.623,0.109,0.091,563,1.599,1.6,1.604,1.607,1.608,-8.423,1.599,0.034,8.574,"nan","nan","nan","nan","nan","nan"
"NGC 7092",323.07,0.398,48.305,0.388,3.385,0.075,-7.581,0.137,-19.72,0.255,0.614,108,0.295,0.295,0.295,0.295,0.295,-8.312,0.295,0.015,8.317,"nan","nan","nan","nan","nan","nan"
"NGC 7128",325.99,0.018,53.717,0.013,0.285,0.035,-4.028,0.106,-4.1,0.075,0.031,198,3.442,3.451,3.477,3.502,3.511,-8.744,3.448,0.055,9.399,"nan","nan","nan","nan","nan","nan"
"NGC 7142",326.281,0.099,65.784,0.036,0.423,0.032,-2.736,0.066,-1.276,0.081,0.079,395,2.337,2.34,2.348,2.356,2.359,-8.912,2.233,0.417,9.187,"nan","nan","nan","nan","nan","nan"
"NGC 7160",328.443,0.127,62.567,0.056,1.084,0.057,-3.488,0.203,-1.283,0.134,0.119,99,0.924,0.925,0.927,0.929,0.929,-8.522,0.894,0.131,8.569,"nan","nan","nan","nan","nan","nan"
"NGC 7209",331.281,0.149,46.508,0.064,0.847,0.043,2.293,0.054,0.313,0.078,0.171,195,1.177,1.177,1.179,1.181,1.181,-8.413,1.164,-0.123,8.493,"nan","nan","nan","nan","nan","nan"
"NGC 7235",333.067,0.052,57.266,0.024,0.287,0.045,-3.811,0.068,-3.038,0.065,0.058,206,3.483,3.491,3.518,3.545,3.554,-9.072,3.432,0.078,9.7,"nan","nan","nan","nan","nan","nan"
"NGC 7243",333.749,0.343,49.807,0.14,1.148,0.075,0.448,0.137,-2.845,0.095,0.246,346,0.872,0.872,0.873,0.874,0.875,-8.433,0.859,-0.057,8.477,"nan","nan","nan","nan","nan","nan"
"NGC 7261",335.071,0.083,58.126,0.026,0.305,0.028,-3.877,0.102,-2.851,0.053,0.14,192,3.227,3.237,3.267,3.298,3.308,-9.093,3.169,0.079,9.63,"nan","nan","nan","nan","nan","nan"
"NGC 7380",341.842,0.216,58.087,0.135,0.355,0.039,-2.79,0.332,-2.226,0.168,0.264,910,2.806,2.809,2.82,2.831,2.835,-9.13,2.695,-0.016,9.519,"nan","nan","nan","nan","nan","nan"
"NGC 7419",343.578,0.035,60.814,0.014,0.311,0.044,-2.787,0.098,-1.624,0.112,0.038,343,3.162,3.168,3.185,3.203,3.208,-9.344,3.008,0.093,9.816,"nan","nan","nan","nan","nan","nan"
"NGC 744",29.663,0.049,55.471,0.086,0.761,0.03,-1.876,0.089,-1.737,0.074,0.116,181,1.307,1.308,1.312,1.316,1.317,-9.18,0.963,-0.111,9.231,"nan","nan","nan","nan","nan","nan"
"NGC 7510",347.763,0.045,60.58,0.021,0.316,0.045,-3.67,0.09,-2.174,0.099,0.054,377,3.133,3.137,3.152,3.167,3.172,-9.425,2.945,0.035,9.874,"nan","nan","nan","nan","nan","nan"
"NGC 752",29.231,0.379,37.788,0.211,2.261,0.095,9.86,0.172,-11.726,0.216,0.436,260,0.441,0.441,0.441,0.442,0.442,-8.597,0.277,-0.147,8.601,"nan","nan","nan","nan","nan","nan"
"NGC 7654",351.208,0.121,61.591,0.069,0.625,0.034,-1.933,0.105,-1.128,0.102,0.115,962,1.579,1.58,1.583,1.586,1.587,-8.914,1.459,0.041,9.033,"nan","nan","nan","nan","nan","nan"
"NGC 7788",359.199,0.055,61.389,0.026,0.331,0.026,-3.087,0.063,-1.759,0.052,0.078,211,3.032,3.038,3.054,3.07,3.075,-9.66,2.734,-0.012,10.039,"nan","nan","nan","nan","nan","nan"
"NGC 7789",359.341,0.16,56.727,0.092,0.483,0.046,-0.925,0.107,-1.933,0.103,5.594,2978,2.051,2.053,2.06,2.068,2.07,-9.009,1.93,-0.106,9.213,"nan","nan","nan","nan","nan","nan"
"NGC 7790",359.588,0.101,61.214,0.035,0.306,0.055,-3.228,0.098,-1.695,0.069,0.607,409,3.265,3.27,3.287,3.303,3.309,-9.741,2.954,-0.018,10.179,"nan","nan","nan","nan","nan","nan"
"NGC 869",35.09,0.411,57.142,0.08,0.424,0.035,-0.652,0.107,-1.079,0.101,0.308,6642,2.381,2.384,2.394,2.403,2.406,-9.984,1.695,-0.121,10.126,"nan","nan","nan","nan","nan","nan"
"NGC 884",35.252,0.435,57.145,0.078,0.428,0.04,-0.636,0.113,-1.078,0.102,0.309,6668,2.269,2.272,2.28,2.289,2.292,-9.906,1.613,-0.112,10.037,"nan","nan","nan","nan","nan","nan"
"NGC 957",38.332,0.193,57.554,0.105,0.434,0.04,-0.248,0.069,-1.054,0.084,0.232,674,2.271,2.273,2.281,2.289,2.291,-9.947,1.575,-0.072,10.071,"nan","nan","nan","nan","nan","nan"
"Pismis 1",124.58,0.032,-37.105,0.011,0.176,0.038,-2.597,0.059,3.974,0.045,0.028,76,5.593,5.627,5.733,5.839,5.873,-9.773,-5.54,-0.04,11.234,"nan","nan","nan","nan","nan","nan"
"Pismis 11",138.969,0.02,-50.006,0.003,0.379,0.036,-5.372,0.068,3.902,0.071,0.026,63,2.632,2.641,2.666,2.691,2.699,-8.223,-2.664,-0.006,8.644,"nan","nan","nan","nan","nan","nan"
"Pismis 13",140.53,0.016,-51.103,0.006,0.346,0.058,-5.132,0.038,4.655,0.064,0.013,67,2.848,2.857,2.888,2.918,2.928,-8.143,-2.883,-0.012,8.638,"nan","nan","nan","nan","nan","nan"
"Pismis 16",147.812,0.025,-53.176,0.01,0.403,0.017,-5.814,0.067,3.515,0.069,0.046,40,2.458,2.465,2.489,2.512,2.519,-7.961,-2.465,0.056,8.334,"nan","nan","nan","nan","nan","nan"
"Pismis 18",204.227,0.032,-62.091,0.032,0.356,0.04,-5.66,0.067,-2.272,0.073,0.059,343,2.758,2.763,2.776,2.789,2.794,-6.582,-2.181,0.037,6.934,"nan","nan","nan","nan","nan","nan"
"Pismis 2",124.478,0.011,-41.675,0.011,0.223,0.053,-4.783,0.086,5.351,0.088,0.028,195,4.475,4.502,4.587,4.672,4.699,-9.185,-4.493,-0.237,10.225,"nan","nan","nan","nan","nan","nan"
"Pismis 20",228.845,0.031,-59.069,0.017,0.331,0.037,-3.862,0.052,-2.906,0.051,0.056,139,3.058,3.068,3.1,3.132,3.143,-5.908,-1.971,-0.046,6.228,"nan","nan","nan","nan","nan","nan"
"Pismis 24",261.391,0.011,-34.402,0.026,0.572,0.117,-0.978,0.213,-2.502,0.355,0.085,122,1.726,1.731,1.747,1.763,1.769,-6.565,-0.21,0.041,6.569,"nan","nan","nan","nan","nan","nan"
"Pismis 3",127.837,0.082,-38.643,0.058,0.432,0.053,-4.805,0.104,6.643,0.129,0.111,1105,2.32,2.324,2.339,2.354,2.359,-8.793,-2.287,0.05,9.085,"nan","nan","nan","nan","nan","nan"
"Pismis 4",128.723,0.112,-44.411,0.117,1.449,0.033,-8.215,0.149,5.35,0.155,0.172,64,0.689,0.689,0.691,0.692,0.692,-8.385,-0.685,-0.002,8.413,"nan","nan","nan","nan","nan","nan"
"Pismis 6",129.826,0.085,-46.258,0.037,0.553,0.029,-5.898,0.085,5.076,0.112,0.111,345,1.79,1.791,1.796,1.8,1.802,-8.462,-1.786,-0.063,8.649,"nan","nan","nan","nan","nan","nan"
"Pismis 7",130.291,0.019,-38.695,0.012,0.18,0.031,-3.319,0.031,2.783,0.037,0.046,139,5.341,5.371,5.466,5.56,5.591,-9.337,-5.363,0.222,10.767,"nan","nan","nan","nan","nan","nan"
"Pismis 8",130.398,0.021,-46.275,0.032,0.554,0.044,-5.743,0.08,4.973,0.079,0.062,97,1.79,1.793,1.801,1.809,1.811,-8.454,-1.792,-0.054,8.642,"nan","nan","nan","nan","nan","nan"
"Roslund 3",299.697,0.042,20.507,0.037,0.613,0.02,-0.387,0.08,-5.122,0.054,0.076,110,1.619,1.621,1.626,1.632,1.634,-7.462,1.387,-0.109,7.59,"nan","nan","nan","nan","nan","nan"
"Roslund 4",301.212,0.054,29.188,0.045,0.46,0.028,-2.168,0.082,-5.089,0.137,0.089,67,2.142,2.148,2.166,2.184,2.19,-7.452,1.993,-0.024,7.714,"nan","nan","nan","nan","nan","nan"
"Ruprecht 115",243.214,0.019,-52.392,0.017,0.382,0.014,-4.371,0.06,-4.569,0.04,0.052,114,2.552,2.56,2.586,2.612,2.62,-6.039,-1.255,-0.018,6.168,"nan","nan","nan","nan","nan","nan"
"Ruprecht 119",247.037,0.046,-51.497,0.034,0.469,0.029,-1.298,0.055,-3.426,0.055,0.083,108,2.108,2.114,2.129,2.145,2.15,-6.399,-0.957,-0.049,6.47,"nan","nan","nan","nan","nan","nan"
"Ruprecht 127",264.467,0.038,-36.302,0.036,0.43,0.047,-0.285,0.047,-2.278,0.051,0.061,131,2.294,2.3,2.319,2.338,2.345,-6.001,-0.287,-0.082,6.008,"nan","nan","nan","nan","nan","nan"
"Ruprecht 130",266.901,0.01,-30.103,0.029,0.417,0.074,0.503,0.129,-1.812,0.07,0.054,106,2.428,2.44,2.476,2.513,2.525,-5.824,-0.034,-0.023,5.824,"nan","nan","nan","nan","nan","nan"
"Ruprecht 36",117.099,0.041,-26.29,0.018,0.372,0.054,-2.725,0.093,0.902,0.092,0.043,85,2.732,2.74,2.765,2.791,2.799,-9.573,-2.455,0.016,9.883,"nan","nan","nan","nan","nan","nan"
"Ruprecht 44",119.709,0.035,-28.563,0.039,0.183,0.037,-2.366,0.046,2.918,0.058,0.133,336,5.455,5.473,5.529,5.584,5.602,-10.571,-5.04,0.08,11.711,"nan","nan","nan","nan","nan","nan"
"Ruprecht 55",123.072,0.041,-32.576,0.076,0.144,0.021,-2.429,0.061,3.165,0.056,0.115,109,6.622,6.67,6.821,6.971,7.02,-10.555,-6.436,0.13,12.363,"nan","nan","nan","nan","nan","nan"
"Ruprecht 67",130.463,0.103,-43.364,0.038,0.652,0.029,-4.373,0.066,3.685,0.07,0.086,80,1.527,1.529,1.534,1.54,1.542,-8.492,-1.522,0.007,8.627,"nan","nan","nan","nan","nan","nan"
"Ruprecht 75",140.486,0.049,-56.319,0.015,0.234,0.041,-6.097,0.07,4.993,0.054,0.049,148,4.21,4.223,4.264,4.304,4.317,-7.798,-4.221,-0.308,8.867,"nan","nan","nan","nan","nan","nan"
"Ruprecht 79",145.266,0.045,-53.836,0.043,0.256,0.015,-4.626,0.038,3.001,0.047,0.069,257,3.896,3.906,3.935,3.965,3.975,-7.813,-3.905,-0.029,8.735,"nan","nan","nan","nan","nan","nan"
"Ruprecht 98",179.681,0.099,-64.609,0.042,2.068,0.036,-4.209,0.131,-8.724,0.136,0.191,40,0.481,0.482,0.482,0.483,0.483,-8.079,-0.428,0.007,8.09,"nan","nan","nan","nan","nan","nan"
"Stock 1",294.11,0.327,25.059,0.112,2.473,0.05,6.069,0.183,0.235,0.147,0.451,110,0.404,0.404,0.404,0.405,0.405,-8.099,0.35,0.041,8.107,"nan","nan","nan","nan","nan","nan"
"Stock 13",168.282,0.141,-58.889,0.06,0.353,0.024,-6.022,0.065,1.828,0.064,0.133,165,2.835,2.842,2.861,2.881,2.887,-7.298,-2.679,0.103,7.774,"nan","nan","nan","nan","nan","nan"
"Stock 14",175.924,0.179,-62.543,0.058,0.417,0.043,-6.414,0.053,0.711,0.044,0.145,230,2.219,2.222,2.229,2.237,2.24,-7.35,-2.017,-0.003,7.622,"nan","nan","nan","nan","nan","nan"
"Stock 16",199.682,0.047,-62.583,0.104,0.501,0.034,-4.178,0.07,-1.796,0.041,0.153,141,1.982,1.985,1.994,2.004,2.007,-7.126,-1.612,0.028,7.306,"nan","nan","nan","nan","nan","nan"
"Stock 2",33.813,0.709,59.542,0.379,2.665,0.058,15.886,0.326,-13.599,0.406,0.767,1060,0.375,0.375,0.375,0.376,0.376,-8.557,0.273,0.017,8.561,"nan","nan","nan","nan","nan","nan"
"Stock 24",9.944,0.086,61.967,0.01,0.358,0.01,-1.393,0.042,0.083,0.051,0.044,99,2.778,2.785,2.806,2.826,2.833,-9.769,2.39,-0.011,10.057,"nan","nan","nan","nan","nan","nan"
"Stock 7",37.445,0.0,60.67,0.0,1.477,0.379,-3.523,0.088,0.585,0.031,0.126,64,0.675,0.675,0.677,0.678,0.678,-8.776,0.481,0.029,8.789,"nan","nan","nan","nan","nan","nan"
"Stock 8",81.959,0.096,34.46,0.16,0.48,0.049,0.106,0.111,-2.272,0.143,0.2,648,2.053,2.056,2.064,2.073,2.076,-10.35,0.241,0.026,10.353,"nan","nan","nan","nan","nan","nan"
"Tombaugh 1",105.122,0.05,-20.578,0.068,0.403,0.053,-2.569,0.107,3.831,0.109,0.09,402,2.464,2.468,2.479,2.49,2.493,-9.803,-1.947,-0.284,9.994,"nan","nan","nan","nan","nan","nan"
"Tombaugh 2",105.773,0.019,-20.82,0.012,0.107,0.034,-0.508,0.044,1.366,0.068,0.032,242,9.425,9.52,9.811,10.102,10.196,-14.188,-7.762,-1.129,16.173,"nan","nan","nan","nan","nan","nan"
"Trumpler 1",23.913,0.05,61.287,0.022,0.388,0.049,-1.612,0.034,-0.525,0.045,0.043,144,2.561,2.566,2.582,2.599,2.604,-9.898,2.028,-0.019,10.103,"nan","nan","nan","nan","nan","nan"
"Trumpler 10",131.986,0.197,-42.547,0.136,2.294,0.081,-12.375,0.288,6.492,0.226,0.352,200,0.436,0.436,0.437,0.437,0.437,-8.355,-0.433,0.032,8.366,"nan","nan","nan","nan","nan","nan"
"Trumpler 11",151.245,0.05,-61.621,0.016,0.276,0.024,-7.054,0.037,3.345,0.024,0.062,101,3.508,3.52,3.557,3.594,3.606,-7.416,-3.432,-0.277,8.171,"nan","nan","nan","nan","nan","nan"
"Trumpler 14",161.026,0.037,-59.548,0.015,0.418,0.06,-6.488,0.139,2.022,0.107,0.071,1382,2.399,2.401,2.408,2.414,2.417,-7.579,-2.297,0.002,7.919,"nan","nan","nan","nan","nan","nan"
"Trumpler 15",161.093,0.08,-59.533,0.02,0.419,0.042,-6.413,0.15,2.039,0.106,0.101,1423,2.377,2.379,2.385,2.392,2.394,-7.586,-2.276,0.005,7.92,"nan","nan","nan","nan","nan","nan"
"Trumpler 16",161.236,0.087,-59.708,0.033,0.416,0.063,-6.88,0.172,2.556,0.157,0.078,686,2.385,2.388,2.395,2.403,2.406,-7.576,-2.283,-0.003,7.912,"nan","nan","nan","nan","nan","nan"
"Trumpler 17",164.109,0.059,-59.234,0.026,0.404,0.035,-4.638,0.084,2.204,0.046,0.065,276,2.46,2.463,2.472,2.481,2.484,-7.508,-2.342,0.043,7.865,"nan","nan","nan","nan","nan","nan"
"Trumpler 18",167.827,0.083,-60.655,0.049,0.663,0.034,-7.161,0.085,0.567,0.089,0.084,165,1.495,1.497,1.501,1.504,1.506,-7.763,-1.401,0.022,7.888,"nan","nan","nan","nan","nan","nan"
"Trumpler 2",39.255,0.224,55.934,0.12,1.456,0.087,1.56,0.223,-5.302,0.114,0.257,211,0.686,0.687,0.687,0.688,0.689,-8.805,0.464,-0.019,8.817,"nan","nan","nan","nan","nan","nan"
"Trumpler 21",203.073,0.115,-62.788,0.038,0.756,0.043,-4.671,0.068,-2.313,0.062,0.07,142,1.323,1.324,1.328,1.331,1.332,-7.49,-1.052,0.018,7.564,"nan","nan","nan","nan","nan","nan"
"Trumpler 24",253.986,0.134,-40.474,0.348,0.835,0.014,0.372,0.26,-1.8,0.293,0.541,169,1.192,1.194,1.202,1.21,1.212,-7.14,-0.315,0.057,7.147,"nan","nan","nan","nan","nan","nan"
"Trumpler 27",264.079,0.069,-33.485,0.021,0.488,0.01,-0.146,0.055,-1.267,0.038,0.189,62,1.995,2.004,2.033,2.062,2.071,-6.275,-0.174,-0.006,6.277,"nan","nan","nan","nan","nan","nan"
"Trumpler 28",264.231,0.034,-32.466,0.038,0.736,0.037,-0.771,0.048,-2.815,0.07,0.084,101,1.348,1.35,1.358,1.366,1.368,-6.945,-0.094,0.016,6.946,"nan","nan","nan","nan","nan","nan"
"Trumpler 37",324.77,0.174,57.504,0.06,1.105,0.053,-2.318,0.191,-4.724,0.175,0.311,553,0.903,0.903,0.904,0.905,0.906,-8.446,0.89,0.088,8.493,"nan","nan","nan","nan","nan","nan"
"Trumpler 5",99.129,0.068,9.472,0.069,0.312,0.069,-0.606,0.116,0.29,0.111,0.147,2524,3.192,3.199,3.22,3.241,3.248,-11.268,-1.248,0.094,11.337,"nan","nan","nan","nan","nan","nan"
"Trumpler 7",111.845,0.059,-23.947,0.035,0.596,0.037,-2.485,0.084,3.342,0.076,0.094,169,1.688,1.69,1.696,1.701,1.703,-9.192,-1.439,-0.068,9.304,"nan","nan","nan","nan","nan","nan"
"Trumpler 9",118.908,0.023,-25.884,0.013,0.365,0.045,-3.388,0.079,3.092,0.073,0.037,140,2.693,2.699,2.72,2.74,2.746,-9.531,-2.424,0.092,9.834,"nan","nan","nan","nan","nan","nan"
"VDBH 66, vdBergh-Hagen 66",141.319,0.011,-54.717,0.003,0.127,0.018,-4.178,0.049,3.608,0.002,0.046,89,7.357,7.475,7.841,8.207,8.326,-7.483,-7.788,-0.386,10.8,"nan","nan","nan","nan","nan","nan"
"VDBH 99, vdBergh-Hagen 99",159.494,0.268,-59.107,0.101,2.254,0.08,-14.491,0.246,1.008,0.196,0.238,214,0.444,0.444,0.444,0.444,0.444,-8.174,-0.426,0.022,8.185,"nan","nan","nan","nan","nan","nan"
"XDOCC 01",19.898,0.41,58.353,0.049,1.26,0.064,-1.683,0.109,-0.343,0.062,0.17,22,0.783,0.788,0.797,0.805,0.811,-8.778,0.642,-0.032,8.801,8.527,0.079,813.436,23.838,0.695,0.088
"XDOCC 02",84.049,0.154,34.298,0.068,0.801,0.052,0.285,0.109,-2.295,0.073,0.142,26,1.187,1.215,1.261,1.311,1.346,-9.566,0.124,0.056,9.567,7.54,0.092,1330.616,53.24,0.571,0.053
"XDOCC 03",107.01,0.181,-13.05,0.156,0.876,0.044,-3.319,0.363,0.546,0.126,0.205,25,1.109,1.121,1.14,1.16,1.173,-8.907,-0.825,-0.023,8.945,7.28,0.093,1175.83,56.035,0.712,0.073
"XDOCC 04",118.827,0.192,-24.17,0.19,0.333,0.043,-2.71,0.079,3.063,0.086,0.214,60,2.744,2.848,3.023,3.222,3.366,-9.717,-2.621,0.139,10.065,7.785,0.12,2891.227,107.557,0.525,0.118
"XDOCC 05",121.754,0.095,-29.901,0.092,0.598,0.018,-3.656,0.045,3.562,0.034,0.115,19,1.561,1.59,1.637,1.686,1.719,-8.925,-1.535,0.066,9.056,8.182,0.116,1575.753,59.732,0.244,0.055
"XDOCC 06",130.932,0.066,-48.151,0.018,0.768,0.035,-6.375,0.115,3.607,0.095,0.057,33,1.255,1.272,1.299,1.327,1.347,-8.373,-1.299,-0.051,8.474,7.928,0.182,1399.138,63.959,1.017,0.116
"XDOCC 07",159.481,0.23,-58.723,0.102,2.281,0.038,-14.316,0.229,0.925,0.229,0.151,21,0.432,0.434,0.436,0.439,0.441,-7.999,-0.419,0.019,8.01,7.859,0.076,460.094,10.037,0.579,0.049
"XDOCC 08",270.759,0.103,-22.727,0.108,0.735,0.047,0.67,0.112,-2.575,0.084,0.122,51,1.303,1.321,1.349,1.378,1.397,-6.784,0.172,0.012,6.787,7.519,0.192,1511.888,137.946,2.499,0.23
"XDOCC 09",293.596,0.15,24.998,0.409,1.828,0.043,-0.458,0.096,-8.74,0.374,0.66,47,0.545,0.547,0.55,0.553,0.555,-8.026,0.477,0.049,8.04,7.997,0.091,552.704,15.625,0.659,0.078
"XDOCC 10",305.421,0.18,37.292,0.129,0.508,0.055,-2.387,0.11,-5.234,0.116,0.157,40,1.862,1.884,1.919,1.956,1.981,-7.646,1.86,0.028,7.869,7.364,0.328,1994.895,144.716,3.973,0.175
"XDOCC 11",317.734,0.039,47.722,0.068,0.474,0.039,-1.006,0.053,-1.736,0.052,0.103,21,1.96,2.0,2.064,2.132,2.179,-8.28,2.083,0.016,8.538,8.135,0.11,1761.905,89.269,1.372,0.099
