"IAU","Name","RAJ2000","DEJ2000","r1(ASCC)","r2(ASCC)","r1(USNO)","r2(USNO)","Bc","N(P>61)","Npm","pmRA","e_pmRA","pmDE","e_pmDE","Dist","E(B-V)","Ref"
"C0855-430","VDBH_56,vdB-Hagen_56",134.29,-43.24,0.13,0.45,"nan",0.25,20.2,26,9,-4.99,0.52,5.72,0.39,667,0.15,5
"C0858-487","Collinder_205,Markarian_18",135.13,-48.99,0.06,0.15,"nan",0.15,20.5,9,7,-3.96,0.42,7.0,0.33,1600,0.7,3
"C0926-567","IC_2488",141.91,-56.98,0.1,0.35,"nan",0.17,19.7,50,16,-6.85,0.67,7.76,0.63,1136,0.23,1
"C0927-534","Ruprecht_78",142.3,-53.58,0.08,0.15,0.06,0.12,19.9,7,6,-9.07,0.63,3.57,0.44,1639,0.35,1
"C0928-526","NGC_2910",142.6,-52.92,0.09,0.2,"nan",0.08,19.3,19,12,-8.12,0.52,4.61,0.49,2607,0.35,1
"C0932-532","NGC_2925",143.26,-53.43,0.15,0.3,"nan",0.18,19.7,33,16,-8.42,0.59,5.94,0.46,775,0.08,3
"C0939-536","Ruprecht_79",145.21,-53.84,0.1,0.2,"nan",0.11,20.4,12,5,-8.63,1.41,2.91,1.24,1979,0.65,1
"C0940-438","Ruprecht_80",145.5,-44.02,0.08,0.12,"nan",0.07,17.0,7,7,-12.9,0.66,5.46,0.71,1428,0.05,5
"C0943-537","Ruprecht_82",146.41,-54.01,0.11,0.11,"nan",0.08,15.0,5,5,-11.07,1.28,2.23,1.1,2455,0.29,4
"C0947-650","Ruprecht_84",147.25,-65.28,0.06,0.1,"nan",0.09,20.0,6,6,-9.78,1.27,-0.6,0.68,2500,0.05,5
"C0947-561","NGC_3033",147.18,-56.46,0.12,0.2,0.08,0.2,16.0,14,10,-3.44,1.15,4.66,1.02,925,0.33,1
"C0949-529","Pismis_16",147.81,-53.18,0.15,0.15,0.09,0.17,20.6,6,6,-6.55,0.92,1.7,0.99,1818,0.56,1
"C0959-548","Ruprecht_85",150.42,-55.01,0.1,0.15,"nan",0.1,15.0,9,7,-5.05,0.7,5.57,1.37,833,0.25,5
"C1001-598","NGC_3114",150.49,-60.1,0.15,0.7,"nan",0.5,19.0,212,20,-8.1,0.38,3.53,0.36,909,0.07,1
"C1004-602","Hogg_6",151.62,-60.47,0.08,0.1,0.03,0.07,19.0,9,7,-7.96,0.83,0.49,1.0,2000,0.1,5
"C1004-600","Trumpler_12",151.6,-60.27,0.09,0.1,0.04,0.11,20.0,6,6,-8.1,0.97,3.64,0.59,1249,0.2,5
"C1007-609","Ruprecht_161",152.4,-61.31,0.12,0.3,"nan",0.32,17.2,33,11,-4.82,0.38,5.59,0.58,1428,0.1,5
"C1010-578","VDBH_90,vdB-Hagen_90",153.06,-58.06,0.11,0.15,"nan",0.05,15.9,7,5,-1.97,0.68,6.03,0.92,1426,0.51,3
"C1015-584","VDBH_91,vdB-Hagen_91",154.2,-58.69,0.1,0.15,0.03,0.13,19.7,9,6,-7.65,0.99,1.97,0.56,909,0.05,5
"C1017-561","VDBH_92,vdB-Hagen_92",154.75,-56.43,0.11,0.12,0.11,0.17,20.2,5,5,-3.16,1.12,5.28,0.79,1249,0.2,5
"C1019-514","NGC_3228",155.35,-51.74,0.15,0.35,"nan",0.22,19.2,15,8,-13.43,0.3,0.58,0.62,543,0.03,1
"C1025-573","IC_2581",156.81,-57.63,0.09,0.25,0.07,0.2,18.0,19,6,-7.86,0.83,3.15,0.99,2441,0.42,1
"C1026-579","Ruprecht_89",157.06,-58.13,0.11,0.15,"nan",0.09,19.5,9,5,-5.86,1.44,4.04,1.24,909,0.1,5
"C1027-585","Loden_143",157.08,-58.78,0.1,0.4,"nan",0.2,16.0,31,6,-11.98,0.83,2.16,0.94,400,0.05,5
"C1028-595","Collinder_223",157.57,-59.82,0.1,0.2,"nan",0.09,19.3,20,6,-7.89,1.04,1.26,1.51,1694,0.18,1
"C1028-538","Loden_59",157.51,-54.12,0.12,0.25,0.08,0.25,16.0,13,5,-6.76,1.48,-1.0,0.62,1111,0.1,5
"C1029-579","Ruprecht_90",157.95,-58.24,0.1,0.2,0.09,0.2,19.6,18,5,-6.71,0.88,2.54,1.32,1000,0.2,5
"C1033-598","Bochum_9",158.95,-60.12,0.1,0.2,"nan",0.13,19.3,20,9,-8.98,0.66,0.36,0.87,4600,0.63,4
"C1033-579","NGC_3293",158.95,-58.22,0.08,0.2,"nan","nan","nan",24,15,-7.21,0.42,2.24,0.76,2325,0.25,1
"C1035-583","NGC_3324",159.31,-58.62,0.12,0.12,"nan","nan","nan",5,5,-12.2,1.49,5.07,0.92,2325,0.44,1
"C1036-589","VDBH_99,vdB-Hagen_99",159.48,-59.14,0.15,0.65,0.09,0.35,19.5,100,15,-14.94,0.52,1.67,0.5,507,0.06,1
"C1036-538","NGC_3330",159.7,-54.12,0.08,0.25,0.08,0.16,18.7,21,9,-6.44,0.48,1.46,0.8,892,0.05,1
"C1040-648","Melotte_101",160.5,-65.12,0.12,0.4,0.09,0.5,19.5,21,12,-5.92,0.55,2.62,0.71,2000,0.48,3
"C1040-588","Bochum_10",160.6,-59.13,0.15,0.3,"nan","nan","nan",31,17,-5.39,0.59,2.71,0.59,2040,0.31,1
"C1041-641","IC_2602",160.59,-64.4,0.14,1.9,"nan",0.78,19.0,93,9,-17.8,1.07,11.2,0.77,151,0.02,2
"C1041-597","Collinder_228",160.99,-60.09,0.1,0.3,"nan","nan","nan",28,9,-6.3,0.62,2.67,0.55,2222,0.3,1
"C1041-593","Trumpler_14",161.02,-59.57,0.08,0.15,"nan","nan","nan",11,6,-3.35,0.5,3.56,0.62,2702,0.4,1
"C1042-591","Trumpler_15",161.16,-59.35,0.09,0.2,"nan","nan","nan",18,10,-2.44,0.64,2.91,0.81,1851,0.43,1
"C1043-594","Trumpler_16",161.26,-59.72,0.08,0.12,"nan","nan","nan",9,8,-10.36,0.95,5.24,0.9,2702,0.4,1
