"IAU","Name","RAJ2000","DEJ2000","r1(ASCC)","r2(ASCC)","r1(USNO)","r2(USNO)","Bc","N(P>61)","Npm","pmRA","e_pmRA","pmDE","e_pmDE","Dist","E(B-V)","Ref"
"C0001-302","Blanco_1",0.82,-30.14,0.4,2.85,1.25,1.65,20.8,48,16,19.86,0.64,3.37,0.35,262,0.01,2
"C0019+614","Mayer_1",5.47,61.75,0.11,0.22,0.05,0.17,20.0,13,7,-4.46,1.13,-6.66,0.94,1429,0.4,5
"C0022+623","Stock_20",6.31,62.61,0.07,0.15,0.07,0.13,19.8,10,5,0.55,1.06,-1.18,0.58,909,0.2,5
"C0027+577","Stock_21",7.36,58.01,0.1,0.2,"nan",0.08,17.0,9,6,1.0,1.1,-1.34,1.13,1111,0.5,5
"C0027+599","NGC_129",7.47,60.22,0.1,0.3,"nan",0.28,19.6,28,11,-1.77,0.52,-0.92,0.74,1639,0.55,1
"C0030+630","NGC_146",8.2,63.31,0.07,0.12,"nan",0.12,19.8,8,6,-2.59,1.03,0.1,1.1,3030,0.48,1
"C0040+615","NGC_225",10.87,61.79,0.08,0.22,"nan",0.27,19.1,11,6,-2.9,0.97,1.32,0.93,657,0.27,1
"C0040+639","King_16",10.93,64.18,0.09,0.15,0.05,0.17,19.9,7,5,0.7,1.56,2.96,0.88,2300,0.8,3
"C0042+641","Berkeley_4",11.35,64.4,0.09,0.2,"nan",0.23,19.8,15,9,-2.31,0.97,-0.12,0.59,1250,0.6,5
"C0049+563","NGC_281",13.24,56.63,0.08,0.18,"nan","nan","nan",9,6,-0.96,0.4,-1.72,0.88,1430,0.25,5
"C0105+613","NGC_381",17.07,61.58,0.1,0.2,0.09,0.18,19.5,18,8,-0.16,1.5,-0.39,0.8,1052,0.34,1
"C0112+598","NGC_433",18.81,60.14,0.09,0.15,0.07,0.2,19.8,8,6,-3.84,1.15,-0.62,1.45,2323,0.72,4
"C0115+580","NGC_457",19.92,58.27,0.16,0.4,"nan",0.3,19.4,36,16,-1.02,0.48,-1.7,0.44,2439,0.47,1
"C0129+604","NGC_581",23.34,60.67,0.07,0.22,"nan",0.13,19.5,18,8,-0.02,0.34,0.03,0.96,2173,0.38,1
"C0139+637","NGC_637",25.78,64.05,0.09,0.2,0.08,0.21,18.0,9,7,1.06,1.11,-2.91,0.65,2173,0.6,1
"C0140+616","NGC_654",25.96,61.85,0.1,0.28,0.08,0.18,20.0,10,5,-0.84,1.26,0.78,1.37,2040,0.85,1
"C0142+610","NGC_663",26.52,61.24,0.15,0.4,"nan",0.25,19.5,46,18,-3.88,0.44,-0.57,0.54,1952,0.78,3
"C0144+717","Collinder_463",26.71,71.8,0.35,1.1,"nan",0.27,19.8,109,40,-1.06,0.25,-1.3,0.24,704,0.26,1
"C0149+568","Stock_4",28.23,57.07,0.1,0.35,"nan",0.22,19.5,37,8,2.89,0.78,-0.44,0.97,1538,0.2,5
"C0154+374","NGC_752",29.43,37.79,0.3,1.4,"nan",0.83,20.0,113,34,7.63,0.35,-11.87,0.35,456,0.03,1
"C0155+552","NGC_744",29.65,55.47,0.08,0.25,"nan",0.12,19.5,18,9,-1.8,0.83,-3.81,0.79,1204,0.38,1
"C0200+642","Stock_5",31.17,64.35,0.12,0.4,"nan",0.17,19.6,24,10,-0.33,0.62,-2.19,0.31,526,0.2,5
"C0211+590","Stock_2",33.69,59.39,0.4,2.7,"nan",0.83,19.2,168,47,16.49,0.25,-13.16,0.32,300,0.38,3
"C0215+569","NGC_869",34.77,57.15,0.15,2.0,"nan",0.33,19.2,535,11,-0.56,0.62,1.46,0.58,2079,0.58,1
"C0218+568","NGC_884",35.5,57.14,0.15,2.0,"nan",0.33,19.1,559,20,-1.81,0.52,1.48,0.66,2325,0.56,1
"C0219+636","Stock_6",35.85,63.8,0.06,0.2,0.05,0.15,19.8,11,5,0.77,0.68,2.09,1.04,1250,0.4,5
"C0225+604","Markarian_6",37.41,60.67,0.07,0.25,"nan",0.12,19.7,12,6,-4.8,0.46,-1.73,0.98,698,0.57,1
"C0228+612","IC_1805",38.17,61.47,0.15,0.3,0.05,0.17,18.0,20,12,-1.36,0.33,-0.12,0.64,1886,0.71,1
"C0230+573","NGC_957",38.32,57.55,0.12,0.28,"nan",0.15,19.2,16,11,1.65,0.78,-1.08,0.83,1818,0.8,1
"C0233+557","Trumpler_2",39.22,55.92,0.1,0.45,"nan",0.28,19.0,33,11,0.72,0.69,-5.6,0.48,649,0.32,1
"C0238+425","NGC_1039",40.54,42.76,0.25,0.8,"nan",0.32,19.5,69,34,0.02,0.17,-6.79,0.19,500,0.07,1
"C0238+613","NGC_1027",40.69,61.62,0.15,0.4,"nan",0.18,19.4,31,16,0.48,0.86,3.85,0.64,1000,0.4,1
"C0247+602","IC_1848",42.78,60.41,0.2,0.35,"nan",0.3,19.7,22,9,-3.78,0.91,-1.32,0.75,2000,0.6,1
"C0255+602","Collinder_33",44.82,60.4,0.17,0.3,"nan",0.38,19.8,23,15,3.62,0.66,2.33,0.77,1111,0.4,5
"C0307+630","Trumpler_3",47.97,63.17,0.15,0.5,"nan",0.2,19.8,38,14,-2.01,0.53,0.54,0.7,833,0.3,5
"C0312+598","Stock_23",49.08,60.03,0.11,0.3,"nan","nan","nan",11,8,0.24,0.94,-1.97,1.18,1000,0.3,5
"C0318+484","Melotte_20",51.49,49.12,1.3,6.5,1.33,7.33,19.7,158,42,22.46,0.19,-25.47,0.19,190,0.09,2
"C0324+562","King_6",51.99,56.44,0.07,0.22,0.11,0.27,20.0,8,6,-0.94,0.72,-2.56,1.1,871,0.5,4
"C0328+371","NGC_1342",52.9,37.33,0.08,0.25,"nan",0.25,19.8,17,6,0.47,1.26,-2.86,0.72,666,0.32,1
"C0341+321","IC_348",56.1,32.15,0.14,0.17,0.15,0.28,19.9,6,6,7.54,0.45,-9.32,0.58,384,0.35,1
"C0343+589","Tombaugh_5",56.95,59.06,0.16,0.3,0.13,0.28,20.0,9,6,0.26,0.7,-3.04,1.01,1800,0.25,3
"C0344+239","Pleiades",56.83,24.12,1.1,5.5,"nan","nan","nan",100,56,19.44,0.17,-44.41,0.14,118,0.02,2
"C0403+622","NGC_1502",61.93,62.33,0.08,0.45,0.08,0.2,19.7,28,11,-0.08,0.57,-0.81,0.68,819,0.71,1
"C0411+511","NGC_1528",63.85,51.2,0.15,0.45,"nan",0.33,19.9,39,23,2.02,0.34,-1.39,0.39,775,0.26,1
"C0417+501","NGC_1545",65.25,50.28,0.1,0.2,"nan",0.17,20.0,9,7,-0.9,0.66,-0.53,0.47,709,0.3,1
"C0428+437","NGC_1582",67.9,43.83,0.15,0.4,"nan",0.4,19.7,18,8,-0.01,0.78,-2.56,0.59,526,0.1,5
"C0443+189","NGC_1647",71.5,19.13,0.25,1.0,"nan",0.6,19.7,56,30,-1.71,0.23,-1.76,0.21,540,0.37,1
"C0445+108","NGC_1662",72.12,10.93,0.15,0.75,0.15,0.31,19.8,38,16,-2.94,0.19,-1.64,0.37,436,0.3,1
"C0447+436","NGC_1664",72.78,43.7,0.15,0.45,0.12,0.32,19.6,23,12,-2.44,0.38,-5.86,0.3,1204,0.25,1
"C0500+237","NGC_1746",75.96,23.77,0.25,0.9,0.32,0.43,19.5,60,21,-1.27,0.28,-3.87,0.29,420,0.3,3
"C0504+369","NGC_1778",77.04,37.04,0.1,0.35,"nan",0.13,19.6,22,9,-0.09,0.51,-3.9,0.66,1470,0.34,1
"C0509+166","NGC_1817",78.03,16.69,0.13,0.4,"nan",0.17,19.4,17,5,1.47,1.05,-3.37,0.68,1960,0.33,1
"C0518-685","NGC_1901",79.5,-68.46,0.08,0.4,0.17,0.5,19.6,10,5,2.61,0.61,8.91,0.21,444,0.06,3
"C0519+333","NGC_1893",80.68,33.41,0.08,0.25,"nan",0.2,19.5,21,10,-0.45,0.37,-4.72,0.51,3333,0.4,1
"C0524+343","Stock_8",81.88,34.43,0.14,0.35,"nan",0.1,19.6,32,13,-1.44,0.44,-4.35,0.36,1818,0.44,1
"C0524+352","NGC_1907",82.03,35.33,0.1,0.2,0.08,0.13,19.7,14,7,-0.66,0.53,-4.03,0.7,1562,0.42,1
"C0525+358","NGC_1912",82.18,35.83,0.15,0.45,0.2,0.33,19.6,75,35,0.52,0.26,-6.28,0.29,1063,0.25,1
"C0532-059","NGC_1980",83.8,-5.91,0.14,0.2,"nan","nan","nan",8,8,0.46,0.61,-1.01,0.54,500,"nan",5
"C0532-054","Trapezium",83.85,-5.38,0.15,0.4,"nan","nan","nan",21,8,2.02,0.74,-0.19,0.66,450,0.06,3
"C0532-048","NGC_1977",83.85,-4.83,0.15,0.3,"nan","nan","nan",12,8,3.56,0.35,-1.72,0.84,476,0.05,5
"C0532-044","NGC_1981",83.77,-4.39,0.17,0.3,"nan",0.28,19.5,8,5,0.42,0.88,-0.92,0.77,400,0.05,3
"C0532+099","Collinder_69",83.82,9.78,0.33,0.55,"nan","nan","nan",18,17,0.31,0.38,-1.41,0.28,440,0.01,1
"C0532+341","NGC_1960",84.06,34.15,0.12,0.45,"nan",0.24,19.5,36,20,0.02,0.31,-5.14,0.34,724,0.22,1
"C0533-011","Collinder_70",83.74,-0.81,0.3,1.7,"nan",1.67,19.6,134,9,-0.84,0.52,0.9,0.35,387,0.04,1
"C0535+379","Stock_10",84.67,37.81,0.17,0.6,0.25,0.52,17.0,34,8,-2.48,0.57,-3.66,0.77,666,0.2,5
"C0536-026","Sigma_Orionis,Sigma_Ori",84.7,-2.6,0.1,0.4,"nan",0.42,19.4,7,5,4.43,0.24,-1.52,0.84,363,0.05,5
"C0549+325","NGC_2099",88.05,32.53,0.15,0.4,0.23,0.37,19.5,53,35,3.42,0.3,-6.61,0.27,1388,0.3,1
"C0558+233","NGC_2129",90.27,23.33,0.05,0.1,"nan",0.08,19.8,5,5,2.55,0.94,-1.65,0.62,2000,0.6,1
"C0605+139","NGC_2169",92.13,13.97,0.1,0.25,"nan",0.15,19.8,12,10,-2.96,0.33,-3.74,0.46,1052,0.2,1
"C0605+243","NGC_2168",92.28,24.35,0.2,0.95,"nan",0.5,19.8,167,60,2.27,0.21,-2.56,0.13,813,0.26,1
"C0609+054","NGC_2186",93.03,5.46,0.06,0.18,"nan",0.07,19.7,6,5,1.57,0.1,-0.86,0.51,1449,0.22,1
"C0615+236","Collinder_89",94.87,23.28,0.15,0.45,"nan",0.37,19.7,24,6,0.35,0.48,-1.53,0.63,667,0.2,5
"C0618-072","NGC_2215",95.25,-7.28,0.09,0.3,0.07,0.25,17.0,13,9,2.7,0.53,-4.84,0.6,1298,0.3,1
"C0624-047","NGC_2232",96.97,-4.8,0.1,0.6,"nan",0.42,19.6,19,6,-5.27,0.88,-1.73,0.42,324,0.03,2
"C0627+099","Collinder_95",97.78,9.92,0.15,0.35,"nan",0.17,19.8,13,6,-1.53,0.22,-4.13,0.43,556,0.01,5
"C0628+059","Collinder_97",97.81,5.83,0.2,0.4,0.13,0.4,19.7,18,7,-1.77,0.95,-1.89,0.44,630,"nan",4
"C0629+049","NGC_2244",97.99,4.94,0.18,0.75,0.15,0.33,19.8,64,16,-0.95,0.4,-0.3,0.46,1449,0.4,1
"C0631+081","Basel_8",98.56,8.08,0.12,0.25,0.07,0.15,18.0,16,10,0.43,0.6,-2.13,0.47,1333,0.37,1
"C0632+084","NGC_2251",98.67,8.37,0.08,0.25,0.07,0.22,18.0,18,11,-0.24,0.55,-2.6,0.51,1333,0.19,1
"C0634-141","Ruprecht_1",99.07,-14.17,0.1,0.25,0.11,0.32,19.5,9,5,-0.75,0.78,-0.74,0.5,1000,0.2,5
"C0634+060","Collinder_106",99.33,5.98,0.16,0.45,"nan",0.4,19.7,22,7,-1.17,0.75,1.82,0.81,769,0.2,5
"C0638+099","NGC_2264",100.24,9.88,0.2,0.7,0.08,0.17,15.0,46,11,-2.66,0.39,-3.8,0.36,666,0.05,1
"C0640+000","Dolidze_23",100.77,0.01,0.14,0.2,"nan",0.18,17.0,9,5,2.35,0.62,0.9,0.7,625,0.1,5
"C0644-206","NGC_2287",101.52,-20.71,0.2,0.75,"nan",0.38,20.5,110,36,-4.49,0.27,-0.57,0.24,694,0.03,1
"C0645+411","NGC_2281",102.07,41.08,0.2,0.7,"nan",0.32,19.7,40,19,-4.49,0.27,-8.42,0.31,558,0.15,1
"C0649-070","NGC_2302",102.97,-7.07,0.09,0.25,"nan",0.1,19.4,18,6,-1.27,0.56,-1.14,0.46,1176,0.21,1
"C0649+005","NGC_2301",102.93,0.46,0.15,0.35,"nan",0.22,19.5,64,29,-1.4,0.23,-5.01,0.27,869,0.03,1
"C0652-245","Collinder_121",103.66,-24.26,0.3,0.6,"nan",0.35,20.2,52,17,-4.31,0.42,3.8,0.46,1170,0.03,3
"C0655-045","NGC_2311",104.46,-4.56,0.09,0.15,"nan",0.13,19.4,7,6,-3.82,1.51,3.29,1.21,2290,0.28,4
"C0700-082","NGC_2323",105.69,-8.36,0.15,0.65,"nan",0.33,19.2,122,27,0.22,0.29,-1.76,0.33,925,0.21,1
"C0701-114","VDB_92,vdBergh_92",106.02,-11.47,0.12,0.2,0.11,0.17,20.2,14,11,-5.11,0.38,2.37,0.52,1429,0.2,5
"C0704-100","NGC_2335",106.71,-10.05,0.13,0.25,0.11,0.25,19.4,14,10,0.98,0.39,-2.38,0.5,1408,0.39,1
"C0705-281","Ruprecht_12",106.87,-28.26,0.12,0.12,0.08,0.12,20.4,5,5,-3.17,1.13,2.18,1.11,769,0.01,5
"C0705-105","NGC_2343",107.04,-10.63,0.14,0.25,"nan",0.15,19.1,12,8,-0.87,0.43,0.11,0.64,1052,0.12,1
"C0706-130","NGC_2345",107.1,-13.19,0.09,0.12,0.03,0.13,19.0,7,7,-1.3,0.36,-0.05,0.65,2272,0.62,1
"C0707-168","Haffner_23",107.38,-16.94,0.07,0.2,"nan",0.22,17.0,13,5,-2.67,0.62,0.65,1.58,588,0.1,5
"C0712-310","Collinder_132",108.39,-31.03,0.1,0.3,"nan",0.2,20.2,10,6,-5.42,0.59,5.52,0.61,471,0.04,1
"C0712-256","NGC_2354",108.57,-25.73,0.12,0.3,"nan",0.27,20.0,19,8,-8.45,0.77,0.38,0.83,4166,0.31,1
"C0712-102","NGC_2353",108.63,-10.27,0.15,0.42,0.08,0.22,19.2,34,13,-3.15,0.42,0.45,0.35,1123,0.07,1
"C0714-138","Basel_11a",109.27,-13.97,0.17,0.22,0.03,0.07,17.0,9,6,-2.55,0.84,1.58,0.49,1923,0.29,1
"C0715-367","Collinder_135",109.45,-37.16,0.2,1.2,"nan",0.42,20.4,65,7,-9.93,0.41,5.12,0.53,316,0.03,1
"C0715-155","NGC_2360",109.44,-15.63,0.15,0.55,"nan",0.25,19.6,71,27,-2.6,0.3,4.82,0.39,1886,0.11,1
"C0716-248","NGC_2362",109.66,-24.99,0.08,0.25,0.07,0.13,16.0,25,11,-2.36,0.33,2.64,0.42,1388,0.1,1
"C0718-218","NGC_2367",110.02,-21.89,0.12,0.25,"nan",0.18,18.0,12,6,-2.61,1.1,5.14,0.52,2000,0.33,1
"C0721-131","NGC_2374",111.03,-13.23,0.12,0.25,"nan",0.27,19.0,21,10,-4.01,0.46,-1.7,0.44,1492,0.09,1
"C0722-321","Collinder_140",110.82,-32.06,0.25,0.8,"nan",0.58,19.4,52,10,-8.93,0.32,3.91,0.38,409,0.03,2
"C0722-209","NGC_2384",111.3,-21.02,0.1,0.15,"nan",0.07,17.0,9,7,-5.43,0.98,3.22,0.75,2127,0.21,1
"C0722-208","NGC_2383",111.18,-20.94,0.1,0.1,"nan",0.09,20.0,8,8,-7.07,0.94,3.52,0.86,1666,0.21,1
