ID,ra,ra_sigma,dec,dec_sigma,plx,pmra,pmra_sigma,pmdec,pmdec_sigma,l,l_sigma,b,b_sigma,Nmem,n17,class,Age,Age_sigma,[Fe/H],[Fe/H]_sigma,M,M_sigma,Av,Av_sigma
CKCWDM_46193,120.6149,0.0008,-29.4346,0.0008,0.1959,-2.3404,0.0851,3.0906,0.2362,246.885,0.0012,0.7041,0.0002,27,26,1,8.8871,0.0197,0.06783,0.04303,13.53707,0.05098,2.23038,0.01016
CKCWDM_46206,120.8004,0.0022,-29.3463,0.0011,0.1596,-1.792,0.1379,2.8192,0.0991,246.8961,0.002,0.8878,0.0007,25,24,1,8.8856,0.0295,0.32033,0.17718,13.98497,0.05096,2.17312,0.01018
CKCWDM_46214,120.832,0.0019,-29.4984,0.0015,0.1459,-2.1998,0.117,2.334,0.2372,247.0395,0.0026,0.8302,0.0002,24,22,1,8.9005,0.0343,0.11732,0.07129,14.17633,0.05246,2.27198,0.01005
CKCWDM_46239,119.8808,0.0015,-28.0929,0.0018,0.1951,-2.5022,0.0855,2.8853,0.2619,245.4056,0.0027,0.8655,0.0003,23,22,1,8.89,0.0173,0.22758,0.12905,13.54799,0.04973,1.91159,0.00955
CKCWDM_46255,120.2168,0.0029,-29.4726,0.0031,0.1744,-2.2076,0.0502,3.3076,0.1432,246.7338,0.005,0.3898,0.0003,22,21,1,8.9112,0.02,-0.58386,0.34866,13.79452,0.05126,2.97515,0.01024
CKCWDM_46311,121.4417,0.0012,-29.5584,0.0034,0.1815,-2.0469,0.1243,2.6205,0.0517,247.3738,0.0036,1.2466,0.0007,27,25,1,8.886,0.033,0.2954,0.18598,13.7025,0.04981,1.8169,0.00976
CKCWDM_46333,121.4169,0.0006,-31.1915,0.0019,0.192,-2.0677,0.0874,2.9647,0.2357,248.7403,0.002,0.352,0.0004,49,48,1,8.9143,0.0285,-0.58002,0.34718,13.5832,0.05208,1.91902,0.01008
CKCWDM_46355,121.733,0.0012,-31.2979,0.0006,0.1495,-2.2705,0.1609,2.9286,0.1943,248.9754,0.0008,0.5226,0.0007,36,35,1,8.8921,0.0312,0.33109,0.19025,14.12645,0.05033,1.92454,0.01017
CKCWDM_46386,120.8711,0.0003,-31.6332,0.0012,0.1586,-1.7647,0.1963,2.1777,0.2239,248.8646,0.0011,-0.2777,0.0003,28,27,1,8.9224,0.0314,-0.84183,0.46565,13.99894,0.05146,1.83204,0.00993
CKCWDM_46404,122.5279,0.002,-32.1935,0.0023,0.1669,-2.2382,0.1166,2.9729,0.1366,250.0945,0.0034,0.6047,0.0004,26,25,1,8.9058,0.0278,-0.56537,0.34482,13.88554,0.05071,2.59258,0.01004
CKCWDM_46434,122.3046,0.0006,-30.5608,0.0008,0.1591,-2.4299,0.0952,2.7953,0.3474,248.621,0.0012,1.3339,0.0001,30,30,1,8.8918,0.0362,0.32352,0.19539,13.98751,0.05249,1.84373,0.01037
CKCWDM_46451,121.6105,0.0009,-31.4142,0.0005,0.1785,-2.0454,0.2358,2.3748,0.1086,249.0171,0.0007,0.3718,0.0004,22,21,1,8.9177,0.0343,-0.57109,0.34523,13.74203,0.05198,2.07008,0.00985
CKCWDM_46470,122.4788,0.0008,-32.2795,0.0027,0.1996,-2.23,0.1862,2.9544,0.2478,250.144,0.0031,0.5231,0.0002,21,21,1,8.9115,0.0393,-0.85692,0.49548,13.49721,0.04834,2.85848,0.01007
