ID,ra,ra_sigma,dec,dec_sigma,plx,pmra,pmra_sigma,pmdec,pmdec_sigma,l,l_sigma,b,b_sigma,Nmem,n17,class,Age,Age_sigma,[Fe/H],[Fe/H]_sigma,M,M_sigma,Av,Av_sigma
CKCWDM_60069,115.2724,0.0045,-14.3998,0.0037,0.1916,-1.3145,0.213,1.6459,0.0993,231.4187,0.0069,4.1232,0.001,21,21,1,8.7395,0.0374,0.31187,0.17022,13.58729,0.05002,0.93802,0.00984
CKCWDM_60086,119.8203,0.0021,-22.9337,0.0031,0.1825,-2.0283,0.2262,2.1916,0.3158,240.9786,0.0046,3.5215,0.0003,33,32,1,8.7396,0.0376,0.28897,0.16573,13.69174,0.04978,0.96657,0.01013
CKCWDM_60146,118.7189,0.0006,-21.7589,0.0038,0.1477,-1.3473,0.0883,1.6164,0.0487,239.4432,0.0032,3.2591,0.0011,22,22,1,8.9313,0.0284,-0.85225,0.51139,14.15344,0.04959,1.16528,0.00999
CKCWDM_60162,119.0828,0.0007,-21.6427,0.0018,0.1865,-1.8937,0.2786,1.9266,0.1984,239.5181,0.0021,3.6088,0.0004,21,21,1,8.8931,0.0326,0.32792,0.17657,13.64602,0.05023,0.89246,0.00967
CKCWDM_60197,121.3183,0.0035,-26.4056,0.0052,0.179,-2.4063,0.1249,2.1351,0.1645,244.6512,0.0076,2.8432,0.0005,31,31,1,8.7631,0.0306,0.30047,0.17099,13.73435,0.05004,0.83609,0.01006
CKCWDM_60204,120.6097,0.0008,-24.8128,0.0012,0.1869,-2.1093,0.2063,2.3153,0.3651,242.9601,0.0015,3.1486,0.0004,29,29,1,8.7396,0.0173,0.28325,0.15602,13.63852,0.04935,0.72246,0.00998
CKCWDM_60231,121.1501,0.0027,-26.783,0.0064,0.1342,-1.7571,0.0869,2.0706,0.1254,244.8902,0.0083,2.5146,0.0003,24,22,1,8.919,0.0326,-0.84372,0.47947,14.36112,0.04995,1.01051,0.01042
CKCWDM_60251,119.9751,0.0007,-24.769,0.0017,0.1766,-2.2393,0.0464,2.9277,0.1625,242.619,0.0013,2.6818,0.001,22,22,1,8.8877,0.0257,0.32672,0.17745,13.76529,0.05139,0.73485,0.01
CKCWDM_60260,121.7628,0.0008,-25.8781,0.0025,0.1937,-2.1365,0.1596,2.2971,0.2708,244.4192,0.0028,3.4628,0.0003,21,21,1,8.8858,0.0287,0.338,0.18433,13.56125,0.0512,0.67092,0.01036
CKCWDM_60275,123.3142,0.0006,-28.522,0.0011,0.1588,-2.2207,0.0939,2.1933,0.2475,247.3933,0.0012,3.184,0.0003,20,20,1,8.9241,0.0324,-0.58078,0.34144,13.99298,0.05233,1.24696,0.01003
CKCWDM_60343,127.2379,0.0024,-31.9899,0.0037,0.1614,-2.5783,0.0842,2.4339,0.0917,252.1794,0.0051,4.014,0.0003,26,26,1,8.895,0.0263,-0.2862,0.17188,13.95955,0.05084,1.13714,0.01015
CKCWDM_60396,128.0131,0.0026,-32.5594,0.002,0.1576,-2.5987,0.4418,3.0163,0.0517,253.0272,0.0036,4.2113,0.0004,23,23,1,8.9239,0.0153,-0.38457,0.23515,14.01247,0.05097,0.797,0.00989
CKCWDM_60403,124.8935,0.0007,-30.1131,0.0006,0.1452,-1.9843,0.1322,2.7128,0.2098,249.4851,0.0008,3.4428,0.0003,20,20,1,8.9171,0.0393,-0.3995,0.23255,14.18959,0.05047,1.01558,0.01027
CKCWDM_60404,124.2942,0.0017,-29.4728,0.0017,0.1708,-2.7245,0.3712,3.3442,0.1053,248.6618,0.0024,3.3709,0.0006,20,20,1,8.9111,0.032,-0.85229,0.49114,13.83664,0.05181,1.04313,0.01007
CKCWDM_60411,124.8296,0.002,-31.3286,0.0019,0.1433,-2.1987,0.0809,2.6005,0.0876,250.46,0.0029,2.7129,0.0004,20,19,1,8.9266,0.0219,-0.59784,0.34228,14.21552,0.05102,1.43464,0.01013
CKCWDM_60414,125.1222,0.0017,-31.8698,0.0009,0.1336,-2.6362,0.0845,3.0682,0.1253,251.048,0.0014,2.6131,0.0007,20,20,1,8.8974,0.0314,-0.09939,0.05956,14.36901,0.05086,1.28616,0.01013
CKCWDM_60421,125.3011,0.0017,-30.9657,0.0024,0.1731,-2.184,0.2102,2.7402,0.0714,250.3884,0.0036,3.2509,0.0001,20,20,1,8.9094,0.0365,-0.58994,0.341,13.80865,0.05061,1.21193,0.00997
CKCWDM_60431,128.0334,0.0027,-33.194,0.0035,0.1487,-2.389,0.0771,2.2401,0.1227,253.551,0.0053,3.8507,0.0002,37,37,1,8.7406,0.0348,0.25219,0.15079,14.13525,0.04995,0.91206,0.0101
CKCWDM_60457,129.2392,0.0043,-35.2991,0.0025,0.1396,-2.2383,0.0993,2.7084,0.1652,255.84,0.005,3.3966,0.0004,25,21,1,8.89,0.0245,0.3215,0.18661,14.27382,0.05023,1.20674,0.01025
CKCWDM_60462,129.0001,0.0019,-35.3968,0.0031,0.1959,-2.4799,0.0798,3.1142,0.2578,255.8008,0.0041,3.1819,0.0002,24,22,1,8.8976,0.0154,0.23234,0.13656,13.53713,0.05214,1.2957,0.01008
CKCWDM_60472,129.0531,0.0029,-36.1354,0.001,0.1486,-2.5396,0.1114,2.771,0.0852,256.4183,0.0022,2.7731,0.0007,23,23,1,8.9075,0.0256,0.02012,0.01188,14.13774,0.04928,1.49322,0.00976
CKCWDM_60492,129.0751,0.003,-35.2802,0.0059,0.168,-2.6749,0.0678,2.5037,0.1013,255.7442,0.0077,3.3009,0.0003,21,21,1,8.92,0.0206,-0.85709,0.48928,13.87314,0.0511,1.14369,0.01017
CKCWDM_60516,132.9843,0.0023,-38.1394,0.0014,0.1671,-3.1174,0.3233,2.8443,0.2149,259.9366,0.002,3.9972,0.0008,43,42,1,8.9226,0.0237,-0.84189,0.49218,13.88365,0.04995,1.67043,0.0096
CKCWDM_60523,133.4037,0.0067,-38.5673,0.0044,0.1864,-3.289,0.2116,3.1037,0.3118,260.4773,0.0082,3.9773,0.0004,29,28,1,8.925,0.0332,-0.58556,0.33227,13.64452,0.05006,1.7317,0.01005
CKCWDM_60527,131.3754,0.0016,-37.47,0.0016,0.1672,-3.2392,0.1062,3.0384,0.1563,258.6141,0.0023,3.4296,0.0003,26,25,1,8.925,0.0269,-0.87873,0.47665,13.88049,0.05167,1.89871,0.00999
CKCWDM_60529,136.8551,0.0018,-41.5115,0.0009,0.1692,-3.8388,0.1667,3.6289,0.2807,264.4419,0.0017,4.0378,0.0002,26,26,1,8.9255,0.0392,-0.57957,0.33665,13.85741,0.05125,2.35642,0.01017
CKCWDM_60535,132.3978,0.0023,-38.1247,0.0024,0.1755,-3.1856,0.1082,2.7294,0.2071,259.6323,0.0036,3.6495,0.0002,23,23,1,8.9187,0.0171,-0.62,0.34096,13.77773,0.0492,1.88976,0.00996
CKCWDM_60559,133.4325,0.0014,-38.1902,0.0007,0.1697,-3.1167,0.1565,3.4165,0.1897,260.2012,0.0014,4.2361,0.0001,20,19,1,8.9526,0.0297,-0.39602,0.23263,13.85136,0.05098,1.41601,0.01012
CKCWDM_60568,137.0939,0.0052,-42.2973,0.0013,0.1802,-3.5029,0.1699,2.9259,0.1889,265.1436,0.0037,3.6393,0.0004,26,23,1,8.918,0.0246,-0.17564,0.10793,13.72282,0.05041,2.73088,0.00997
CKCWDM_60570,138.5178,0.0029,-42.2351,0.0012,0.1746,-3.8062,0.244,3.2632,0.1434,265.8184,0.0022,4.4523,0.0006,24,23,1,8.9286,0.0295,-0.84274,0.49174,13.78702,0.05074,1.82679,0.00973
CKCWDM_60604,147.4722,0.0052,-48.9071,0.0026,0.1626,-4.3637,0.1716,3.3437,0.318,274.9652,0.0045,3.8522,0.0003,42,41,1,8.9217,0.0178,-0.57823,0.34524,13.94455,0.05183,1.49607,0.01
CKCWDM_60630,147.6382,0.0034,-49.7984,0.0012,0.1404,-4.2931,0.1956,2.8043,0.1425,275.615,0.0025,3.2313,0.0001,29,29,1,8.9209,0.0342,-0.17741,0.10924,14.26068,0.05311,1.46728,0.0102
CKCWDM_60632,143.4848,0.0056,-47.4578,0.0012,0.129,-4.0508,0.3169,3.1977,0.0795,272.0029,0.0036,3.2013,0.0002,28,28,1,8.9255,0.0339,-0.85848,0.5021,14.44586,0.05025,1.99465,0.01017
CKCWDM_60657,144.4202,0.0031,-47.1629,0.0015,0.1399,-4.4098,0.1603,3.0893,0.0762,272.2749,0.0024,3.846,0.0006,23,23,1,8.8588,0.0251,0.30795,0.18416,14.26632,0.04986,1.62186,0.00999
CKCWDM_60661,149.099,0.0024,-49.0714,0.0007,0.1589,-4.4381,0.274,3.0685,0.192,275.9028,0.0014,4.3926,0.0003,23,22,1,8.9198,0.0386,-0.27562,0.17004,13.99073,0.05193,1.43519,0.00981
CKCWDM_60668,146.7745,0.0055,-48.6016,0.0023,0.1849,-4.2385,0.1314,3.3624,0.2522,274.4149,0.0046,3.7934,0.0002,22,22,1,8.9286,0.0179,0.07001,0.04026,13.6632,0.05075,1.71956,0.01002
CKCWDM_60724,152.4873,0.0053,-50.661,0.0008,0.1324,-4.694,0.2052,2.7546,0.1669,278.6114,0.0018,4.4249,0.0011,55,54,1,8.9235,0.0354,-0.56411,0.34645,14.38758,0.05031,1.11284,0.01001
CKCWDM_60727,147.522,0.0007,-50.6938,0.0013,0.1344,-4.1699,0.1071,3.0262,0.144,276.1251,0.0011,2.4913,0.0005,22,21,1,8.935,0.0352,0.06925,0.04192,14.35718,0.05121,2.01618,0.01018
CKCWDM_60758,153.3838,0.0021,-51.6576,0.0012,0.1426,-5.6456,0.1192,3.1609,0.1258,279.6458,0.0017,3.9299,0.0004,24,21,1,8.9221,0.0326,-0.57359,0.34535,14.22612,0.04988,1.31025,0.01019
CKCWDM_60852,167.468,0.0014,-56.6702,0.0007,0.186,-5.653,0.1233,1.9398,0.2612,289.2787,0.0007,3.485,0.0004,25,23,1,8.9257,0.0381,-0.57031,0.33839,13.6499,0.05078,1.79833,0.0103
CKCWDM_60860,164.8673,0.0012,-56.747,0.0007,0.1613,-5.6178,0.3436,2.3546,0.1019,287.9995,0.0006,2.8431,0.0005,24,24,1,8.934,0.0394,0.11784,0.07365,13.96007,0.04927,1.88408,0.00992
CKCWDM_60863,165.2195,0.0057,-56.5795,0.0008,0.1706,-5.2761,0.3769,2.3487,0.1606,288.106,0.0022,3.0759,0.0003,24,24,1,8.9303,0.0161,-0.84948,0.48278,13.83991,0.05044,1.38803,0.00988
CKCWDM_60864,165.559,0.0023,-56.8401,0.0005,0.1858,-5.4401,0.1988,1.7975,0.1457,288.3834,0.0009,2.915,0.0003,24,24,1,8.9219,0.0346,-0.57762,0.34538,13.65029,0.05071,1.96984,0.00968
CKCWDM_60870,165.4612,0.0021,-56.6175,0.0003,0.1398,-5.3217,0.1348,1.888,0.1573,288.2431,0.0005,3.0961,0.0004,22,22,1,8.9312,0.0212,0.22378,0.14045,14.27129,0.05058,1.42407,0.01004
CKCWDM_60895,166.3598,0.0025,-56.8003,0.0002,0.1982,-6.2268,0.4701,2.3171,0.1612,288.7689,0.0009,3.1281,0.0001,20,20,1,8.9273,0.0339,-0.84222,0.48888,13.51157,0.04968,1.36435,0.0102
CKCWDM_60898,172.2724,0.0052,-57.504,0.0005,0.1475,-6.1798,0.0891,1.4587,0.2399,292.0208,0.0015,3.6127,0.0004,46,44,1,8.9139,0.0277,0.19613,0.12061,14.15692,0.0499,1.10152,0.01028
CKCWDM_60916,171.8633,0.002,-58.0667,0.0004,0.1388,-6.2475,0.1387,1.4956,0.1677,291.9919,0.0007,3.01,0.0002,30,30,1,8.9129,0.0376,-0.18057,0.1088,14.28637,0.05184,1.63778,0.01038
CKCWDM_60921,170.173,0.0044,-57.83,0.0005,0.1757,-6.3163,0.1944,1.9495,0.1175,291.066,0.0013,2.9358,0.0004,29,28,1,8.9227,0.0292,0.07029,0.04235,13.77621,0.05084,1.90316,0.00994
CKCWDM_60926,171.6709,0.0025,-57.337,0.0003,0.1335,-5.1459,0.1597,1.1986,0.2154,291.6599,0.0007,3.6682,0.0003,26,24,1,8.9156,0.0177,-0.09928,0.05957,14.37207,0.05084,1.07892,0.00983
CKCWDM_60946,171.0375,0.004,-57.331,0.0004,0.1957,-5.8945,0.3168,1.8813,0.1105,291.3342,0.0014,3.562,0.0001,23,23,1,8.9386,0.0298,0.30301,0.17211,13.53549,0.0504,1.08026,0.01017
CKCWDM_60949,170.6497,0.0019,-57.0943,0.0004,0.1519,-6.6069,0.1109,2.2601,0.1467,291.0566,0.0007,3.7149,0.0003,22,22,1,8.9478,0.021,0.19584,0.11929,14.09071,0.04932,1.17674,0.01012
CKCWDM_60952,172.0444,0.0011,-58.0452,0.0006,0.1914,-6.3026,0.2063,1.5111,0.0851,292.076,0.0005,3.0608,0.0004,22,22,1,8.9342,0.0255,0.19372,0.12235,13.58897,0.05091,1.61396,0.00967
CKCWDM_60968,171.1933,0.0022,-57.4625,0.0002,0.148,-5.8155,0.1617,1.2642,0.0882,291.457,0.0007,3.4657,0.0002,20,19,1,8.928,0.024,-0.59032,0.33837,14.14505,0.04956,1.06002,0.0099
CKCWDM_60969,171.114,0.0019,-57.4324,0.0003,0.1745,-5.5114,0.107,1.2892,0.0488,291.4068,0.0005,3.48,0.0004,20,18,1,8.9464,0.0372,0.33087,0.18474,13.79079,0.05095,1.0421,0.01015
CKCWDM_60979,173.9071,0.0061,-58.861,0.0005,0.126,-5.6464,0.1164,1.3984,0.1592,293.2534,0.0016,2.5788,0.0005,28,28,1,8.9245,0.0158,0.31193,0.17834,14.49764,0.05298,1.89417,0.01019
CKCWDM_61011,191.7816,0.0009,-59.0671,0.0001,0.1576,-6.1767,0.079,-0.1808,0.122,302.3767,0.0002,3.8,0.0001,21,19,1,8.9267,0.0159,-0.56265,0.34287,14.00972,0.05068,1.87366,0.00992
CKCWDM_61089,291.7434,0.0008,24.7072,0.0006,0.1617,-2.577,0.0728,-5.1604,0.2081,58.8392,0.0008,3.7688,0.0004,34,32,1,8.925,0.015,-0.58631,0.34673,13.95577,0.05078,2.72311,0.01022
CKCWDM_61154,292.0235,0.0012,24.6683,0.0002,0.1727,-2.6276,0.064,-5.5922,0.4825,58.9256,0.0001,3.5263,0.0011,26,26,1,8.9222,0.029,-0.03917,0.02425,13.81164,0.05128,3.09168,0.01025
CKCWDM_61156,293.1635,0.0006,26.1023,0.0004,0.1568,-2.2126,0.1243,-4.657,0.2479,60.6804,0.0006,3.3057,0.0002,24,21,1,8.9225,0.028,-0.59284,0.33799,14.02105,0.05092,3.14862,0.01008
CKCWDM_61172,292.3403,0.0003,24.8034,0.0007,0.1313,-2.677,0.1285,-4.8782,0.1575,59.1817,0.0008,3.3374,0.0002,21,21,1,8.9141,0.0351,0.01998,0.01196,14.40596,0.04929,2.64016,0.01022
CKCWDM_61182,294.265,0.0007,26.7644,0.0003,0.1315,-2.5339,0.106,-5.0498,0.1506,61.7384,0.0006,2.7626,0.0003,27,26,1,8.9175,0.0325,-0.2874,0.16919,14.40427,0.05156,3.90234,0.01031
CKCWDM_61188,292.9888,0.0004,26.489,0.0005,0.1406,-2.9108,0.124,-5.4809,0.1211,60.9452,0.0007,3.6287,0.0001,24,21,1,8.9345,0.0339,0.12107,0.07235,14.25976,0.05178,2.66698,0.01029
CKCWDM_61241,293.8746,0.0003,28.1283,0.0001,0.1578,-2.8691,0.2209,-5.8776,0.154,62.7647,0.0001,3.7273,0.0003,21,21,1,8.9274,0.0171,-0.3972,0.24163,14.00682,0.04942,1.89077,0.00946
CKCWDM_61246,294.2378,0.0012,27.7502,0.0006,0.1696,-2.4187,0.1717,-4.9475,0.1455,62.5891,0.0001,3.2634,0.0015,21,21,1,8.9275,0.0272,-0.87228,0.48673,13.85156,0.05085,2.63545,0.0098
CKCWDM_61281,294.2977,0.0006,28.5916,0.0005,0.1687,-2.7747,0.1042,-4.9297,0.1208,63.3515,0.0007,3.6261,0.0002,27,25,1,8.9251,0.0195,-0.58248,0.35078,13.86133,0.05144,2.03288,0.01012
CKCWDM_61302,295.1496,0.0012,28.6333,0.0001,0.1949,-2.9764,0.0385,-5.625,0.0715,63.754,0.0003,2.994,0.0007,22,21,1,8.9276,0.0272,-0.87205,0.47912,13.54761,0.04921,2.63678,0.01013
CKCWDM_61303,294.404,0.0003,28.6345,0.0004,0.1366,-2.5474,0.1443,-4.783,0.0938,63.4346,0.0003,3.5654,0.0003,22,19,1,8.9336,0.0198,-0.39174,0.23614,14.32036,0.05038,2.20789,0.01007
CKCWDM_61311,295.1111,0.0005,29.4391,0.0002,0.1336,-2.5272,0.1809,-4.4007,0.3577,64.4405,0.0001,3.4192,0.0005,22,22,1,8.9207,0.0354,-0.17761,0.10913,14.36585,0.05113,2.22739,0.01003
CKCWDM_61335,295.0819,0.0004,28.9071,0.0003,0.1889,-2.6805,0.0885,-5.1025,0.5249,63.9637,0.0003,3.1802,0.0003,20,20,1,8.9003,0.015,0.31531,0.17052,13.61783,0.04997,2.97505,0.01002
CKCWDM_61339,296.1188,0.0011,30.6157,0.0008,0.1479,-2.738,0.2154,-4.8311,0.3121,65.8969,0.0003,3.2418,0.0013,42,41,1,8.9327,0.0194,0.12081,0.07041,14.15045,0.04955,2.42252,0.00994
CKCWDM_61398,295.8433,0.0005,30.2637,0.0001,0.144,-3.1543,0.0804,-5.6015,0.1726,65.4728,0.0003,3.2734,0.0002,21,21,1,8.9289,0.031,-0.89074,0.48642,14.20742,0.0508,2.43177,0.00996
CKCWDM_61403,296.0993,0.0003,30.4694,0.0004,0.173,-3.0809,0.2376,-5.6155,0.2286,65.7614,0.0004,3.1837,0.0002,27,24,1,8.9195,0.0233,-0.57433,0.33946,13.809,0.05032,2.70391,0.00964
CKCWDM_61412,295.4425,0.0001,30.4109,0.0007,0.1416,-2.1832,0.1344,-4.5238,0.1469,65.4298,0.0006,3.6468,0.0002,20,18,1,8.9416,0.0299,-0.58007,0.34984,14.24283,0.04961,2.02394,0.00994
CKCWDM_61421,295.9299,0.0004,30.7251,0.0004,0.1297,-2.9055,0.1398,-5.2921,0.2026,65.9112,0.0005,3.4371,0.0002,20,20,1,8.942,0.0269,0.11811,0.07344,14.43312,0.05124,2.04061,0.01
CKCWDM_61441,295.5554,0.0003,30.7316,0.0003,0.1949,-2.5416,0.2819,-5.1721,0.1546,65.7575,0.0003,3.7203,0.0003,26,25,1,8.9192,0.032,-0.39033,0.2294,13.55046,0.05053,1.99519,0.01005
CKCWDM_61445,296.4575,0.0005,31.6241,0.0002,0.1501,-2.4856,0.208,-4.5361,0.1261,66.9175,0.0002,3.4926,0.0004,26,24,1,8.9104,0.0382,-0.27762,0.17334,14.11651,0.05089,2.78706,0.01023
CKCWDM_61460,296.2272,0.0005,30.6236,0.0002,0.1343,-2.2848,0.1306,-4.4105,0.3333,65.9502,0.0002,3.1648,0.0004,22,21,1,8.9143,0.0258,-0.38679,0.2458,14.35666,0.05063,2.72205,0.00992
CKCWDM_61482,297.2431,0.0004,31.4673,0.0003,0.1403,-2.7043,0.0585,-5.781,0.1379,67.1183,0.0002,2.8349,0.0004,20,20,1,8.9251,0.017,-0.8907,0.47907,14.26345,0.05129,3.38046,0.01
CKCWDM_61507,296.9543,0.0012,34.0839,0.0005,0.1836,-2.6761,0.1394,-4.8767,0.2282,69.2622,0.0007,4.3605,0.0006,48,48,1,8.9231,0.0191,0.3173,0.18008,13.68006,0.05064,1.30037,0.01
CKCWDM_61557,296.4361,0.0005,33.35,0.0005,0.1863,-2.622,0.1279,-4.7327,0.1379,68.4086,0.0006,4.3679,0.0002,29,27,1,8.9188,0.0334,-0.28695,0.16736,13.64744,0.05025,1.29751,0.00983
CKCWDM_61559,296.8184,0.0008,33.2497,0.0006,0.1477,-3.0509,0.183,-5.2525,0.187,68.4813,0.0006,4.041,0.0005,29,29,1,8.921,0.0373,-0.18453,0.10725,14.15119,0.04906,1.83779,0.01013
CKCWDM_61594,297.798,0.0004,35.1631,0.0009,0.1438,-2.6561,0.174,-4.8955,0.5401,70.5478,0.0006,4.3039,0.0006,42,41,1,8.9169,0.0248,-0.58257,0.33588,14.20955,0.04993,2.13246,0.01007
CKCWDM_61636,298.0483,0.0005,34.9779,0.0004,0.1265,-3.0362,0.1779,-5.1764,0.1842,70.4921,0.0004,4.0334,0.0003,24,23,1,8.9208,0.0206,0.30979,0.18454,14.48946,0.04908,2.86355,0.01023
CKCWDM_61671,296.6716,0.0003,33.3461,0.0009,0.1721,-2.3365,0.1681,-5.1557,0.1185,68.5035,0.001,4.1954,0.0002,21,21,1,8.9175,0.0249,-0.2901,0.16916,13.81853,0.04996,1.49598,0.01037
CKCWDM_61678,298.4334,0.0007,32.594,0.0013,0.1637,-2.483,0.0711,-5.0245,0.0864,68.6034,0.0018,2.54,0.0001,21,21,1,8.9377,0.0174,0.23413,0.13599,13.9309,0.05054,4.29519,0.00982
CKCWDM_61686,296.4217,0.0006,32.2332,0.0003,0.1718,-2.7581,0.1092,-5.247,0.1161,67.4314,0.0002,3.8226,0.0005,20,16,1,8.8708,0.0173,-0.85505,0.48746,13.82741,0.05065,2.27157,0.00973
CKCWDM_61700,297.0161,0.0005,33.0834,0.0004,0.1418,-2.412,0.1505,-4.1772,0.058,68.4201,0.0005,3.8144,0.0002,20,19,1,8.919,0.0195,-0.28886,0.17569,14.24034,0.05025,1.95496,0.01
CKCWDM_61716,296.9493,0.0006,33.104,0.0004,0.136,-2.7598,0.0892,-5.7776,0.3308,68.4099,0.0005,3.8731,0.0003,28,28,1,8.916,0.0186,-0.09795,0.05921,14.33049,0.04917,1.85013,0.01014
CKCWDM_61730,299.0262,0.0022,37.0481,0.0021,0.1528,-2.6082,0.22,-4.6867,0.7801,72.6814,0.0031,4.413,0.0004,72,71,1,8.9234,0.0313,-0.40188,0.23576,14.07639,0.0511,1.32474,0.01009
CKCWDM_61784,299.0139,0.0008,36.5484,0.0009,0.1626,-2.8154,0.2859,-4.7119,0.1363,72.2467,0.0012,4.1641,0.0002,41,41,1,8.9288,0.0343,-0.57715,0.34182,13.94157,0.05087,1.8151,0.01023
CKCWDM_61841,299.5379,0.0004,35.9983,0.0014,0.1826,-3.1703,0.2734,-4.7957,0.2938,71.9941,0.0011,3.5179,0.0006,29,29,1,8.915,0.0168,-0.17925,0.10719,13.69003,0.05036,2.37144,0.01016
CKCWDM_61857,299.2951,0.0004,37.4778,0.0007,0.15,-2.6004,0.1813,-4.2135,0.2043,73.1613,0.0006,4.4513,0.0004,27,26,1,8.9272,0.0227,-0.83881,0.48825,14.11783,0.05102,1.64399,0.00982
CKCWDM_61873,299.7614,0.0006,36.0368,0.0012,0.1283,-2.8081,0.1036,-4.687,0.2525,72.1215,0.0014,3.3837,0.0002,26,23,1,8.9027,0.0165,-0.40426,0.23604,14.45878,0.05122,2.60217,0.00993
CKCWDM_61878,298.8173,0.0004,36.4985,0.0003,0.1963,-2.8148,0.1116,-4.3808,0.0839,72.1224,0.0002,4.274,0.0004,26,25,1,8.8492,0.0175,-0.87038,0.46789,13.53341,0.0519,1.60489,0.01005
CKCWDM_61930,299.3897,0.0005,36.555,0.0003,0.1306,-2.601,0.1279,-4.3342,0.4032,72.4088,0.0003,3.9091,0.0004,23,22,1,8.928,0.0205,0.12196,0.0743,14.41988,0.04924,1.6731,0.01017
CKCWDM_62005,298.6571,0.0005,35.1796,0.0005,0.1511,-2.5203,0.0516,-4.7211,0.1261,70.921,0.0004,3.7082,0.0004,20,18,1,8.9245,0.0156,-0.85982,0.47664,14.10229,0.05153,3.42422,0.01033
CKCWDM_62006,298.0227,0.0006,35.641,0.0007,0.1351,-3.0542,0.3829,-5.0563,0.2329,71.0541,0.001,4.3883,0.0001,20,19,1,8.885,0.0197,0.3177,0.17866,14.34509,0.05201,1.9736,0.01021
CKCWDM_62011,299.9391,0.0006,37.3796,0.0003,0.1687,-2.8204,0.1307,-5.5728,0.3212,73.3436,0.0003,3.9632,0.0004,20,19,1,8.911,0.0199,-0.19047,0.10662,13.86349,0.0519,1.76791,0.01011
CKCWDM_62065,301.2808,0.0011,37.8586,0.0005,0.1695,-2.8102,0.0856,-4.8665,0.0808,74.3133,0.0008,3.3135,0.0004,27,27,1,8.8994,0.0237,0.32471,0.17986,13.85156,0.05069,2.45783,0.00998
CKCWDM_62079,301.1906,0.0003,38.4581,0.0013,0.1554,-2.3818,0.0815,-4.056,0.079,74.7837,0.0013,3.693,0.0002,24,24,1,8.8867,0.0389,0.33096,0.17807,14.04103,0.04936,2.68989,0.01023
CKCWDM_62111,300.3893,0.0004,37.3101,0.0009,0.1624,-2.3495,0.0681,-3.5561,0.1464,73.4723,0.001,3.622,0.0002,20,20,1,8.9256,0.0231,-0.88711,0.48928,13.9484,0.05061,1.93765,0.0102
CKCWDM_62112,300.9982,0.0006,37.2729,0.0005,0.1573,-2.6484,0.1276,-4.8643,0.1098,73.6973,0.0008,3.1912,0.0001,20,19,1,8.8974,0.0352,0.23457,0.13541,14.01463,0.05102,3.29455,0.01035
CKCWDM_62113,300.2987,0.0009,37.3988,0.0008,0.1319,-2.1172,0.0498,-3.6544,0.124,73.51,0.0012,3.73,0.0001,20,20,1,8.9252,0.02,-0.60233,0.33772,14.39696,0.05067,1.96985,0.01008
CKCWDM_62116,300.8448,0.0005,37.4563,0.0003,0.1261,-3.1022,0.135,-5.5252,0.4081,73.7882,0.0005,3.3918,0.0002,20,20,1,8.9311,0.0343,0.28537,0.15983,14.49703,0.05208,3.02056,0.0102
CKCWDM_62121,300.685,0.0005,37.974,0.0008,0.1773,-2.9597,0.1412,-5.163,0.4519,74.1613,0.0011,3.7731,0.0001,20,20,1,8.925,0.0197,0.06919,0.04296,13.75287,0.05006,2.61206,0.00959
CKCWDM_62152,301.7381,0.0016,39.9922,0.0009,0.1404,-2.7509,0.2216,-4.8446,0.1803,76.3108,0.0015,4.1536,0.0004,40,38,1,8.9143,0.0334,-0.18281,0.10534,14.2582,0.04972,3.64669,0.00964
CKCWDM_62215,302.2511,0.0006,40.4058,0.0005,0.1399,-2.3862,0.1182,-3.8671,0.1692,76.8717,0.0006,4.0458,0.0002,25,24,1,8.9095,0.0364,0.12086,0.07285,14.26845,0.05178,2.73304,0.01054
CKCWDM_62219,302.0658,0.0081,40.908,0.0034,0.1431,-2.6735,0.1588,-4.5433,0.1398,77.2198,0.0072,4.435,0.0008,25,25,1,8.922,0.0242,-0.58492,0.34035,14.21755,0.05119,1.70204,0.00993
CKCWDM_62222,301.5015,0.0013,39.6256,0.0004,0.1704,-2.8325,0.2561,-4.2064,0.3205,75.9028,0.0006,4.1111,0.0005,26,25,1,8.9116,0.0297,-0.18433,0.10576,13.84045,0.05041,2.01949,0.00992
CKCWDM_62224,301.3396,0.0005,39.5228,0.0007,0.1591,-3.5469,0.3433,-5.4342,0.2789,75.7489,0.0006,4.1618,0.0004,34,34,1,8.8594,0.0223,-0.04042,0.02343,13.98866,0.04925,1.88237,0.00993
CKCWDM_62240,301.3345,0.0017,39.4251,0.0009,0.1578,-3.0347,0.1467,-5.1057,0.2009,75.6639,0.0017,4.1131,0.0002,22,22,1,8.9161,0.0217,-0.39472,0.23287,14.00698,0.05118,2.11916,0.00982
CKCWDM_63424,104.5116,0.0015,7.5441,0.0098,0.1647,-0.4315,0.107,-0.6174,0.1145,206.9512,0.0105,4.8934,0.0008,28,28,1,8.7381,0.0369,0.29985,0.16386,13.91338,0.04988,0.51519,0.00986
CKCWDM_63480,104.3657,0.0026,6.9176,0.0093,0.1457,-0.7935,0.0663,-0.5476,0.1027,207.4469,0.0116,4.4819,0.0003,20,20,1,8.7491,0.0382,0.27686,0.15899,14.18002,0.05183,0.9072,0.00997
