"Seq","n_Seq","Name","OName","RAdeg","DEJ2000","GLON","GLAT","Rco","Rcl","RV","e_RV","n_RV","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","N1s","Dist","E(B-V)","V-Mv","r_Dist","logt","o_logt","RVref","e_RVref","r_RVref","logtref","r_logtref"
427,0,"NGC 6531","M 21",271.05,-22.49,7.67,-0.35,0.1,0.3,-14.71,5.12,9.0,0.26,0.42,-2.66,0.55,-2.19,-1.53,12,1205,0.28,11.27,3,6.82,-1,-11.5,8.0,1.0,7.07,3.0
428,1,"NGC 6530","nan",271.12,-24.36,6.07,-1.32,0.09,0.25,-13.32,6.34,9.0,2.01,0.45,-1.81,0.56,-0.59,-2.64,13,1322,0.3,11.54,3,6.67,-1,-30.0,11.0,1.0,6.92,3.0
429,0,"NGC 6546","nan",271.89,-23.33,7.32,-1.43,0.1,0.2,-16.67,15.77,3.0,-1.3,0.6,0.3,0.7,-0.37,1.28,12,938,0.49,11.38,3,8.72,3,"nan","nan","nan",7.85,3.0
430,0,"VDB 113, vdBergh 113","nan",272.22,-21.42,9.13,-0.77,0.1,0.23,-16.0,"nan",1.0,-0.26,0.45,-2.47,0.54,-2.29,-0.97,18,3470,0.58,14.5,2,7.5,1,"nan","nan","nan","nan","nan"
431,0,"ESO 521-38","nan",272.35,-24.53,6.47,-2.38,0.05,0.09,"nan","nan","nan",0.41,1.07,-2.07,0.79,-1.62,-1.36,5,1800,0.22,11.96,2,8.1,2,"nan","nan","nan","nan","nan"
432,1,"Collinder 367","nan",272.43,-23.66,7.27,-2.02,0.12,0.4,-3.17,4.03,6.0,1.16,0.42,-2.03,0.59,-1.22,-2.0,12,1200,0.35,11.48,2,6.84,1,"nan","nan","nan","nan","nan"
433,0,"NGC 6561","nan",272.62,-16.73,13.42,1.16,0.09,0.18,-17.93,3.2,3.0,0.02,0.6,0.02,0.5,0.03,-0.01,4,3400,0.4,13.9,2,6.92,1,"nan","nan","nan","nan","nan"
434,0,"NGC 6568","nan",273.18,-21.6,9.41,-1.64,0.08,0.22,"nan","nan","nan",-1.43,0.49,-1.71,0.53,-2.19,0.44,20,1000,0.25,10.77,2,8.71,13,"nan","nan","nan","nan","nan"
435,0,"Sgr OB7","nan",273.72,-20.4,10.7,-1.51,0.25,0.9,-7.19,3.14,9.0,1.8,0.26,-1.2,0.27,-0.2,-2.15,70,1860,0.24,12.09,6,6.64,-1,-1.7,"nan",6.0,"nan","nan"
436,1,"Markarian 38","nan",273.88,-19.0,12.01,-0.98,0.08,0.14,-3.2,9.2,2.0,-1.76,0.66,-2.12,0.43,-2.7,0.54,9,1545,0.3,11.88,3,6.95,1,-18.0,0.4,1.0,6.89,3.0
437,0,"NGC 6596","nan",274.38,-16.65,14.3,-0.28,0.08,0.17,"nan","nan","nan",2.94,0.49,-2.47,0.45,-0.78,-3.76,10,1100,0.15,10.67,2,8.6,3,"nan","nan","nan","nan","nan"
438,0,"Dias 5","nan",274.41,-19.67,11.65,-1.73,0.05,0.12,-5.25,2.25,2.0,1.92,1.21,-0.37,0.78,0.58,-1.87,7,1760,0.33,12.25,2,7.14,1,"nan","nan","nan","nan","nan"
439,1,"NGC 6604","nan",274.51,-12.24,18.24,1.7,0.07,0.26,9.6,7.05,5.0,-0.36,0.29,-2.68,0.33,-2.53,-0.95,16,1696,0.95,14.09,3,6.64,-1,18.0,14.0,1.0,6.81,3.0
440,1,"NGC 6603","M 24",274.6,-18.43,12.83,-1.31,0.06,0.12,"nan","nan","nan",0.85,0.7,0.93,0.6,1.22,-0.31,7,2880,0.5,13.85,4,7.8,1,"nan","nan","nan",8.3,1.0
441,1,"NGC 6611","M 16",274.69,-13.81,16.94,0.8,0.08,0.22,18.0,0.58,3.0,1.6,0.33,-0.35,0.48,0.45,-1.58,16,1719,0.7,13.35,3,6.72,-1,15.0,2.6,1.0,6.88,3.0
442,1,"Alessi 19","nan",274.77,12.18,40.29,12.63,0.2,0.75,-5.1,1.24,3.0,-0.47,0.22,-6.97,0.37,-6.5,-2.57,18,550,0.04,8.83,1,8.05,3,"nan","nan","nan",8.0,1.0
443,0,"NGC 6613","M 18",274.99,-17.1,14.18,-1.01,0.06,0.18,-14.0,4.49,4.0,-0.72,0.59,-1.53,0.37,-1.69,-0.09,11,1296,0.45,11.96,3,7.52,2,-5.4,1.8,1.0,7.22,3.0
444,0,"NGC 6618","M 17",275.14,-16.19,15.05,-0.7,0.09,0.3,-17.0,13.0,2.0,3.04,1.12,0.33,0.67,1.72,-2.53,7,1814,1.6,16.25,3,6.78,1,-25.3,19.1,1.0,7.0,4.0
445,0,"Trumpler 33","nan",276.18,-19.72,12.39,-3.23,0.04,0.12,"nan","nan","nan",-4.69,1.02,-0.92,0.92,-2.99,3.72,3,1755,0.36,12.34,3,7.84,-2,"nan","nan","nan",7.68,3.0
446,0,"NGC 6633","nan",276.81,6.51,36.01,8.34,0.15,0.51,-25.43,3.79,9.0,0.1,0.22,-2.0,0.24,-1.74,-0.98,57,385,0.18,8.48,3,8.76,24,-29.1,0.3,1.0,8.63,3.0
447,0,"NGC 6639","nan",277.74,-13.15,18.91,-1.51,0.09,0.18,7.0,"nan",1.0,2.31,0.79,-1.5,0.63,-0.26,-2.74,7,700,0.2,9.85,2,8.86,3,"nan","nan","nan","nan","nan"
448,0,"Ruprecht 141","nan",277.83,-12.32,19.69,-1.2,0.05,0.11,30.7,"nan",1.0,0.57,0.41,-2.68,1.06,-2.11,-1.74,4,5500,0.57,15.47,2,6.92,-2,"nan","nan","nan","nan","nan"
449,1,"IC 4725","M 25",277.92,-19.12,13.68,-4.41,0.2,0.6,-1.81,10.46,7.0,-2.73,0.35,-4.95,0.35,-5.65,0.16,37,620,0.45,10.36,3,7.83,4,2.4,"nan",1.0,7.96,3.0
450,0,"IC 4756","nan",279.73,5.45,36.37,5.26,0.35,1.0,-22.45,1.37,25.0,-1.11,0.16,-3.86,0.14,-3.95,-0.75,116,484,0.19,9.01,5,8.79,13,-25.8,0.6,1.0,8.7,3.0
451,0,"NGC 6694","M 26",281.32,-9.38,23.88,-2.91,0.06,0.12,4.0,"nan",1.0,-2.02,0.55,-3.13,0.48,-3.71,0.38,9,1582,0.6,12.86,3,8.3,3,-9.2,0.5,1.0,7.92,3.0
452,0,"Ruprecht 145","nan",282.64,-18.22,16.51,-8.01,0.15,0.37,"nan","nan","nan",6.43,0.36,-4.51,0.46,-1.23,-7.76,22,770,0.25,10.21,2,8.64,7,"nan","nan","nan","nan","nan"
453,0,"NGC 6705","M 11",282.76,-6.27,27.3,-2.77,0.07,0.19,29.49,2.19,28.0,-6.51,0.49,-0.48,0.41,-3.38,5.58,16,1877,0.43,12.7,3,8.07,3,34.4,0.2,1.0,8.3,3.0
454,1,"NGC 6709","nan",282.82,10.32,42.12,4.72,0.1,0.22,-7.0,6.92,6.0,2.55,0.27,-3.51,0.31,-1.99,-3.86,19,1075,0.32,11.15,3,8.14,9,-21.0,5.0,1.0,8.18,3.0
455,0,"Collinder 394","nan",283.11,-20.2,14.9,-9.26,0.15,0.43,-1.86,6.45,2.0,-3.03,0.31,-6.31,0.42,-7.0,0.01,30,703,0.24,9.98,3,7.86,2,6.0,0.3,1.0,7.8,3.0
456,1,"Stephenson 1","nan",283.5,36.82,66.81,15.39,0.2,0.87,-21.6,4.4,2.0,1.66,0.6,-2.84,0.57,-1.98,-2.62,31,373,0.04,7.98,3,7.69,1,-26.0,"nan",4.0,7.73,3.0
457,1,"NGC 6716","nan",283.63,-19.9,15.39,-9.58,0.08,0.14,6.0,"nan",1.0,-1.54,0.59,-4.31,0.44,-4.55,-0.47,9,789,0.2,10.1,3,7.47,1,"nan","nan","nan",7.96,3.0
458,0,"NGC 6728","nan",284.68,-8.97,25.74,-5.68,0.06,0.13,"nan","nan","nan",2.25,0.71,-0.8,0.69,0.29,-2.37,9,1000,0.15,10.47,2,8.93,3,"nan","nan","nan","nan","nan"
459,0,"NGC 6738","nan",285.33,11.61,44.39,3.11,0.06,0.12,"nan","nan","nan",4.42,1.11,2.65,0.86,4.37,-2.73,4,700,0.05,9.38,2,9.16,2,"nan","nan","nan","nan","nan"
460,0,"Ruprecht 147","nan",289.17,-16.3,20.99,-12.81,0.25,1.23,41.0,"nan",1.0,-0.56,0.19,-27.74,0.2,-25.4,-11.16,41,175,0.15,6.68,2,9.39,6,"nan","nan","nan","nan","nan"
461,0,"NGC 6793","nan",290.8,22.14,56.16,3.32,0.06,0.15,"nan","nan","nan",3.9,0.26,1.09,0.45,2.79,-2.93,8,1100,0.17,10.73,2,8.64,3,"nan","nan","nan","nan","nan"
462,0,"NGC 6800","nan",291.78,25.14,59.23,3.95,0.07,0.13,"nan","nan","nan",1.65,0.52,4.27,0.44,4.54,0.56,10,1000,0.4,11.24,2,8.59,6,"nan","nan","nan","nan","nan"
