"COCD","Name","GLON","GLAT","DistMod","E(B-V)","Dist","logt","rt","e_rt","logM","e_logM","rtA","e_rtA","logMA","e_logMA","_RA.icrs","_DE.icrs"
395,"NGC 6322",345.28,-3.05,11.632,0.53,995,7.16,"nan","nan","nan","nan",4.2,1.1,1.542,0.341,259.5976,-42.9289
396,"VDBH 221, vdBergh-Hagen 221",353.97,3.0,9.995,0.2,750,8.01,6.7,1.1,2.13,0.222,7.2,1.6,2.21,0.285,259.6531,-32.3437
397,"IC 4651",340.09,-7.9,10.114,0.12,888,8.92,"nan","nan","nan","nan",6.5,1.1,2.085,0.218,261.1969,-49.928
398,"Trumpler 26",357.52,2.84,12.67,0.14,2800,8.38,"nan","nan","nan","nan",16.4,5.5,3.464,0.44,262.1346,-29.5036
399,"Antalova 1",355.84,1.64,10.422,0.25,850,8.5,"nan","nan","nan","nan",6.7,1.9,2.137,0.369,262.218,-31.5658
400,"Ruprecht 125",348.49,-3.4,11.19,0.1,1500,8.77,"nan","nan","nan","nan",11.1,2.6,2.841,0.311,262.3976,-40.474
401,"Collinder 333",354.09,-0.17,10.001,0.11,855,8.9,"nan","nan","nan","nan",5.1,1.8,1.782,0.45,262.8691,-34.0231
402,"NGC 6383",355.68,0.05,10.897,0.3,985,6.71,8.3,1.2,2.429,0.19,9.6,1.9,2.607,0.258,263.685,-32.57
403,"Trumpler 27",355.06,-0.74,14.105,1.19,1211,7.47,"nan","nan","nan","nan",15.9,3.7,3.294,0.302,264.0787,-33.5185
404,"Trumpler 28",356.01,-0.3,12.903,0.73,1343,6.89,"nan","nan","nan","nan",7.5,2.1,2.33,0.368,264.2456,-32.481
405,"ESO 139-13",333.98,-13.8,11.5,0.2,1500,8.78,"nan","nan","nan","nan",3.9,1.1,1.481,0.37,264.4109,-58.1293
406,"Collinder 338",351.7,-3.29,10.497,0.25,880,8.65,9.6,1.8,2.597,0.248,8.7,1.8,2.475,0.277,264.5137,-37.7198
407,"NGC 6400",352.58,-3.24,10.23,0.11,950,8.78,9.1,5.7,2.534,0.828,6.7,1.3,2.137,0.26,265.0471,-36.9488
408,"NGC 6405",356.62,-0.74,8.872,0.14,487,7.91,5.5,1.2,1.847,0.289,6.4,0.9,2.039,0.186,265.0715,-32.2002
409,"Trumpler 29",349.98,-5.14,9.993,0.19,760,8.69,"nan","nan","nan","nan",4.4,0.9,1.576,0.261,265.3688,-40.1534
410,"Alessi 9",344.13,-9.13,6.667,0.07,195,8.42,10.7,3.9,2.681,0.481,7.9,1.1,2.281,0.184,265.9634,-47.1831
411,"NGC 6416",356.93,-1.55,10.124,0.25,741,8.78,5.1,0.6,1.76,0.153,6.2,1.0,2.022,0.204,266.079,-32.3635
412,"IC 4665",30.62,17.08,8.26,0.17,352,7.63,8.7,2.3,2.414,0.344,10.7,1.4,2.681,0.177,266.577,5.7165
413,"NGC 6425",357.94,-1.6,10.695,0.4,778,8.34,"nan","nan","nan","nan",3.9,0.9,1.405,0.313,266.7485,-31.5274
414,"Collinder 350",26.79,14.69,8.383,0.37,280,8.61,5.8,0.7,1.891,0.164,5.5,0.9,1.822,0.219,267.0191,1.3479
415,"Ruprecht 131",0.14,-0.84,9.201,0.1,600,9.17,"nan","nan","nan","nan",3.1,1.0,1.103,0.409,267.3104,-29.2513
416,"NGC 6444",355.39,-3.75,9.113,0.12,560,9.0,"nan","nan","nan","nan",3.4,0.7,1.225,0.266,267.3847,-34.8178
417,"Basel 5",359.76,-1.86,10.413,0.32,766,8.54,"nan","nan","nan","nan",6.0,1.9,1.989,0.403,268.0955,-30.0995
418,"Sco OB5",352.38,-6.2,13.312,0.23,3310,6.86,93.6,12.9,5.77,0.184,85.9,12.7,5.658,0.197,268.1289,-38.6437
419,"NGC 6469",6.55,1.94,9.632,0.3,550,8.36,"nan","nan","nan","nan",2.9,0.8,1.005,0.355,268.2947,-22.3216
420,"NGC 6475",355.86,-4.49,7.696,0.1,300,8.22,12.3,2.0,2.866,0.213,11.8,0.9,2.818,0.11,268.4509,-34.7886
421,"Trumpler 30",355.74,-5.25,10.682,0.22,1000,8.31,"nan","nan","nan","nan",5.0,1.3,1.771,0.327,269.1823,-35.2716
422,"NGC 6494",9.88,2.84,10.106,0.36,628,8.52,15.8,2.2,3.23,0.185,10.9,1.0,2.75,0.126,269.2542,-18.9939
423,"Collinder 359",29.72,12.63,9.527,0.16,640,7.45,27.5,2.7,3.944,0.133,26.0,4.2,3.87,0.215,270.1612,2.9259
424,"Ruprecht 139",6.41,-0.22,9.167,0.15,550,9.05,"nan","nan","nan","nan",2.5,0.6,0.798,0.298,270.2476,-23.5259
425,"NGC 6514",7.08,-0.28,10.147,0.19,816,7.28,"nan","nan","nan","nan",6.8,2.1,2.143,0.411,270.6649,-22.9732
426,"NGC 6520",2.88,-2.84,12.291,0.42,1577,7.75,"nan","nan","nan","nan",4.7,1.3,1.725,0.379,270.8458,-27.8875
427,"NGC 6531",7.67,-0.35,11.273,0.28,1205,6.82,11.7,1.6,2.894,0.178,17.3,3.6,3.401,0.277,271.0458,-22.494
428,"NGC 6530",6.07,-1.32,11.536,0.3,1322,6.67,"nan","nan","nan","nan",11.1,2.2,2.831,0.26,271.1114,-24.3639
429,"NGC 6546",7.32,-1.43,11.38,0.49,938,8.72,7.1,1.4,2.216,0.268,8.7,1.8,2.484,0.266,271.8833,-23.327
430,"VDB 113, vdBergh 113",9.13,-0.77,14.5,0.58,3470,7.5,39.4,7.0,4.655,0.235,45.5,8.2,4.841,0.239,272.209,-21.4244
431,"ESO 521-38",6.47,-2.38,11.958,0.22,1800,8.1,"nan","nan","nan","nan",7.0,2.2,2.275,0.407,272.3424,-24.5303
432,"Collinder 367",7.27,-2.02,11.481,0.35,1200,6.84,"nan","nan","nan","nan",18.7,4.0,3.503,0.278,272.4197,-23.6564
433,"NGC 6561",13.42,1.16,13.897,0.4,3400,6.92,"nan","nan","nan","nan",28.5,11.3,4.222,0.519,272.6168,-16.7363
434,"NGC 6568",9.41,-1.64,10.775,0.25,1000,8.71,6.9,2.3,2.186,0.435,9.6,1.6,2.62,0.213,273.1733,-21.5984
435,"Sgr OB7",10.7,-1.51,12.092,0.24,1860,6.64,"nan","nan","nan","nan",74.1,7.8,5.351,0.143,273.7114,-20.4036
436,"Markarian 38",12.01,-0.98,11.875,0.3,1545,6.95,"nan","nan","nan","nan",8.3,1.9,2.466,0.304,273.8796,-18.9997
437,"NGC 6596",14.3,-0.28,10.672,0.15,1100,8.6,"nan","nan","nan","nan",9.2,2.0,2.559,0.291,274.3764,-16.6524
438,"Dias 5",11.65,-1.73,12.251,0.33,1760,7.14,"nan","nan","nan","nan",12.0,3.3,2.966,0.356,274.3978,-19.6727
439,"NGC 6604",18.24,1.7,14.092,0.95,1696,6.64,16.4,4.4,3.364,0.352,20.3,3.8,3.646,0.245,274.5046,-12.2451
440,"NGC 6603",12.83,-1.31,13.847,0.5,2880,7.8,"nan","nan","nan","nan",19.6,5.5,3.699,0.367,274.5972,-18.4348
441,"NGC 6611",16.94,0.8,13.346,0.7,1719,6.72,13.7,4.0,3.136,0.381,12.4,2.2,3.003,0.239,274.6871,-13.8159
442,"Alessi 19",40.29,12.63,8.826,0.04,550,8.05,14.8,2.9,3.117,0.259,14.3,2.4,3.08,0.225,274.7664,12.1766
443,"NGC 6613",14.18,-1.01,11.958,0.45,1296,7.52,"nan","nan","nan","nan",7.3,1.5,2.274,0.273,274.9892,-17.1035
444,"NGC 6618",15.05,-0.7,16.253,1.6,1814,6.78,27.0,3.9,4.026,0.192,38.2,11.0,4.479,0.377,275.132,-16.1902
445,"Trumpler 33",12.39,-3.23,12.337,0.36,1755,7.84,"nan","nan","nan","nan",5.8,2.4,2.031,0.545,276.1732,-19.7238
446,"NGC 6633",36.01,8.34,8.485,0.18,385,8.76,6.5,0.5,2.039,0.103,6.8,0.7,2.097,0.141,276.8009,6.5127
447,"NGC 6639",18.91,-1.51,9.845,0.2,700,8.86,"nan","nan","nan","nan",5.2,1.3,1.791,0.33,277.7341,-13.1546
448,"Ruprecht 141",19.69,-1.2,15.469,0.57,5500,6.92,"nan","nan","nan","nan",29.0,11.5,4.345,0.517,277.8219,-12.3198
449,"IC 4725",13.68,-4.41,10.357,0.45,620,7.83,15.2,1.6,3.172,0.143,13.7,1.7,3.044,0.168,277.9128,-19.1257
450,"IC 4756",36.37,5.26,9.013,0.19,484,8.79,18.8,1.6,3.428,0.119,14.7,1.2,3.112,0.115,279.7292,5.4485
451,"NGC 6694",23.88,-2.91,12.856,0.6,1582,8.3,"nan","nan","nan","nan",7.6,1.7,2.356,0.3,281.3224,-9.3805
452,"Ruprecht 145",16.51,-8.01,10.207,0.25,770,8.64,9.9,1.6,2.63,0.208,9.6,1.5,2.59,0.204,282.6401,-18.2215
453,"NGC 6705",27.3,-2.77,12.7,0.43,1877,8.07,"nan","nan","nan","nan",10.8,1.9,2.82,0.237,282.7623,-6.2735
454,"NGC 6709",42.12,4.72,11.149,0.32,1075,8.14,9.0,2.3,2.504,0.343,7.6,1.2,2.295,0.216,282.8204,10.3202
455,"Collinder 394",14.9,-9.26,9.979,0.24,703,7.86,14.0,2.7,3.076,0.252,11.6,1.6,2.832,0.181,283.0978,-20.1987
456,"Stephenson 1",66.81,15.39,7.983,0.04,373,7.69,11.5,4.1,2.77,0.463,13.6,1.8,2.983,0.176,283.4945,36.8217
457,"NGC 6716",15.39,-9.58,10.105,0.2,789,7.47,"nan","nan","nan","nan",4.0,0.9,1.456,0.283,283.6271,-19.9007
458,"NGC 6728",25.74,-5.68,10.465,0.15,1000,8.93,"nan","nan","nan","nan",5.5,1.3,1.881,0.309,284.6741,-8.975
459,"NGC 6738",44.39,3.11,9.38,0.05,700,9.16,"nan","nan","nan","nan",3.2,1.0,1.14,0.412,285.3265,11.6115
460,"Ruprecht 147",20.99,-12.81,6.68,0.15,175,9.39,7.1,1.0,2.148,0.195,5.3,0.6,1.769,0.155,289.1595,-16.3004
461,"NGC 6793",56.16,3.32,10.734,0.17,1100,8.64,"nan","nan","nan","nan",6.9,1.7,2.138,0.317,290.802,22.137
462,"NGC 6800",59.23,3.95,11.24,0.4,1000,8.59,"nan","nan","nan","nan",6.2,1.3,1.997,0.281,291.7706,25.1365
463,"Stock 1",60.25,2.26,8.247,0.17,350,8.53,4.6,0.7,1.58,0.199,4.8,0.7,1.62,0.2,293.9489,25.2207
464,"NGC 6811",79.21,12.02,10.901,0.14,1240,8.76,10.0,1.1,2.578,0.154,12.7,1.7,2.899,0.181,294.3137,46.3903
465,"NGC 6823",59.4,-0.14,13.99,0.84,1893,7.01,18.6,3.2,3.453,0.227,28.1,6.6,3.996,0.31,295.7827,23.3004
466,"Turner 9",64.75,2.51,10.117,0.15,852,8.06,28.5,3.3,3.969,0.157,26.4,2.4,3.868,0.125,296.193,29.2579
467,"Roslund 1",54.6,-3.39,9.285,0.05,670,8.47,"nan","nan","nan","nan",3.9,1.0,1.395,0.318,296.2409,17.522
468,"Roslund 2",60.19,-0.28,14.295,0.9,2000,6.89,"nan","nan","nan","nan",27.1,7.7,3.949,0.373,296.3455,23.915
469,"NGC 6828",46.82,-9.27,9.511,0.2,600,8.56,"nan","nan","nan","nan",4.0,1.3,1.424,0.433,297.5614,7.8961
470,"NGC 6830",60.13,-1.8,12.623,0.5,1639,7.52,"nan","nan","nan","nan",15.6,5.2,3.218,0.439,297.7429,23.0953
471,"Roslund 3",58.8,-4.68,11.956,0.34,1515,7.61,10.6,3.6,2.715,0.445,11.9,2.6,2.861,0.283,299.6675,20.4753
472,"Dolidze 36",77.69,6.03,10.453,0.22,900,8.83,"nan","nan","nan","nan",6.7,1.5,2.072,0.298,300.5913,42.151
473,"NGC 6866",79.56,6.84,11.334,0.17,1450,8.68,"nan","nan","nan","nan",5.3,1.2,1.768,0.29,300.9781,44.1584
474,"Alessi 10",31.64,-20.98,9.233,0.22,513,8.71,"nan","nan","nan","nan",3.2,0.8,1.143,0.333,301.1782,-10.4861
475,"Dolidze 38",77.19,5.02,10.861,0.15,1200,8.95,"nan","nan","nan","nan",9.2,2.3,2.481,0.326,301.3891,41.1957
476,"NGC 6871",72.64,2.06,12.349,0.44,1574,6.99,10.8,2.6,2.698,0.316,14.2,2.5,3.062,0.234,301.4865,35.7758
477,"Biurakan 1",72.74,1.76,12.044,0.33,1600,7.25,"nan","nan","nan","nan",13.5,2.7,2.991,0.263,301.8643,35.6987
478,"Biurakan 2",72.74,1.35,11.335,0.36,1106,7.14,"nan","nan","nan","nan",7.0,1.4,2.135,0.271,302.2881,35.4767
479,"Roslund 5",71.47,0.23,8.416,0.1,418,7.77,6.8,2.5,2.087,0.474,8.1,1.1,2.31,0.174,302.589,33.8016
480,"NGC 6883",73.27,1.17,11.629,0.3,1380,7.53,"nan","nan","nan","nan",8.8,1.8,2.428,0.266,302.8295,35.8225
481,"Ruprecht 172",73.11,1.01,10.827,0.2,1100,8.91,"nan","nan","nan","nan",8.7,1.8,2.418,0.266,302.8864,35.6011
482,"NGC 6882",65.77,-3.84,7.732,0.02,342,8.16,"nan","nan","nan","nan",2.0,0.6,0.513,0.373,302.9312,26.8072
483,"IC 4996",75.35,1.31,13.053,0.6,1732,6.8,"nan","nan","nan","nan",14.1,3.6,3.042,0.335,304.1188,37.6326
484,"Collinder 419",78.07,2.79,10.4,0.34,740,6.85,"nan","nan","nan","nan",7.3,1.8,2.169,0.32,304.4978,40.7136
485,"Berkeley 86",76.66,1.27,13.021,0.9,1112,6.96,"nan","nan","nan","nan",5.7,2.0,1.864,0.445,305.0977,38.693
486,"NGC 6910",78.68,2.01,13.29,0.97,1139,7.33,"nan","nan","nan","nan",8.1,1.9,2.316,0.301,305.8019,40.7742
487,"Collinder 421",79.44,2.53,10.199,0.1,950,9.06,"nan","nan","nan","nan",3.7,0.8,1.295,0.295,305.8124,41.6946
488,"NGC 6913",76.9,0.6,13.338,0.98,1148,7.12,"nan","nan","nan","nan",4.1,1.0,1.431,0.333,305.977,38.5079
489,"Roslund 6",78.06,0.26,8.452,0.06,450,8.47,4.9,1.1,1.66,0.287,4.3,1.2,1.489,0.352,307.1968,39.2559
490,"Cyg OB2",80.21,0.79,14.91,1.3,1500,6.72,40.6,7.3,4.409,0.238,43.4,8.1,4.495,0.245,308.2988,41.3044
491,"NGC 6940",69.85,-7.15,10.083,0.21,770,8.94,11.5,1.4,2.77,0.162,9.7,1.0,2.56,0.145,308.6042,28.2734
492,"Alessi 12",67.41,-11.46,8.898,0.08,537,7.9,11.2,2.5,2.736,0.296,9.8,1.4,2.567,0.192,310.8725,23.7767
493,"Roslund 7",79.8,-4.22,9.845,0.2,700,8.67,9.4,1.3,2.494,0.184,9.5,1.5,2.51,0.212,313.0924,37.8925
494,"NGC 6991",87.39,1.6,9.225,0.0,700,9.11,10.6,1.1,2.643,0.143,8.3,1.1,2.334,0.174,313.6338,47.4446
495,"NGC 7039",87.88,-1.7,10.294,0.13,951,8.83,"nan","nan","nan","nan",11.7,2.4,2.769,0.271,317.6955,45.6206
496,"NGC 7058",92.9,0.59,8.196,0.06,400,8.35,"nan","nan","nan","nan",1.6,0.4,0.159,0.326,320.4723,50.8194
497,"NGC 7063",83.06,-9.88,9.47,0.09,689,8.08,6.5,1.3,2.009,0.255,7.4,1.8,2.178,0.321,321.0866,36.4896
498,"NGC 7082",91.16,-2.87,11.539,0.24,1442,7.91,16.4,2.3,3.201,0.19,22.2,3.5,3.595,0.208,322.2444,47.1253
499,"NGC 7092",92.41,-2.23,7.495,0.01,311,8.57,8.6,1.8,2.365,0.28,8.0,1.1,2.27,0.182,322.9458,48.4471
500,"IC 1396",99.28,3.74,11.065,0.47,835,6.69,17.8,2.8,3.299,0.21,19.8,3.2,3.439,0.215,324.7236,57.4834
501,"NGC 7160",104.0,6.46,10.584,0.35,794,7.66,"nan","nan","nan","nan",6.7,1.7,2.019,0.339,328.3931,62.5982
502,"NGC 7209",95.51,-7.36,10.831,0.16,1167,8.65,10.4,5.4,2.6,0.682,9.2,1.4,2.444,0.201,331.3136,46.4744
503,"NGC 7235",102.7,0.78,15.137,0.93,2823,6.76,"nan","nan","nan","nan",9.3,3.3,2.358,0.47,333.1046,57.2677
504,"NGC 7243",98.85,-5.52,10.219,0.22,808,8.09,14.9,1.5,3.073,0.133,14.5,1.7,3.039,0.16,333.7712,49.8977
505,"IC 1442",101.36,-2.2,13.526,0.54,2346,7.71,"nan","nan","nan","nan",22.8,7.0,3.559,0.403,334.1174,54.0506
506,"Pismis-Moreno 1",106.72,5.31,11.321,0.5,900,7.55,"nan","nan","nan","nan",5.2,1.3,1.693,0.327,334.6866,63.2692
507,"NGC 7281",104.44,0.29,12.598,0.5,1620,7.86,9.9,1.5,2.494,0.199,17.2,3.8,3.219,0.289,336.315,57.8151
508,"NGC 7380",107.1,-0.88,13.594,0.6,2222,6.72,21.0,8.5,3.436,0.531,24.7,6.5,3.645,0.346,341.7653,58.1164
509,"NGC 7438",106.7,-4.9,10.131,0.4,600,8.93,7.0,0.8,2.081,0.148,6.5,1.1,1.986,0.223,344.326,54.335
510,"Cep OB3",111.26,2.98,10.93,0.55,700,7.44,32.4,4.7,4.072,0.192,31.6,3.8,4.037,0.163,346.0436,63.3946
511,"NGC 7510",110.9,0.06,14.375,0.9,2075,7.22,"nan","nan","nan","nan",4.1,1.3,1.296,0.404,347.7608,60.565
512,"NGC 7654",112.81,0.43,12.778,0.65,1421,7.84,"nan","nan","nan","nan",7.9,1.7,2.193,0.286,351.1855,61.5862
513,"Czernik 43",112.84,0.13,14.16,0.7,2500,7.7,"nan","nan","nan","nan",20.4,5.0,3.356,0.322,351.4499,61.3124
514,"Stock 12",111.44,-8.48,8.165,0.05,400,8.45,4.9,2.7,1.613,0.737,4.7,0.8,1.557,0.229,353.8878,52.6902
515,"Aveni-Hunter 1",110.55,-12.58,8.805,0.1,500,8.26,9.7,1.1,2.504,0.157,10.0,2.7,2.55,0.354,354.4434,48.5128
516,"King 12",116.12,-0.13,13.71,0.59,2378,7.12,"nan","nan","nan","nan",16.7,4.1,3.091,0.319,358.242,61.966
517,"NGC 7788",116.43,-0.78,13.365,0.48,2374,7.48,"nan","nan","nan","nan",12.5,3.4,2.713,0.356,359.178,61.399
518,"NGC 7789",115.51,-5.38,12.525,0.22,2337,9.23,31.5,8.0,3.922,0.335,28.4,4.3,3.788,0.201,359.3092,56.7087
519,"Frolov 1",116.56,-0.57,13.901,0.6,2560,7.66,"nan","nan","nan","nan",16.7,5.1,3.078,0.395,359.3524,61.6315
520,"NGC 7790",116.58,-1.01,13.988,0.53,2944,7.91,"nan","nan","nan","nan",11.1,3.6,2.505,0.424,359.5829,61.2051
1001,"ASCC 1",118.15,0.19,13.506,0.16,4000,8.25,"nan","nan","nan","nan",36.9,7.0,3.962,0.25,2.3972,62.6726
1002,"ASCC 2",118.46,-6.89,10.706,0.1,1200,8.83,"nan","nan","nan","nan",15.3,3.0,3.054,0.256,4.9627,55.7072
1003,"ASCC 3",120.02,-7.48,11.679,0.17,1700,7.9,"nan","nan","nan","nan",12.8,3.5,2.789,0.359,7.7864,55.277
1004,"ASCC 4",123.13,-1.29,10.305,0.3,750,8.34,"nan","nan","nan","nan",12.2,1.9,2.785,0.206,13.2756,61.5811
1005,"ASCC 5",123.85,-7.02,11.655,0.25,1500,7.03,"nan","nan","nan","nan",8.1,2.3,2.194,0.374,14.4824,55.8402
1006,"ASCC 6",130.34,-4.34,11.326,0.3,1200,8.17,"nan","nan","nan","nan",13.5,2.4,2.866,0.239,26.7925,57.7279
1007,"ASCC 7",131.54,-2.77,13.055,0.5,2000,7.36,"nan","nan","nan","nan",22.6,5.6,3.468,0.324,29.7185,58.9701
1008,"ASCC 8",134.02,-1.33,13.417,0.55,2200,6.76,"nan","nan","nan","nan",34.3,6.9,3.98,0.265,35.1932,59.6047
1009,"ASCC 9",137.87,-1.76,15.102,0.9,2900,6.79,"nan","nan","nan","nan",24.9,6.2,3.469,0.325,41.7096,57.7256
1010,"ASCC 10",155.6,-17.79,9.535,0.1,700,8.65,"nan","nan","nan","nan",9.9,1.9,2.496,0.258,51.7394,35.0339
1011,"ASCC 11",150.56,-9.24,9.53,0.15,650,8.61,"nan","nan","nan","nan",7.6,1.3,2.158,0.23,53.0582,44.8344
1012,"ASCC 12",163.03,-1.86,8.96,0.15,500,8.42,"nan","nan","nan","nan",5.3,1.2,1.7,0.293,72.4718,41.7308
1013,"ASCC 13",163.4,3.26,10.135,0.2,800,7.71,18.4,5.2,3.281,0.372,20.1,3.0,3.396,0.195,78.3283,44.5804
1014,"ASCC 14",171.83,-1.03,10.765,0.18,1100,8.61,"nan","nan","nan","nan",9.5,2.0,2.384,0.279,80.1238,35.2249
1015,"ASCC 15",170.98,0.07,11.599,0.28,1400,8.6,"nan","nan","nan","nan",10.9,2.8,2.527,0.33,80.6436,36.5497
1016,"ASCC 16",200.98,-18.35,8.593,0.09,460,6.93,10.1,1.3,2.534,0.167,9.1,1.2,2.4,0.18,81.144,1.7984
1017,"ASCC 17",176.56,-3.08,12.497,0.32,2000,7.12,"nan","nan","nan","nan",22.6,5.3,3.393,0.307,81.2901,30.167
1018,"ASCC 18",202.08,-18.49,8.681,0.06,500,7.12,"nan","nan","nan","nan",11.5,1.9,2.708,0.218,81.5316,0.8193
1019,"ASCC 19",204.88,-19.47,7.751,0.01,350,7.64,8.5,0.8,2.331,0.128,10.2,1.5,2.567,0.191,81.9389,-1.9744
1020,"ASCC 20",201.67,-17.53,8.39,0.04,450,7.35,15.2,4.7,3.074,0.4,12.6,1.7,2.827,0.179,82.1808,1.627
1021,"ASCC 21",199.86,-16.49,8.588,0.03,500,7.11,14.9,2.8,3.042,0.247,13.7,1.8,2.93,0.177,82.2361,3.6455
1022,"ASCC 22",208.12,-7.92,11.5,0.2,1500,8.42,"nan","nan","nan","nan",10.4,2.3,2.463,0.294,93.622,0.6368
1023,"ASCC 23",167.52,14.42,9.108,0.07,600,8.45,9.1,1.5,2.383,0.225,7.7,1.4,2.163,0.245,95.0807,46.6697
1024,"ASCC 24",216.64,-8.23,8.444,0.14,400,6.96,"nan","nan","nan","nan",4.9,0.9,1.601,0.253,97.1805,-7.0213
1025,"ASCC 25",190.18,9.72,11.227,0.16,1400,8.86,"nan","nan","nan","nan",9.4,2.3,2.337,0.327,101.3749,24.5974
1026,"ASCC 26",206.35,3.06,9.918,0.13,800,8.09,"nan","nan","nan","nan",4.5,1.0,1.462,0.303,102.589,7.2506
1027,"ASCC 27",217.11,-1.46,10.675,0.09,1200,8.75,"nan","nan","nan","nan",9.4,2.2,2.384,0.308,103.4649,-4.3839
1028,"ASCC 28",213.38,0.5,9.67,0.05,800,8.34,"nan","nan","nan","nan",9.0,1.5,2.351,0.221,103.5088,-0.1708
1029,"ASCC 29",214.72,-0.12,9.53,0.05,750,8.06,"nan","nan","nan","nan",6.8,1.3,1.998,0.26,103.5682,-1.6461
1030,"ASCC 30",219.09,-1.6,9.98,0.15,800,8.2,"nan","nan","nan","nan",7.8,1.4,2.171,0.231,104.2454,-6.2096
1031,"ASCC 31",210.89,3.69,9.356,0.15,600,8.63,"nan","nan","nan","nan",3.7,0.9,1.202,0.314,105.2174,3.4967
1032,"ASCC 32",237.88,-9.61,9.623,0.08,750,8.18,10.4,1.7,2.58,0.214,13.4,1.9,2.907,0.186,105.4891,-26.5032
1033,"ASCC 33",236.67,-8.73,9.67,0.05,800,7.26,"nan","nan","nan","nan",28.6,3.0,3.891,0.141,105.7921,-25.0449
1034,"ASCC 34",209.67,6.99,8.826,0.04,550,8.55,"nan","nan","nan","nan",6.8,1.6,2.02,0.3,107.6217,6.0707
1035,"ASCC 35",213.46,5.68,9.701,0.06,800,8.49,"nan","nan","nan","nan",11.4,1.9,2.667,0.218,108.1571,2.1186
1036,"ASCC 36",234.31,-4.64,9.375,0.0,750,8.51,"nan","nan","nan","nan",5.2,1.1,1.658,0.291,108.6227,-21.1151
1037,"ASCC 37",237.69,-5.46,11.021,0.0,1600,8.73,"nan","nan","nan","nan",8.3,1.7,2.214,0.276,109.5107,-24.4823
1038,"ASCC 38",221.97,5.36,8.712,0.07,500,8.6,"nan","nan","nan","nan",5.4,1.1,1.714,0.265,111.7867,-5.5436
1039,"ASCC 39",237.95,-1.72,10.88,0.0,1500,8.71,"nan","nan","nan","nan",18.7,3.2,3.288,0.23,113.2471,-22.9481
1040,"ASCC 40",229.97,2.84,9.566,0.11,700,8.58,"nan","nan","nan","nan",4.3,0.9,1.425,0.285,113.3915,-13.7603
1041,"ASCC 41",219.35,12.35,7.903,0.02,370,8.44,"nan","nan","nan","nan",5.3,1.1,1.708,0.266,116.7546,0.0197
1042,"ASCC 42",266.41,-12.85,9.825,0.1,800,8.57,"nan","nan","nan","nan",11.9,2.4,2.786,0.271,118.2146,-53.0079
1043,"ASCC 43",244.73,-0.39,10.31,0.1,1000,8.28,"nan","nan","nan","nan",13.0,2.2,2.864,0.221,118.2662,-28.1676
1044,"ASCC 44",264.92,-10.47,10.765,0.18,1100,7.89,20.0,4.4,3.454,0.29,18.8,4.0,3.371,0.278,120.4124,-50.5693
1045,"ASCC 45",253.63,-0.31,14.246,0.6,3000,7.12,"nan","nan","nan","nan",31.2,7.4,3.907,0.311,123.9576,-35.6474
1046,"ASCC 46",264.44,-7.33,10.081,0.1,900,7.71,"nan","nan","nan","nan",15.5,2.9,3.129,0.247,124.1393,-48.5102
1047,"ASCC 47",258.26,0.31,10.081,0.1,900,7.88,15.4,2.5,3.103,0.216,17.9,3.2,3.3,0.235,127.9431,-39.0821
1048,"ASCC 48",257.39,1.61,8.01,0.0,400,9.09,5.4,0.5,1.758,0.12,4.4,1.0,1.498,0.287,128.6161,-37.6097
1049,"ASCC 49",259.31,3.47,9.833,0.02,900,8.14,"nan","nan","nan","nan",13.7,3.1,2.954,0.3,131.9636,-37.9875
1050,"ASCC 50",262.5,1.48,10.267,0.2,850,7.48,"nan","nan","nan","nan",12.0,2.3,2.786,0.252,132.5699,-41.7157
1051,"ASCC 51",286.24,-14.08,8.65,0.05,500,8.53,12.5,1.0,2.876,0.108,11.7,1.6,2.79,0.181,139.4901,-69.6862
1052,"ASCC 52",275.96,-2.41,11.004,0.04,1500,8.75,"nan","nan","nan","nan",17.9,2.8,3.332,0.21,141.985,-54.258
1053,"ASCC 53",280.56,-5.36,12.455,0.15,2500,8.12,"nan","nan","nan","nan",33.9,6.2,4.168,0.242,144.4791,-59.5416
1054,"ASCC 54",277.9,-0.9,10.551,0.05,1200,8.84,"nan","nan","nan","nan",11.3,1.8,2.736,0.21,146.1912,-54.435
1055,"ASCC 55",280.61,-2.09,10.796,0.19,1100,8.45,"nan","nan","nan","nan",9.3,1.8,2.49,0.249,148.569,-57.0745
1056,"ASCC 56",286.39,-6.87,9.856,0.11,800,8.08,10.1,1.1,2.608,0.143,11.1,2.1,2.728,0.251,152.0626,-64.3653
1057,"ASCC 57",287.97,-8.59,11.283,0.13,1500,8.7,"nan","nan","nan","nan",22.6,3.5,3.667,0.204,152.7125,-66.6755
1058,"ASCC 58",281.71,1.33,9.17,0.09,600,7.04,"nan","nan","nan","nan",9.6,1.4,2.521,0.195,153.7788,-54.9675
1059,"ASCC 59",283.78,-0.51,8.857,0.05,550,8.6,"nan","nan","nan","nan",7.4,1.0,2.192,0.177,155.0512,-57.6456
1060,"ASCC 60",285.67,-0.32,9.825,0.1,800,8.36,"nan","nan","nan","nan",3.7,0.9,1.289,0.313,158.2797,-58.4775
1061,"ASCC 61",286.41,1.94,11.865,0.23,1700,7.96,"nan","nan","nan","nan",25.4,3.8,3.816,0.199,161.5364,-56.8578
