"COCD","Name","GLON","GLAT","DistMod","E(B-V)","Dist","logt","rt","e_rt","logM","e_logM","rtA","e_rtA","logMA","e_logMA","_RA.icrs","_DE.icrs"
107,"NGC 2264",202.95,2.19,9.222,0.04,660,6.81,19.6,8.4,3.378,0.557,17.8,2.3,3.252,0.171,100.2431,9.8797
108,"NGC 2269",207.88,0.27,12.376,0.4,1687,8.76,"nan","nan","nan","nan",10.4,2.8,2.442,0.352,100.792,4.6184
109,"NGC 2270",208.98,-0.07,10.917,0.06,1400,8.64,16.0,3.1,3.039,0.255,17.7,2.6,3.172,0.196,100.9928,3.4846
110,"NGC 2287",231.02,-10.45,9.297,0.03,693,8.45,12.0,1.3,2.754,0.15,9.9,1.0,2.511,0.142,101.4992,-20.7594
111,"NGC 2281",174.9,16.88,8.919,0.06,558,8.7,9.0,2.4,2.378,0.351,6.7,0.9,1.987,0.182,102.0687,41.0791
112,"NGC 2301",212.56,0.28,9.76,0.03,858,8.31,6.7,2.5,1.973,0.48,7.1,0.9,2.051,0.175,102.9391,0.4587
113,"NGC 2302",219.29,-3.12,10.983,0.2,1182,8.49,"nan","nan","nan","nan",3.5,0.9,1.114,0.334,102.9739,-7.0786
114,"NGC 2306",219.7,-2.62,10.551,0.05,1200,8.85,"nan","nan","nan","nan",7.8,1.8,2.147,0.303,103.6102,-7.2166
115,"Collinder 121",235.14,-10.14,10.331,0.04,1100,7.08,"nan","nan","nan","nan",24.1,4.1,3.641,0.226,103.6749,-24.2937
116,"NGC 2311",217.75,-0.7,12.125,0.2,2000,8.6,"nan","nan","nan","nan",14.1,3.9,2.822,0.361,104.436,-4.6068
117,"NGC 2319",211.28,3.44,10.362,0.05,1100,8.61,"nan","nan","nan","nan",7.8,2.0,2.133,0.345,105.1713,3.0364
118,"NGC 2323",221.66,-1.33,10.376,0.21,881,8.13,12.9,1.8,2.826,0.184,12.0,1.4,2.734,0.162,105.6704,-8.372
119,"VDB 92, vdBergh 92",224.57,-2.49,11.655,0.25,1500,7.59,13.3,3.0,2.818,0.292,12.9,3.1,2.772,0.314,105.9734,-11.4888
120,"NGC 2335",223.6,-1.18,11.966,0.39,1417,8.08,13.6,2.7,2.85,0.259,14.0,3.4,2.889,0.316,106.7064,-10.0268
121,"Ruprecht 12",239.97,-9.29,9.926,0.05,900,7.56,"nan","nan","nan","nan",5.7,1.7,1.783,0.401,106.8221,-28.2212
122,"NGC 2343",224.27,-1.18,10.49,0.12,1056,8.23,"nan","nan","nan","nan",3.2,0.8,0.989,0.327,107.0195,-10.6217
