"Name","Type","n_Type","RAJ2000","DEJ2000","GLON","GLAT","r0","r1","r2","pmRA","pmDE","e_pm","RV","e_RV","o_RV","N1sr0","N1sr1","N1sr2","d","E(B-V)","MOD","E(J-Ks)","E(J-H)","dH","logt","e_logt","Nt","rc","e_rc","rt","e_rt","k","e_k","Src","SType","[Fe/H]","e_[Fe/H]","o_[Fe/H]"
"Teutsch_31, MWSC_1864","nan","nan",163.228,-59.46,288.377,0.023,0.012,0.06,0.085,-8.28,-0.65,1.07,"nan","nan",0,2,28,49,2918.0,0.854,12.6,0.41,0.273,0.0,8.78,"nan","nan",1.0,0.25,5.25,1.16,7.28,1.4,"DIAS","nan","nan","nan",0
"Ruprecht_92, MWSC_1866","nan","nan",163.38,-61.7,289.428,-1.957,0.025,0.085,0.155,-3.22,2.78,0.98,-15.3,1.7,3,5,22,58,2211.0,0.396,11.85,0.19,0.127,0.0,7.65,"nan","nan",1.28,0.27,11.97,2.78,5.86,0.84,"COCD","nan",0.201,0.13,1
"ESO_128-16, MWSC_1867","nan","nan",163.417,-58.245,287.931,1.158,0.03,0.11,0.16,-1.49,6.27,0.72,"nan","nan",0,4,42,91,973.0,0.029,9.95,0.014,0.009,-0.02,8.84,0.027,3.0,0.27,0.09,4.75,1.69,33.9,11.88,"COCD","nan","nan","nan",0
"Kronberger_39, MWSC_1868","nan","nan",163.558,-61.733,289.518,-1.949,0.012,0.035,0.052,-3.91,6.07,2.39,"nan","nan",0,0,6,7,4372.0,0.999,13.525,0.48,0.32,0.0,6.0,"nan","nan",0.69,0.17,4.29,0.97,18.78,3.36,"DIAS","nan","nan","nan",0
"ASCC_63, MWSC_1869","nan","nan",163.98,-60.415,289.131,-0.673,0.025,0.09,0.15,-5.86,2.2,0.82,-142.0,0.01,2,3,37,107,2686.0,0.791,12.4,0.38,0.253,0.0,7.25,"nan","nan",7.83,1.69,15.35,1.82,1.34,0.49,"COCD","nan","nan","nan",0
"Trumpler_17, MWSC_1870","nan","nan",164.115,-59.223,288.681,0.433,0.02,0.08,0.11,-1.3,4.13,0.58,25.5,10.88,2,8,48,76,2194.0,0.583,11.894,0.28,0.187,-0.02,7.775,"nan","nan",0.61,0.12,8.59,1.8,21.63,3.84,"COCD","nan","nan","nan",0
"Collinder_236, MWSC_1872","nan","nan",164.34,-61.12,289.592,-1.235,0.02,0.125,0.2,-2.82,2.3,0.92,12.8,9.67,5,2,27,66,823.0,0.071,9.6,0.034,0.023,0.0,8.45,"nan","nan",2.99,0.54,4.96,0.41,44.12,15.62,"COCD","nan",0.042,0.13,1
"Bochum_12, MWSC_1873","nan","nan",164.34,-61.725,289.849,-1.783,0.02,0.075,0.145,-3.45,-2.36,1.08,-3.8,0.8,1,5,16,50,2485.0,0.229,12.05,0.11,0.073,-0.02,7.995,"nan","nan",0.66,0.16,10.21,2.69,11.09,2.82,"COCD","nan","nan","nan",0
"Hogg_9, MWSC_1874","nan","nan",164.602,-59.053,288.835,0.693,0.01,0.045,0.07,-4.77,4.58,1.55,"nan","nan",0,1,12,21,1751.0,0.416,11.35,0.2,0.133,0.0,7.9,"nan","nan",0.32,0.18,5.88,3.34,3.89,2.57,"DIAS","nan","nan","nan",0
"Turner_6, MWSC_1876","nan","nan",164.754,-59.483,289.086,0.335,0.01,0.045,0.075,-0.88,-0.4,1.51,"nan","nan",0,1,14,41,3600.0,1.145,13.15,0.55,0.367,0.0,6.6,"nan","nan",5.28,0.6,12.18,0.76,1.61,0.2,"DIAS","nan","nan","nan",0
"Teutsch_106, MWSC_1877","nan","nan",164.854,-59.535,289.155,0.309,0.01,0.045,0.075,-0.78,-3.42,1.86,"nan","nan",0,2,11,32,6702.0,0.979,14.446,0.47,0.313,0.0,8.78,"nan","nan",2.11,0.32,14.2,2.2,3.91,0.41,"DIAS","nan","nan","nan",0
"NGC_3496, MWSC_1878","nan","nan",164.902,-60.34,289.513,-0.412,0.03,0.1,0.18,-7.62,4.17,0.63,-6.3,3.82,5,14,56,152,1359.0,0.416,10.8,0.2,0.133,-0.03,8.895,0.023,7.0,1.03,0.1,7.36,0.75,58.62,3.21,"COCD","nan","nan","nan",0
"Sher_1, MWSC_1881","nan","nan",165.255,-60.23,289.626,-0.239,0.015,0.035,0.045,-6.42,5.84,1.85,"nan","nan",0,3,8,10,5801.0,1.499,14.3,0.72,0.48,0.03,6.715,"nan","nan",0.94,0.33,9.03,2.69,1.59,0.6,"DIAS","nan","nan","nan",0
"ASCC_64, MWSC_1884","nan","nan",165.765,-60.915,290.135,-0.762,0.015,0.11,0.19,-5.6,1.77,0.72,1.4,0.1,2,1,46,163,1700.0,0.15,11.2,0.072,0.048,0.01,8.1,0.136,2.0,4.15,1.8,10.71,3.1,0.68,0.36,"COCD","nan","nan","nan",0
"Ruprecht_93, MWSC_1885","nan","nan",166.05,-61.37,290.444,-1.123,0.015,0.08,0.135,-5.08,0.85,0.62,5.1,3.5,2,3,43,84,1619.0,0.167,11.1,0.08,0.053,0.0,8.755,"nan","nan",1.3,0.22,6.7,1.05,12.28,1.28,"COCD","nan",0.153,0.13,1
"Ruprecht_163, MWSC_1886","nan","nan",166.222,-67.943,293.159,-7.113,0.01,0.04,0.09,-12.26,6.7,1.13,"nan","nan",0,4,14,60,3019.0,0.312,12.5,0.15,0.1,0.0,9.365,"nan","nan",1.23,0.27,10.59,2.43,3.17,0.57,"DIAS","nan","nan","nan",0
"Shorlin_2, MWSC_1887","nan","nan",166.387,-61.255,290.547,-0.953,0.01,0.038,0.06,-5.25,-2.21,1.07,"nan","nan",0,2,8,11,4129.0,0.375,13.2,0.18,0.12,-0.07,6.0,"nan","nan",1.14,0.24,9.9,1.78,2.75,0.58,"DIAS","nan","nan","nan",0
"DBSB_60, MWSC_1888","nan","nan",166.404,-62.485,291.042,-2.079,0.01,0.04,0.055,-10.49,4.76,0.98,"nan","nan",0,2,22,32,3740.0,1.353,13.3,0.65,0.434,-0.043,6.75,"nan","nan",0.24,0.46,8.73,9.03,0.35,1.06,"BOPN","irc","nan","nan",0
"Loden_306, MWSC_1889","nan","nan",166.485,-61.12,290.537,-0.81,0.02,0.095,0.18,-6.09,2.84,0.84,-33.0,4.6,1,2,26,86,1939.0,0.448,11.582,0.215,0.143,0.0,6.76,"nan","nan",7.44,1.37,11.98,0.98,2.76,0.96,"COCD","nan","nan","nan",0
"NGC_3532, MWSC_1890","nan","nan",166.455,-58.73,289.577,1.379,0.03,0.2,0.425,-10.87,4.89,0.43,1.2,0.72,4,2,109,392,454.0,0.042,8.299,0.02,0.013,-0.02,8.65,"nan","nan",2.27,0.34,4.71,0.38,155.13,37.37,"COCD","nan",0.019,0.112,8
"Shorlin_1, MWSC_1891","nan","nan",166.579,-61.243,290.627,-0.905,0.016,0.045,0.07,-5.4,-0.16,1.01,"nan","nan",0,2,16,38,5594.0,0.812,14.0,0.39,0.26,0.0,6.5,"nan","nan",4.57,1.09,15.89,2.88,0.36,0.08,"DIAS","nan","nan","nan",0
"Feinstein_1, MWSC_1892","nan","nan",166.68,-59.82,290.113,0.423,0.015,0.1,0.2,-6.8,1.32,0.8,-13.4,8.91,3,2,34,90,1414.0,0.458,10.9,0.22,0.147,0.0,7.2,"nan","nan",5.07,3.08,8.24,2.23,2.86,3.57,"COCD","nan","nan","nan",0
"Chamaleon_I, MWSC_1897","nan","nan",165.9,-77.34,297.004,-15.724,0.03,0.22,0.36,-6.5,8.89,1.04,"nan","nan",0,2,29,75,380.0,0.312,7.999,0.15,0.1,0.0,6.0,"nan","nan",1.24,0.24,3.18,0.42,55.74,13.84,"BIEM","irc","nan","nan",0
"FSR_1584, MWSC_1900","nan","nan",167.302,-65.06,292.417,-4.293,0.02,0.075,0.13,-6.5,3.09,0.99,"nan","nan",0,6,27,68,2241.0,0.458,11.9,0.22,0.147,0.0,8.875,0.052,3.0,0.94,0.46,9.97,5.02,1.0,0.46,"FPOS","nan","nan","nan",0
"VDBH_111, vdBergh-Hagen_111, MWSC_1901","nan","nan",167.28,-63.83,291.933,-3.162,0.02,0.11,0.18,-9.28,2.1,1.01,"nan","nan",0,4,31,78,2634.0,0.416,12.237,0.2,0.133,0.0,8.35,"nan","nan",1.4,1.26,15.45,15.17,0.31,0.2,"COCD","nan","nan","nan",0
"NGC_3572, MWSC_1906","nan","nan",167.602,-60.25,290.704,0.204,0.01,0.068,0.12,-9.19,2.31,0.79,-8.0,2.42,4,1,28,66,1997.0,0.364,11.619,0.175,0.117,0.0,6.925,"nan","nan",1.02,0.1,7.59,0.8,37.73,2.56,"COCD","nan","nan","nan",0
"Basel_17, MWSC_1907","nan","nan",167.632,-59.033,290.256,1.336,0.025,0.075,0.125,-6.0,-0.14,0.92,"nan","nan",0,9,30,70,1697.0,0.16,11.2,0.077,0.051,0.0,7.975,0.031,4.0,0.9,0.28,4.38,1.1,5.09,1.31,"COCD","nan","nan","nan",0
"Hogg_10, MWSC_1908","nan","nan",167.685,-60.385,290.793,0.095,0.018,0.067,0.11,-9.75,2.06,0.77,-7.0,8.0,2,4,30,62,1920.0,0.416,11.551,0.2,0.133,0.0,6.785,"nan","nan",1.09,0.16,4.48,0.55,34.04,3.73,"DIAS","nan","nan","nan",0
"DBSB_62, MWSC_1910","nan","nan",167.835,-61.29,291.202,-0.716,0.012,0.065,0.1,-4.62,4.33,1.02,-15.6,"nan",0,1,24,45,2187.0,0.312,11.8,0.15,0.1,-0.03,6.9,"nan","nan",0.75,0.27,8.64,3.14,2.27,0.83,"BOPN","irc","nan","nan",0
"Trumpler_18, MWSC_1911","nan","nan",167.895,-60.665,290.994,-0.126,0.022,0.085,0.16,-8.9,0.6,0.55,-17.4,7.0,3,4,53,215,1422.0,0.266,10.85,0.128,0.085,0.0,7.69,"nan","nan",1.77,0.37,6.95,1.21,9.4,1.41,"COCD","nan","nan","nan",0
"Hogg_11, MWSC_1913","nan","nan",167.902,-60.39,290.894,0.13,0.01,0.045,0.09,-3.67,3.19,2.0,"nan","nan",0,1,11,41,2554.0,0.354,12.15,0.17,0.113,0.0,6.99,"nan","nan",0.9,0.15,6.88,1.06,9.25,1.45,"DIAS","nan","nan","nan",0
"Hogg_12, MWSC_1918","nan","nan",168.06,-60.765,291.106,-0.188,0.01,0.05,0.08,-7.04,1.34,0.81,-3.0,"nan",1,2,30,69,1664.0,0.4,11.234,0.192,0.128,0.02,7.6,"nan","nan",1.12,0.16,3.82,0.42,35.39,4.47,"DIAS","nan","nan","nan",0
"NGC_3590, MWSC_1920","nan","nan",168.258,-60.775,291.2,-0.162,0.025,0.085,0.165,-6.61,1.55,0.6,-7.3,6.44,3,12,69,247,1660.0,0.416,11.235,0.2,0.133,0.0,7.4,"nan","nan",0.74,0.1,9.35,1.47,37.59,4.31,"COCD","nan","nan","nan",0
"Stock_13, MWSC_1921","nan","nan",168.247,-58.88,290.492,1.596,0.012,0.075,0.145,-9.9,1.56,0.79,1.0,7.4,1,1,18,76,1577.0,0.221,11.06,0.106,0.071,-0.035,7.37,"nan","nan",0.69,0.21,9.41,3.22,7.7,2.01,"COCD","nan","nan","nan",0
"ASCC_66, MWSC_1922","nan","nan",168.39,-55.44,289.288,4.82,0.025,0.12,0.2,-11.81,3.31,0.61,"nan","nan",0,4,63,175,1032.0,0.1,10.101,0.048,0.032,-0.03,7.76,"nan","nan",2.14,0.86,5.63,1.55,3.68,1.82,"COCD","nan","nan","nan",0
"Trumpler_19, MWSC_1924","nan","nan",168.562,-57.535,290.15,2.908,0.025,0.14,0.215,-13.35,3.93,0.51,"nan","nan",0,6,109,210,1968.0,0.094,11.5,0.045,0.03,0.0,9.65,"nan","nan",2.39,0.67,10.33,2.59,2.19,0.43,"DIAS","nan","nan","nan",0
"Hogg_13, MWSC_1927","nan","nan",169.075,-60.245,291.381,0.479,0.02,0.055,0.085,-5.78,3.86,1.05,"nan","nan",0,3,14,27,2208.0,0.25,11.8,0.12,0.08,0.0,8.65,0.059,5.0,0.59,0.18,5.95,1.88,8.48,2.26,"DIAS","non","nan","nan",0
"DBSB_66, MWSC_1928","nan","nan",169.11,-61.485,291.842,-0.673,0.018,0.037,0.055,-11.49,2.16,0.92,"nan","nan",0,7,24,47,7511.0,0.999,14.7,0.48,0.32,-0.07,6.0,"nan","nan",2.17,0.55,7.32,1.06,2.08,0.41,"BOPN","irc","nan","nan",0
"IC_2714, MWSC_1930","nan","nan",169.365,-62.74,292.401,-1.803,0.025,0.12,0.195,-8.0,1.5,0.33,-14.1,0.3,8,13,215,494,1224.0,0.416,10.573,0.2,0.133,0.0,8.65,0.036,10.0,1.83,0.17,6.3,0.46,50.87,4.12,"COCD","nan",0.01,0.01,3
"Melotte_105, MWSC_1933","nan","nan",169.92,-63.475,292.894,-2.403,0.02,0.09,0.16,-5.93,1.69,0.52,0.4,0.21,2,10,87,178,2202.0,0.5,11.875,0.24,0.16,0.0,8.375,"nan","nan",0.67,0.07,8.59,1.03,66.14,6.82,"DIAS","nan","nan","nan",0
"FSR_1569, MWSC_1935","nan","nan",170.092,-56.817,290.67,3.874,0.012,0.055,0.095,-4.09,5.03,1.49,"nan","nan",0,3,12,26,3336.0,0.416,12.75,0.2,0.133,0.0,9.2,"nan","nan",0.85,0.33,12.23,5.37,2.4,0.89,"FPRO","nan","nan","nan",0
"ESO_129-19, MWSC_1936","nan","nan",170.287,-58.215,291.25,2.597,0.02,0.06,0.107,-7.94,3.89,1.13,"nan","nan",0,4,14,42,1791.0,0.416,11.399,0.2,0.133,0.0,9.0,"nan","nan",0.86,0.34,6.24,2.46,2.4,0.74,"DIAS","dub","nan","nan",0
"FSR_1586, MWSC_1938","nan","nan",170.67,-62.32,292.821,-1.2,0.018,0.08,0.14,-7.16,5.01,0.56,"nan","nan",0,8,66,140,2863.0,1.603,12.8,0.77,0.514,0.0,8.7,0.031,23.0,0.97,0.14,10.3,1.67,23.22,2.66,"DIAS","irc","nan","nan",0
"VDBH_118, vdBergh-Hagen_118, MWSC_1939","nan","nan",170.625,-58.53,291.524,2.361,0.02,0.075,0.115,-8.23,1.23,0.94,"nan","nan",0,5,19,41,1221.0,0.208,10.501,0.1,0.067,-0.015,9.045,0.024,4.0,1.08,0.22,4.53,0.77,9.17,1.44,"DIAS","nan","nan","nan",0
"FSR_1598, MWSC_1940","nan","nan",170.775,-75.015,297.199,-13.132,0.018,0.06,0.11,-9.2,1.88,1.12,"nan","nan",0,7,21,58,3575.0,0.104,12.8,0.05,0.033,0.0,9.7,"nan","nan",0.93,0.26,14.8,4.27,2.58,0.8,"FPOS","nan","nan","nan",0
"DBSB_64, MWSC_1941","nan","nan",171.142,-58.95,291.917,2.054,0.02,0.08,0.125,-10.86,2.03,0.78,"nan","nan",0,2,39,101,5254.0,0.458,13.75,0.22,0.147,-0.02,6.2,"nan","nan",15.39,3.24,23.73,1.87,0.24,0.08,"BOPN","irc","nan","nan",0
"NGC_3680, MWSC_1942","nan","nan",171.405,-43.235,286.752,16.927,0.02,0.095,0.19,-5.21,0.77,0.64,2.4,2.65,9,3,40,100,946.0,0.062,9.9,0.03,0.02,-0.015,9.2,"nan","nan",0.56,0.13,5.22,1.34,23.26,4.14,"COCD","nan",-0.167,0.08,1
"FSR_1593, MWSC_1943","nan","nan",171.96,-68.735,295.437,-7.085,0.025,0.075,0.14,-6.95,7.98,0.68,"nan","nan",0,13,44,120,1825.0,0.291,11.4,0.14,0.093,0.0,9.455,0.076,11.0,0.94,0.19,8.79,1.91,9.53,1.45,"FPOS","nan","nan","nan",0
"FSR_1580, MWSC_1944","nan","nan",171.937,-58.51,292.165,2.604,0.012,0.06,0.1,-5.2,-0.03,1.22,"nan","nan",0,3,14,38,2511.0,0.625,12.2,0.3,0.2,0.0,8.9,"nan","nan",0.91,0.28,9.11,3.08,4.42,1.01,"FPRO","nan","nan","nan",0
"DBSB_68, MWSC_1946","nan","nan",172.218,-63.105,293.747,-1.712,0.01,0.045,0.07,-9.49,5.23,1.13,"nan","nan",0,1,13,29,1777.0,0.625,11.449,0.3,0.2,0.0,8.525,"nan","nan",0.38,0.14,4.61,1.75,12.24,4.16,"BOPN","irc","nan","nan",0
"Ruprecht_94, MWSC_1950","nan","nan",172.635,-63.48,294.042,-2.01,0.035,0.12,0.23,-5.06,0.59,0.51,2.0,1.8,1,14,118,360,2932.0,0.51,12.5,0.245,0.163,0.02,7.0,"nan","nan",2.92,0.62,16.21,3.28,1.64,0.22,"COCD","nan","nan","nan",0
"Ruprecht_164, MWSC_1951","nan","nan",172.71,-60.75,293.237,0.599,0.02,0.09,0.15,-5.12,1.95,0.9,-3.0,7.4,1,3,28,70,1297.0,0.11,10.6,0.053,0.035,0.0,7.7,"nan","nan",0.87,0.22,6.44,1.69,9.98,1.53,"COCD","nan","nan","nan",0
"Loden_372, MWSC_1952","nan","nan",172.725,-58.48,292.547,2.762,0.016,0.06,0.11,-9.47,-1.58,1.19,"nan","nan",0,3,16,50,1208.0,0.354,10.524,0.17,0.113,0.0,8.32,"nan","nan",1.43,0.23,4.34,0.48,14.23,2.2,"COCD","nan","nan","nan",0
"FSR_1583, MWSC_1953","nan","nan",172.915,-57.623,292.381,3.608,0.01,0.065,0.12,-11.42,6.02,1.04,"nan","nan",0,1,28,66,1639.0,0.396,11.2,0.19,0.127,0.0,8.6,"nan","nan",0.65,0.23,7.69,2.97,4.95,1.5,"FPRO","nan","nan","nan",0
"Loden_402, MWSC_1954","nan","nan",173.085,-60.705,293.398,0.697,0.015,0.115,0.18,-7.4,0.9,0.74,-3.0,7.4,1,1,43,98,1513.0,0.312,11.0,0.15,0.1,0.0,8.4,"nan","nan",4.91,0.96,8.98,0.89,6.74,2.37,"COCD","nan","nan","nan",0
"FSR_1607, MWSC_1955","nan","nan",173.25,-77.825,298.715,-15.597,0.01,0.085,0.15,-8.99,-1.53,0.92,"nan","nan",0,2,31,69,1561.0,0.104,11.001,0.05,0.033,0.0,9.565,0.002,2.0,0.96,0.51,7.54,4.22,1.92,0.62,"FPOS","nan","nan","nan",0
"DBSB_69, MWSC_1956","nan","nan",173.452,-63.285,294.333,-1.714,0.012,0.042,0.07,-1.96,-0.81,1.98,"nan","nan",0,4,11,25,2273.0,2.228,12.5,1.07,0.714,0.08,6.6,"nan","nan",1.75,0.65,5.11,1.19,1.34,0.45,"BOPN","irc","nan","nan",0
"IC_2944, MWSC_1957","nan","nan",174.052,-62.95,294.495,-1.314,0.022,0.12,0.2,-7.04,-1.07,0.88,-0.9,6.0,1,6,39,88,2098.0,0.437,11.75,0.21,0.14,-0.03,6.25,"nan","nan",2.37,0.84,10.24,3.26,1.78,0.42,"COCD","nan","nan","nan",0
"NGC_3766, MWSC_1958","nan","nan",174.075,-61.615,294.122,-0.032,0.022,0.115,0.23,-6.0,-0.1,0.31,-14.8,1.72,4,16,141,366,1685.0,0.208,11.2,0.1,0.067,0.0,7.95,"nan","nan",0.91,0.13,11.19,1.76,31.64,3.53,"COCD","nan","nan","nan",0
"FSR_1591, MWSC_1959","nan","nan",174.24,-62.723,294.512,-1.072,0.012,0.065,0.115,-7.66,0.46,1.03,"nan","nan",0,1,25,78,1538.0,0.822,11.199,0.395,0.263,0.0,8.7,"nan","nan",0.6,0.21,6.06,2.34,8.2,2.18,"FPRO","nan","nan","nan",0
"VDBH_121, vdBergh-Hagen_121, MWSC_1960","nan","nan",174.525,-63.338,294.81,-1.626,0.02,0.095,0.165,-5.86,0.52,0.79,-3.8,2.49,21,3,55,143,2937.0,0.5,12.5,0.24,0.16,0.0,6.64,"nan","nan",2.92,0.62,14.97,2.99,2.63,0.29,"COCD","nan","nan","nan",0
"IC_2948, MWSC_1961","nan","nan",174.802,-63.51,294.977,-1.756,0.02,0.1,0.17,-4.46,-1.13,0.79,-0.3,2.3,6,7,44,130,2796.0,0.521,12.4,0.25,0.167,-0.02,6.6,"nan","nan",6.03,2.0,15.06,3.28,0.99,0.43,"COCD","nan","nan","nan",0
"ASCC_67, MWSC_1963","nan","nan",175.365,-61.01,294.549,0.721,0.025,0.11,0.22,-3.8,-1.7,0.52,-18.6,7.6,2,6,82,335,1500.0,0.3,10.977,0.144,0.096,-0.015,7.67,"nan","nan",1.03,0.43,12.7,6.08,2.19,0.71,"COCD","nan","nan","nan",0
"Bica_5, MWSC_1964","nan","nan",175.395,-62.425,294.941,-0.639,0.012,0.06,0.105,-2.87,-2.15,0.66,"nan","nan",0,4,32,91,1687.0,0.208,11.203,0.1,0.067,-0.035,8.88,"nan","nan",1.12,0.29,6.91,1.8,5.93,0.84,"DIAS","rem","nan","nan",0
"Lynga_15, MWSC_1965","nan","nan",175.56,-62.51,295.037,-0.701,0.02,0.08,0.125,-4.97,-1.21,0.68,-8.2,1.8,2,7,49,97,1380.0,0.625,10.9,0.3,0.2,0.0,7.4,"nan","nan",0.8,0.34,4.7,1.89,3.25,1.02,"DIAS","nan","nan","nan",0
"Ruprecht_95, MWSC_1966","nan","nan",175.912,-61.155,294.843,0.651,0.01,0.055,0.08,-4.87,-3.99,0.93,"nan","nan",0,2,24,42,1634.0,0.416,11.2,0.2,0.133,0.015,8.495,0.02,3.0,1.88,0.65,3.85,0.69,5.1,2.43,"DIAS","nan","nan","nan",0
"Stock_14, MWSC_1968","nan","nan",175.95,-62.52,295.214,-0.663,0.012,0.095,0.17,-5.82,1.2,0.64,-8.6,1.96,5,1,52,199,2454.0,0.312,12.05,0.15,0.1,-0.04,6.8,"nan","nan",1.14,0.34,15.88,5.25,3.28,0.83,"COCD","nan","nan","nan",0
"ESO_129-32, MWSC_1970","nan","nan",176.047,-61.058,294.881,0.761,0.012,0.06,0.1,-4.77,-4.04,1.33,"nan","nan",0,2,24,57,1560.0,0.416,11.1,0.2,0.133,0.02,8.6,"nan","nan",0.19,0.12,5.0,3.29,11.91,9.97,"DIAS","dub","nan","nan",0
"FSR_1597, MWSC_1971","nan","nan",176.145,-67.085,296.473,-5.052,0.018,0.09,0.165,-10.14,2.89,1.2,"nan","nan",0,2,23,70,2879.0,0.323,12.4,0.155,0.103,0.0,9.3,"nan","nan",1.5,0.86,14.16,8.85,0.77,0.28,"FPOS","nan","nan","nan",0
"FSR_1574, MWSC_1972","nan","nan",176.175,-45.66,290.898,15.649,0.02,0.095,0.18,-6.48,-0.53,0.97,"nan","nan",0,2,31,93,1389.0,0.271,10.801,0.13,0.087,0.0,9.25,"nan","nan",0.94,0.35,8.0,3.18,4.23,0.98,"FPOS","nan","nan","nan",0
"Loden_467, MWSC_1973","nan","nan",176.374,-62.433,295.381,-0.529,0.017,0.075,0.115,-6.9,-0.9,0.82,"nan","nan",0,3,37,68,2569.0,0.625,12.25,0.3,0.2,-0.05,6.6,"nan","nan",1.52,0.38,9.72,2.3,2.12,0.39,"DIAS","non","nan","nan",0
"DBSB_72, MWSC_1975","nan","nan",176.487,-65.555,296.216,-3.538,0.012,0.05,0.077,-6.28,3.72,1.39,-23.2,"nan",0,2,22,37,4494.0,2.29,14.0,1.1,0.734,0.03,6.1,"nan","nan",1.81,0.41,11.08,2.29,1.77,0.3,"BOPN","irc","nan","nan",0
"FSR_1595, MWSC_1976","nan","nan",176.752,-62.65,295.604,-0.695,0.012,0.07,0.14,-3.48,-1.28,0.74,0.0,7.4,1,5,56,196,4416.0,0.854,13.5,0.41,0.273,-0.04,6.35,"nan","nan",1.89,0.32,12.69,2.11,4.36,0.56,"DIAS","irc","nan","nan",0
"SAI_116, MWSC_1978","nan","nan",177.322,-62.225,295.757,-0.219,0.01,0.06,0.1,-7.9,-1.13,0.89,"nan","nan",0,2,35,70,2382.0,0.979,12.2,0.47,0.313,0.0,8.685,"nan","nan",0.81,0.13,4.96,0.81,36.11,3.86,"DIAS","nan","nan","nan",0
"NGC_3909, MWSC_1979","nan","nan",177.525,-48.21,292.488,13.417,0.025,0.11,0.17,-8.0,3.92,0.7,"nan","nan",0,8,53,103,1792.0,0.104,11.3,0.05,0.033,-0.01,9.515,0.101,10.0,0.66,0.31,7.99,4.2,4.94,1.87,"DIAS","nan","nan","nan",0
"DBSB_73, MWSC_1981","nan","nan",177.54,-64.87,296.478,-2.766,0.02,0.035,0.05,-9.67,-0.06,1.38,"nan","nan",0,5,14,26,4532.0,1.145,13.65,0.55,0.367,0.0,6.5,"nan","nan",0.72,0.21,8.7,1.64,2.87,1.04,"BOPN","irc","nan","nan",0
"NGC_3960, MWSC_1982","nan","nan",177.66,-55.67,294.373,6.191,0.035,0.1,0.17,-9.88,-1.61,0.71,-22.6,0.17,12,13,58,131,1884.0,0.167,11.429,0.08,0.053,0.0,9.11,"nan","nan",1.89,0.33,9.96,1.64,7.25,0.69,"DIAS","var",0.02,0.04,6
"Ruprecht_96, MWSC_1983","nan","nan",177.697,-62.15,295.909,-0.105,0.018,0.077,0.125,-5.34,-0.58,0.65,"nan","nan",0,7,45,98,1251.0,0.042,10.5,0.02,0.013,-0.08,9.06,0.02,6.0,0.55,0.12,5.24,1.17,24.67,3.99,"COCD","nan","nan","nan",0
"Loden_481, MWSC_1984","nan","nan",177.96,-61.27,295.827,0.78,0.02,0.12,0.235,-5.3,1.51,0.4,-22.0,14.95,2,4,118,380,1634.0,0.26,11.15,0.125,0.083,0.0,8.385,0.042,4.0,1.49,0.69,9.46,4.01,0.68,0.26,"COCD","nan","nan","nan",0
"Teutsch_77, MWSC_1985","nan","nan",178.372,-62.605,296.317,-0.477,0.015,0.07,0.11,-4.08,-0.55,0.89,"nan","nan",0,5,26,42,1920.0,0.416,11.551,0.2,0.133,0.0,7.7,"nan","nan",0.81,0.19,7.66,1.81,7.05,1.39,"DIAS","nan","nan","nan",0
"Loden_480, MWSC_1986","nan","nan",178.905,-58.39,295.65,3.693,0.02,0.08,0.14,-9.03,4.4,0.59,"nan","nan",0,8,53,155,1305.0,0.208,10.645,0.1,0.067,-0.04,8.7,0.054,2.0,0.49,0.13,5.26,1.53,22.44,4.88,"COCD","nan","nan","nan",0
"Ruprecht_97, MWSC_1987","nan","nan",179.347,-62.71,296.777,-0.483,0.013,0.045,0.09,-3.89,-2.47,1.5,-14.9,0.16,2,2,13,47,1537.0,0.208,11.0,0.1,0.067,0.0,8.65,"nan","nan",0.72,0.07,5.18,0.46,43.4,3.52,"DIAS","nan",-0.59,"nan",0
"Ruprecht_98, MWSC_1988","nan","nan",179.715,-64.588,297.323,-2.287,0.02,0.14,0.28,-5.43,-9.02,0.96,-7.6,1.7,1,1,33,131,610.0,0.16,8.978,0.077,0.051,-0.05,8.8,"nan",1.0,1.5,0.47,4.5,1.04,9.67,3.18,"COCD","nan","nan","nan",0
"NGC_4052, MWSC_1991","nan","nan",180.315,-63.215,297.31,-0.889,0.012,0.085,0.15,-7.24,-1.44,0.58,"nan","nan",0,1,59,197,1210.0,0.156,10.464,0.075,0.05,0.0,8.4,"nan","nan",1.48,0.2,5.29,0.57,27.23,3.05,"COCD","nan","nan","nan",0
"Juchert_13, MWSC_1992","nan","nan",180.42,-64.1,297.526,-1.749,0.015,0.055,0.1,-15.39,-5.77,1.28,"nan","nan",0,3,18,51,2795.0,0.833,12.5,0.4,0.267,0.0,9.0,"nan","nan",0.77,0.11,10.47,1.71,19.71,2.75,"DIAS","nan","nan","nan",0
"ASCC_68, MWSC_1993","nan","nan",180.712,-60.92,297.055,1.399,0.035,0.17,0.3,-4.63,3.0,0.33,"nan","nan",0,13,172,537,920.0,0.094,9.849,0.045,0.03,-0.02,8.6,"nan","nan",0.93,0.19,8.86,1.97,16.93,2.17,"COCD","nan","nan","nan",0
"Ruprecht_99, MWSC_1994","nan","nan",180.87,-63.86,297.675,-1.476,0.012,0.12,0.21,-7.74,-2.07,0.71,"nan","nan",0,1,46,120,719.0,0.052,9.3,0.025,0.017,-0.02,8.375,"nan","nan",1.16,0.2,4.34,0.61,16.84,2.38,"COCD","nan","nan","nan",0
