"Name","Type","n_Type","RAJ2000","DEJ2000","GLON","GLAT","r0","r1","r2","pmRA","pmDE","e_pm","RV","e_RV","o_RV","N1sr0","N1sr1","N1sr2","d","E(B-V)","MOD","E(J-Ks)","E(J-H)","dH","logt","e_logt","Nt","rc","e_rc","rt","e_rt","k","e_k","Src","SType","[Fe/H]","e_[Fe/H]","o_[Fe/H]"
"VDB_113, vdBergh_113, MWSC_2819","nan","nan",272.175,-21.405,9.127,-0.727,0.025,0.125,0.202,-0.35,-3.15,0.45,-8.0,5.24,3,5,33,67,2056.0,1.041,11.9,0.5,0.333,0.03,8.3,"nan","nan",3.12,0.71,9.39,1.58,3.98,0.94,"COCD","nan",-0.358,0.09,1
"NGC_6554, MWSC_2821","nan","nan",272.23,-18.443,11.743,0.663,0.02,0.145,0.22,1.27,-3.05,0.34,15.0,"nan",1,2,53,106,1775.0,0.791,11.501,0.38,0.253,0.02,8.62,0.043,10.0,1.32,0.68,12.17,6.67,1.31,0.42,"DIAS","non","nan","nan",0
"BDSB_113, MWSC_2822","nan","nan",272.257,-20.08,10.323,-0.152,0.01,0.065,0.11,1.43,-2.53,0.39,1.7,"nan",0,1,33,84,4644.0,1.291,13.75,0.62,0.414,0.0,6.0,"nan","nan",4.19,1.05,16.72,3.55,0.92,0.17,"BIRN","irc","nan","nan",0
"ESO_521-38, MWSC_2825","nan","nan",272.34,-24.53,6.465,-2.372,0.01,0.05,0.09,-0.85,-2.46,0.47,"nan","nan",0,3,6,7,1490.0,0.416,11.0,0.2,0.133,0.0,8.395,0.001,2.0,1.55,0.66,3.55,0.93,7.13,4.29,"COCD","nan","nan","nan",0
"FSR_0095, MWSC_2830","nan","nan",272.515,4.222,31.986,11.13,0.012,0.07,0.115,-4.12,-5.31,0.41,"nan","nan",0,4,39,85,4297.0,0.416,13.3,0.2,0.133,0.0,9.35,"nan","nan",0.85,0.23,16.89,4.99,4.27,1.32,"FPOS","nan","nan","nan",0
"Dolidze_51, MWSC_2832","nan","nan",272.599,-17.741,12.527,0.696,0.017,0.065,0.105,0.15,-4.4,0.68,"nan","nan",0,3,14,26,1423.0,0.729,11.001,0.35,0.233,0.0,8.2,"nan",1.0,0.78,0.22,6.29,1.86,7.35,1.33,"DREM","ast","nan","nan",0
"NGC_6561, MWSC_2834","nan","nan",272.613,-16.73,13.419,1.172,0.015,0.1,0.155,0.4,-1.5,0.29,-17.9,3.2,3,3,73,141,2488.0,0.687,12.2,0.33,0.22,-0.04,6.6,"nan","nan",3.22,0.57,8.8,1.09,7.38,1.54,"COCD","nan","nan","nan",0
"FSR_0099, MWSC_2839","nan","nan",273.091,5.475,33.39,11.181,0.015,0.055,0.09,-2.84,-9.04,0.62,"nan","nan",0,1,16,38,2495.0,0.666,12.2,0.32,0.213,0.0,8.855,0.045,5.0,1.71,0.55,8.01,2.28,1.48,0.33,"FPOS","nan","nan","nan",0
"ESO_456-72, MWSC_2840","nan","nan",273.121,-29.567,2.364,-5.391,0.018,0.05,0.09,-0.28,-1.36,0.96,"nan","nan",0,7,28,65,1211.0,1.041,10.751,0.5,0.333,0.03,9.49,0.043,10.0,0.68,0.17,3.33,0.71,10.85,2.09,"DIAS","nan","nan","nan",0
"NGC_6568, MWSC_2841","nan","nan",273.18,-21.6,9.407,-1.64,0.02,0.13,0.266,0.41,-3.32,0.27,"nan","nan",0,6,84,282,861.0,0.385,9.799,0.185,0.123,0.0,8.8,0.025,16.0,1.57,0.26,6.29,0.89,26.0,2.95,"COCD","nan","nan","nan",0
