"Cluster","Comment"
"BH_92","Classified as open cluster. CMD class: 0.95 (50th percentile)."
"BH_99","Classified as open cluster. CMD class: 0.99 (50th percentile)."
"BH_106","Classified as moving group. CMD class: 0.00 (50th percentile)."
"BH_110","Classified as open cluster. CMD class: 0.07 (50th percentile)."
"BH_111","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"BH_118","Classified as open cluster. CMD classes: 0.76 (50th percentile), false positive? (human-assigned)."
"BH_131","Classified as open cluster. CMD class: 0.03 (50th percentile)."
"BH_132","Classified as open cluster. CMD class: 0.57 (50th percentile)."
"BH_144","Classified as open cluster. CMD class: 0.08 (50th percentile)."
"BH_150","Classified as open cluster. CMD class: 0.14 (50th percentile)."
"BH_151","Classified as open cluster. CMD class: 0.12 (50th percentile)."
"BH_164","Classified as open cluster. CMD class: 0.99 (50th percentile)."
"BH_200","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"BH_202","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"BH_205","Classified as open cluster. CMD classes: 0.28 (50th percentile), false positive (human-assigned)."
"BH_211","Classified as open cluster. CMD class: 0.79 (50th percentile)."
"BH_217","Classified as open cluster. CMD class: 0.62 (50th percentile)."
"BH_221","Classified as open cluster. CMD class: 0.80 (50th percentile)."
"BH_222","Classified as open cluster. CMD class: 0.24 (50th percentile)."
"BH_231","Classified as open cluster. CMD classes: 0.04 (50th percentile), false positive? (human-assigned)."
"BH_245","Classified as open cluster. CMD class: 0.20 (50th percentile)."
"Barkhatova_1","Classified as open cluster. CMD class: 0.96 (50th percentile)."
"Basel_1","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Basel_4","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Basel_8","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Basel_10","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Basel_13","Classified as open cluster. CMD class: 0.06 (50th percentile)."
"Basel_17","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Basel_18","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Basel_11A","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Basel_11B","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Berkeley_1","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Berkeley_2","Classified as open cluster. CMD class: 0.67 (50th percentile)."
"Berkeley_4","Classified as open cluster. CMD class: 0.99 (50th percentile)."
"Berkeley_6","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Berkeley_7","Classified as open cluster. CMD class: 0.99 (50th percentile)."
"Berkeley_8","Classified as open cluster. CMD class: 0.91 (50th percentile)."
"Berkeley_9","Classified as open cluster. CMD class: 0.99 (50th percentile)."
"Berkeley_10","Classified as open cluster. CMD class: 0.98 (50th percentile)."
"Berkeley_11","Classified as open cluster. CMD class: 0.97 (50th percentile)."
"Berkeley_12","Classified as open cluster. CMD class: 0.95 (50th percentile)."
"Berkeley_13","Classified as open cluster. CMD class: 0.90 (50th percentile)."
"Berkeley_14","Classified as open cluster. CMD class: 0.99 (50th percentile)."
