"Cluster","Comment"
"Blanco 1","Gold sample."
"Bochum 1","Silver sample."
"Bochum 10","Gold sample."
"Bochum 13","Gold sample."
"Bochum 14","Bronze sample."
"Bochum 15","Silver sample."
"Bochum 2","Gold sample."
"Bochum 3","Gold sample."
"Bochum 4","Gold sample."
"Briceno 1","Gold sample."
"CBJC 8","Wood sample."
"CMa 02","Gold sample."
"COIN-Gaia 10","Gold sample."
"COIN-Gaia 11","Gold sample."
"COIN-Gaia 12","Gold sample."
"COIN-Gaia 14","Gold sample."
"COIN-Gaia 15","Gold sample."
"COIN-Gaia 16","Gold sample."
"COIN-Gaia 18","Gold sample."
"COIN-Gaia 19","Gold sample."
"COIN-Gaia 20","Gold sample."
"COIN-Gaia 21","Gold sample."
"COIN-Gaia 23","Gold sample."
"COIN-Gaia 24","Gold sample."
"COIN-Gaia 25","Gold sample."
"COIN-Gaia 26","Gold sample."
"COIN-Gaia 28","Gold sample."
"COIN-Gaia 29","Gold sample."
"COIN-Gaia 3","Gold sample."
"COIN-Gaia 30","Gold sample."
"COIN-Gaia 31","Gold sample."
"COIN-Gaia 32","Gold sample."
"COIN-Gaia 33","Gold sample."
"COIN-Gaia 34","Gold sample."
"COIN-Gaia 35","Gold sample."
"COIN-Gaia 36","Gold sample."
"COIN-Gaia 37","Gold sample."
"COIN-Gaia 38","Gold sample."
"COIN-Gaia 39","Gold sample."
"COIN-Gaia 4","Gold sample."
"COIN-Gaia 40","Gold sample."
"COIN-Gaia 41","Silver sample."
"COIN-Gaia 5","Gold sample."
"COIN-Gaia 6","Gold sample."
"COIN-Gaia 7","Gold sample."
"COIN-Gaia 8","Gold sample."
"COIN-Gaia 9","Gold sample."
"CWNU 10","Gold sample."
"CWNU 1004","Wood sample."
"CWNU 1007","Gold sample."
"CWNU 1008","Gold sample."
"CWNU 101","Silver sample."
"CWNU 1010","Gold sample."
"CWNU 1012","Gold sample."
"CWNU 1013","Gold sample."
"CWNU 1015","Gold sample."
"CWNU 1018","Gold sample."
"CWNU 102","Gold sample."
"CWNU 1020","Gold sample."
"CWNU 1024","Gold sample."
"CWNU 1029","Gold sample."
"CWNU 1031","Gold sample."
"CWNU 1032","Gold sample."
"CWNU 1033","Gold sample."
"CWNU 1034","Gold sample."
"CWNU 1042","Silver sample."
"CWNU 1044","Gold sample."
"CWNU 105","Gold sample."
"CWNU 1053","Gold sample."
"CWNU 1054","Gold sample."
"CWNU 1055","Gold sample."
"CWNU 1057","Silver sample."
"CWNU 1062","Gold sample."
"CWNU 1064","Gold sample."
"CWNU 1066","Gold sample."
"CWNU 1069","Gold sample."
"CWNU 1072","Gold sample."
"CWNU 1074","Gold sample."
"CWNU 1075","Gold sample."
"CWNU 1076","Gold sample."
"CWNU 1083","Silver sample."
"CWNU 1084","Gold sample."
"CWNU 1086","Gold sample."
"CWNU 1087","Gold sample."
"CWNU 1088","Wood sample."
"CWNU 1092","Gold sample."
"CWNU 1093","Gold sample."
"CWNU 1095","Gold sample."
"CWNU 1096","Gold sample."
"CWNU 11","Gold sample."
"CWNU 110","Gold sample."
"CWNU 1106","Wood sample."
"CWNU 1107","Silver sample."
"CWNU 111","Gold sample."
"CWNU 1111","Gold sample."
"CWNU 112","Gold sample."
"CWNU 1121","Gold sample."
"CWNU 1126","Gold sample."
"CWNU 1129","Bronze sample."
"CWNU 1134","Gold sample."
"CWNU 1137","Gold sample."
"CWNU 1138","Gold sample."
"CWNU 114","Gold sample."
"CWNU 1140","Gold sample."
"CWNU 1142","Gold sample."
"CWNU 1143","Gold sample."
"CWNU 1144","Gold sample."
"CWNU 1145","Gold sample."
"CWNU 1150","Gold sample."
"CWNU 1155","Gold sample."
"CWNU 1169","Gold sample."
"CWNU 117","Gold sample."
"CWNU 1173","Gold sample."
"CWNU 1178","Gold sample."
"CWNU 1179","Gold sample."
"CWNU 1183","Gold sample."
"CWNU 119","Gold sample."
"CWNU 1190","Silver sample."
"CWNU 120","Gold sample."
"CWNU 1205","Gold sample."
"CWNU 121","Gold sample."
"CWNU 1216","Gold sample."
"CWNU 1224","Gold sample."
"CWNU 1227","Gold sample."
"CWNU 1228","Bronze sample."
"CWNU 1229","Wood sample."
"CWNU 1230","Wood sample."
"CWNU 124","Gold sample."
"CWNU 1240","Wood sample."
"CWNU 1242","Silver sample."
"CWNU 1243","Gold sample."
"CWNU 1252","Silver sample."
"CWNU 1256","Gold sample."
"CWNU 1262","Gold sample."
"CWNU 1265","Gold sample."
"CWNU 1266","Gold sample."
"CWNU 1270","Gold sample."
"CWNU 1271","Gold sample."
"CWNU 1272","Gold sample."
"CWNU 1273","Gold sample."
"CWNU 1274","Gold sample."
"CWNU 1275","Silver sample."
"CWNU 1276","Gold sample."
"CWNU 1278","Gold sample."
"CWNU 1279","Silver sample."
"CWNU 128","Gold sample."
"CWNU 1280","Gold sample."
"CWNU 1281","Gold sample."
"CWNU 1284","Bronze sample."
"CWNU 1285","Gold sample."
"CWNU 1286","Silver sample."
"CWNU 1287","Gold sample."
"CWNU 129","Gold sample."
"CWNU 1290","Gold sample."
"CWNU 1291","Gold sample."
"CWNU 1292","Silver sample."
"CWNU 1294","Silver sample."
"CWNU 1295","Gold sample."
"CWNU 1298","Gold sample."
"CWNU 1299","Silver sample."
"CWNU 1300","Gold sample."
"CWNU 1303","Gold sample."
"CWNU 1305","Gold sample."
"CWNU 1308","Silver sample."
"CWNU 1310","Gold sample."
"CWNU 1313","Gold sample."
"CWNU 1315","Gold sample."
"CWNU 1317","Silver sample."
"CWNU 132","Silver sample."
"CWNU 1321","Gold sample."
"CWNU 1322","Gold sample."
"CWNU 133","Gold sample."
"CWNU 1331","Gold sample."
"CWNU 1333","Gold sample."
"CWNU 1334","Gold sample."
"CWNU 1336","Bronze sample."
"CWNU 134","Gold sample."
"CWNU 1340","Gold sample."
"CWNU 1342","Gold sample."
"CWNU 1346","Gold sample."
"CWNU 1347","Silver sample."
"CWNU 135","Gold sample."
"CWNU 1352","Gold sample."
"CWNU 1353","Silver sample."
"CWNU 1354","Gold sample."
"CWNU 1355","Gold sample."
"CWNU 1356","Gold sample."
