"Cluster","Comment"
"Kronberger 50","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Alessi 63,Alessi J1812.4-1522,Teutsch J1812.4-1522","List of clusters and alike reported by B. Alessi. The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Teutsch 265,Dolidze 52a,Teutsch J1825.8-1704","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Dolidze 52,MWSC 2907","Analysis of Dolidze objects by M. Kronberger reported in DAML02. Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Dolidze 52d","Analysis of Dolidze objects by M. Kronberger reported in DAML02."
"SerCp I Group","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Alessi 31,ASCC 92,MWSC 2723","Web updates in DAML02, some were later removed (2003 to 2010). List of clusters and alike reported by B. Alessi. The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"NGC 6647,OCL 45,MWSC 2939","Web updates in DAML02, some were later removed (2003 to 2010)."
"NGC 6605,OCL 47,MWSC 2882","Web updates in DAML02, some were later removed (2003 to 2010)."
"HD 182251 Group","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Alessi 1849-18,Summer Christmas Tree","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Patchick 87","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"ESO 464-9,MWSC 3443","Web updates in DAML02, some were later removed (2003 to 2010)."
"Alessi J1847.9-1813","Asterisms and cluster alikes by B. Alessi reported in DAML02. The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Bica 46","Present study."
"Bica 47","Present study."
"Kronberger 25,J1822.6-1443,MWSC 2901","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Elosser 7","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Teutsch J1823.4-1447","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Kharchenko 2,MWSC 2900","Web updates in DAML02, some were later removed (2003 to 2010)."
"Kharchenko 3,MWSC 2901","Web updates in DAML02, some were later removed (2003 to 2010)."
"Kronberger 2,DSH J1821.3-1417,MWSC 2898","Web updates in DAML02, some were later removed (2003 to 2010)."
"Bica 48","Present study."
"Elosser 6","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Dolidze 28,OCL 53,MWSC 2913","Analysis of Dolidze objects by M. Kronberger reported in DAML02."
"Mamajek 2,mu Oph Cluster,MWSC 2650","Web updates in DAML02, some were later removed (2003 to 2010)."
"Teutsch 269","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Teutsch 263","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Renou 12","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Teutsch 268","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Teutsch 266","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Teutsch 267","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 49","Present study."
"Sct II Group","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Patchick 98","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 50","Present study."
"Bica 51","Present study."
"Bica 52","Present study."
"Desvoivres 3","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Alessi J1917.6-1857","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Streicher 40","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Ryu 783,Bica 53","Present study."
"Ryu 786,Bica 54","Present study."
"Alessi 98","List of clusters and alike reported by B. Alessi."
"Dias 6,BBD 5,MWSC 2932","Web updates in DAML02, some were later removed (2003 to 2010)."
"Sct III Group","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 55","Present study."
"Teutsch J1830.8-1215","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Teutsch J1835.6-1241","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Teutsch J1832.1-1134","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 56","Present study."
"Webb 2,Webb's Wreath,Ramakers 30","Asterisms reported by amateur astronomers in the web."
"Teutsch 117,DSH J1837.1-1013","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Teutsch 278","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Sct Iy Group","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Lorenzin 5","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Essertoo 1,Essertoo String,Ramakers 46","Asterisms reported by amateur astronomers in the web."
