"Cluster","Comment"
"Berkeley_44","Tidal & Core radii: r_t=22+/-9.2 [pc], r_c=0.55+/-0.02 [pc]; stars within r_t: N~192"
"Berkeley_45","Tidal & Core radii: r_t=57+/-54.1 [pc], r_c=0.62+/-0.0 [pc]; stars within r_t: N~152"
"Berkeley_47","Tidal & Core radii: r_t=16+/-20.3 [pc], r_c=0.46+/-0.02 [pc]; stars within r_t: N~74"
"Berkeley_49","Tidal & Core radii: r_t=26+/-23.1 [pc], r_c=0.41+/-0.0 [pc]; stars within r_t: N~103"
"Berkeley_50","Tidal & Core radii: r_t=22+/-10.7 [pc], r_c=0.63+/-0.02 [pc]; stars within r_t: N~137"
"Berkeley_53","Tidal & Core radii: r_t=29+/-12.9 [pc], r_c=0.77+/-0.04 [pc]; stars within r_t: N~679"
"Berkeley_54","Tidal & Core radii: r_t=98+/-79.1 [pc], r_c=0.4+/-0.0 [pc]; stars within r_t: N~102"
"Berkeley_55","Tidal & Core radii: r_t=72+/-71.3 [pc], r_c=0.42+/-0.0 [pc]; stars within r_t: N~218"
"Berkeley_56","Tidal & Core radii: r_t=114+/-68.7 [pc], r_c=0.39+/-0.0 [pc]; stars within r_t: N~61"
"Berkeley_58","Tidal & Core radii: r_t=35+/-19.4 [pc], r_c=0.47+/-0.0 [pc]; stars within r_t: N~223"
"Berkeley_6","Tidal & Core radii: r_t=179+/-45.9 [pc], r_c=0.47+/-0.0 [pc]; stars within r_t: N~199"
"Berkeley_60","Tidal & Core radii: r_t=18+/-23.9 [pc], r_c=0.59+/-0.05 [pc]; stars within r_t: N~107"
"Berkeley_62","Tidal & Core radii: r_t=113+/-72.0 [pc], r_c=0.66+/-0.0 [pc]; stars within r_t: N~254"
"Berkeley_63","Tidal & Core radii: r_t=42+/-57.5 [pc], r_c=0.3+/-0.0 [pc]; stars within r_t: N~57"
"Berkeley_64","Tidal & Core radii: r_t=85+/-74.2 [pc], r_c=0.32+/-0.0 [pc]; stars within r_t: N~70"
"Berkeley_65","Tidal & Core radii: r_t=103+/-86.3 [pc], r_c=0.51+/-0.0 [pc]; stars within r_t: N~144"
"Berkeley_66","Tidal & Core radii: r_t=176+/-52.1 [pc], r_c=0.72+/-0.0 [pc]; stars within r_t: N~200"
"Berkeley_67","Tidal & Core radii: r_t=12+/-3.1 [pc], r_c=0.3+/-0.06 [pc]; stars within r_t: N~121"
"Berkeley_68","Tidal & Core radii: r_t=20+/-15.7 [pc], r_c=0.59+/-0.09 [pc]; stars within r_t: N~169"
